Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abuna's Chant,Fifth Dawn,1,FALSE,0.20,Common,1,b9e0bf63-0399-40d6-9162-4562d7bcdd0e,1,5dn,common
Anodet Lurker,Fifth Dawn,1,FALSE,0.20,Common,101,c97773f5-548a-4107-b29c-56b5428d5ddb,101,5dn,common
Armed Response,Fifth Dawn,1,FALSE,0.20,Common,2,7029fac9-ef8a-499f-aa42-c145b6b528ae,2,5dn,common
Auriok Windwalker,Fifth Dawn,1,FALSE,0.50,Rare,5,4315d060-9858-405c-a442-c7a278134f00,5,5dn,rare
Avarice Totem,Fifth Dawn,1,FALSE,0.42,Uncommon,104,53a5cfa8-4091-445c-8641-64402cca7d2d,104,5dn,uncommon
Baton of Courage,Fifth Dawn,1,TRUE,0.27,Common,105,d363970c-2418-42f9-8d13-0e5700161b62,105,5dn,common
Battered Golem,Fifth Dawn,1,FALSE,0.45,Common,106,f69add35-c529-4b30-8e64-f09b8308432f,106,5dn,common
Beacon of Tomorrows,Fifth Dawn,1,FALSE,2.90,Rare,24,3ab166c9-af3e-4e65-88ed-9766b046c95b,24,5dn,rare
Blasting Station,Fifth Dawn,1,FALSE,9.46,Uncommon,107,71e2f832-6601-4232-b250-fd1c88538fbd,107,5dn,uncommon
Blind Creeper,Fifth Dawn,1,FALSE,0.20,Common,42,86d5440a-7460-4b4f-a167-a6c4fb2d855e,42,5dn,common
Cackling Imp,Fifth Dawn,1,FALSE,0.20,Common,44,641080d8-1b2e-4990-a114-04bea9a5adce,44,5dn,common
Circle of Protection: Artifacts,Fifth Dawn,1,FALSE,0.25,Uncommon,8,b09e7267-3d71-4724-b3e7-ae5a6a1f002a,8,5dn,uncommon
Condescend,Fifth Dawn,1,FALSE,0.42,Common,27,e8303b80-e29a-46b8-90b0-c0cfe551b435,27,5dn,common
Dawn's Reflection,Fifth Dawn,1,FALSE,0.35,Common,85,131a124f-f11e-4ea1-a7b2-b94eea988d4e,85,5dn,common
Devour in Shadow,Fifth Dawn,1,FALSE,0.29,Uncommon,46,98c80584-b7b5-4dcd-8a00-812b9dd9b1b9,46,5dn,uncommon
Endless Whispers,Fifth Dawn,1,FALSE,4.00,Rare,49,266323da-9528-462e-a0a8-6ef2dda5f1ee,49,5dn,rare
