Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
White Dragon (Borderless),Forgotten Realms Variants,1,TRUE,0.55,Uncommon,288,,,,
Inferno of the Star Mounts (Borderless),Forgotten Realms Variants,1,TRUE,5.03,Mythic Rare,293,,,,
Cave of the Frost Dragon (Showcase),Forgotten Realms Variants,1,TRUE,0.80,Rare,350,,,,
The Book of Exalted Deeds (Extended Art),Forgotten Realms Variants,1,TRUE,6.91,Mythic Rare,359,,,,
Dancing Sword (Extended Art),Forgotten Realms Variants,1,TRUE,0.22,Rare,360,,,,
Flumph (Extended Art),Forgotten Realms Variants,1,TRUE,0.90,Rare,361,,,,
Guardian of Faith (Extended Art),Forgotten Realms Variants,1,TRUE,3.44,Rare,362,,,,
Teleportation Circle (Extended Art),Forgotten Realms Variants,1,FALSE,8.94,Rare,364,,,,
The Blackstaff of Waterdeep (Extended Art),Forgotten Realms Variants,1,TRUE,0.18,Rare,365,,,,
Demilich (Extended Art),Forgotten Realms Variants,1,FALSE,2.00,Mythic Rare,366,,,,
"Grazilaxx, Illithid Scholar (Extended Art)",Forgotten Realms Variants,1,FALSE,1.83,Rare,367,,,,
Tasha's Hideous Laughter (Extended Art),Forgotten Realms Variants,1,TRUE,5.49,Rare,368,,,,
True Polymorph (Extended Art),Forgotten Realms Variants,1,TRUE,0.23,Rare,369,,,,
Wizard's Spellbook (Extended Art),Forgotten Realms Variants,1,TRUE,0.45,Rare,370,,,,
Yuan-Ti Malison (Extended Art),Forgotten Realms Variants,1,TRUE,0.28,Rare,371,,,,
Asmodeus the Archfiend (Extended Art),Forgotten Realms Variants,1,TRUE,0.72,Rare,373,,,,
The Book of Vile Darkness (Extended Art),Forgotten Realms Variants,1,TRUE,0.86,Mythic Rare,374,,,,
Forsworn Paladin (Extended Art),Forgotten Realms Variants,2,TRUE,0.28,Rare,375,,,,
Vorpal Sword (Extended Art),Forgotten Realms Variants,1,FALSE,2.60,Rare,377,,,,
Flameskull (Extended Art),Forgotten Realms Variants,1,FALSE,0.50,Mythic Rare,378,,,,
Hobgoblin Bandit Lord (Extended Art),Forgotten Realms Variants,1,TRUE,2.93,Rare,379,,,,
Meteor Swarm (Extended Art),Forgotten Realms Variants,1,FALSE,0.39,Rare,380,,,,
Orb of Dragonkind (Extended Art),Forgotten Realms Variants,1,FALSE,1.80,Rare,381,,,,
Wish (Extended Art),Forgotten Realms Variants,1,TRUE,3.01,Rare,382,,,,
Circle of Dreams Druid (Extended Art),Forgotten Realms Variants,1,TRUE,7.28,Rare,383,,,,
Froghemoth (Extended Art),Forgotten Realms Variants,1,FALSE,0.75,Rare,384,,,,
Instrument of the Bards (Extended Art),Forgotten Realms Variants,1,FALSE,0.49,Rare,385,,,,
Long Rest (Extended Art),Forgotten Realms Variants,1,FALSE,0.30,Rare,386,,,,
Werewolf Pack Leader (Extended Art),Forgotten Realms Variants,1,TRUE,0.88,Rare,387,,,,
"Orcus, Prince of Undeath (Extended Art)",Forgotten Realms Variants,1,FALSE,0.49,Rare,388,,,,
Skeletal Swarming (Extended Art),Forgotten Realms Variants,1,TRUE,0.43,Rare,389,,,,
The Deck of Many Things (Extended Art),Forgotten Realms Variants,1,TRUE,6.41,Mythic Rare,392,,,,
Eye of Vecna (Extended Art),Forgotten Realms Variants,1,FALSE,0.53,Rare,393,,,,
Treasure Chest (Extended Art),Forgotten Realms Variants,1,TRUE,0.48,Rare,395,,,,
