Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Crystal Barricade,Foundations,1,TRUE,1.39,Rare,7,905d3e02-ea06-45e7-9adb-c8e7583323a2,7,fdn,rare
Exemplar of Light,Foundations,1,TRUE,2.79,Rare,11,920c8fc5-fdd2-446a-a676-5c363f96928f,11,fdn,rare
Raise the Past,Foundations,1,TRUE,2.26,Rare,22,6c6be129-56da-4fe7-a6bd-6a1d402c09e1,22,fdn,rare
Skyknight Squire,Foundations,1,TRUE,0.59,Rare,23,fcfe4e62-c153-47b8-8e09-cedaf91f53d8,23,fdn,rare
Curator of Destinies,Foundations,1,TRUE,0.16,Rare,34,9ff79da7-c3f7-4541-87a0-503544c699b5,34,fdn,rare
Drake Hatcher,Foundations,1,TRUE,0.17,Rare,35,bcaf4196-6bf3-47fa-b5c7-0e77f45cf820,35,fdn,rare
Sphinx of Forgotten Lore,Foundations,1,TRUE,0.90,Mythic Rare,51,af6e46b8-62ed-4bca-ba38-a821f225b59f,51,fdn,mythic
Abyssal Harvester,Foundations,1,TRUE,2.08,Rare,54,f2e0f538-5825-47e9-883c-3ec6fd5b25ea,54,fdn,rare
"Tinybones, Bauble Burglar",Foundations,1,TRUE,0.86,Rare,72,ff3d85bc-ef2d-4251-baf4-a14bd0cee61e,72,fdn,rare
"Zul Ashur, Lich Lord",Foundations,1,TRUE,0.80,Rare,77,34ad4fdb-9805-45b3-ba20-e47a15d6ff38,77,fdn,rare
Twinflame Tyrant,Foundations,1,TRUE,18.30,Mythic Rare,97,1eb34f51-0bd2-43c3-af95-2ce8dabcc7bb,97,fdn,mythic
Mossborn Hydra,Foundations,1,TRUE,2.98,Rare,107,7054a0d7-396f-40b4-ab24-db591c3b08f0,107,fdn,rare
Spinner of Souls,Foundations,1,TRUE,0.87,Rare,112,f50a8dec-b079-4192-9098-6cdc1026c693,112,fdn,rare
Anthem of Champions,Foundations,1,TRUE,0.35,Rare,116,42fe3a40-9cbe-4235-86f9-32576aaebba8,116,fdn,rare
Ashroot Animist,Foundations,1,TRUE,0.15,Rare,117,dece147f-d71a-4c95-9fe5-f5c862ef14ac,117,fdn,rare
"Koma, World-Eater",Foundations,1,TRUE,2.65,Rare,121,c3b92caa-3401-4b11-9515-152f3e057c05,121,fdn,rare
"Zimone, Paradox Sculptor",Foundations,1,TRUE,1.40,Mythic Rare,126,20ccbfdd-ddae-440c-9bc0-38b15a56fdd1,126,fdn,mythic
Leyline Axe,Foundations,1,TRUE,1.60,Rare,129,b9c03336-a321-4c06-94d1-809f328fabd8,129,fdn,rare
Scrawling Crawler,Foundations,1,TRUE,3.93,Rare,132,a1176dcf-40ee-4342-aa74-791b8352e99a,132,fdn,rare
Soulstone Sanctuary,Foundations,1,TRUE,1.59,Rare,133,642553a7-6d0f-483d-a873-3a703786db42,133,fdn,rare
"Giada, Font of Hope",Foundations,1,TRUE,0.90,Rare,141,8ae6fc26-cfad-4da8-98d9-49c27c24d293,141,fdn,rare
Extravagant Replication,Foundations,1,TRUE,0.67,Rare,154,6a41dfae-bc7e-4105-8f7e-fd0109197ad8,154,fdn,rare
Brass's Bounty,Foundations,1,TRUE,0.26,Rare,190,65fe7127-b0ec-400f-97f1-6e17ab8e319d,190,fdn,rare
Doubling Season,Foundations,1,TRUE,27.99,Mythic Rare,216,f2c4f80e-84a0-463b-82c3-5c6503809351,216,fdn,mythic
Elvish Archdruid,Foundations,1,TRUE,0.47,Rare,219,341da856-7414-403b-b2e3-4bebd58a5aa4,219,fdn,rare
Scavenging Ooze,Foundations,1,TRUE,0.21,Rare,232,8c504c23-1e9a-411b-9cfe-4180d0c744f6,232,fdn,rare
Thousand-Year Storm,Foundations,1,TRUE,0.47,Rare,248,76c48a67-1410-40f1-9b93-0172d85e4688,248,fdn,rare
Solemn Simulacrum,Foundations,1,TRUE,0.46,Rare,257,5383f45e-3da2-40fb-beee-801448bbb60f,257,fdn,rare
Sire of Seven Deaths (Borderless),Foundations Variants,1,TRUE,74.98,Mythic Rare,292,,,,
Ajani's Pridemate (Borderless),Foundations Variants,1,TRUE,0.39,Uncommon,293,,,,
"Arahbo, the First Fang (Borderless)",Foundations Variants,1,FALSE,2.19,Rare,294,,,,
Celestial Armor (Borderless),Foundations Variants,1,TRUE,4.37,Rare,295,,,,
Crystal Barricade (Borderless),Foundations Variants,1,TRUE,4.78,Rare,296,,,,
Exemplar of Light (Borderless),Foundations Variants,1,FALSE,4.31,Rare,297,,,,
"Giada, Font of Hope (Borderless)",Foundations Variants,1,TRUE,16.69,Rare,298,,,,
Raise the Past (Borderless),Foundations Variants,1,TRUE,2.71,Rare,300,,,,
Skyknight Squire (Borderless),Foundations Variants,1,TRUE,1.97,Rare,301,,,,
Valkyrie's Call (Borderless),Foundations Variants,1,FALSE,5.08,Mythic Rare,302,,,,
Youthful Valkyrie (Borderless),Foundations Variants,1,TRUE,1.30,Uncommon,303,,,,
Archmage of Runes (Borderless),Foundations Variants,1,TRUE,3.55,Rare,304,,,,
Curator of Destinies (Borderless),Foundations Variants,1,TRUE,0.47,Rare,305,,,,
Drake Hatcher (Borderless),Foundations Variants,1,TRUE,0.83,Rare,306,,,,
High Fae Trickster (Borderless),Foundations Variants,1,TRUE,7.73,Rare,307,,,,
Homunculus Horde (Borderless),Foundations Variants,1,TRUE,1.49,Rare,308,,,,
"Kiora, the Rising Tide (Borderless)",Foundations Variants,1,TRUE,11.92,Rare,309,,,,
Lunar Insight (Borderless),Foundations Variants,1,TRUE,2.22,Rare,310,,,,
An Offer You Can't Refuse (Borderless),Foundations Variants,1,TRUE,3.02,Uncommon,311,,,,
Omniscience (Borderless),Foundations Variants,1,FALSE,5.65,Mythic Rare,312,,,,
Refute (Borderless),Foundations Variants,1,TRUE,0.24,Common,313,,,,
Sphinx of Forgotten Lore (Borderless),Foundations Variants,1,TRUE,3.85,Mythic Rare,314,,,,
Think Twice (Borderless),Foundations Variants,1,TRUE,0.13,Common,315,,,,
Abyssal Harvester (Borderless),Foundations Variants,1,FALSE,2.52,Rare,316,,,,
Blasphemous Edict (Borderless),Foundations Variants,1,TRUE,15.09,Rare,317,,,,
Bloodthirsty Conqueror (Borderless),Foundations Variants,1,TRUE,44.04,Mythic Rare,318,,,,
High-Society Hunter (Borderless),Foundations Variants,1,TRUE,1.68,Rare,320,,,,
Nine-Lives Familiar (Borderless),Foundations Variants,1,TRUE,7.11,Rare,321,,,,
Phyrexian Arena (Borderless),Foundations Variants,1,TRUE,4.65,Rare,322,,,,
Rise of the Dark Realms (Borderless),Foundations Variants,1,TRUE,16.93,Mythic Rare,323,,,,
"Tinybones, Bauble Burglar (Borderless)",Foundations Variants,1,TRUE,6.00,Rare,324,,,,
Vengeful Bloodwitch (Borderless),Foundations Variants,1,TRUE,1.26,Uncommon,325,,,,
"Zul Ashur, Lich Lord (Borderless)",Foundations Variants,1,TRUE,5.48,Rare,326,,,,
Abrade (Borderless),Foundations Variants,1,TRUE,0.69,Uncommon,327,,,,
Electroduplicate (Borderless),Foundations Variants,1,TRUE,2.11,Rare,328,,,,
"Etali, Primal Storm (Borderless)",Foundations Variants,1,TRUE,6.95,Rare,329,,,,
"Kellan, Planar Trailblazer (Borderless)",Foundations Variants,1,TRUE,1.33,Rare,330,,,,
Rite of the Dragoncaller (Borderless),Foundations Variants,1,TRUE,12.99,Mythic Rare,331,,,,
Searslicer Goblin (Borderless),Foundations Variants,1,FALSE,1.50,Rare,332,,,,
Twinflame Tyrant (Borderless),Foundations Variants,1,TRUE,44.04,Mythic Rare,333,,,,
Genesis Wave (Borderless),Foundations Variants,1,TRUE,3.88,Rare,334,,,,
"Ghalta, Primal Hunger (Borderless)",Foundations Variants,1,TRUE,3.47,Rare,335,,,,
"Loot, Exuberant Explorer (Borderless)",Foundations Variants,1,TRUE,10.44,Rare,336,,,,
Mossborn Hydra (Borderless),Foundations Variants,1,TRUE,9.20,Rare,337,,,,
Preposterous Proportions (Borderless),Foundations Variants,1,TRUE,1.32,Rare,338,,,,
Quilled Greatwurm (Borderless),Foundations Variants,1,TRUE,13.30,Mythic Rare,339,,,,
Reclamation Sage (Borderless),Foundations Variants,1,TRUE,0.95,Uncommon,340,,,,
Spinner of Souls (Borderless),Foundations Variants,1,TRUE,3.52,Rare,341,,,,
Sylvan Scavenging (Borderless),Foundations Variants,1,TRUE,1.07,Rare,342,,,,
"Alesha, Who Laughs at Fate (Borderless)",Foundations Variants,1,TRUE,3.24,Rare,343,,,,
Anthem of Champions (Borderless),Foundations Variants,1,TRUE,1.02,Rare,344,,,,
Ashroot Animist (Borderless),Foundations Variants,1,FALSE,0.50,Rare,345,,,,
"Elenda, Saint of Dusk (Borderless)",Foundations Variants,1,TRUE,4.98,Rare,346,,,,
"Koma, World-Eater (Borderless)",Foundations Variants,1,TRUE,12.20,Rare,347,,,,
"Kykar, Zephyr Awakener (Borderless)",Foundations Variants,1,TRUE,1.75,Rare,348,,,,
"Lathril, Blade of the Elves (Borderless)",Foundations Variants,1,FALSE,2.71,Rare,349,,,,
"Lathril, Blade of the Elves (Borderless)",Foundations Variants,1,TRUE,9.65,Rare,349,,,,
"Zimone, Paradox Sculptor (Borderless)",Foundations Variants,1,FALSE,2.24,Mythic Rare,351,,,,
Banner of Kinship (Borderless),Foundations Variants,1,TRUE,12.26,Rare,352,,,,
Leyline Axe (Borderless),Foundations Variants,1,TRUE,7.56,Rare,353,,,,
Scrawling Crawler (Borderless),Foundations Variants,1,TRUE,13.30,Rare,354,,,,
Swiftfoot Boots (Borderless),Foundations Variants,1,TRUE,3.74,Uncommon,355,,,,
Soulstone Sanctuary (Borderless),Foundations Variants,1,TRUE,4.31,Rare,356,,,,
"Ajani, Caller of the Pride (Borderless)",Foundations Variants,1,TRUE,5.14,Mythic Rare,357,,,,
"Kaito, Cunning Infiltrator (Borderless)",Foundations Variants,1,TRUE,10.17,Mythic Rare,358,,,,
"Liliana, Dreadhorde General (Borderless)",Foundations Variants,1,TRUE,19.82,Mythic Rare,359,,,,
"Chandra, Flameshaper (Borderless)",Foundations Variants,1,FALSE,2.82,Mythic Rare,360,,,,
Vivien Reid (Borderless),Foundations Variants,1,FALSE,2.47,Mythic Rare,361,,,,
"Arahbo, the First Fang (Mana Foil)",Foundations Variants,1,TRUE,26.07,Rare,363,,,,
Exemplar of Light (Mana Foil),Foundations Variants,1,TRUE,22.21,Rare,366,,,,
Raise the Past (Mana Foil),Foundations Variants,1,TRUE,14.31,Rare,369,,,,
Skyknight Squire (Mana Foil),Foundations Variants,1,TRUE,8.14,Rare,370,,,,
Valkyrie's Call (Mana Foil),Foundations Variants,1,TRUE,26.10,Mythic Rare,371,,,,
Drake Hatcher (Mana Foil),Foundations Variants,1,TRUE,9.18,Rare,374,,,,
High Fae Trickster (Mana Foil),Foundations Variants,1,TRUE,34.32,Rare,375,,,,
Homunculus Horde (Mana Foil),Foundations Variants,1,TRUE,15.12,Rare,376,,,,
"Kiora, the Rising Tide (Mana Foil)",Foundations Variants,1,TRUE,21.49,Rare,377,,,,
Omniscience (Mana Foil),Foundations Variants,1,TRUE,35.82,Mythic Rare,379,,,,
Abyssal Harvester (Mana Foil),Foundations Variants,1,TRUE,14.76,Rare,381,,,,
Rise of the Dark Realms (Mana Foil),Foundations Variants,1,TRUE,45.76,Mythic Rare,387,,,,
Searslicer Goblin (Mana Foil),Foundations Variants,1,TRUE,16.37,Rare,394,,,,
Sylvan Scavenging (Mana Foil),Foundations Variants,1,TRUE,7.39,Rare,403,,,,
"Kykar, Zephyr Awakener (Mana Foil)",Foundations Variants,1,TRUE,12.38,Rare,409,,,,
"Zimone, Paradox Sculptor (Mana Foil)",Foundations Variants,1,TRUE,30.95,Mythic Rare,412,,,,
Banner of Kinship (Mana Foil),Foundations Variants,1,TRUE,31.11,Rare,413,,,,
Day of Judgment (Showcase),Foundations Variants,1,TRUE,18.34,Mythic Rare,422,,,,
Herald of Eternal Dawn (Showcase),Foundations Variants,1,TRUE,40.46,Mythic Rare,423,,,,
"Kaito, Cunning Infiltrator (Showcase)",Foundations Variants,1,TRUE,11.77,Mythic Rare,424,,,,
Think Twice (Showcase),Foundations Variants,1,TRUE,19.87,Mythic Rare,425,,,,
Bloodthirsty Conqueror (Showcase),Foundations Variants,1,TRUE,106.41,Mythic Rare,426,,,,
Twinflame Tyrant (Showcase),Foundations Variants,1,TRUE,79.14,Mythic Rare,427,,,,
Doubling Season (Showcase),Foundations Variants,1,TRUE,166.39,Mythic Rare,428,,,,
Llanowar Elves (Showcase),Foundations Variants,1,TRUE,131.24,Mythic Rare,429,,,,
"Muldrotha, the Gravetide (Showcase)",Foundations Variants,1,TRUE,30.53,Mythic Rare,430,,,,
Progenitus (Showcase),Foundations Variants,1,TRUE,22.90,Mythic Rare,431,,,,
Day of Judgment (Fracture Foil),Foundations Variants,1,TRUE,90.28,Mythic Rare,432,,,,
"Arahbo, the First Fang (Extended Art)",Foundations Variants,1,TRUE,1.36,Rare,442,,,,
Celestial Armor (Extended Art),Foundations Variants,1,TRUE,0.88,Rare,443,,,,
Crystal Barricade (Extended Art),Foundations Variants,1,FALSE,1.13,Rare,444,,,,
Exemplar of Light (Extended Art),Foundations Variants,1,TRUE,2.57,Rare,445,,,,
Herald of Eternal Dawn (Extended Art),Foundations Variants,1,TRUE,0.00,Mythic Rare,446,,,,
Raise the Past (Extended Art),Foundations Variants,1,TRUE,1.15,Rare,447,,,,
Skyknight Squire (Extended Art),Foundations Variants,1,TRUE,0.42,Rare,448,,,,
Valkyrie's Call (Extended Art),Foundations Variants,1,TRUE,2.79,Mythic Rare,449,,,,
Archmage of Runes (Extended Art),Foundations Variants,1,TRUE,1.99,Rare,450,,,,
Curator of Destinies (Extended Art),Foundations Variants,1,TRUE,0.41,Rare,451,,,,
Drake Hatcher (Extended Art),Foundations Variants,1,FALSE,0.42,Rare,452,,,,
High Fae Trickster (Extended Art),Foundations Variants,1,TRUE,3.01,Rare,453,,,,
Homunculus Horde (Extended Art),Foundations Variants,1,FALSE,0.75,Rare,454,,,,
"Kiora, the Rising Tide (Extended Art)",Foundations Variants,1,TRUE,3.05,Rare,455,,,,
Lunar Insight (Extended Art),Foundations Variants,1,TRUE,0.82,Rare,456,,,,
Sphinx of Forgotten Lore (Extended Art),Foundations Variants,1,TRUE,1.54,Mythic Rare,457,,,,
Abyssal Harvester (Extended Art),Foundations Variants,1,TRUE,1.68,Rare,458,,,,
Blasphemous Edict (Extended Art),Foundations Variants,1,TRUE,9.43,Rare,459,,,,
Bloodthirsty Conqueror (Extended Art),Foundations Variants,1,TRUE,35.48,Mythic Rare,460,,,,
High-Society Hunter (Extended Art),Foundations Variants,1,TRUE,1.13,Rare,461,,,,
Nine-Lives Familiar (Extended Art),Foundations Variants,1,TRUE,1.73,Rare,462,,,,
"Tinybones, Bauble Burglar (Extended Art)",Foundations Variants,1,TRUE,0.98,Rare,463,,,,
"Zul Ashur, Lich Lord (Extended Art)",Foundations Variants,1,TRUE,0.96,Rare,464,,,,
Electroduplicate (Extended Art),Foundations Variants,1,TRUE,0.44,Rare,465,,,,
"Kellan, Planar Trailblazer (Extended Art)",Foundations Variants,1,FALSE,2.14,Rare,466,,,,
Rite of the Dragoncaller (Extended Art),Foundations Variants,1,FALSE,4.28,Mythic Rare,467,,,,
Searslicer Goblin (Extended Art),Foundations Variants,1,TRUE,0.83,Rare,468,,,,
Twinflame Tyrant (Extended Art),Foundations Variants,1,TRUE,25.36,Mythic Rare,469,,,,
"Loot, Exuberant Explorer (Extended Art)",Foundations Variants,1,FALSE,2.79,Rare,470,,,,
Mossborn Hydra (Extended Art),Foundations Variants,1,TRUE,3.77,Rare,471,,,,
Preposterous Proportions (Extended Art),Foundations Variants,1,FALSE,0.77,Rare,472,,,,
Quilled Greatwurm (Extended Art),Foundations Variants,1,TRUE,8.26,Mythic Rare,473,,,,
Spinner of Souls (Extended Art),Foundations Variants,1,TRUE,1.04,Rare,474,,,,
Sylvan Scavenging (Extended Art),Foundations Variants,1,FALSE,0.50,Rare,475,,,,
"Alesha, Who Laughs at Fate (Extended Art)",Foundations Variants,1,TRUE,0.96,Rare,476,,,,
Anthem of Champions (Extended Art),Foundations Variants,1,TRUE,0.36,Rare,477,,,,
Ashroot Animist (Extended Art),Foundations Variants,1,FALSE,0.25,Rare,478,,,,
"Elenda, Saint of Dusk (Extended Art)",Foundations Variants,1,TRUE,1.32,Rare,479,,,,
