Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Angel of Salvation,Future Sight,1,FALSE,0.49,Rare,1,2bf69645-d1f1-4836-bdc3-76874abcfd5f,1,fut,rare
Augur il-Vec,Future Sight,1,FALSE,0.24,Common,2,1c1fdf86-22aa-4c18-a971-8ff1fd8b3de1,2,fut,common
Blade of the Sixth Pride,Future Sight,1,FALSE,0.23,Common,19,f6ccfe28-ec08-4751-b65c-c40b2bafa955,19,fut,common
Boldwyr Intimidator,Future Sight,1,FALSE,0.25,Uncommon,111,179bec14-2e22-43eb-8854-b70a97dd023b,111,fut,uncommon
Bound in Silence,Future Sight,1,FALSE,0.25,Uncommon,20,6e8a6e04-ce3b-4025-92ba-8980022b8038,20,fut,uncommon
Dust of Moments,Future Sight,1,FALSE,0.45,Uncommon,5,1d2c8f6f-8dcd-4b47-bc79-9657824cf1b7,5,fut,uncommon
Emberwilde Augur,Future Sight,1,FALSE,0.20,Common,97,cc78dbef-315c-4f9b-8a1a-76a62a941182,97,fut,common
Festering March,Future Sight,1,FALSE,0.25,Uncommon,65,2c34e6aa-0414-45ba-b6eb-1ac4255d7de8,65,fut,uncommon
Gathan Raiders,Future Sight,1,FALSE,0.21,Common,99,8af5c695-d0f4-4ea7-bc12-f3a24d5b6a11,99,fut,common
Ghostfire,Future Sight,1,FALSE,0.23,Common,115,a60475e5-0d37-4af0-b717-da4c8dea45ac,115,fut,common
Gift of Granite,Future Sight,1,FALSE,0.25,Common,7,d7b5231b-aed9-4b88-aba5-43e57a705dc5,7,fut,common
Grave Scrabbler,Future Sight,1,FALSE,0.25,Common,86,0f0a08a8-bbb9-4816-b03c-af4d729fce45,86,fut,common
Ichor Slick,Future Sight,1,FALSE,0.23,Common,68,34603c3e-1078-48ca-9350-7d90c290b721,68,fut,common
Jhoira of the Ghitu,Future Sight,1,FALSE,1.18,Rare,157,1f437128-3a87-4958-97d0-3940d8761cba,157,fut,rare
Judge Unworthy,Future Sight,1,FALSE,0.22,Common,9,46b0f9cb-f848-460e-94cc-d85b23133d6e,9,fut,common
Knight of Sursi,Future Sight,1,FALSE,0.20,Common,10,84b23129-25b2-4870-9462-ab12718ae7be,10,fut,common
"Korlash, Heir to Blackblade",Future Sight,1,FALSE,3.23,Rare,87,32f1f022-da7f-49a4-881d-b3a2c54c38eb,87,fut,rare
"Linessa, Zephyr Mage",Future Sight,1,FALSE,0.50,Rare,51,799538af-e497-457b-b096-ee6f342f51b5,51,fut,rare
Logic Knot,Future Sight,1,FALSE,0.30,Common,52,4e946be1-4ed6-4e2c-9782-3f630f8a8e1f,52,fut,common
Lost Hours,Future Sight,1,FALSE,0.20,Common,69,4dfff4a8-43ae-41d4-acca-998234f9df35,69,fut,common
Lucent Liminid,Future Sight,1,FALSE,0.20,Common,24,cd700719-2f65-4fd5-b3aa-3e9402560c79,24,fut,common
Lumithread Field,Future Sight,1,FALSE,0.24,Common,25,772bf1a3-ab2d-4fe6-830b-1c5ef8f5dc07,25,fut,common
Lymph Sliver,Future Sight,1,FALSE,0.25,Common,26,d9cdb51f-c785-47d1-b23c-de74eeb22a31,26,fut,common
Magus of the Abyss,Future Sight,1,FALSE,0.48,Rare,70,1005a22c-491b-4969-befb-406c42fcec68,70,fut,rare
Marshaling Cry,Future Sight,1,FALSE,0.25,Common,13,920d7f7e-8df3-4465-be07-83cb340cffc1,13,fut,common
Mesmeric Sliver,Future Sight,1,FALSE,0.28,Common,53,b8bf083e-d0ec-4df9-a17a-8a28ad13d594,53,fut,common
Minions' Murmurs,Future Sight,1,FALSE,0.45,Uncommon,71,d6438a3b-6acb-4b49-8a46-9db80811d17c,71,fut,uncommon
Nihilith,Future Sight,1,FALSE,0.45,Rare,72,11a431fa-e98c-434a-9138-b4bcc86edde8,72,fut,rare
Oblivion Crown,Future Sight,1,FALSE,0.29,Common,73,0cd5486b-c6f4-4cfc-9590-8ffc78b48b0a,73,fut,common
Patrician's Scorn,Future Sight,1,FALSE,0.30,Common,29,4edfd70c-2923-4813-bf14-04194518163c,29,fut,common
Petrified Plating,Future Sight,1,FALSE,0.20,Common,133,1195c459-5e06-4f4e-aa6e-58fefa712684,133,fut,common
Putrid Cyclops,Future Sight,1,FALSE,0.20,Common,75,14e82edf-8acc-4024-bb88-f727f632b061,75,fut,common
Ramosian Revivalist,Future Sight,1,FALSE,0.25,Uncommon,30,250ee8d2-6f03-44a5-8f4c-ced4eaa4cdea,30,fut,uncommon
Rift Elemental,Future Sight,1,FALSE,0.25,Common,106,670c1a05-0dd2-4535-aa7f-ed33bbe92681,106,fut,common
Saltskitter,Future Sight,1,FALSE,0.25,Common,14,823bdf79-998f-4d7c-834d-7a474cfa895e,14,fut,common
Samite Censer-Bearer,Future Sight,1,FALSE,0.21,Common,15,7de6aeea-0144-4148-b7a6-47b703f64af9,15,fut,common
Seht's Tiger,Future Sight,1,FALSE,0.64,Rare,31,2092edca-cdc9-47e2-9c0c-e73c5a657777,31,fut,rare
Shah of Naar Isle,Future Sight,1,FALSE,0.50,Rare,119,cee5e9e3-e3ae-4e1b-a8fb-48c523631105,119,fut,rare
Sliversmith,Future Sight,1,FALSE,0.39,Uncommon,163,b242b7dd-a632-4024-a69a-179a63fb93a8,163,fut,uncommon
Soultether Golem,Future Sight,1,FALSE,0.25,Uncommon,164,6efa61f0-c7bd-49e2-9d66-bf15ad0e9d03,164,fut,uncommon
Stronghold Rats,Future Sight,1,FALSE,4.08,Uncommon,79,6006922b-20f8-4f38-9522-9851541a6de5,79,fut,uncommon
Witch's Mist,Future Sight,1,FALSE,0.25,Uncommon,92,651c7735-088d-495b-a58f-69abf4cac197,92,fut,uncommon
Yixlid Jailer,Future Sight,1,FALSE,0.46,Uncommon,93,ff6ba6a5-942d-44ff-87a9-3febf0b7e39b,93,fut,uncommon
Zoetic Cavern,Future Sight,1,FALSE,0.42,Uncommon,180,c1db30e1-31df-44b9-930a-02428bd5ce47,180,fut,uncommon
