Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Act of Treason,Gatecrash,1,FALSE,0.15,Common,85,a04c8c6f-14e9-427c-918e-208ccd39ec4a,85,gtc,common
Adaptive Snapjaw,Gatecrash,1,FALSE,0.15,Common,113,0d3c0c43-2d6d-49b8-a112-07611a23ae69,113,gtc,common
Aerial Maneuver,Gatecrash,1,FALSE,0.15,Common,1,c63e9c49-3fa4-41ad-9eed-19801df103c6,1,gtc,common
Ætherize,Gatecrash,1,FALSE,0.52,Uncommon,29,33303859-c6e0-4ebd-bb5f-44be7f5d7459,29,gtc,uncommon
Agoraphobia,Gatecrash,1,FALSE,0.20,Uncommon,30,e1a3efab-ee0a-4770-a323-e4bac38e4287,30,gtc,uncommon
Alms Beast,Gatecrash,1,FALSE,0.26,Rare,141,ce441759-cd4c-4bcc-925e-08e8b60853c0,141,gtc,rare
Angelic Edict,Gatecrash,1,FALSE,0.18,Common,2,e24b62d3-c200-4330-a255-92d77f01ba44,2,gtc,common
Armored Transport,Gatecrash,1,FALSE,0.15,Common,226,f8cf8f6c-217e-4d51-aa63-859c2d38d438,226,gtc,common
Arrows of Justice,Gatecrash,1,FALSE,0.20,Uncommon,211,c64a15f4-6e2f-4479-95da-8805ce2091fa,211,gtc,uncommon
Assault Griffin,Gatecrash,1,FALSE,0.15,Common,4,704286a5-e3a8-4517-85e5-6447c5c2530f,4,gtc,common
Assemble the Legion,Gatecrash,1,FALSE,0.50,Rare,142,43675ed7-ece1-4414-965e-9ebadcbf3dfb,142,gtc,rare
"Aurelia, the Warleader",Gatecrash,1,FALSE,9.43,Mythic Rare,143,4ec18e35-05e4-4bfc-b32b-c3e71c95a71d,143,gtc,mythic
Aurelia's Fury,Gatecrash,1,FALSE,1.56,Mythic Rare,144,1a3465b6-ee7f-4553-bbf1-85fae9734b67,144,gtc,mythic
Balustrade Spy,Gatecrash,1,FALSE,0.20,Common,57,df8a3f05-864d-401d-a2f1-5f58358fe089,57,gtc,common
Bane Alley Broker,Gatecrash,1,FALSE,0.21,Uncommon,145,7996df7f-70f5-412c-9573-9512e4e131ac,145,gtc,uncommon
Basilica Guards,Gatecrash,1,FALSE,0.17,Common,5,2be39fed-4b39-4027-9c80-f2186f7dd941,5,gtc,common
Basilica Screecher,Gatecrash,1,FALSE,0.25,Common,58,d233c6bc-c4dd-482d-b0f4-87359acab7cb,58,gtc,common
Beckon Apparition,Gatecrash,1,FALSE,0.19,Common,212,8b2ef9c5-ca6f-4243-bd38-2b325257831c,212,gtc,common
Bioshift,Gatecrash,1,FALSE,0.20,Common,214,6e18f7a9-2af6-467a-8f62-5f7da83a3c92,214,gtc,common
Biovisionary,Gatecrash,1,FALSE,0.64,Rare,146,2000b4e8-7887-454e-9d52-211516613dd0,146,gtc,rare
Blind Obedience,Gatecrash,1,FALSE,2.45,Rare,6,07c3e78d-d917-4552-842f-feff99c059e0,6,gtc,rare
Bomber Corps,Gatecrash,1,FALSE,0.15,Common,86,9b1675f2-e950-4f3c-9dd3-29ead615ff23,86,gtc,common
Boros Charm,Gatecrash,1,FALSE,3.78,Uncommon,148,d4ddf9cc-40a7-4b4f-bb51-b08171453c9a,148,gtc,uncommon
Boros Elite,Gatecrash,1,FALSE,0.20,Uncommon,7,a03974e6-aced-4664-8c5c-3190bb1eb233,7,gtc,uncommon
Boros Guildgate,Gatecrash,1,FALSE,0.20,Common,239,a0b447a8-524b-4bda-b975-7e194fd741fb,239,gtc,common
Boros Keyrune,Gatecrash,1,FALSE,0.25,Uncommon,227,c4b65847-fee2-4e00-b598-7363059ec3ff,227,gtc,uncommon
Boros Reckoner,Gatecrash,1,FALSE,0.50,Rare,215,82a18b07-38b8-4854-9735-3cfe83b11bf1,215,gtc,rare
Burning-Tree Emissary,Gatecrash,1,FALSE,0.30,Uncommon,216,899d5f35-3613-4c69-9176-13baf442fb50,216,gtc,uncommon
Burst of Strength,Gatecrash,1,FALSE,0.20,Common,115,d1cbd617-9f2e-4882-b8f0-dfc2fced2281,115,gtc,common
Call of the Nightwing,Gatecrash,1,FALSE,0.24,Uncommon,149,ef30a570-b988-42e8-8910-41fe39ffa260,149,gtc,uncommon
Cartel Aristocrat,Gatecrash,1,FALSE,0.24,Uncommon,150,25bcfbc0-1401-4e5e-8145-c8936c4ff725,150,gtc,uncommon
Cinder Elemental,Gatecrash,1,FALSE,0.20,Uncommon,87,8bbf10ce-69e0-4984-91a3-f65df919830d,87,gtc,uncommon
Clan Defiance,Gatecrash,1,FALSE,0.30,Rare,151,efa05298-9c94-4179-b75a-49ee2ca92920,151,gtc,rare
Clinging Anemones,Gatecrash,1,FALSE,0.18,Common,31,4e183069-096d-4977-8154-e7b60f17a787,31,gtc,common
Cloudfin Raptor,Gatecrash,1,FALSE,0.20,Common,32,e2931f27-43f9-4e52-aab3-967c26739e43,32,gtc,common
Coerced Confession,Gatecrash,1,FALSE,0.20,Uncommon,217,d76102f1-b05f-472b-81cf-eae424c55638,217,gtc,uncommon
Consuming Aberration,Gatecrash,1,FALSE,0.71,Rare,152,6354de66-f7f8-4e33-98d0-52624d3d7828,152,gtc,rare
Contaminated Ground,Gatecrash,1,FALSE,0.20,Common,59,c2384356-0a62-499a-8b28-085974331368,59,gtc,common
Corpse Blockade,Gatecrash,1,FALSE,0.18,Common,60,84234e51-e5d6-43d9-89d0-f0398fc6b7fd,60,gtc,common
Court Street Denizen,Gatecrash,1,FALSE,0.20,Common,8,ca6a5cb3-b6e5-4879-83b5-4ad590a5467a,8,gtc,common
Crackling Perimeter,Gatecrash,1,FALSE,0.25,Uncommon,88,3323c86c-73bd-4e23-9f80-54bf5c1dd0bc,88,gtc,uncommon
Crocanura,Gatecrash,1,FALSE,0.18,Common,116,b459a988-97b0-4370-b89a-2565f8721b60,116,gtc,common
Crowned Ceratok,Gatecrash,1,FALSE,0.21,Uncommon,117,a7eacc64-f418-4df0-bd8a-6b0036d0d2a1,117,gtc,uncommon
Crypt Ghast,Gatecrash,1,FALSE,8.24,Rare,61,3795a4e7-646f-4bb7-b154-2610eb740e8d,61,gtc,rare
Daring Skyjek,Gatecrash,1,FALSE,0.15,Common,9,6c28412d-9add-4911-8487-c84559006fb0,9,gtc,common
Deathcult Rogue,Gatecrash,1,FALSE,0.16,Common,218,a4c186d2-e631-4811-83ea-fdb54e730a5d,218,gtc,common
Deathpact Angel,Gatecrash,1,FALSE,0.79,Mythic Rare,153,81cfc3c5-6d69-443e-a506-76b94178979b,153,gtc,mythic
Death's Approach,Gatecrash,1,FALSE,0.16,Common,62,b0f69c6f-522d-42c8-be7c-ea6d7ffb6a90,62,gtc,common
Debtor's Pulpit,Gatecrash,1,FALSE,0.20,Uncommon,10,fafb0372-6860-4b0b-b92e-873735489006,10,gtc,uncommon
Devour Flesh,Gatecrash,1,FALSE,0.20,Common,63,88c42ebd-114a-430d-b3a4-ff2fb3093bf5,63,gtc,common
Dimir Charm,Gatecrash,1,FALSE,0.30,Uncommon,154,f3f4cfa7-8ee4-4a85-9e6a-65a7541f62c1,154,gtc,uncommon
Dimir Guildgate,Gatecrash,1,FALSE,0.20,Common,241,4951bf75-1a88-4c85-b4e9-063d84f1dabf,241,gtc,common
Disciple of the Old Ways,Gatecrash,1,FALSE,0.16,Common,118,3c62b3ee-db2b-45c3-87d5-5d917ea4baeb,118,gtc,common
Drakewing Krasis,Gatecrash,1,FALSE,0.15,Common,157,016d1d17-ba5c-4168-9a3d-232bdcc98c80,157,gtc,common
Duskmantle Guildmage,Gatecrash,1,FALSE,0.70,Uncommon,158,9a1509ff-387e-4ccd-bda0-86e8738a98fb,158,gtc,uncommon
Duskmantle Seer,Gatecrash,1,FALSE,0.47,Mythic Rare,159,63711861-87e0-4a63-8b7b-f834aa5f3f18,159,gtc,mythic
Dutiful Thrull,Gatecrash,1,FALSE,0.15,Common,11,8d586143-fac0-463f-96ec-c6b9fd582194,11,gtc,common
