Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Agent of Masks,Guildpact,1,FALSE,0.25,Uncommon,100,7e9b0ab4-5c6b-494d-926d-daa38a3ac640,100,gpt,uncommon
Beastmaster's Magemark,Guildpact,1,FALSE,0.20,Common,80,7b5eea61-373a-4bca-a793-d6be7f6214e2,80,gpt,common
Belfry Spirit,Guildpact,1,FALSE,0.25,Uncommon,2,556e4e71-b149-49c8-8a22-83660bef57bb,2,gpt,uncommon
Blind Hunter,Guildpact,1,FALSE,0.19,Common,102,be1c8995-be36-43f6-9bd7-7b8712894331,102,gpt,common
Bloodscale Prowler,Guildpact,1,FALSE,0.20,Common,64,8197cc43-c787-4372-81dc-759a9fe24708,64,gpt,common
Burning-Tree Bloodscale,Guildpact,1,FALSE,0.19,Common,104,c6492648-8115-41ff-a184-08efebae28b1,104,gpt,common
Castigate,Guildpact,1,FALSE,0.25,Common,106,112c47e4-5ff8-4ea0-ac14-956e4b94119a,106,gpt,common
Conjurer's Ban,Guildpact,1,FALSE,0.25,Uncommon,108,39849576-b58f-45f0-ad33-a9bf2135d9b7,108,gpt,uncommon
Crash Landing,Guildpact,1,FALSE,0.25,Uncommon,82,f8683546-85b7-4658-91be-91ef65fb3fc3,82,gpt,uncommon
Cremate,Guildpact,1,FALSE,0.24,Common,45,39a9ce8f-df8a-44bc-8d34-9f42135a3a23,45,gpt,common
Cry of Contrition,Guildpact,1,FALSE,0.24,Common,46,62016f24-3f40-406b-8e29-30a6545d0fc1,46,gpt,common
Cryptwailing,Guildpact,1,FALSE,0.25,Uncommon,47,13337c99-7d9e-4464-905b-87e8deb072ac,47,gpt,uncommon
Crystal Seer,Guildpact,1,FALSE,0.20,Common,23,549ed5bd-da29-4cd4-893e-9e53e33a8557,23,gpt,common
Daggerclaw Imp,Guildpact,1,FALSE,0.24,Uncommon,48,2d285981-f342-4679-a199-cf5d003407e8,48,gpt,uncommon
Djinn Illuminatus,Guildpact,1,FALSE,0.47,Rare,142,eafc3bb4-657c-46fa-9ad5-c924fdaefc83,142,gpt,rare
Douse in Gloom,Guildpact,1,FALSE,0.18,Common,49,50a4fe4d-460d-4143-9a8e-14e16b211722,49,gpt,common
Drowned Rusalka,Guildpact,1,FALSE,0.35,Uncommon,24,68864836-799e-467d-97cc-38c89f71afcf,24,gpt,uncommon
