Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Affectionate Indrik,Guilds of Ravnica,1,FALSE,0.16,Uncommon,121,b4c8ddc1-d95c-499f-b1d1-f608f8f07b02,121,grn,uncommon
Arboretum Elemental,Guilds of Ravnica,1,FALSE,0.19,Uncommon,122,6f4400bf-134b-4011-985d-eed4e5ba1de8,122,grn,uncommon
Arclight Phoenix,Guilds of Ravnica,1,FALSE,1.49,Mythic Rare,91,787de9ce-02c5-4a17-a88b-d38e83dbeb0b,91,grn,mythic
Artful Takedown,Guilds of Ravnica,1,FALSE,0.15,Common,151,4c9e8f24-af62-4d13-bfed-a8b3294b64c3,151,grn,common
Barging Sergeant,Guilds of Ravnica,1,FALSE,0.15,Common,92,52a54ebc-008a-4180-a023-2e1d5318780c,92,grn,common
Barrier of Bones,Guilds of Ravnica,1,FALSE,0.15,Common,61,28129aaf-aaff-47f4-8dd2-8c576c55052c,61,grn,common
Bartizan Bats,Guilds of Ravnica,1,FALSE,0.13,Common,62,210da4ad-d8c5-436b-b1a4-5233e8074a1b,62,grn,common
Beacon Bolt,Guilds of Ravnica,1,FALSE,0.25,Uncommon,154,39c9e4b5-364b-4c0b-bb47-266563a6abf2,154,grn,uncommon
Blade Instructor,Guilds of Ravnica,1,FALSE,0.15,Common,1,9b1c7f07-8d39-425b-8ae9-b3ab317cc0fe,1,grn,common
Blood Operative,Guilds of Ravnica,1,FALSE,0.29,Rare,63,000ac9e5-3c95-4e87-9424-109e2eea6b45,63,grn,rare
Boros Challenger,Guilds of Ravnica,1,FALSE,0.15,Uncommon,156,545f3a30-7984-4046-8a14-51bc9cbc3fe0,156,grn,uncommon
Boros Guildgate (a),Guilds of Ravnica,1,FALSE,0.15,Common,243,,,,
Boros Guildgate (b),Guilds of Ravnica,1,FALSE,0.15,Common,244,,,,
Boros Locket,Guilds of Ravnica,1,FALSE,0.19,Common,231,5e972d97-0df2-44e4-8ff2-cc8707316dc1,231,grn,common
Bounty of Might,Guilds of Ravnica,1,FALSE,0.25,Rare,124,e9a950d8-e6e2-42d6-83d7-a60c15d2035d,124,grn,rare
