Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abbey Gargoyles,Homelands,1,FALSE,0.25,Uncommon,,71a5d8de-25f1-4070-a7a6-dc3f2339ce30,1,hml,uncommon
Abbey Matron (Version 2),Homelands,1,FALSE,0.20,Common,,,,,
Æther Storm,Homelands,1,FALSE,0.27,Uncommon,,ce479e91-7b21-4312-a3c0-950d9f6dc029,21,hml,uncommon
Aliban's Tower,Homelands,1,FALSE,0.20,Common,,7f711ea8-a73a-42da-8bf7-101ba588f203,61a,hml,common
Aliban's Tower (Version 2),Homelands,1,FALSE,0.16,Common,,,,,
Ambush,Homelands,1,FALSE,0.23,Common,,b7dd8623-b64a-4b47-a69d-ed62d44596fb,62,hml,common
Ambush Party,Homelands,1,FALSE,0.20,Common,,87e24788-cc7c-4f5d-84d8-dcb35e10626f,63a,hml,common
Ambush Party (Version 2),Homelands,1,FALSE,0.16,Common,,,,,
Anaba Bodyguard (Version 2),Homelands,1,FALSE,0.23,Common,,,,,
Anaba Bodyguard,Homelands,1,FALSE,0.20,Common,,882e3c69-dca7-4c0a-8f8c-984250e6a867,66a,hml,common
Anaba Shaman,Homelands,1,FALSE,0.20,Common,,c55d086a-d848-43bc-8c1e-de96d10877e1,67a,hml,common
Anaba Shaman (Version 2),Homelands,1,FALSE,0.19,Common,,,,,
An-Havva Constable,Homelands,1,FALSE,0.44,Rare,,42c5a793-a777-44f9-a977-d16d26d3f852,81,hml,rare
Apocalypse Chime,Homelands,1,FALSE,0.85,Rare,,cef20d8f-6e80-4fca-b6a7-541981f6a112,101,hml,rare
Aysen Abbey,Homelands,1,FALSE,0.30,Uncommon,,2a2e669b-61b2-4729-b636-094796fb1d93,112,hml,uncommon
Aysen Bureaucrats (Version 2),Homelands,1,FALSE,0.20,Common,,,,,
Aysen Bureaucrats,Homelands,1,FALSE,0.20,Common,,91170faf-3143-4fa8-88d6-eef72e1f5459,3a,hml,common
Aysen Crusader,Homelands,1,FALSE,0.87,Rare,,7908cfdc-5ed6-48a8-a5b9-351864f8b4fd,4,hml,rare
Aysen Highway,Homelands,1,FALSE,1.00,Rare,,adfa87eb-9a11-459c-bff8-87bb09b61b87,5,hml,rare
Baki's Curse,Homelands,1,FALSE,0.69,Rare,,e3261b4c-7963-4ca0-875d-77b7c8571b3f,22,hml,rare
Beast Walkers,Homelands,1,FALSE,0.65,Rare,,99b42f6c-5c7e-4ba8-b0fb-ac8564aaf825,6,hml,rare
Carapace (Version 2),Homelands,1,FALSE,0.19,Common,,,,,
Castle Sengir,Homelands,1,FALSE,0.32,Uncommon,,16bfba30-4075-4bd6-9e4b-3a37641d43ce,113,hml,uncommon
Cemetery Gate (Version 2),Homelands,1,FALSE,0.20,Common,,,,,
Cemetery Gate,Homelands,1,FALSE,0.23,Common,,0c6f0614-06dc-4bd2-b8b9-d951ae27db21,44a,hml,common
Chandler,Homelands,1,FALSE,0.29,Common,,4dd3a8e3-9a90-44f4-996c-57242d3c47a5,69,hml,common
Clockwork Gnomes,Homelands,1,FALSE,0.25,Common,,3e0ca2ea-e059-4742-8ce4-22876762048c,102,hml,common
Clockwork Steed,Homelands,1,FALSE,0.25,Common,,9b080587-d062-42ff-abc5-8e04a20faece,103,hml,common
Clockwork Swarm,Homelands,1,FALSE,0.24,Common,,dfd89e5c-79dc-4a57-b5ea-16491443fea1,104,hml,common
Coral Reef,Homelands,1,FALSE,0.23,Common,,42fe2280-a996-4072-b5bf-f4fd56607a51,24,hml,common
Dark Maze,Homelands,1,FALSE,0.20,Common,,c20a8ed9-db1e-4ce8-bfb3-92604a577df7,25a,hml,common
Dry Spell (Version 2),Homelands,1,FALSE,0.18,Common,,,,,
Dry Spell,Homelands,1,FALSE,0.21,Common,,547c10ea-8ace-4496-8b99-61863c0cec1b,46a,hml,common
Dwarven Sea Clan,Homelands,1,FALSE,0.87,Rare,,4cb722d9-1998-4912-a6f2-4ffa8d21311a,71,hml,rare
Dwarven Trader (Version 2),Homelands,1,FALSE,0.20,Common,,,,,
Dwarven Trader,Homelands,1,FALSE,0.30,Common,,4db9aa47-f42b-41e9-948c-8b012c3809fb,72a,hml,common
Ebony Rhino,Homelands,1,FALSE,0.24,Common,,81db749e-a1df-4615-9449-94731fa23a9f,106,hml,common
Eron the Relentless,Homelands,1,FALSE,0.25,Uncommon,,b6329bd9-1e03-43e6-b50b-8abe1356ffcc,73,hml,uncommon
Feast of the Unicorn (Version 2),Homelands,1,FALSE,0.20,Common,,,,,
Feast of the Unicorn,Homelands,1,FALSE,0.23,Common,,096e41d6-79c3-463f-ae63-872c3d8729a7,47a,hml,common
Feroz's Ban,Homelands,1,FALSE,0.49,Rare,,01ff4430-c8f7-408a-aad2-a098d747ea62,107,hml,rare
Folk of An-Havva,Homelands,1,FALSE,0.19,Common,,9f4a595e-51f6-4e84-aa3a-5d9c18dc8b3f,87a,hml,common
Funeral March,Homelands,1,FALSE,0.24,Common,,054c5678-63d1-45d9-bd51-43100fd10afd,48,hml,common
Ghost Hounds,Homelands,1,FALSE,0.25,Uncommon,,d1298b43-0b10-4b7c-9d33-786d4d7bd80e,49,hml,uncommon
Greater Werewolf,Homelands,1,FALSE,0.25,Common,,8c29c45f-db1a-43e3-ae42-1a72dabe7880,51,hml,common
Hungry Mist (Version 2),Homelands,1,FALSE,0.19,Common,,,,,
Hungry Mist,Homelands,1,FALSE,0.20,Common,,085973eb-56cd-4bb5-aefd-bdf36f2d2a3e,88a,hml,common
