Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abandoned Sarcophagus,Hour of Devastation,1,FALSE,0.30,Rare,158,c191fb87-f111-4ac2-a52a-3af103a9314e,158,hou,rare
Abrade,Hour of Devastation,1,FALSE,0.25,Uncommon,83,84319dfb-eaf7-4b98-8c4f-30f5e779591b,83,hou,uncommon
Accursed Horde,Hour of Devastation,1,TRUE,0.32,Uncommon,56,691b79ef-87da-4b52-8311-2f6f46c6368d,56,hou,uncommon
Act of Heroism,Hour of Devastation,1,FALSE,0.18,Common,1,bebc06f6-305d-4a5a-9be7-fbc6d8cd9c72,1,hou,common
Adorned Pouncer,Hour of Devastation,1,TRUE,1.39,Rare,2,865e267d-450c-4eeb-b61d-bd0ec5d8534a,2,hou,rare
Aerial Guide,Hour of Devastation,1,FALSE,0.15,Common,29,b744c138-9b9e-47f6-9d56-feb6a78ce377,29,hou,common
Ammit Eternal,Hour of Devastation,1,FALSE,0.40,Rare,57,1b04934f-87d1-4768-b7b5-5f7249a09771,57,hou,rare
Angel of Condemnation,Hour of Devastation,1,FALSE,0.53,Rare,3,90dad070-e41d-419b-ae27-ace82b9ab2c5,3,hou,rare
Angel of the God-Pharaoh,Hour of Devastation,1,FALSE,0.20,Uncommon,4,ad202785-a91f-4dc8-bcc0-eb1bd49f162e,4,hou,uncommon
Appeal // Authority,Hour of Devastation,1,FALSE,0.20,Uncommon,152a/152b,2c25b8ef-6331-49df-9457-b8b4e44da2c9,152,hou,uncommon
Avid Reclaimer,Hour of Devastation,1,FALSE,0.20,Uncommon,201,0468e488-94ce-4ae3-abe4-7782673a7e62,201,hou,uncommon
Banewhip Punisher,Hour of Devastation,1,FALSE,0.25,Uncommon,59,005a19e2-c334-4b87-bc8b-55f62fc9abd9,59,hou,uncommon
Bitterbow Sharpshooters,Hour of Devastation,1,FALSE,0.15,Common,112,8ecfcf99-be2b-4e5f-adef-1977ee5c6a0f,112,hou,common
Blur of Blades,Hour of Devastation,1,FALSE,0.15,Common,84,b53f5b9b-d24b-4e9a-bc90-7ed198cd1132,84,hou,common
Bontu's Last Reckoning,Hour of Devastation,1,FALSE,0.69,Rare,60,1b4d0102-c0d6-4d50-941a-dd1c3575a3a8,60,hou,rare
Burning-Fist Minotaur,Hour of Devastation,1,FALSE,0.20,Uncommon,85,52f191fb-eaf6-432f-a668-37ad48ffabaf,85,hou,uncommon
Champion of Wits,Hour of Devastation,1,FALSE,0.35,Rare,31,d765221d-9718-47eb-aa49-9c0719337139,31,hou,rare
Chandra's Defeat,Hour of Devastation,1,FALSE,0.24,Uncommon,86,f38c6613-b1f7-4b38-b956-7860d041e593,86,hou,uncommon
Chaos Maw,Hour of Devastation,1,FALSE,0.29,Rare,87,8094908b-1d3a-42df-bc27-8456fbb98e65,87,hou,rare
Claim // Fame,Hour of Devastation,1,TRUE,1.05,Uncommon,150a/150b,15b0f214-8668-4921-88ba-7ccf38c9f770,150,hou,uncommon
Consign // Oblivion,Hour of Devastation,1,FALSE,0.34,Uncommon,149a/149b,1c1ead90-10d8-4217-80e4-6f40320c5569,149,hou,uncommon
Countervailing Winds,Hour of Devastation,1,FALSE,0.20,Common,32,de1c0ef3-b32c-403a-93cb-29cf05795711,32,hou,common
Crash Through,Hour of Devastation,1,FALSE,0.20,Common,88,4bdaba76-b98d-4699-9a5f-e59285b09552,88,hou,common
Crook of Condemnation,Hour of Devastation,1,FALSE,0.20,Uncommon,159,78f6d7c2-ee4f-4cd0-a9a2-d8469ff89291,159,hou,uncommon
Cunning Survivor,Hour of Devastation,1,FALSE,0.15,Common,33,2f9093e7-c129-4efa-9f25-a2366f92e15a,33,hou,common
Dauntless Aven,Hour of Devastation,1,FALSE,0.15,Common,7,01e6320c-6f8b-4582-ad11-9b868bff08a1,7,hou,common
Desert of the Fervent,Hour of Devastation,1,FALSE,0.20,Common,170,f547d664-25ce-4a24-b3ae-7bf3cbdf4703,170,hou,common
Desert of the Glorified,Hour of Devastation,1,FALSE,0.20,Common,171,04a19aea-209d-4354-8c59-d08244185eb8,171,hou,common
Desert of the Indomitable,Hour of Devastation,1,FALSE,0.24,Common,172,7d42aa0c-0408-4b0d-bec5-9861dbcf9ee1,172,hou,common
Devotee of Strength,Hour of Devastation,1,FALSE,0.20,Uncommon,113,977698ab-3b64-41f2-a214-ac95e04c9956,113,hou,uncommon
"Djeru, With Eyes Open",Hour of Devastation,1,FALSE,0.50,Rare,10,2234df89-0835-4a17-b5d8-2334ee8f692d,10,hou,rare
Djeru's Renunciation,Hour of Devastation,1,FALSE,0.15,Common,11,03f005de-7971-4f22-ad1f-5d0667f68113,11,hou,common
Doomfall,Hour of Devastation,1,FALSE,0.20,Uncommon,62,17db6ef5-1aa9-4b8c-b0b7-d6668a2347a1,62,hou,uncommon
Dreamstealer,Hour of Devastation,1,FALSE,0.33,Rare,63,5c4fcde3-03c9-43e6-a34b-29f6ce44e7c4,63,hou,rare
Driven // Despair,Hour of Devastation,1,FALSE,0.49,Rare,157a/157b,7713ba59-dd4c-4b49-93a7-292728df86b8,157,hou,rare
Dune Diviner,Hour of Devastation,1,FALSE,0.20,Uncommon,114,01818188-e18e-4dc0-b7ef-34cedef64f7e,114,hou,uncommon
Dunes of the Dead,Hour of Devastation,1,FALSE,0.25,Uncommon,175,326c7483-2c45-4804-85c4-d40ecdba4fc7,175,hou,uncommon
Dutiful Servants,Hour of Devastation,1,FALSE,0.15,Common,12,7684db4c-6eff-4da1-a410-48d707fb5bf1,12,hou,common
Eternal of Harsh Truths,Hour of Devastation,1,FALSE,0.20,Uncommon,34,0389daf7-0818-488f-8e6a-94818a6c94a6,34,hou,uncommon
Farm // Market,Hour of Devastation,1,FALSE,0.20,Uncommon,148a/148b,d998db65-8785-4ee9-940e-fa9ab62e180f,148,hou,uncommon
Fervent Paincaster,Hour of Devastation,1,TRUE,0.29,Uncommon,91,e3c78708-254c-446f-b6eb-8839faf08790,91,hou,uncommon
Firebrand Archer,Hour of Devastation,1,FALSE,0.63,Common,92,6ddc6b73-298b-4afa-990a-63706e77dd9f,92,hou,common
Forest (198),Hour of Devastation,1,FALSE,0.15,Basic Land,198,,,,
Forest (199),Hour of Devastation,1,FALSE,0.15,Basic Land,199,,,,
Frilled Sandwalla,Hour of Devastation,1,FALSE,0.16,Common,116,07b1be52-5e54-4840-bb53-0b2512785e0b,116,hou,common
Frontline Devastator,Hour of Devastation,1,FALSE,0.15,Common,93,8c869cc4-eed9-4b24-b60f-2d7f85b885dc,93,hou,common
Granitic Titan,Hour of Devastation,1,FALSE,0.18,Common,95,607bdb54-a956-4a9c-89cf-af6f1163b856,95,hou,common
Graven Abomination,Hour of Devastation,1,FALSE,0.15,Common,162,89880f30-aa38-4231-8d16-25c644bde6bf,162,hou,common
Grisly Survivor,Hour of Devastation,1,FALSE,0.15,Common,64,035ee44d-63ef-45b7-b36b-38ac341a2ca7,64,hou,common
Hashep Oasis,Hour of Devastation,1,FALSE,0.25,Uncommon,177,3bba75d2-3f1b-4828-be11-2da695f7bde7,177,hou,uncommon
Hazoret's Undying Fury,Hour of Devastation,1,FALSE,0.26,Rare,96,7f578576-19ca-4e67-94da-2c0767d9a2bb,96,hou,rare
Hope Tender,Hour of Devastation,1,FALSE,0.25,Uncommon,119,9ffb676d-54b7-4d30-9c84-ff9b48030705,119,hou,uncommon
Hostile Desert,Hour of Devastation,1,FALSE,0.35,Rare,178,250c35cb-77e7-4600-a915-ccf327fe3385,178,hou,rare
Hostile Desert,Hour of Devastation,1,TRUE,0.62,Rare,178,250c35cb-77e7-4600-a915-ccf327fe3385,178,hou,rare
Hour of Eternity,Hour of Devastation,1,FALSE,0.30,Rare,36,01040ed3-4f64-4e47-8f80-3d3a339004f7,36,hou,rare
Hour of Glory,Hour of Devastation,1,FALSE,0.25,Rare,65,f35e66cb-af50-411a-b6f2-16fb7072eff5,65,hou,rare
Imaginary Threats,Hour of Devastation,1,FALSE,0.20,Uncommon,37,50c3a6a5-9a50-4a38-9f5f-b8caa320909d,37,hou,uncommon
Imminent Doom,Hour of Devastation,1,FALSE,0.26,Rare,98,a51f8207-485e-4a4e-aa62-8e0e69645a0e,98,hou,rare
Ipnu Rivulet,Hour of Devastation,1,FALSE,0.33,Uncommon,180,203011ef-3737-4fd1-bd23-0e531b5a7c32,180,hou,uncommon
Island (193),Hour of Devastation,1,FALSE,0.15,Basic Land,193,,,,
Jace's Defeat,Hour of Devastation,1,FALSE,0.20,Uncommon,38,c6b103c1-9b25-4bfe-9081-570977e9fdad,38,hou,uncommon
Kefnet's Last Word,Hour of Devastation,1,FALSE,0.30,Rare,39,4d7e5103-ee7d-40d7-bcd4-c5d1a48e9821,39,hou,rare
Khenra Scrapper,Hour of Devastation,1,TRUE,0.24,Common,100,e5d4caac-95e8-47bb-90c4-3bf877afdc57,100,hou,common
