Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abyssal Specter,Ice Age,1,FALSE,0.32,Uncommon,,fc26f19c-bcf7-4bd8-af42-4757dbe47fb1,113,ice,uncommon
Adarkar Sentinel,Ice Age,1,FALSE,0.25,Uncommon,,ff62754b-f4f0-4731-8dd7-327a820f60a8,306,ice,uncommon
Adarkar Unicorn,Ice Age,1,FALSE,0.20,Common,,0ba7526f-dba8-4483-b925-946164fc0ae9,1,ice,common
Aegis of the Meek,Ice Age,1,FALSE,0.75,Rare,,5d272051-f442-4f6e-8c64-df28b398d2e8,307,ice,rare
Aggression,Ice Age,1,FALSE,0.30,Uncommon,,f3f26060-0c24-496c-b8e2-4dac7ea6166b,169,ice,uncommon
Altar of Bone,Ice Age,1,FALSE,5.44,Rare,,75d5b014-8675-4d91-a539-ac5c31d44b35,281,ice,rare
Amulet of Quoz,Ice Age,1,FALSE,0.94,Rare,,764ec6a8-a878-446c-b7e4-6026c2a3e9a4,308,ice,rare
Anarchy,Ice Age,1,FALSE,0.50,Uncommon,,28d941da-b5cb-4b7e-84f2-ece883f89af3,170,ice,uncommon
Arctic Foxes,Ice Age,1,FALSE,0.22,Common,,98f99c3e-dddc-492f-aab6-1d899346a385,2,ice,common
Arcum's Sleigh,Ice Age,1,FALSE,0.25,Uncommon,,e9780ce2-756c-48e5-9936-45f6a224f61d,309,ice,uncommon
Arcum's Weathervane,Ice Age,1,FALSE,0.25,Uncommon,,9e142435-6930-4596-bc3b-60abde1229df,310,ice,uncommon
Arcum's Whistle,Ice Age,1,FALSE,0.25,Uncommon,,73c07c87-0e44-4a5a-92b7-728350cd02de,311,ice,uncommon
Arenson's Aura,Ice Age,1,FALSE,0.20,Common,,f94f3e87-1b39-49a8-ad0d-f18c854e298a,3,ice,common
Armor of Faith,Ice Age,1,FALSE,0.23,Common,,fccbbc47-99c6-4ba9-95c2-992d5d2a67b2,4,ice,common
Arnjlot's Ascent,Ice Age,1,FALSE,0.20,Common,,2307fb16-8b77-45b5-8a02-51a13214791d,57,ice,common
Ashen Ghoul,Ice Age,1,FALSE,0.33,Uncommon,,6bb83301-5662-4628-b536-6a3ee0296f2e,114,ice,uncommon
Aurochs,Ice Age,1,FALSE,0.20,Common,,7e973a84-7f7d-4524-9f2f-ec9a014d52ee,225,ice,common
Avalanche,Ice Age,1,FALSE,0.25,Uncommon,,d3a925e5-0d0a-42ec-b1c6-9793b8e11625,171,ice,uncommon
Balduvian Barbarians,Ice Age,1,FALSE,0.20,Common,,efeabe8e-8107-4d19-8a43-362aa79cdd92,172,ice,common
Balduvian Bears,Ice Age,1,FALSE,0.32,Common,,ef5297cb-e763-4871-9cd3-0e2dbcc52095,226,ice,common
Balduvian Conjurer,Ice Age,1,FALSE,0.25,Uncommon,,5b616963-fac0-451c-8df4-2cacc9466b17,58,ice,uncommon
Balduvian Shaman,Ice Age,1,FALSE,0.20,Common,,74859723-8ddf-4ee6-a0a7-87192c84e8ad,59,ice,common
Barbarian Guides,Ice Age,1,FALSE,0.20,Common,,fe65a045-dacb-4392-bcb6-843394ef98c9,174,ice,common
Barbed Sextant,Ice Age,1,FALSE,0.24,Common,,edb82654-de12-4dce-8c6b-f28d68f0fbe1,312,ice,common
Baton of Morale,Ice Age,1,FALSE,0.41,Uncommon,,8bc29872-b1a2-4851-9eca-f3e67ae6e14c,313,ice,uncommon
Battle Frenzy,Ice Age,1,FALSE,0.20,Common,,a85ae675-56ca-4a00-83d2-ee035f33d6d1,175,ice,common
Binding Grasp,Ice Age,1,FALSE,0.25,Uncommon,,6b086186-5fbf-4ba7-af0d-ee3ad61d27bb,60,ice,uncommon
Black Scarab,Ice Age,1,FALSE,0.25,Uncommon,,5bfd4ee1-05f9-45ae-a31d-1225b271dbe6,6,ice,uncommon
Blessed Wine,Ice Age,1,FALSE,0.20,Common,,6b9a92f9-9bbc-4887-9fbc-0f7212fd5e66,7,ice,common
Blue Scarab,Ice Age,1,FALSE,0.25,Uncommon,,b423bb5a-eaac-4c1d-981a-1c635001fc5a,9,ice,uncommon
Bone Shaman,Ice Age,1,FALSE,0.20,Common,,0a5e3d54-4dc4-482b-8ecc-bb819ba03d2c,176,ice,common
Brainstorm,Ice Age,1,FALSE,2.00,Common,,8d42d7aa-7f53-4cfc-842a-086aab2448d1,61,ice,common
Breath of Dreams,Ice Age,1,FALSE,0.25,Uncommon,,e40c9657-fab4-489d-8eb0-960ba2605add,62,ice,uncommon
Brine Shaman,Ice Age,1,FALSE,0.23,Common,,f445962c-44a1-4f3f-88d4-17048f8ca9dc,115,ice,common
Brown Ouphe,Ice Age,1,FALSE,0.20,Common,,e26ce35b-ba65-451d-a5ed-e1db6f1d0c6f,228,ice,common
Burnt Offering,Ice Age,1,FALSE,0.65,Common,,1dae52a2-3af7-4b97-9d2e-2448b7c413fb,116,ice,common
