Name,Set,Qty,Foil,Avg Price,Rarity,Number
Adamant Will,Innistrad: Crimson Vow,1,TRUE,0.11,Common,1
Angelic Quartermaster,Innistrad: Crimson Vow,1,TRUE,0.17,Uncommon,2
Arm the Cathars,Innistrad: Crimson Vow,1,FALSE,0.15,Uncommon,3
Bride's Gown,Innistrad: Crimson Vow,1,TRUE,0.11,Uncommon,4
By Invitation Only,Innistrad: Crimson Vow,2,TRUE,0.26,Rare,5
Cemetery Protector,Innistrad: Crimson Vow,1,TRUE,0.69,Mythic Rare,6
Circle of Confinement,Innistrad: Crimson Vow,1,TRUE,0.05,Uncommon,7
Dawnhart Geist,Innistrad: Crimson Vow,1,FALSE,0.15,Uncommon,8
Distracting Geist // Clever Distraction,Innistrad: Crimson Vow,1,TRUE,0.13,Uncommon,9
Drogskol Infantry // Drogskol Armaments,Innistrad: Crimson Vow,1,TRUE,0.05,Common,10
Estwald Shieldbasher,Innistrad: Crimson Vow,1,TRUE,0.11,Common,11
Faithbound Judge // Sinner's Judgment,Innistrad: Crimson Vow,1,FALSE,0.85,Mythic Rare,12
Fierce Retribution,Innistrad: Crimson Vow,1,FALSE,0.14,Common,13
Fleeting Spirit,Innistrad: Crimson Vow,1,FALSE,0.15,Uncommon,14
Gryff Rider,Innistrad: Crimson Vow,1,FALSE,0.12,Common,15
Gryffwing Cavalry,Innistrad: Crimson Vow,1,FALSE,0.15,Uncommon,16
Heron of Hope,Innistrad: Crimson Vow,1,TRUE,0.05,Common,18
Heron-Blessed Geist,Innistrad: Crimson Vow,1,TRUE,0.02,Common,19
Hopeful Initiate,Innistrad: Crimson Vow,1,FALSE,0.91,Rare,20
"Katilda, Dawnhart Martyr // Katilda's Rising Dawn",Innistrad: Crimson Vow,1,TRUE,1.34,Rare,21
Kindly Ancestor // Ancestor's Embrace,Innistrad: Crimson Vow,1,FALSE,0.14,Common,22
Lantern Flare,Innistrad: Crimson Vow,1,TRUE,0.17,Rare,23
Militia Rallier,Innistrad: Crimson Vow,1,FALSE,0.12,Common,24
Nebelgast Beguiler,Innistrad: Crimson Vow,1,TRUE,0.02,Common,25
Nurturing Presence,Innistrad: Crimson Vow,1,TRUE,0.09,Common,26
Ollenbock Escort,Innistrad: Crimson Vow,1,FALSE,0.18,Uncommon,27
Panicked Bystander // Cackling Culprit,Innistrad: Crimson Vow,1,FALSE,0.18,Uncommon,28
Parish-Blade Trainee,Innistrad: Crimson Vow,1,TRUE,0.03,Common,29
Piercing Light,Innistrad: Crimson Vow,1,TRUE,0.07,Common,30
Radiant Grace // Radiant Restraints,Innistrad: Crimson Vow,1,TRUE,0.20,Uncommon,31
Sanctify,Innistrad: Crimson Vow,1,TRUE,0.13,Common,33
Sigarda's Imprisonment,Innistrad: Crimson Vow,1,FALSE,0.11,Common,35
