Name,Set,Qty,Foil,Avg Price,Rarity,Number
"Adeline, Resplendent Cathar",Innistrad: Midnight Hunt,1,TRUE,6.60,Rare,1
Ambitious Farmhand // Seasoned Cathar,Innistrad: Midnight Hunt,1,TRUE,0.26,Uncommon,2
Beloved Beggar // Generous Soul,Innistrad: Midnight Hunt,1,TRUE,0.05,Uncommon,3
Bereaved Survivor // Dauntless Avenger,Innistrad: Midnight Hunt,1,TRUE,0.17,Uncommon,4
Blessed Defiance,Innistrad: Midnight Hunt,1,TRUE,0.07,Common,5
Borrowed Time,Innistrad: Midnight Hunt,1,TRUE,0.23,Uncommon,6
Brutal Cathar // Moonrage Brute,Innistrad: Midnight Hunt,1,FALSE,0.55,Rare,7
Candlegrove Witch,Innistrad: Midnight Hunt,1,TRUE,0.04,Common,8
Candletrap,Innistrad: Midnight Hunt,1,TRUE,0.09,Common,9
Cathar Commando,Innistrad: Midnight Hunt,1,TRUE,0.46,Common,10
Cathar's Call,Innistrad: Midnight Hunt,1,TRUE,0.19,Uncommon,11
Chaplain of Alms // Chapel Shieldgeist,Innistrad: Midnight Hunt,1,TRUE,0.12,Uncommon,13
Curse of Silence,Innistrad: Midnight Hunt,1,FALSE,0.30,Rare,15
Duelcraft Trainer,Innistrad: Midnight Hunt,1,TRUE,0.04,Uncommon,16
Enduring Angel // Angelic Enforcer,Innistrad: Midnight Hunt,1,TRUE,1.46,Mythic Rare,17
Fateful Absence,Innistrad: Midnight Hunt,1,FALSE,0.56,Rare,18
Flare of Faith,Innistrad: Midnight Hunt,1,TRUE,0.07,Common,19
Gavony Dawnguard,Innistrad: Midnight Hunt,1,TRUE,0.04,Uncommon,20
Gavony Silversmith,Innistrad: Midnight Hunt,1,TRUE,0.03,Common,21
Gavony Trapper,Innistrad: Midnight Hunt,1,TRUE,0.02,Common,22
Hedgewitch's Mask,Innistrad: Midnight Hunt,1,TRUE,0.08,Common,23
Homestead Courage,Innistrad: Midnight Hunt,1,TRUE,0.21,Common,24
Intrepid Adversary,Innistrad: Midnight Hunt,1,FALSE,1.00,Mythic Rare,25
Loyal Gryff,Innistrad: Midnight Hunt,1,TRUE,0.02,Uncommon,26
Lunarch Veteran // Luminous Phantom,Innistrad: Midnight Hunt,1,TRUE,0.41,Common,27
Mourning Patrol // Morning Apparition,Innistrad: Midnight Hunt,1,TRUE,0.01,Common,28
Ritual Guardian,Innistrad: Midnight Hunt,1,TRUE,0.01,Common,30
Ritual of Hope,Innistrad: Midnight Hunt,1,TRUE,0.03,Uncommon,31
Search Party Captain,Innistrad: Midnight Hunt,1,TRUE,0.05,Common,32
Sigarda's Splendor,Innistrad: Midnight Hunt,1,TRUE,0.44,Rare,33
Sigardian Savior,Innistrad: Midnight Hunt,1,TRUE,0.47,Mythic Rare,34
Soul-Guide Gryff,Innistrad: Midnight Hunt,1,TRUE,0.06,Common,35
Sungold Barrage,Innistrad: Midnight Hunt,1,TRUE,0.02,Common,36
Sungold Sentinel,Innistrad: Midnight Hunt,1,FALSE,0.25,Rare,37
Sunset Revelry,Innistrad: Midnight Hunt,1,TRUE,0.26,Uncommon,38
Thraben Exorcism,Innistrad: Midnight Hunt,1,TRUE,0.03,Common,39
Unruly Mob,Innistrad: Midnight Hunt,1,TRUE,0.03,Common,40
Vanquish the Horde,Innistrad: Midnight Hunt,1,FALSE,3.00,Rare,41
Component Collector,Innistrad: Midnight Hunt,1,TRUE,0.04,Common,43
Consider,Innistrad: Midnight Hunt,1,TRUE,1.15,Common,44
Curse of Surveillance,Innistrad: Midnight Hunt,1,FALSE,0.35,Rare,46
Devious Cover-Up,Innistrad: Midnight Hunt,1,TRUE,0.06,Common,48
Fading Hope,Innistrad: Midnight Hunt,1,TRUE,0.50,Uncommon,51
Falcon Abomination,Innistrad: Midnight Hunt,1,TRUE,0.06,Common,52
Firmament Sage,Innistrad: Midnight Hunt,1,TRUE,0.10,Uncommon,53
Flip the Switch,Innistrad: Midnight Hunt,1,TRUE,0.13,Common,54
Galedrifter // Waildrifter,Innistrad: Midnight Hunt,1,TRUE,0.02,Common,55
Grafted Identity,Innistrad: Midnight Hunt,1,FALSE,0.25,Rare,57
Larder Zombie,Innistrad: Midnight Hunt,1,TRUE,0.05,Common,58
"Lier, Disciple of the Drowned",Innistrad: Midnight Hunt,1,TRUE,7.27,Mythic Rare,59
Locked in the Cemetery,Innistrad: Midnight Hunt,1,TRUE,0.03,Common,60
Malevolent Hermit // Benevolent Geist,Innistrad: Midnight Hunt,1,TRUE,0.68,Rare,61
Memory Deluge,Innistrad: Midnight Hunt,1,FALSE,0.50,Rare,62
Mysterious Tome // Chilling Chronicle,Innistrad: Midnight Hunt,1,TRUE,0.18,Uncommon,63
Nebelgast Intruder,Innistrad: Midnight Hunt,1,TRUE,0.07,Uncommon,64
Organ Hoarder,Innistrad: Midnight Hunt,1,TRUE,0.06,Common,66
Otherworldly Gaze,Innistrad: Midnight Hunt,1,TRUE,0.39,Common,67
Patrician Geist,Innistrad: Midnight Hunt,1,FALSE,0.35,Rare,69
Phantom Carriage,Innistrad: Midnight Hunt,1,TRUE,0.04,Uncommon,70
Poppet Stitcher // Poppet Factory,Innistrad: Midnight Hunt,1,FALSE,3.47,Mythic Rare,71
Revenge of the Drowned,Innistrad: Midnight Hunt,1,TRUE,0.07,Common,72
Shipwreck Sifters,Innistrad: Midnight Hunt,1,TRUE,0.03,Common,74
Skaab Wrangler,Innistrad: Midnight Hunt,1,TRUE,0.02,Uncommon,75
Sludge Monster,Innistrad: Midnight Hunt,1,TRUE,0.40,Rare,76
Spectral Adversary,Innistrad: Midnight Hunt,1,FALSE,0.65,Mythic Rare,77
