Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abattoir Ghoul,Innistrad,1,FALSE,0.20,Uncommon,85,59cf0906-04fa-4b30-a7a6-3d117931154f,85,isd,uncommon
Abbey Griffin,Innistrad,1,FALSE,0.19,Common,1,bf87803b-e7c6-4122-add4-72e596167b7e,1,isd,common
Altar's Reap,Innistrad,1,FALSE,0.20,Common,86,4dc2eec4-7e68-45d5-8736-6b32a47c671b,86,isd,common
Ambush Viper,Innistrad,1,FALSE,0.20,Common,169,0c082aa8-bf7f-47f2-baf8-43ad253fd7d7,169,isd,common
Armored Skaab,Innistrad,1,FALSE,0.16,Common,43,ce4d00f2-30e6-41d5-b997-c66350fe783c,43,isd,common
Army of the Damned,Innistrad,1,FALSE,1.07,Mythic Rare,87,260a4544-a1eb-4d07-943f-0401ae288e13,87,isd,mythic
Ashmouth Hound,Innistrad,1,FALSE,0.20,Common,128,900ff07e-e5d2-4fe6-ad1a-d0d7e1a272ea,128,isd,common
Avacynian Priest,Innistrad,1,FALSE,0.20,Common,4,08a47828-a79a-4189-9eef-2a5fc5125b61,4,isd,common
Avacyn's Pilgrim,Innistrad,1,FALSE,0.45,Common,170,7eb39e97-53c2-4df0-9fb3-a3d6a24ec41f,170,isd,common
Battleground Geist,Innistrad,1,FALSE,0.20,Uncommon,45,129905ef-5b3b-4860-923c-109a7d7cad80,45,isd,uncommon
Bitterheart Witch,Innistrad,1,FALSE,0.30,Uncommon,88,cf2ff2b4-8f40-42c0-af3c-b55bfa8839be,88,isd,uncommon
Blasphemous Act,Innistrad,1,FALSE,3.22,Rare,130,509ce648-fb76-486d-8b39-183e368b7cb7,130,isd,rare
Bloodcrazed Neonate,Innistrad,1,FALSE,0.19,Common,131,68d2452e-309d-44ae-9360-9d6e22a15e2b,131,isd,common
Bloodgift Demon,Innistrad,1,FALSE,1.63,Rare,89,f271addb-e267-4397-b181-f1eaeabbfe71,89,isd,rare
Brain Weevil,Innistrad,1,FALSE,0.20,Common,91,40e1bd88-939a-4adc-8693-210a7ba9a5a1,91,isd,common
Bramblecrush,Innistrad,1,FALSE,0.20,Uncommon,172,60fa219e-5dba-4d49-9cae-40d254f140e4,172,isd,uncommon
Brimstone Volley,Innistrad,1,FALSE,0.19,Common,132,6960f2da-6b84-4680-8ab2-f0567a5d1b0a,132,isd,common
Burning Vengeance,Innistrad,1,FALSE,0.20,Uncommon,133,fd403810-840b-46ac-ae6e-5df23ce16fec,133,isd,uncommon
Butcher's Cleaver,Innistrad,1,FALSE,0.23,Uncommon,217,e141fe62-515e-4fe4-b032-81f169ec58d6,217,isd,uncommon
Caravan Vigil,Innistrad,1,FALSE,0.25,Common,173,9a8dfb98-a975-41bf-8aac-c0001c9ddaa7,173,isd,common
Cellar Door,Innistrad,1,FALSE,0.20,Uncommon,218,97bdfb00-7773-4af6-895c-c90088a96b07,218,isd,uncommon
Chapel Geist,Innistrad,1,FALSE,0.19,Common,7,790cdf67-80d6-4ade-aecf-f77120b509b0,7,isd,common
Civilized Scholar // Homicidal Brute,Innistrad,1,FALSE,0.20,Uncommon,47a/47b,7bf864db-4754-433d-9d77-6695f78f6c09,47,isd,uncommon
Clifftop Retreat,Innistrad,1,FALSE,1.43,Rare,238,fd7e1bf9-bd6a-48e3-9331-178e5142c06a,238,isd,rare
Cloistered Youth // Unholy Fiend,Innistrad,1,FALSE,0.21,Uncommon,8a/8b,f8b8f0b4-71e1-4822-99a1-b1b3c2f10cb2,8,isd,uncommon
Corpse Lunge,Innistrad,1,FALSE,0.18,Common,93,2a74b987-527a-4560-a018-19d6bdf7e8b7,93,isd,common
Crossway Vampire,Innistrad,1,FALSE,0.18,Common,135,3e7a137f-e19e-43a6-aab8-02b175c9d626,135,isd,common
Curse of Oblivion,Innistrad,1,FALSE,0.20,Common,95,c15cbd2f-8bbf-423a-81fe-521fd99bc8bf,95,isd,common
Curse of the Bloody Tome,Innistrad,1,FALSE,0.24,Common,50,c7865e11-263b-4d61-af54-907c1acbb54f,50,isd,common
Curse of the Pierced Heart,Innistrad,1,FALSE,0.25,Common,138,71010182-c004-4d18-adab-80319cd1e625,138,isd,common
Darkthicket Wolf,Innistrad,1,FALSE,0.20,Common,175,fec37c5a-8223-441c-a8a6-8da1a2dfc3fb,175,isd,common
Dead Weight,Innistrad,1,FALSE,0.17,Common,96,7933987e-7b8c-4d5a-804a-708d6bb6d231,96,isd,common
Demonmail Hauberk,Innistrad,1,FALSE,0.23,Uncommon,221,aa33caa8-2a07-4f6c-a6c2-d21cf2d61193,221,isd,uncommon
Deranged Assistant,Innistrad,1,FALSE,0.15,Common,52,a4c03171-5ff0-4f79-bb03-16decf7d34ce,52,isd,common
Diregraf Ghoul,Innistrad,1,FALSE,0.21,Uncommon,97,4ed5790a-3354-49c2-89b6-3fc0de8dcc7c,97,isd,uncommon
Disciple of Griselbrand,Innistrad,1,FALSE,0.25,Uncommon,98,0c4acaa1-7d99-41ce-81ce-f6aef3e4dc1d,98,isd,uncommon
Dissipate,Innistrad,1,FALSE,0.25,Uncommon,53,5d778082-bcdb-423a-b16f-57ac0d4dace7,53,isd,uncommon
Doomed Traveler,Innistrad,1,FALSE,0.19,Common,11,652c3bbb-cac8-47ad-81de-41e954e17a29,11,isd,common
Dream Twist,Innistrad,1,FALSE,0.24,Common,54,d5dd8790-bfdf-427d-8e8d-a5c3a64a3063,54,isd,common
Elder Cathar,Innistrad,1,FALSE,0.16,Common,12,c21b9e51-fecd-4f9a-9354-a6dc1613feb3,12,isd,common
Elite Inquisitor,Innistrad,1,FALSE,0.43,Rare,13,c9411c44-92a8-4f5d-b3de-d80046649c8c,13,isd,rare
Essence of the Wild,Innistrad,1,FALSE,0.55,Mythic Rare,178,dec48cba-1b5d-44e7-9e25-16922dedb67d,178,isd,mythic
Feeling of Dread,Innistrad,1,FALSE,0.20,Common,14,846a2f9e-ad4f-4666-b152-fdeab7559d86,14,isd,common
Feral Ridgewolf,Innistrad,1,FALSE,0.20,Common,142,78c66cc0-cb0f-4daf-8141-0923ad46a834,142,isd,common
Forbidden Alchemy,Innistrad,1,FALSE,0.20,Common,55,eb22ae62-6207-4693-87cf-7adf0fc1fe29,55,isd,common
Forest (262),Innistrad,1,FALSE,0.25,Basic Land,262,,,,
Frightful Delusion,Innistrad,1,FALSE,0.18,Common,57,38c9ba98-90b4-4c28-9eef-a4fe0913b921,57,isd,common
Furor of the Bitten,Innistrad,1,FALSE,0.15,Common,143,ff4a4c19-6427-4a03-a543-992c910e668f,143,isd,common
Galvanic Juggernaut,Innistrad,1,FALSE,0.20,Uncommon,222,d14bc109-d5d5-4777-90e4-bef26d106571,222,isd,uncommon
Geistcatcher's Rig,Innistrad,1,FALSE,0.20,Uncommon,223,cfb8ecf0-8c12-4a14-9a75-4cc5bf9e47f1,223,isd,uncommon
Geistflame,Innistrad,1,FALSE,0.20,Common,144,1b856f31-ac80-4338-95a5-3f8acda74cfe,144,isd,common
Ghostly Possession,Innistrad,1,FALSE,0.19,Common,18,c3f048d9-ca13-485d-ad92-de4695b7dc18,18,isd,common
Ghoulcaller's Bell,Innistrad,1,FALSE,0.25,Common,224,863e7c2a-698c-4dce-a10b-ca58e4affa57,224,isd,common
Ghoulcaller's Chant,Innistrad,1,FALSE,0.25,Common,101,2b8c1b10-2155-404a-8f20-eb8f643849d6,101,isd,common
Ghoulraiser,Innistrad,1,FALSE,0.20,Common,102,52c537d1-2d57-4a87-9dac-594d40d95633,102,isd,common
Grave Bramble,Innistrad,1,FALSE,0.17,Common,184,8be1d4d2-5215-44b2-9b67-627d088efdb5,184,isd,common
Graveyard Shovel,Innistrad,1,FALSE,0.20,Uncommon,225,1a4b8888-a10c-48b1-ba19-c041e5667b29,225,isd,uncommon
Gruesome Deformity,Innistrad,1,FALSE,0.15,Common,103,5696db03-206f-4e7e-9b65-ccef31bfd7d2,103,isd,common
Harvest Pyre,Innistrad,1,FALSE,0.20,Common,146,4d6220b4-a5b8-45c8-9422-fab9eb32322c,146,isd,common
Hollowhenge Scavenger,Innistrad,1,TRUE,0.20,Uncommon,188,6c9ff632-0e27-4521-9e9d-5725e618f5dd,188,isd,uncommon
Hysterical Blindness,Innistrad,1,FALSE,0.18,Common,59,5aeaa757-e3b0-4606-a689-e8a20a686c3a,59,isd,common
Inquisitor's Flail,Innistrad,1,FALSE,0.47,Uncommon,227,3014f59d-9012-473a-8bb1-8085c6e91632,227,isd,uncommon
Instigator Gang // Wildblood Pack,Innistrad,1,FALSE,0.80,Rare,149a/149b,bb90a6f1-c7f2-4c2e-ab1e-59c5c7937841,149,isd,rare
Intangible Virtue,Innistrad,1,FALSE,0.25,Uncommon,19,0dd21f5e-d284-4072-87b9-7f0e6140fe60,19,isd,uncommon
Into the Maw of Hell,Innistrad,1,FALSE,0.25,Uncommon,150,5d188d9b-7a12-4eaf-855b-af4f0204dc5a,150,isd,uncommon
Invisible Stalker,Innistrad,1,FALSE,0.66,Uncommon,60,0013620d-8e17-4246-86bf-71eafd51b806,60,isd,uncommon
Island (254),Innistrad,1,FALSE,0.28,Basic Land,254,,,,
Island (255),Innistrad,1,FALSE,0.21,Basic Land,255,,,,
Isolated Chapel,Innistrad,1,FALSE,1.99,Rare,242,b3c1a371-5ded-4a3a-bf96-503c4f1a665d,242,isd,rare
Kessig Wolf,Innistrad,1,FALSE,0.18,Common,151,3255480b-c1cf-43d9-a40e-43e38112bb18,151,isd,common
Kindercatch,Innistrad,1,FALSE,0.20,Common,190,4954e8a3-e72b-4f28-8762-2b1c658c31b6,190,isd,common
Kruin Outlaw // Terror of Kruin Pass,Innistrad,1,FALSE,1.17,Rare,152a/152b,ec00d2d2-6597-474a-9353-345bbedfe57e,152,isd,rare
Lost in the Mist,Innistrad,1,TRUE,0.29,Common,63,1e5fc39d-590a-436b-ab90-a1741d2ae3da,63,isd,common
Makeshift Mauler,Innistrad,1,FALSE,0.18,Common,65,d869de57-9454-47ff-af14-eaefd387047a,65,isd,common
Manor Skeleton,Innistrad,1,FALSE,0.19,Common,106,e7b45197-d5c2-48c8-b72e-00236552e338,106,isd,common
Markov Patrician,Innistrad,1,FALSE,0.17,Common,107,29c3d3f7-5e28-4fec-8422-87856fcd1e8e,107,isd,common
Mask of Avacyn,Innistrad,1,FALSE,0.89,Uncommon,229,4ff1acce-bed4-452c-8416-06726004f2e8,229,isd,uncommon
Mausoleum Guard,Innistrad,1,FALSE,0.20,Uncommon,20,2c7b19de-96a6-4590-bfc3-31b0c7b2e25e,20,isd,uncommon
Mayor of Avabruck // Howlpack Alpha,Innistrad,1,FALSE,1.85,Rare,193a/193b,dd8ca448-f734-4cb9-b1d5-790eed9a4b2d,193,isd,rare
Mentor of the Meek,Innistrad,1,FALSE,0.49,Rare,21,bd8f179a-f6ab-4d4c-8195-ed077a7770d3,21,isd,rare
Midnight Haunting,Innistrad,1,FALSE,0.20,Uncommon,22,fe1eb098-7128-4ec8-8218-51fdde3e8326,22,isd,uncommon
Moan of the Unhallowed,Innistrad,1,FALSE,0.20,Uncommon,109,3e2c5a8f-c03a-40ab-8390-ff6b5b654717,109,isd,uncommon
Moment of Heroism,Innistrad,1,FALSE,0.18,Common,24,ba8d15bc-889d-4fd0-9688-00e22db30036,24,isd,common
Moon Heron,Innistrad,1,FALSE,0.18,Common,69,a24de601-1d7b-41c4-aba1-fdb6fd8d5251,69,isd,common
Morkrut Banshee,Innistrad,1,FALSE,0.20,Uncommon,110,fff9989f-77a3-4f73-ade6-c04306c98501,110,isd,uncommon
Mountain (260),Innistrad,1,FALSE,0.26,Basic Land,260,,,,
Murder of Crows,Innistrad,1,FALSE,0.20,Uncommon,70,f914f7e4-06fc-4943-8597-b7f834938c00,70,isd,uncommon
Nephalia Drownyard,Innistrad,1,FALSE,0.49,Rare,245,ef058312-6926-49f8-ae72-a8d60fedbf6c,245,isd,rare
Night Terrors,Innistrad,1,FALSE,0.20,Common,111,5091658c-0314-42ee-87d8-95d3f457c4ab,111,isd,common
Nightbird's Clutches,Innistrad,1,FALSE,0.16,Common,154,b5c7410d-b69b-41a3-b469-e12c6ffc7578,154,isd,common
Orchard Spirit,Innistrad,1,FALSE,0.17,Common,198,aac43ced-35b0-4e70-a049-1a65db9b2b1e,198,isd,common
Paraselene,Innistrad,1,FALSE,0.25,Uncommon,26,406380ab-2695-4084-99a5-f5560304f8cb,26,isd,uncommon
Pitchburn Devils,Innistrad,1,FALSE,0.18,Common,156,d31d3de5-4028-457f-8eba-82e829061a40,156,isd,common
Plains (250),Innistrad,1,FALSE,0.20,Basic Land,250,,,,
Plains (252),Innistrad,1,FALSE,0.30,Basic Land,252,,,,
Plains (251),Innistrad,1,FALSE,0.25,Basic Land,251,,,,
Prey Upon,Innistrad,1,FALSE,0.19,Common,200,b7b3eaf0-4207-4bac-923d-29f348c95a35,200,isd,common
Purify the Grave,Innistrad,1,FALSE,0.20,Uncommon,27,7cf39365-e468-46ac-bb5b-7f43faa19458,27,isd,uncommon
Rage Thrower,Innistrad,1,FALSE,0.25,Uncommon,157,f16db004-3e0c-491b-b8b6-0ae046d11761,157,isd,uncommon
Rally the Peasants,Innistrad,1,FALSE,0.24,Uncommon,28,514fe7de-16b2-42c0-adb1-f0af1c89cfd6,28,isd,uncommon
Ranger's Guile,Innistrad,1,FALSE,0.20,Common,201,c90742ae-c48b-4d32-a6b7-aa51a94018bd,201,isd,common
Rebuke,Innistrad,1,FALSE,0.20,Common,29,267185ac-a176-423e-a7f8-ee966d1d9a1e,29,isd,common
Riot Devils,Innistrad,1,FALSE,0.19,Common,160,cd35107b-6aaf-4fd8-bf1c-12b724d1482e,160,isd,common
Rolling Temblor,Innistrad,1,FALSE,0.20,Uncommon,161,060ce982-94dd-4b9e-b240-15da297e29f9,161,isd,uncommon
Rooftop Storm,Innistrad,1,FALSE,3.90,Rare,71,ab01d871-ba50-400a-95e7-09af9e34405f,71,isd,rare
Rotting Fensnake,Innistrad,1,FALSE,0.20,Common,113,c21cbb10-9157-4887-a752-29b9e94fc77a,113,isd,common
Scourge of Geier Reach,Innistrad,1,FALSE,0.22,Uncommon,162,e0c25932-96e7-4ae5-b544-8780f92d0be7,162,isd,uncommon
Screeching Bat // Stalking Vampire,Innistrad,1,FALSE,0.25,Uncommon,114a/114b,88db324f-11f1-43d3-a897-f4e3caf8d642,114,isd,uncommon
Selfless Cathar,Innistrad,1,FALSE,0.16,Common,30,5a1dc067-1972-4d46-ad5d-56e6a563f638,30,isd,common
Sever the Bloodline,Innistrad,1,FALSE,0.28,Rare,115,5c6da820-dfb9-4b61-aff8-56dfc9f4894e,115,isd,rare
Sharpened Pitchfork,Innistrad,1,FALSE,0.22,Uncommon,232,4ce20f19-a159-40e6-bb67-6108872ac1e0,232,isd,uncommon
Shimmering Grotto,Innistrad,1,TRUE,0.50,Common,246,a48e7a7a-574f-4850-9697-8cb276a5812c,246,isd,common
Silent Departure,Innistrad,1,FALSE,0.19,Common,75,a18dea16-d535-4310-94ff-836645253d73,75,isd,common
Silverchase Fox,Innistrad,1,FALSE,0.18,Common,31,0a81bfab-3397-4562-8b82-5f24cef167e3,31,isd,common
Skirsdag Cultist,Innistrad,1,FALSE,0.20,Uncommon,163,e63fa0de-2ec3-41ff-8e5d-0b54f400f27f,163,isd,uncommon
Somberwald Spider,Innistrad,1,FALSE,0.19,Common,202,43003ad7-2f42-4c85-8b00-77cbf3f50a7b,202,isd,common
Spectral Rider,Innistrad,1,FALSE,0.20,Uncommon,35,b47e4e56-8bde-480d-b59c-17a017665b19,35,isd,uncommon
Spidery Grasp,Innistrad,1,FALSE,0.18,Common,204,ccbdfd82-d025-4070-a1f5-4ee759978bcb,204,isd,common
Swamp (258),Innistrad,1,FALSE,0.36,Basic Land,258,,,,
Think Twice,Innistrad,1,FALSE,0.20,Common,83,53e44060-a9a2-4095-9f5b-f60297525315,83,isd,common
Thraben Sentry // Thraben Militia,Innistrad,1,FALSE,0.18,Common,38a/38b,58ae9cbc-d88d-42df-ab76-63ab5d05c023,38,isd,common
Travel Preparations,Innistrad,1,FALSE,0.18,Common,206,e9654ae7-af2c-4956-be3a-68befa33f523,206,isd,common
Traveler's Amulet,Innistrad,1,FALSE,0.20,Common,234,a5b0afa7-e9f9-4751-af36-d85343fabc26,234,isd,common
Trepanation Blade,Innistrad,1,FALSE,0.32,Uncommon,235,2182be77-9186-4d16-a070-9577d4392999,235,isd,uncommon
Unbreathing Horde,Innistrad,1,FALSE,0.62,Rare,121,1a91ea47-0c06-4333-a309-ac360c5cc9bd,121,isd,rare
Unburial Rites,Innistrad,1,FALSE,0.25,Uncommon,122,2794c82b-e5ce-4369-894e-bf56c6402ae1,122,isd,uncommon
Unruly Mob,Innistrad,1,FALSE,0.19,Common,39,491c6e40-151a-4efd-980c-e6b6a1057c58,39,isd,common
Urgent Exorcism,Innistrad,1,FALSE,0.15,Common,40,516a437c-a2ee-43c6-876c-1a63a455c97c,40,isd,common
Vampire Interloper,Innistrad,1,FALSE,0.15,Common,123,48105c2e-ee36-4117-b56b-3440298da995,123,isd,common
Vampiric Fury,Innistrad,1,FALSE,0.18,Common,167,de4fd254-0ae9-498d-b9da-4fb3d6a1a55c,167,isd,common
Victim of Night,Innistrad,1,FALSE,0.25,Common,124,ee4c6135-eee9-43ec-bbe8-76912352dcac,124,isd,common
Village Cannibals,Innistrad,1,FALSE,0.20,Uncommon,125,a5400460-da9d-437b-bb81-cf382beb371e,125,isd,uncommon
Voiceless Spirit,Innistrad,1,FALSE,0.20,Common,42,d24d9bd7-5721-4436-a86f-35e376727f46,42,isd,common
Walking Corpse,Innistrad,1,FALSE,0.16,Common,126,8e033384-3334-4082-9541-f2443d3bc424,126,isd,common
Wooden Stake,Innistrad,1,FALSE,0.20,Common,237,7e2825f5-8112-4108-910a-4303b2d57356,237,isd,common
Woodland Sleuth,Innistrad,1,FALSE,0.15,Common,210,3088a924-58c6-4ab7-baf0-842d6688fcec,210,isd,common
