Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Alloy Golem,Invasion,1,FALSE,0.25,Uncommon,297,1fb6d6a1-9d71-405b-9c93-1a7f06c67abd,297,inv,uncommon
Ancient Kavu,Invasion,1,FALSE,0.20,Common,136,c8ccb5d0-735b-443f-addd-8b70f5f2c60d,136,inv,common
Annihilate,Invasion,1,FALSE,0.25,Uncommon,94,4a3bf039-ecf6-477e-997c-e32c55323c01,94,inv,uncommon
Ardent Soldier,Invasion,1,FALSE,0.20,Common,3,39dce974-846f-4365-b0a5-851e38668e7d,3,inv,common
Benalish Emissary,Invasion,1,FALSE,0.25,Uncommon,5,6b82d56e-80d7-4be9-ac22-de3257efc458,5,inv,uncommon
Benalish Lancer,Invasion,1,FALSE,0.20,Common,7,3a38d40a-e745-4fee-b179-f8c27e9b2fbd,7,inv,common
Benalish Trapper,Invasion,1,FALSE,0.23,Common,8,e312653d-c3e1-4c79-90d2-0963419b618c,8,inv,common
Bloodstone Cameo,Invasion,1,FALSE,0.30,Uncommon,298,f9db32fa-64b2-4ef6-88f2-28e758d420bb,298,inv,uncommon
Breath of Darigaaz,Invasion,1,FALSE,0.39,Uncommon,138,480bb7e3-df03-454d-ada0-592ef8a4a6f0,138,inv,uncommon
Capashen Unicorn,Invasion,1,FALSE,0.25,Common,10,ec3e5741-88d7-4837-9b43-ba8304d9ee74,10,inv,common
Charging Troll,Invasion,1,FALSE,0.25,Uncommon,239,58956099-6b97-4c7b-ab23-9f9b4d50ef95,239,inv,uncommon
Crimson Acolyte,Invasion,1,FALSE,1.00,Common,11,c1718028-3009-4bdd-9f6f-59c17edd1344,11,inv,common
Crosis's Attendant,Invasion,1,FALSE,0.25,Uncommon,300,45edc18c-2046-4d0e-92fe-a6cf4aaf1c6f,300,inv,uncommon
Crown of Flames,Invasion,1,FALSE,0.26,Common,142,5a46239c-3de7-48ca-8f5c-b51f307fd0e5,142,inv,common
Dismantling Blow,Invasion,1,FALSE,0.24,Common,14,39514d54-cb6c-4b3b-a3be-46db991be4d4,14,inv,common
Drake-Skull Cameo,Invasion,1,FALSE,0.26,Uncommon,302,4a3ce135-9c2f-45bd-b2db-c0e00c50c964,302,inv,uncommon
Dromar's Attendant,Invasion,1,FALSE,0.25,Uncommon,303,24936fa9-41a3-4da5-91cf-c28fa45f47c9,303,inv,uncommon
Elvish Champion,Invasion,1,FALSE,9.10,Rare,186,c19bb473-03b0-4e6d-a7da-0ec1e7707a68,186,inv,rare
Exclude,Invasion,1,FALSE,0.25,Common,56,aeb359c8-209c-455f-84b2-970e5678a9fa,56,inv,common
Firebrand Ranger,Invasion,1,FALSE,0.25,Uncommon,143,ee05211e-cf08-4dea-9740-ed06f8682153,143,inv,uncommon
Frenzied Tilling,Invasion,1,FALSE,0.23,Common,247,15875876-3341-40fb-866f-5587c3638538,247,inv,common
Galina's Knight,Invasion,1,FALSE,0.23,Common,248,11b492d6-5e28-4f4b-942c-080d03cb0e92,248,inv,common
Glimmering Angel,Invasion,1,FALSE,0.23,Common,17,f14f55e4-eded-4a86-87f4-b8fa6f30bc0f,17,inv,common
Goblin Spy,Invasion,1,FALSE,0.30,Uncommon,145,2a89a099-8805-4b26-babd-5d9f48ee406a,145,inv,uncommon
Halam Djinn,Invasion,1,FALSE,0.25,Uncommon,146,369ade1f-e909-47ae-bb01-19588269ad8f,146,inv,uncommon
Hate Weaver,Invasion,1,FALSE,0.25,Uncommon,108,8328e131-b44d-4dd0-9ce4-454c6afe6fa6,108,inv,uncommon
Holy Day,Invasion,1,FALSE,0.25,Common,20,aa91fd4e-4e1f-4cfa-b10f-456bd875238f,20,inv,common
Hooded Kavu,Invasion,1,FALSE,0.20,Common,147,5464b80a-22fe-42c7-a839-31667712fb2d,147,inv,common
Island (338),Invasion,1,FALSE,0.49,Basic Land,338,,,,
Kavu Aggressor,Invasion,1,FALSE,0.20,Common,148,a2832ad3-ce7f-44d2-beb2-c95d982905a6,148,inv,common
Kavu Runner,Invasion,1,FALSE,0.25,Uncommon,150,2bc1b462-4e3c-47cc-87c5-f6e29dd70c01,150,inv,uncommon
Kavu Scout,Invasion,1,FALSE,0.20,Common,151,cbc2670d-a3f4-47c2-b424-01fd379ff186,151,inv,common
Liberate,Invasion,1,FALSE,0.45,Uncommon,21,96794470-31ea-478f-b11c-dc8342a508e2,21,inv,uncommon
Lightning Dart,Invasion,1,FALSE,0.25,Uncommon,152,54d05157-d154-4203-bf3e-add110cb1cee,152,inv,uncommon
Llanowar Knight,Invasion,1,FALSE,0.22,Common,254,e6c75d89-e432-49aa-a407-555b223b7eff,254,inv,common
Loafing Giant,Invasion,1,FALSE,0.46,Rare,153,fab5f738-04d0-44c9-88ec-28469b668040,153,inv,rare
Lobotomy,Invasion,1,FALSE,0.30,Uncommon,255,ff307dbb-4ab6-457b-be56-47106864bf61,255,inv,uncommon
Maniacal Rage,Invasion,1,FALSE,0.20,Common,155,3d17886c-fffd-4f0d-b4da-4b5fba18b811,155,inv,common
Metathran Transport,Invasion,1,FALSE,0.25,Uncommon,62,4fa9048d-1599-44a5-b4b2-45382c5b238d,62,inv,uncommon
"Molimo, Maro-Sorcerer",Invasion,1,FALSE,0.50,Rare,199,750d3475-ae72-42c1-ae4d-638f8e7c6d1a,199,inv,rare
Mountain (344),Invasion,1,FALSE,0.47,Basic Land,344,,,,
Mountain (346),Invasion,1,FALSE,0.42,Basic Land,346,,,,
Mountain (343),Invasion,1,FALSE,0.51,Basic Land,343,,,,
Nightscape Apprentice,Invasion,1,FALSE,0.22,Common,112,7498ca4c-614a-4776-8886-0a6ed58520f6,112,inv,common
Obsidian Acolyte,Invasion,1,FALSE,0.50,Common,22,868efcee-bb13-4b6f-b81b-99408685e4c4,22,inv,common
Overload,Invasion,1,FALSE,0.30,Common,157,c91fca91-7296-422e-b251-d571b710ff71,157,inv,common
Phantasmal Terrain,Invasion,1,FALSE,0.21,Common,65,ea56a1bb-f52c-4c6b-a089-1f78600f3db0,65,inv,common
Plains (334),Invasion,1,TRUE,2.45,Basic Land,334,,,,
Pledge of Loyalty,Invasion,1,FALSE,0.26,Uncommon,24,d6f98c26-5b30-400c-8af1-8c6c43065f63,24,inv,uncommon
Prison Barricade,Invasion,1,FALSE,0.23,Common,25,449c4800-8718-4593-a61e-03ad7f348c6d,25,inv,common
Rainbow Crow,Invasion,1,FALSE,0.25,Uncommon,69,7e622ad2-473f-489e-b4cf-bbdcc44d0cde,69,inv,uncommon
Rampant Elephant,Invasion,1,FALSE,0.20,Common,28,752642d2-3dad-4f58-b154-beb5982141dc,28,inv,common
