Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Adanto Vanguard,Ixalan,1,FALSE,0.25,Uncommon,1,21c950d7-b4f6-4902-8c9a-98f2933f9fa5,1,xln,uncommon
Admiral Beckett Brass,Ixalan,1,FALSE,0.63,Mythic Rare,217,9854c2ec-0e53-4ac7-b417-554a9331c5e0,217,xln,mythic
Air Elemental,Ixalan,1,FALSE,0.20,Uncommon,45,0fc9ba0a-2840-48cb-8cf4-ef2a5f273849,45,xln,uncommon
Ancient Brontodon,Ixalan,1,FALSE,0.19,Common,175,39421ce8-86d5-4739-b6fd-78d63c0bb258,175,xln,common
Anointed Deacon,Ixalan,1,TRUE,0.17,Common,89,9bae5e75-0048-41fd-8bbb-89607ab96d6e,89,xln,common
Arcane Adaptation,Ixalan,1,FALSE,4.62,Rare,46,bf3edaaf-cf63-4e17-94ae-9d9991d9fb5f,46,xln,rare
Ashes of the Abhorrent,Ixalan,1,FALSE,0.62,Rare,2,4e8eb264-dadb-440c-af85-273e755f1db6,2,xln,rare
Atzocan Archer,Ixalan,1,FALSE,0.20,Uncommon,176,3e214e0d-bd3d-467b-83fb-d8a232e166e4,176,xln,uncommon
Belligerent Brontodon,Ixalan,1,FALSE,0.20,Uncommon,218,39bab75a-2c1f-4ff1-a26e-134e52f61d39,218,xln,uncommon
Bellowing Aegisaur,Ixalan,1,FALSE,0.25,Uncommon,4,c3e3b6c5-fd30-4d45-a122-ce60d5707357,4,xln,uncommon
Bishop of Rebirth,Ixalan,1,TRUE,1.13,Rare,5,3d654bec-4eb2-4df6-b71e-ce59a718f903,5,xln,rare
Bishop of the Bloodstained,Ixalan,1,FALSE,0.20,Uncommon,91,373131be-bd66-49f5-80fa-836ced03fedf,91,xln,uncommon
Bishop's Soldier,Ixalan,1,FALSE,0.18,Common,6,d954677c-2de6-440a-90d0-bab2e0c8b4af,6,xln,common
Blight Keeper,Ixalan,1,FALSE,0.18,Common,92,3bcabe2d-82d2-4c1b-8f28-21dc29c9dbf2,92,xln,common
Bloodcrazed Paladin,Ixalan,1,FALSE,0.43,Rare,93,3e2160e9-14a0-4c75-b7b0-fb09051ddb32,93,xln,rare
Bonded Horncrest,Ixalan,1,FALSE,0.20,Uncommon,133,a50ad54a-73f8-4b97-b890-2be9a178bc42,133,xln,uncommon
Brazen Buccaneers,Ixalan,1,FALSE,0.15,Common,134,9ca29a73-9606-4422-9187-67e00dcd52aa,134,xln,common
Bright Reprisal,Ixalan,1,FALSE,0.20,Uncommon,7,3340ffb9-9513-4551-ad64-821600596b2e,7,xln,uncommon
Cancel,Ixalan,1,FALSE,0.19,Common,47,cf6e5ad6-ffe2-4588-b357-c415c33fbc11,47,xln,common
Carnage Tyrant,Ixalan,1,FALSE,4.03,Mythic Rare,179,3bd78731-949c-464a-826a-92f86d784911,179,xln,mythic
Chart a Course,Ixalan,1,FALSE,0.29,Uncommon,48,98291778-2ec2-47e2-ac99-5f8cfbb3cf24,48,xln,uncommon
Cobbled Wings,Ixalan,1,FALSE,0.19,Common,233,3b2ff4f0-0dd1-4551-826b-68e8ff1e5860,233,xln,common
Conqueror's Galleon // Conqueror's Foothold,Ixalan,1,FALSE,0.75,Rare,234a/234b,02bb4b2a-3c9f-48ab-b2a5-ae31f06b82d9,234,xln,rare
Costly Plunder,Ixalan,1,FALSE,0.25,Common,96,c3f1f41e-98fc-4f6b-b287-c8899dff8ab0,96,xln,common
