Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Aerial Formation,Journey into Nyx,1,FALSE,0.18,Common,30,fce86785-bc03-451e-8422-8bb53082cc12,30,jou,common
Ajani's Presence,Journey into Nyx,1,FALSE,0.20,Common,2,e77e2fd5-5c46-4f6b-ac43-ec23fab57a1a,2,jou,common
Akroan Line Breaker,Journey into Nyx,1,FALSE,0.20,Uncommon,88,a5114db5-b545-43dc-85a3-c0e68ab22a95,88,jou,uncommon
Akroan Mastiff,Journey into Nyx,1,FALSE,0.18,Common,3,7e21938b-46b1-4b2f-8269-0cd0e998cddc,3,jou,common
Armament of Nyx,Journey into Nyx,1,FALSE,0.15,Common,4,4203df15-dd44-496b-889a-d7a8fe320330,4,jou,common
Armory of Iroas,Journey into Nyx,1,FALSE,0.24,Uncommon,158,7ac44e4b-25ba-4b32-ad56-c87c202c310a,158,jou,uncommon
Aspect of Gorgon,Journey into Nyx,1,FALSE,0.19,Common,60,be8956d0-5502-415d-bead-d8bbddf9871d,60,jou,common
Banishing Light,Journey into Nyx,1,FALSE,0.20,Uncommon,5,fbaa4800-30cc-4a80-a6cc-9a24ada9eb40,5,jou,uncommon
Bassara Tower Archer,Journey into Nyx,1,FALSE,0.25,Uncommon,117,95a1e5c2-7f5b-4ae4-83d9-06e334ba57ea,117,jou,uncommon
Bladetusk Boar,Journey into Nyx,1,FALSE,0.15,Common,90,5f157fb0-81ac-4108-aafc-7ee81df965a9,90,jou,common
Blinding Flare,Journey into Nyx,1,FALSE,0.22,Uncommon,91,e07f43b6-e07f-4d0c-90d2-e5b0d23ba0f9,91,jou,uncommon
Bloodcrazed Hoplite,Journey into Nyx,1,FALSE,0.18,Common,61,f2a6556b-a4f1-4ff5-8e6e-a47618c8c66e,61,jou,common
Brain Maggot,Journey into Nyx,1,FALSE,0.25,Uncommon,62,acdc31d5-6726-453e-94e0-69d2fe9447af,62,jou,uncommon
Cast into Darkness,Journey into Nyx,1,FALSE,0.15,Common,63,0c1880d4-90c7-46a2-bbc9-d2b52971d11c,63,jou,common
Chariot of Victory,Journey into Nyx,1,FALSE,0.53,Uncommon,159,c2dd03d2-05ef-4929-b973-3dbe49fc7592,159,jou,uncommon
Cloaked Siren,Journey into Nyx,1,FALSE,0.15,Common,32,79a639aa-91f4-49df-8671-122710073084,32,jou,common
Countermand,Journey into Nyx,1,FALSE,0.19,Common,33,07815e32-0b64-4c2b-84e6-a72336c45cf5,33,jou,common
Cruel Feeding,Journey into Nyx,1,FALSE,0.18,Common,64,a53624ee-2925-4a56-8706-e278db5d963d,64,jou,common
Cyclops of Eternal Fury,Journey into Nyx,1,FALSE,0.20,Uncommon,92,44a92b7a-7119-45b3-b9ed-5dbf5abca818,92,jou,uncommon
Desecration Plague,Journey into Nyx,1,FALSE,0.16,Common,120,42dbc5e5-5d46-47f7-a700-b65781a13c7a,120,jou,common
Deserter's Quarters,Journey into Nyx,1,FALSE,0.22,Uncommon,160,8f7d3b2d-e06e-4d30-9ed8-2a52aa7e31c6,160,jou,uncommon
Desperate Stand,Journey into Nyx,1,FALSE,0.20,Uncommon,147,e8a4fb8d-8ddd-4d1d-92c7-2bf6b0e6c488,147,jou,uncommon
Disciple of Deceit,Journey into Nyx,1,FALSE,0.25,Uncommon,148,fbfe88fd-9bb9-42af-8134-96fd264b8405,148,jou,uncommon
Doomwake Giant,Journey into Nyx,1,TRUE,3.56,Rare,66,b20eabfb-f086-45dd-97e2-b2ed5286bc3c,66,jou,rare
Dreadbringer Lampads,Journey into Nyx,1,FALSE,0.16,Common,67,0a2b4819-8aeb-49c0-b40a-3ff280604970,67,jou,common
Eagle of the Watch,Journey into Nyx,1,FALSE,0.15,Common,9,dc4b6fb1-dc06-48f4-aae2-aa8bbb573548,9,jou,common
Eidolon of Blossoms,Journey into Nyx,1,FALSE,1.19,Rare,122,8dbb2112-85b9-49cf-9ed5-9273829c34f1,122,jou,rare
Eidolon of Rhetoric,Journey into Nyx,1,FALSE,0.75,Uncommon,10,c3bc8b9e-4d22-41ba-b593-d383fd301ef9,10,jou,uncommon
Feast of Dreams,Journey into Nyx,1,FALSE,0.15,Common,69,de07e21e-c12a-47a6-ad2c-ef6fed343407,69,jou,common
Felhide Petrifier,Journey into Nyx,1,TRUE,1.70,Uncommon,70,4d6cce01-a0cb-4059-a0ad-fbf7d9b998b8,70,jou,uncommon
Flamespeaker's Will,Journey into Nyx,1,FALSE,0.15,Common,95,32b5e3bb-f9e8-4a74-9798-41d8f8515e12,95,jou,common
Flurry of Horns,Journey into Nyx,1,FALSE,0.17,Common,96,333ff270-4bc7-48ee-9738-f8c70b8a7e40,96,jou,common
Font of Fertility,Journey into Nyx,1,FALSE,0.25,Common,123,ac8d1ecb-de7c-4641-81da-13117820195c,123,jou,common
Font of Fortunes,Journey into Nyx,1,FALSE,0.19,Common,38,25de3481-9b0d-4747-a97b-171b6aa41073,38,jou,common
Font of Ire,Journey into Nyx,1,FALSE,0.19,Common,97,41509414-9faf-472d-8d38-391d9594cd56,97,jou,common
Font of Return,Journey into Nyx,1,TRUE,0.36,Common,71,c13eacff-0fd1-4e2e-8213-5bf5fff973c8,71,jou,common
Font of Vigor,Journey into Nyx,1,FALSE,0.15,Common,11,d4ef3a8e-ef8b-417a-a3a9-cb0ce88cb0c9,11,jou,common
Gluttonous Cyclops,Journey into Nyx,1,FALSE,0.18,Common,99,e583f6be-3d78-4085-9059-c3c989a4977f,99,jou,common
Godhunter Octopus,Journey into Nyx,1,FALSE,0.16,Common,39,da106c23-fd1c-461b-9301-159f93ef489b,39,jou,common
Golden Hind,Journey into Nyx,1,FALSE,0.18,Common,124,1ae883ea-191e-4571-be3d-1e3149e6965e,124,jou,common
Goldenhide Ox,Journey into Nyx,1,FALSE,0.20,Uncommon,125,d107c72f-483a-4af9-b86f-681669d99c46,125,jou,uncommon
Gold-Forged Sentinel,Journey into Nyx,1,FALSE,0.20,Uncommon,161,4e154012-5922-45d1-8e20-d2a2b1de0785,161,jou,uncommon
Grim Guardian,Journey into Nyx,1,FALSE,0.47,Common,73,732b5444-0410-430b-87ca-cf2d9f165bd7,73,jou,common
Harvestguard Alseids,Journey into Nyx,1,FALSE,0.18,Common,13,3b9256e2-b59c-4997-91c1-4c565746d53d,13,jou,common
Hour of Need,Journey into Nyx,1,FALSE,0.20,Uncommon,40,737b859d-d81e-4da3-a8bf-9a8f23c75a50,40,jou,uncommon
Hour of Need,Journey into Nyx,1,TRUE,0.36,Uncommon,40,737b859d-d81e-4da3-a8bf-9a8f23c75a50,40,jou,uncommon
Humbler of Mortals,Journey into Nyx,1,FALSE,0.18,Common,127,f12149b9-b450-4ad6-ab5d-9a0eeb36997e,127,jou,common
Hypnotic Siren,Journey into Nyx,1,FALSE,0.48,Rare,42,3b2f562f-00d1-41da-a6ac-bc019cce7fe7,42,jou,rare
Interpret the Signs,Journey into Nyx,1,FALSE,0.20,Uncommon,43,696f2da6-3943-4555-9610-e6b925b3d6bc,43,jou,uncommon
"Kruphix, God of Horizons",Journey into Nyx,1,FALSE,3.69,Mythic Rare,152,27427233-da58-45af-ade8-e0727929efaa,152,jou,mythic
Kruphix's Insight,Journey into Nyx,1,FALSE,0.20,Common,129,94e14f09-9629-443a-bc55-03152eabb2e7,129,jou,common
Lagonna-Band Trailblazer,Journey into Nyx,1,FALSE,0.20,Common,14,38a6f533-6acb-4c24-ae9d-fe4977230156,14,jou,common
Lightning Diadem,Journey into Nyx,1,FALSE,0.15,Common,102,4ce3f1c6-2e6f-4087-8619-a01fdcc6d4a3,102,jou,common
Magma Spray,Journey into Nyx,1,FALSE,0.18,Common,103,9710889c-0fc6-43a9-83df-484ab0659030,103,jou,common
Market Festival,Journey into Nyx,1,FALSE,0.20,Common,130,c3a70329-ecae-4647-b912-75d936a6c8c5,130,jou,common
Mortal Obstinacy,Journey into Nyx,1,FALSE,0.19,Common,17,67652df1-f2cc-44cd-ac66-9722d4cd86e9,17,jou,common
Nessian Game Warden,Journey into Nyx,1,FALSE,0.20,Uncommon,132,5099d18d-c8b5-4706-bc93-40d1bb12988d,132,jou,uncommon
Nyx Infusion,Journey into Nyx,1,FALSE,0.15,Common,77,1910d072-1660-4918-a338-d9f87926541d,77,jou,common
Nyx Weaver,Journey into Nyx,1,FALSE,0.31,Uncommon,153,0e8553cc-8f61-4022-97c9-e31183b65059,153,jou,uncommon
Nyx-Fleece Ram,Journey into Nyx,1,FALSE,0.39,Uncommon,18,98d13a98-e715-49a8-a59e-a2adfcdec70b,18,jou,uncommon
Oakheart Dryads,Journey into Nyx,1,FALSE,0.16,Common,133,d8ef63b9-c021-40fe-910e-93c06d660c20,133,jou,common
Oppressive Rays,Journey into Nyx,1,FALSE,0.17,Common,19,1eac995f-514d-4c65-8135-417f2b1a6fba,19,jou,common
Oreskos Swiftclaw,Journey into Nyx,1,FALSE,0.15,Common,20,03c67b91-7f05-44b1-9e99-3e2094434f6a,20,jou,common
Pensive Minotaur,Journey into Nyx,1,FALSE,0.15,Common,105,902b462a-a552-42d4-91f0-bd33cd9cb719,105,jou,common
Phalanx Formation,Journey into Nyx,1,FALSE,0.20,Uncommon,21,7e9aaba1-e480-4667-b3c9-d5665a3b4806,21,jou,uncommon
Pharika's Chosen,Journey into Nyx,1,FALSE,0.19,Common,78,8119ce0c-d709-463c-9abc-f7025673ea72,78,jou,common
Pheres-Band Thunderhoof,Journey into Nyx,1,FALSE,0.16,Common,134,a19a2e8e-9d8f-4537-838c-ac60e09d78bf,134,jou,common
Pin to the Earth,Journey into Nyx,1,FALSE,0.15,Common,45,c04e6915-39b0-4fbc-9114-2ecf371b6f72,45,jou,common
Pull from the Deep,Journey into Nyx,1,FALSE,0.25,Uncommon,47,a051b622-fa1d-4694-aef7-0fcdd7bff8d2,47,jou,uncommon
