Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Cephalid Constable,Judgment,1,FALSE,2.39,Rare,35,6d98f05b-ddfe-4b93-b247-dbd1a89e0731,35,jud,rare
Death Wish,Judgment,1,FALSE,0.63,Rare,64,7bf134c9-a50d-4eff-a5a8-7cfe6a010080,64,jud,rare
Exoskeletal Armor,Judgment,1,FALSE,0.30,Uncommon,114,e111fcab-17f7-4a02-b4eb-606ba18812b3,114,jud,uncommon
Grave Consequences,Judgment,1,FALSE,0.25,Uncommon,67,9ad5f9f2-282a-4ee0-a259-cc24404ddf6f,67,jud,uncommon
Lead Astray,Judgment,1,FALSE,0.21,Common,14,20a8fd2f-11fa-4879-be89-ea7833cf60d4,14,jud,common
Lightning Surge,Judgment,1,FALSE,0.47,Rare,96,0452d78d-eafc-4ccb-a478-d1f46bcefffe,96,jud,rare
Mist of Stagnation,Judgment,1,FALSE,0.59,Rare,48,76d03121-9515-4101-9d60-e01225533f44,48,jud,rare
Phantom Nomad,Judgment,1,FALSE,0.25,Common,17,6c5309f5-8b32-4a57-99f2-dcf7a8341898,17,jud,common
Ray of Revelation,Judgment,1,FALSE,0.27,Common,20,6d762c8c-6172-4dc0-8fcc-d0f6dd8ca013,20,jud,common
Spellgorger Barbarian,Judgment,1,FALSE,0.20,Common,100,043fcf80-dd20-4cc2-a0d5-4bb22b8b0789,100,jud,common
Swirling Sandstorm,Judgment,1,FALSE,0.26,Common,102,4d757ec3-c15f-4d6e-8e18-36ebae985448,102,jud,common
Sylvan Safekeeper,Judgment,1,FALSE,14.99,Rare,133,f1b8413f-c9fc-4cea-b416-a1fcf651b009,133,jud,rare
Vigilant Sentry,Judgment,1,FALSE,0.24,Common,33,c3790282-ea04-4600-8912-dac541ffd081,33,jud,common
