Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Axgard Braggart,Kaldheim,1,TRUE,0.16,Common,1,4de5ff64-6fe7-4fc5-be27-cdbaa14545ab,1,khm,common
Battershield Warrior,Kaldheim,1,FALSE,0.17,Uncommon,2,fb79dc85-f85a-4846-9ac3-c75c64ea9c0a,2,khm,uncommon
Battlefield Raptor,Kaldheim,1,FALSE,0.20,Common,3,389f0045-218d-41cd-bdca-8a9a0ab1b31b,3,khm,common
Beskir Shieldmate,Kaldheim,1,FALSE,0.15,Common,4,dfc1df84-9c47-444b-9d58-d9c7bed51c66,4,khm,common
Bound in Gold,Kaldheim,1,FALSE,0.15,Common,5,074d526a-1eef-4045-bd38-f6d68c4bc4b9,5,khm,common
Codespell Cleric,Kaldheim,1,TRUE,0.04,Common,7,1316a74e-da55-4668-87f2-98389a90a2a4,7,khm,common
Divine Gambit,Kaldheim,1,FALSE,0.18,Uncommon,8,696a8c12-4a1f-4b96-a921-538fa1a2de43,8,khm,uncommon
Doomskar Oracle,Kaldheim,1,FALSE,0.15,Common,10,6dae01c8-15bb-44ad-a2c6-9bcf7a9e8c17,10,khm,common
Giant Ox,Kaldheim,1,FALSE,0.18,Common,11,fc71d8ca-c613-4534-bc9d-bc1e13202a2c,11,khm,common
Glorious Protector,Kaldheim,1,TRUE,0.33,Rare,12,d9f08552-7f1a-4fdb-9a70-d99cdbf75910,12,khm,rare
Gods' Hall Guardian,Kaldheim,1,FALSE,0.14,Common,13,e8e645c8-90ac-4865-b441-e64251d6c9a8,13,khm,common
Goldmaw Champion,Kaldheim,1,TRUE,0.05,Common,14,44d4cd64-8560-48f5-b0bc-f75286c1c91c,14,khm,common
Invoke the Divine,Kaldheim,1,TRUE,0.17,Common,16,7213d9e1-e9c6-45d8-bb7f-336c41e7b6f7,16,khm,common
Iron Verdict,Kaldheim,1,FALSE,0.15,Common,17,2fb38f5b-a2c2-4b06-8c9c-9615475a43e7,17,khm,common
Kaya's Onslaught,Kaldheim,1,FALSE,0.20,Uncommon,18,f28e151f-b61b-486f-b7f8-7abde207c442,18,khm,uncommon
Master Skald,Kaldheim,1,FALSE,0.15,Common,19,6b269e27-8e17-4bf2-b28a-a83ecc7d22c0,19,khm,common
Rally the Ranks,Kaldheim,1,FALSE,0.50,Rare,20,03595195-3be2-4d18-b5c0-43b2dcc1c0f5,20,khm,rare
Resplendent Marshal,Kaldheim,1,FALSE,0.78,Mythic Rare,22,5e849bec-2ee6-4c83-83e6-bf9f5543e414,22,khm,mythic
Revitalize,Kaldheim,1,FALSE,0.15,Common,23,3a9fb75e-c8e5-417b-83d4-5105af9c66c1,23,khm,common
Righteous Valkyrie,Kaldheim,1,FALSE,4.36,Rare,24,02fb5f9f-8750-4eb5-a03a-6dacc60e0b90,24,khm,rare
Rune of Sustenance,Kaldheim,1,FALSE,0.30,Uncommon,25,0e31b716-f325-445a-9098-9ca75d7b35a4,25,khm,uncommon
Search for Glory,Kaldheim,1,FALSE,0.79,Rare,27,b65c215d-562d-4c7c-bc9f-b1d741050158,27,khm,rare
"Sigrid, God-Favored",Kaldheim,1,TRUE,0.27,Rare,29,aeec3c1e-e612-4700-888e-300912932552,29,khm,rare
Spectral Steel,Kaldheim,1,FALSE,0.20,Uncommon,30,cf036489-ef9e-40ee-a1bb-24ee37c554f1,30,khm,uncommon
Stalwart Valkyrie,Kaldheim,1,TRUE,0.14,Common,31,89ecb530-e429-4b50-a24c-8437614cf224,31,khm,common
Starnheim Courser,Kaldheim,1,TRUE,0.32,Common,32,5c5373dd-4aec-4e93-97fb-a639aa096764,32,khm,common
Story Seeker,Kaldheim,1,TRUE,0.02,Common,34,e3dae817-3db1-4edf-86ba-c2c2b238fcf5,34,khm,common
Usher of the Fallen,Kaldheim,1,FALSE,0.19,Uncommon,35,24e58478-c6a8-4f86-854a-a489c99bd777,35,khm,uncommon
Valor of the Worthy,Kaldheim,1,FALSE,0.15,Common,37,83632e73-be3f-43fc-932f-45cb1af4f8fb,37,khm,common
Warhorn Blast,Kaldheim,1,TRUE,0.05,Common,38,3fc98aff-edc0-4f78-ae4f-e08735c9e512,38,khm,common
Wings of the Cosmos,Kaldheim,1,FALSE,0.15,Common,39,d6b26c95-f90d-43fb-8c99-2a3aa13ac2c6,39,khm,common
"Alrund, God of the Cosmos // Hakka, Whispering Raven",Kaldheim,1,FALSE,0.50,Mythic Rare,40,5d131784-c1a3-463e-a37b-b720af67ab62,40,khm,mythic
Annul,Kaldheim,1,TRUE,0.24,Common,42,4b1d4a59-11a0-4a55-8ac0-07377a9e6dc8,42,khm,common
Ascendant Spirit,Kaldheim,1,TRUE,0.28,Rare,43,ea56de43-c0fd-4627-846d-41a962b95f17,43,khm,rare
Augury Raven,Kaldheim,1,TRUE,0.07,Common,44,a9947cfd-91d6-479e-a7f6-2a2050f020f3,44,khm,common
Avalanche Caller,Kaldheim,1,FALSE,0.19,Uncommon,45,89cef049-6a47-4264-b2bc-b9d291a09c4c,45,khm,uncommon
Behold the Multiverse,Kaldheim,1,FALSE,0.25,Common,46,27855a38-a682-4f97-ad22-ac625e86faec,46,khm,common
Berg Strider,Kaldheim,1,FALSE,0.15,Common,47,f3567bdc-450e-4481-9349-a80fe52fe431,47,khm,common
Bind the Monster,Kaldheim,1,FALSE,0.15,Common,48,080be8d1-e453-4250-b917-f0eb26644895,48,khm,common
Brinebarrow Intruder,Kaldheim,1,FALSE,0.18,Common,49,89960a74-9e17-4e30-874a-4286dd4c917d,49,khm,common
"Cosima, God of the Voyage // The Omenkeel",Kaldheim,1,FALSE,0.69,Rare,50,fab2fca4-a99f-4ffe-9c02-edb6e0be2358,50,khm,rare
Cosmos Charger,Kaldheim,1,FALSE,0.29,Rare,51,4ec318c6-b718-436f-b9e8-e0c6154e5010,51,khm,rare
Cyclone Summoner,Kaldheim,1,FALSE,0.30,Rare,52,b2d40071-cadf-48de-a8ed-d55adbfab632,52,khm,rare
Depart the Realm,Kaldheim,1,FALSE,0.20,Common,53,2ce0403d-76ed-4eb0-abdd-74ed28f96137,53,khm,common
Disdainful Stroke,Kaldheim,1,FALSE,0.18,Common,54,7691ac89-f8ba-493e-aa11-5674a783dffb,54,khm,common
Draugr Thought-Thief,Kaldheim,1,FALSE,0.15,Common,55,31da60a2-d4d3-4954-be59-c7ff61fa2905,55,khm,common
Frost Augur,Kaldheim,1,FALSE,0.19,Uncommon,56,a2ae592f-caf6-445a-970b-f8101998e657,56,khm,uncommon
Frostpeak Yeti,Kaldheim,1,FALSE,0.15,Common,57,3f406ce3-dce1-42d3-b76c-8e8c4b2770cb,57,khm,common
Frostpyre Arcanist,Kaldheim,1,FALSE,0.16,Uncommon,58,276f8abd-4d39-4b50-876f-9c6713bc4ab5,58,khm,uncommon
Giant's Amulet,Kaldheim,1,FALSE,0.24,Uncommon,59,ab8b1ec2-9303-4722-8644-b3bc1a5c387f,59,khm,uncommon
Glimpse the Cosmos,Kaldheim,1,FALSE,0.20,Uncommon,60,dc96ebe8-f4b3-4788-a6f5-2a50b6c0d935,60,khm,uncommon
Graven Lore,Kaldheim,1,FALSE,0.27,Rare,61,e4386e5c-32b1-4096-a93f-fedd1a4801fc,61,khm,rare
Icebind Pillar,Kaldheim,1,FALSE,0.20,Uncommon,62,a3152f1f-5d3f-4bc4-9b6f-f2983ab3f691,62,khm,uncommon
