Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Ancestral Katana,Kamigawa: Neon Dynasty,1,FALSE,0.15,Common,1,d9b1ed43-ee6c-43a2-ba94-5bf71c63e070,1,neo,common
Ancestral Katana,Kamigawa: Neon Dynasty,1,TRUE,0.12,Common,1,d9b1ed43-ee6c-43a2-ba94-5bf71c63e070,1,neo,common
"Ao, the Dawn Sky",Kamigawa: Neon Dynasty,1,FALSE,2.35,Mythic Rare,2,8d2c4063-7322-4041-a870-b95598a03e29,2,neo,mythic
Banishing Slash,Kamigawa: Neon Dynasty,1,FALSE,0.20,Uncommon,3,e4b8946b-6604-49ca-98db-18a540b1b4e5,3,neo,uncommon
Befriending the Moths // Imperial Moth,Kamigawa: Neon Dynasty,1,FALSE,0.11,Common,4,8ad44884-ae0d-40ae-87a9-bad043d4e9ad,4,neo,common
Befriending the Moths // Imperial Moth,Kamigawa: Neon Dynasty,1,TRUE,0.06,Common,4,8ad44884-ae0d-40ae-87a9-bad043d4e9ad,4,neo,common
Blade-Blizzard Kitsune,Kamigawa: Neon Dynasty,1,FALSE,0.15,Uncommon,5,d8419d27-8c6e-4f38-98b4-60dd9a910c43,5,neo,uncommon
Born to Drive,Kamigawa: Neon Dynasty,1,FALSE,0.20,Uncommon,6,ffdfad1f-d316-4023-9c79-8c24f1cd31d0,6,neo,uncommon
Born to Drive,Kamigawa: Neon Dynasty,1,TRUE,0.19,Uncommon,6,ffdfad1f-d316-4023-9c79-8c24f1cd31d0,6,neo,uncommon
Brilliant Restoration,Kamigawa: Neon Dynasty,1,FALSE,0.95,Rare,7,64f7a506-0aa1-4c2d-b322-e0e9179d05fb,7,neo,rare
Cloudsteel Kirin,Kamigawa: Neon Dynasty,1,FALSE,0.38,Rare,8,a13ddda7-da6e-415e-8886-295514f862d4,8,neo,rare
Dragonfly Suit,Kamigawa: Neon Dynasty,1,FALSE,0.15,Common,9,4900862f-90f4-450b-a775-219da4ce67ef,9,neo,common
Eiganjo Exemplar,Kamigawa: Neon Dynasty,1,FALSE,0.15,Common,10,3b0a9cc0-bb6d-47f7-b0d5-3956c46a1b3a,10,neo,common
Era of Enlightenment // Hand of Enlightenment,Kamigawa: Neon Dynasty,1,FALSE,0.13,Common,11,74f43827-2b9b-4fc9-a6e2-c682dfbf14f7,11,neo,common
The Fall of Lord Konda // Fragment of Konda,Kamigawa: Neon Dynasty,1,FALSE,0.15,Uncommon,12,4d784409-df6d-45d4-8f8b-6e3fd57a8fde,12,neo,uncommon
Farewell,Kamigawa: Neon Dynasty,1,FALSE,5.49,Rare,13,e1068723-d1ef-4007-97d9-b10dccdbade4,13,neo,rare
Go-Shintai of Shared Purpose,Kamigawa: Neon Dynasty,1,FALSE,0.24,Uncommon,14,0ab91962-ebad-46f6-9f90-7477c224d93d,14,neo,uncommon
Golden-Tail Disciple,Kamigawa: Neon Dynasty,1,FALSE,0.15,Common,15,d631e7da-bd71-424a-a349-9bce0fd16b1f,15,neo,common
Hotshot Mechanic,Kamigawa: Neon Dynasty,1,FALSE,0.20,Uncommon,16,5a70e8fa-b71d-441e-b049-dacb09a9a7af,16,neo,uncommon
Imperial Oath,Kamigawa: Neon Dynasty,1,FALSE,0.15,Common,17,3d6750dd-2303-493b-885d-1bfb5787b16c,17,neo,common
Imperial Recovery Unit,Kamigawa: Neon Dynasty,1,FALSE,0.17,Uncommon,18,ac9b2c7b-c93b-4b97-999e-86faed8a26ee,18,neo,uncommon
Imperial Subduer,Kamigawa: Neon Dynasty,1,FALSE,0.15,Common,19,13246172-7554-4edc-b6db-23dc91e4290a,19,neo,common
Intercessor's Arrest,Kamigawa: Neon Dynasty,1,FALSE,0.15,Common,20,e83f2148-bb5d-4236-8d12-150deed0577e,20,neo,common
Invoke Justice,Kamigawa: Neon Dynasty,1,FALSE,0.25,Rare,21,3a598ab6-3254-49fe-b69f-e7c759129599,21,neo,rare
Kitsune Ace,Kamigawa: Neon Dynasty,1,FALSE,0.15,Common,22,ef1d446a-8607-45b8-a01f-dad17bab76e7,22,neo,common
"Kyodai, Soul of Kamigawa",Kamigawa: Neon Dynasty,1,FALSE,0.26,Rare,23,cbbfd21e-96f1-4e5b-8546-73bb5a887b98,23,neo,rare
Light the Way,Kamigawa: Neon Dynasty,1,FALSE,0.15,Common,24,3a2fd960-c4ec-4dfa-a61d-f8577b9d3519,24,neo,common
"Light-Paws, Emperor's Voice",Kamigawa: Neon Dynasty,1,FALSE,0.97,Rare,25,39555a72-a57b-45ee-9222-ce3b9e8de126,25,neo,rare
Lion Sash,Kamigawa: Neon Dynasty,1,FALSE,2.20,Rare,26,3e1766e9-2fa7-4446-a255-7beea1467ece,26,neo,rare
