Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Active Volcano,Legends,1,FALSE,0.46,Common,,ad402e65-6fac-4005-a2d4-592983df0c30,130,leg,common
Alabaster Potion,Legends,1,FALSE,0.40,Common,,2806c7f6-8fdd-4e65-9c71-f2e8b0cdede2,2,leg,common
All Hallow's Eve,Legends,1,FALSE,524.99,Rare,,18787a2d-6688-47e9-94bc-ccf229df823f,88,leg,rare
Amrou Kithkin,Legends,1,FALSE,0.46,Common,,cbce1c55-123c-4a05-bde4-18a1601fcc5a,3,leg,common
Blazing Effigy,Legends,1,FALSE,0.40,Common,,921011ff-1696-4575-9198-abe993a0ee7a,134,leg,common
Boomerang,Legends,1,FALSE,1.44,Common,,b8286edd-644b-4135-8dca-af97f3920de3,48,leg,common
Cat Warriors,Legends,1,FALSE,0.47,Common,,d2187a64-2823-4f58-ad35-70f8913db2dc,177,leg,common
Cathedral of Serra,Legends,1,FALSE,12.76,Uncommon,,e65356e6-0ead-49fd-b069-be1ea9b1c105,301,leg,uncommon
Clergy of the Holy Nimbus,Legends,1,FALSE,0.50,Common,,db1f578f-fa3b-4447-953b-1490852b6c80,6,leg,common
Crevasse,Legends,1,FALSE,1.40,Uncommon,,a432d6ae-a17f-484b-ad55-4b4b6674ba8d,138,leg,uncommon
Crimson Kobolds,Legends,1,FALSE,2.55,Common,,13696657-aeef-4add-9a3b-8137fce01fe3,139,leg,common
Crookshank Kobolds,Legends,1,FALSE,1.90,Common,,7af6b119-7db4-49dd-aaa4-044b8c133f13,141,leg,common
Cyclopean Mummy,Legends,1,FALSE,0.38,Common,,479ccc50-2d72-4adc-901e-fbd4eef2cf92,93,leg,common
D'Avenant Archer,Legends,1,FALSE,0.42,Common,,b09aee5c-8b9e-46c2-b4d4-508062f8af05,7,leg,common
Devouring Deep,Legends,1,FALSE,0.42,Common,,0855a5a8-8c40-4396-9ad1-8fa0fc6a0c59,50,leg,common
Divine Offering,Legends,1,FALSE,0.72,Common,,9c78c2f3-2f40-48ad-9dc4-55d1fa399a56,9,leg,common
