Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Adder-Staff Boggart,Lorwyn,1,FALSE,0.22,Common,148,d116839f-6a3a-4a2e-a3ab-ea177c012746,148,lrw,common
Amoeboid Changeling,Lorwyn,1,FALSE,0.54,Common,51,068518d2-f061-4061-b208-158e991156b6,51,lrw,common
Ancient Amphitheater,Lorwyn,1,FALSE,0.70,Rare,266,2ff3a82d-e794-4c3b-994d-b28b8eb7eac4,266,lrw,rare
Aquitect's Will,Lorwyn,1,FALSE,0.49,Common,52,fd13d2c1-3db7-4fdc-9321-57c9d6e8c3ae,52,lrw,common
Arbiter of Knollridge,Lorwyn,1,FALSE,0.49,Rare,2,6b598cf2-c327-422b-9527-1b28645ba70c,2,lrw,rare
Ashling's Prerogative,Lorwyn,1,FALSE,0.89,Rare,150,d850d95e-ba27-49cc-aa7a-42508852fe20,150,lrw,rare
Avian Changeling,Lorwyn,1,FALSE,0.30,Common,4,f2258bd3-e38b-4029-a9fb-f9ae86dbbc3a,4,lrw,common
Axegrinder Giant,Lorwyn,1,FALSE,0.20,Common,151,8595e9a1-010e-48a7-91e4-3d2722c8dbc0,151,lrw,common
Battle Mastery,Lorwyn,1,FALSE,0.30,Uncommon,5,79e234ce-6d61-4d62-a8cd-fa985a6aba60,5,lrw,uncommon
Black Poplar Shaman,Lorwyn,1,FALSE,0.28,Common,99,11a1fc03-5719-49ed-9d53-d8ea5693373e,99,lrw,common
Blades of Velis Vel,Lorwyn,1,FALSE,0.25,Common,152,5a3ac629-a8c9-4b84-a8ea-b775d7913238,152,lrw,common
Blind-Spot Giant,Lorwyn,1,FALSE,0.24,Common,153,75aaca31-8ed5-4e8a-8332-1cca77903f88,153,lrw,common
Bog Hoodlums,Lorwyn,1,FALSE,0.24,Common,100,f2459953-a4b5-4a9c-85ed-928b684d7240,100,lrw,common
Boggart Birth Rite,Lorwyn,1,FALSE,0.25,Common,101,1bb4916d-ab50-45c9-bf7e-e7a7e761aef4,101,lrw,common
Boggart Forager,Lorwyn,1,FALSE,0.22,Common,154,fbc26374-d8de-4740-b1ec-ac92cfedbebc,154,lrw,common
Boggart Harbinger,Lorwyn,1,FALSE,1.00,Uncommon,102,8ea8d2b8-bcac-410d-aa5a-e4a74f7d5315,102,lrw,uncommon
Boggart Loggers,Lorwyn,1,FALSE,0.22,Common,103,9ed9a638-c3f9-48dd-9633-5c52146e0dcd,103,lrw,common
Boggart Mob,Lorwyn,1,FALSE,1.27,Rare,104,a61990de-0daf-4340-8e6b-c49852d46980,104,lrw,rare
Boggart Shenanigans,Lorwyn,1,FALSE,5.00,Uncommon,155,1b3c0ea9-270d-4738-9462-7f48fecb4bf4,155,lrw,uncommon
Bog-Strider Ash,Lorwyn,1,FALSE,0.21,Common,198,310a1b54-56d9-496a-b910-90cc55996ad4,198,lrw,common
"Brigid, Hero of Kinsbaile",Lorwyn,1,FALSE,1.33,Rare,6,da70a20f-213e-4d79-a46f-1ef1fc3f4a51,6,lrw,rare
Brion Stoutarm,Lorwyn,1,FALSE,0.78,Rare,246,aa21cfc2-9671-4bf3-b922-2f436f284cb1,246,lrw,rare
Broken Ambitions,Lorwyn,1,FALSE,0.25,Common,54,8052d90b-bc49-4a9e-9211-159a54aa2bcd,54,lrw,common
Burrenton Forge-Tender,Lorwyn,1,FALSE,0.44,Uncommon,7,c000c3e4-d71a-43c8-8ded-f3da54bc088d,7,lrw,uncommon
