Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Acolyte of the Inferno,Magic Origins,1,FALSE,0.20,Uncommon,128,186581c7-81a6-4c27-b8a9-ff7f7a4b1d40,128,ori,uncommon
Aerial Volley,Magic Origins,1,FALSE,0.15,Common,168,c5178301-f766-48d3-af07-6bd6f822c725,168,ori,common
Akroan Jailer,Magic Origins,1,FALSE,0.15,Common,1,8d96bc2b-2e31-4654-b192-c3f023d9fde6,1,ori,common
Akroan Sergeant,Magic Origins,1,FALSE,0.15,Common,130,31913547-460c-45b3-be23-89f0e3a43325,130,ori,common
Alchemist's Vial,Magic Origins,1,FALSE,0.20,Common,220,251f89c5-d4da-4754-83fa-218c8864ef41,220,ori,common
Ampryn Tactician,Magic Origins,1,FALSE,0.15,Common,2,82a2e1d9-6763-4024-a18b-982d96395553,2,ori,common
Anointer of Champions,Magic Origins,1,FALSE,0.20,Uncommon,3,36d060c9-8385-40af-87eb-b4688ebb8e7c,3,ori,uncommon
Auramancer,Magic Origins,1,FALSE,0.18,Common,5,598ebb91-57d6-4800-8931-4d0016e9fec1,5,ori,common
Aven Battle Priest,Magic Origins,1,FALSE,0.15,Common,6,b0060e75-a5a4-4d9a-894c-45bb7e2feffc,6,ori,common
Blazing Hellhound,Magic Origins,1,FALSE,0.20,Uncommon,210,332769b1-1eb5-4c77-8317-27addc28650b,210,ori,uncommon
Blessed Spirits,Magic Origins,1,FALSE,0.20,Uncommon,7,150dd602-5f61-4f1e-a422-e64c079de141,7,ori,uncommon
Blood-Cursed Knight,Magic Origins,1,FALSE,0.20,Uncommon,211,644bb558-113e-4e49-a395-7e0036c3419c,211,ori,uncommon
Boggart Brute,Magic Origins,1,FALSE,0.15,Common,133,9d735ebf-61a4-4507-9399-6d32c8903ded,133,ori,common
Bounding Krasis,Magic Origins,1,FALSE,0.25,Uncommon,212,660befe5-9c98-4aa3-9ca7-e643eaf91490,212,ori,uncommon
Brawler's Plate,Magic Origins,1,FALSE,0.20,Uncommon,224,da0a017e-eb8e-4f92-91f7-7d980461e284,224,ori,uncommon
Calculated Dismissal,Magic Origins,1,FALSE,0.20,Common,48,2c42ab35-6050-42b2-9c3c-3252f2e69442,48,ori,common
Catacomb Slug,Magic Origins,1,FALSE,0.15,Common,86,d30d6df7-6199-4b06-9d45-785ee1e2ed3b,86,ori,common
Caustic Caterpillar,Magic Origins,1,FALSE,0.25,Common,170,f03d4e0d-bddd-4835-91b8-11c2f15e54c3,170,ori,common
Caves of Koilos,Magic Origins,1,FALSE,0.94,Rare,245,ca145c1c-537a-459e-9241-0b95368aaf3a,245,ori,rare
Celestial Flare,Magic Origins,1,FALSE,0.16,Common,8,89bb3b06-b33b-4897-882e-75b75790ea02,8,ori,common
Charging Griffin,Magic Origins,1,FALSE,0.15,Common,9,d86bd259-bc2f-402c-9e7a-030f9a3781e2,9,ori,common
Clash of Wills,Magic Origins,1,FALSE,0.25,Uncommon,49,665ee42f-8d76-4f8b-9dd3-7455a90f0da7,49,ori,uncommon
Claustrophobia,Magic Origins,1,FALSE,0.15,Common,50,4d249de3-4a84-4e98-9557-06e23e78de15,50,ori,common
Cleric of the Forward Order,Magic Origins,1,FALSE,0.15,Common,10,cfcea783-e9f0-4d44-ac74-5aee9a07aa69,10,ori,common
Cobblebrute,Magic Origins,1,FALSE,0.15,Common,138,ffa87a70-c9fb-4ab3-ac16-367888aa775b,138,ori,common
Consul's Lieutenant,Magic Origins,1,FALSE,0.20,Uncommon,11,301a1b68-2890-4702-a90e-bad8d309c40d,11,ori,uncommon
Cruel Revival,Magic Origins,1,FALSE,0.20,Uncommon,88,a863ae27-a99a-4a60-ab07-25c1bacec64d,88,ori,uncommon
Deadbridge Shaman,Magic Origins,1,FALSE,0.15,Common,91,2b62a4c2-e66d-4fc3-8703-a90b84f567bf,91,ori,common
Demolish,Magic Origins,1,FALSE,0.18,Common,139,ae7c95da-458d-4914-9e7c-2c5fc1aa626b,139,ori,common
Disperse,Magic Origins,1,FALSE,0.18,Common,54,f790b0b5-ed67-40f8-b23b-10cf0a71f285,54,ori,common
Dreadwaters,Magic Origins,1,FALSE,0.18,Common,56,c4c1434a-4832-4008-a091-e0703dedd0a2,56,ori,common
Dwynen's Elite,Magic Origins,1,FALSE,0.25,Uncommon,173,c203722b-3f16-4b6c-9b2e-18169d3f80c9,173,ori,uncommon
Elemental Bond,Magic Origins,1,FALSE,5.72,Uncommon,174,554a8769-c840-4c9d-9959-b075c174457b,174,ori,uncommon
Elvish Visionary,Magic Origins,1,FALSE,0.20,Common,175,367ef35a-528b-407c-8b8d-679109662bae,175,ori,common
Enlightened Ascetic,Magic Origins,1,FALSE,0.20,Common,12,76549fc3-5798-4c70-bb70-802b6f597eb7,12,ori,common
Enshrouding Mist,Magic Origins,1,FALSE,0.15,Common,13,b059bd3e-451c-445a-b299-544c82fc0eb9,13,ori,common
Enthralling Victor,Magic Origins,1,FALSE,0.20,Uncommon,142,3607d63b-82ab-44f0-aef5-d9063e17c76f,142,ori,uncommon
Erebos's Titan,Magic Origins,1,FALSE,0.50,Mythic Rare,94,f5972911-2d41-4a0c-8a8f-b3d35a6594d8,94,ori,mythic
Evolving Wilds,Magic Origins,1,FALSE,0.20,Common,246,b14a3dd4-27bd-4825-a525-2d6cc2201046,246,ori,common
Eyeblight Assassin,Magic Origins,1,FALSE,0.15,Common,95,7f8aaaf1-6b21-465d-8450-0718beb9106b,95,ori,common
Faerie Miscreant,Magic Origins,1,FALSE,0.23,Common,57,1c487f1a-a51d-449c-827d-c7b9381acb34,57,ori,common
Fiery Impulse,Magic Origins,1,FALSE,0.40,Common,145,5b81a589-44bf-4441-9079-1ae66d067519,145,ori,common
Firefiend Elemental,Magic Origins,1,FALSE,0.16,Common,146,55051412-8749-4b65-ac76-c20ef57fd2e3,146,ori,common
Forest,Magic Origins,1,FALSE,0.15,Basic Land,269,b4ee8330-f1bf-460b-9345-00d08665e9cf,269,ori,common
Forest,Magic Origins,1,FALSE,0.14,Basic Land,272,b4ee8330-f1bf-460b-9345-00d08665e9cf,269,ori,common
Ghirapur Gearcrafter,Magic Origins,1,TRUE,0.41,Common,149,f05cafb6-8812-42bb-ad14-3dde4bcb7034,149,ori,common
Grasp of the Hieromancer,Magic Origins,1,FALSE,0.15,Common,15,6a8740d2-7fcf-4bdf-afea-0c28c025370c,15,ori,common
Guardian Automaton,Magic Origins,1,FALSE,0.15,Common,227,7e8916b7-f5e4-4fae-8db8-9859d69212ec,227,ori,common
Guardians of Meletis,Magic Origins,1,FALSE,0.15,Common,228,2ff39de2-d071-4568-baac-25b505a2da56,228,ori,common
Heavy Infantry,Magic Origins,1,FALSE,0.15,Common,18,2b904b1c-bf35-4bc1-8022-7f632160733d,18,ori,common
"Hixus, Prison Warden",Magic Origins,1,FALSE,0.35,Rare,19,d0c21a35-4b70-4de4-93ff-c0ccabdc39e0,19,ori,rare
Hydrolash,Magic Origins,1,FALSE,0.20,Uncommon,59,eeaaa583-bdd3-448a-921e-527df5f7f548,59,ori,uncommon
Infectious Bloodlust,Magic Origins,1,FALSE,0.15,Common,152,ee44df88-45a4-46ef-a8bd-f7fb7b9542b8,152,ori,common
Infernal Scarring,Magic Origins,1,FALSE,0.15,Common,102,d1ead8cc-5b7d-4a6d-a56f-95da91a958d2,102,ori,common
Jhessian Thief,Magic Origins,1,FALSE,0.20,Uncommon,62,33b8553d-d326-4280-bc3a-2fffdd377cd2,62,ori,uncommon
Knight of the Pilgrim's Road,Magic Origins,1,FALSE,0.15,Common,20,b9de5f39-b07a-4272-8992-ed971132c9c4,20,ori,common
Knightly Valor,Magic Origins,1,FALSE,0.20,Uncommon,22,20930fab-eb4f-4179-94a7-84dc7055710a,22,ori,uncommon
"Kothophed, Soul Hoarder",Magic Origins,1,FALSE,0.40,Rare,104,036e696a-b2aa-40ba-9ed6-3a859c4288a0,104,ori,rare
Lightning Javelin,Magic Origins,1,FALSE,0.15,Common,153,c1ccaeed-9670-4432-8a45-d5c06119fa9f,153,ori,common
Mage-Ring Bully,Magic Origins,1,FALSE,0.15,Common,154,1a129f22-dd7e-4b2c-a514-a2ac55bb5661,154,ori,common
Mage-Ring Network,Magic Origins,1,FALSE,0.25,Uncommon,249,4988180b-a374-43fd-b299-fb61c781df2e,249,ori,uncommon
Magmatic Insight,Magic Origins,1,FALSE,0.30,Uncommon,155,f00192e0-439d-43b2-882c-90a2d52103f8,155,ori,uncommon
Malakir Cullblade,Magic Origins,1,FALSE,0.25,Uncommon,108,70861692-1eb2-4cb1-8d7f-b881386c37d1,108,ori,uncommon
Mantle of Webs,Magic Origins,1,FALSE,0.15,Common,187,3b09e36a-ad53-44ae-8586-2b658e3c533c,187,ori,common
Maritime Guard,Magic Origins,1,FALSE,0.15,Common,63,1008ff1b-7fb0-4570-b23e-9fda14b97640,63,ori,common
Meteorite,Magic Origins,1,FALSE,0.20,Uncommon,233,23a8969f-d7a6-479a-9277-1270ee533c4a,233,ori,uncommon
Might of the Masses,Magic Origins,1,FALSE,0.15,Common,188,c3b53cc0-ef96-40da-b9b8-d93fdae40cb8,188,ori,common
Mountain,Magic Origins,1,FALSE,0.15,Basic Land,266,e7b95522-a9de-4ec1-8158-c66813919e62,265,ori,common
Mountain,Magic Origins,1,FALSE,0.15,Basic Land,267,e7b95522-a9de-4ec1-8158-c66813919e62,265,ori,common
Mountain,Magic Origins,1,FALSE,0.15,Basic Land,265,e7b95522-a9de-4ec1-8158-c66813919e62,265,ori,common
Murder Investigation,Magic Origins,1,FALSE,0.20,Uncommon,27,07d8d6f7-ed22-4e01-9aeb-c6bc0065c89c,27,ori,uncommon
Nantuko Husk,Magic Origins,1,FALSE,0.20,Common,109,3915c0be-7e9c-45bc-9c83-80beba469a81,109,ori,common
Negate,Magic Origins,1,FALSE,0.25,Common,65,e848b632-e08a-4341-a99c-d8207f9ffe48,65,ori,common
Nissa's Pilgrimage,Magic Origins,1,FALSE,0.32,Common,190,800cef89-e90c-4f84-a7a0-3cd203532169,190,ori,common
Nivix Barrier,Magic Origins,1,FALSE,0.15,Common,66,0b9b968d-b0cc-411d-9366-8358be28aef2,66,ori,common
Patron of the Valiant,Magic Origins,1,FALSE,0.20,Uncommon,28,1b5c0526-ac1f-40ca-a597-bf004f2e2377,28,ori,uncommon
Pharika's Disciple,Magic Origins,1,FALSE,0.16,Common,194,f0b3d8f7-6a41-49ba-b111-d34a345394c0,194,ori,common
