Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Coppercoat Vanguard,March of the Machine: The Aftermath,1,TRUE,0.20,Uncommon,1,d786f05d-78a2-41b6-a185-111e8c1b216b,1,mat,uncommon
Deification,March of the Machine: The Aftermath,1,TRUE,0.18,Rare,2,52ce799e-cb9e-4d74-8b13-a5f4559e13a9,2,mat,rare
Harnessed Snubhorn,March of the Machine: The Aftermath,1,TRUE,0.07,Uncommon,3,553ed1d8-4d5c-48f8-8513-031bd8977d75,3,mat,uncommon
Metropolis Reformer,March of the Machine: The Aftermath,1,TRUE,0.82,Rare,4,a61a3ba1-af6c-4ddc-aa82-34bfc30867d0,4,mat,rare
Spark Rupture,March of the Machine: The Aftermath,1,TRUE,0.12,Rare,5,a027a75f-4faf-4e96-9035-d1f622b9b607,5,mat,rare
"Tazri, Stalwart Survivor",March of the Machine: The Aftermath,1,TRUE,0.16,Rare,6,227d0d7d-544b-4736-914d-10d5d752eb42,6,mat,rare
Filter Out,March of the Machine: The Aftermath,1,TRUE,0.13,Uncommon,7,a81a9eb1-240b-40fd-9282-0f5abec63449,7,mat,uncommon
Tolarian Contempt,March of the Machine: The Aftermath,1,TRUE,0.02,Uncommon,8,f72a9deb-9329-4930-a906-136c26490d52,8,mat,uncommon
Training Grounds,March of the Machine: The Aftermath,1,TRUE,3.20,Rare,9,991c27ed-f53c-48c6-8c12-282f44b8d441,9,mat,rare
Vesuvan Drifter,March of the Machine: The Aftermath,1,TRUE,0.18,Rare,10,f2785902-2757-406b-bc75-6f05e0edc98d,10,mat,rare
Ayara's Oathsworn,March of the Machine: The Aftermath,1,TRUE,0.36,Rare,11,5330e6b7-eca3-46a4-8905-8f1de16f76af,11,mat,rare
Blot Out,March of the Machine: The Aftermath,1,TRUE,0.13,Uncommon,12,424eb4c7-647e-4168-9471-f299e8e77f5f,12,mat,uncommon
Death-Rattle Oni,March of the Machine: The Aftermath,1,TRUE,0.12,Uncommon,13,d5e0b5cf-39e8-454f-a942-f7865416ef81,13,mat,uncommon
