Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Invasion of Ravnica // Guildpact Paragon,March of the Machine,1,TRUE,0.69,Mythic Rare,1,73f8fc4f-2f36-4932-8d04-3c2651c116dc,1,mom,mythic
Aerial Boost,March of the Machine,1,TRUE,0.03,Common,2,f7017afb-4c7c-4c8d-9c9d-3f056a55561e,2,mom,common
Alabaster Host Intercessor,March of the Machine,1,TRUE,0.08,Common,3,165357cc-ec74-490f-aec3-7048bb43c8f9,3,mom,common
Alabaster Host Sanctifier,March of the Machine,1,TRUE,0.03,Common,4,efbd934a-39c4-4ce7-af2a-34ca226d7f23,4,mom,common
Angelic Intervention,March of the Machine,1,TRUE,0.13,Common,5,09fb5876-5b47-4a05-be57-7ad3890c8953,5,mom,common
Attentive Skywarden,March of the Machine,1,TRUE,0.09,Common,7,83d89bd5-95cc-41fc-aea2-2dde52231919,7,mom,common
Bola Slinger,March of the Machine,1,TRUE,0.04,Common,8,896043a7-c7a2-4542-8739-7b4f09c6e1f1,8,mom,common
Cut Short,March of the Machine,1,TRUE,0.07,Common,10,b0a45d4d-d16a-43c6-843c-916d4629aae1,10,mom,common
Dusk Legion Duelist,March of the Machine,1,FALSE,0.74,Rare,11,7305a8d3-5403-4483-92af-863dc91c6084,11,mom,rare
Elesh Norn // The Argent Etchings,March of the Machine,1,TRUE,6.82,Mythic Rare,12,d8999135-ddb1-4e4c-b885-e25f23dac3d3,12,mom,mythic
Elspeth's Smite,March of the Machine,1,TRUE,2.70,Uncommon,13,f03a480f-de67-4611-9db7-c0c3d020f597,13,mom,uncommon
Enduring Bondwarden,March of the Machine,1,TRUE,0.04,Common,14,eb0680eb-ceca-44d9-9654-78ea2ccfce17,14,mom,common
Golden-Scale Aeronaut,March of the Machine,1,TRUE,0.06,Common,15,8b2f3c52-8d6a-411a-aa62-cbb08a144351,15,mom,common
Guardian of Ghirapur,March of the Machine,1,TRUE,0.34,Rare,16,9503a1e6-f0bf-44d0-a28b-56fbfcff1ff2,16,mom,rare
"Heliod, the Radiant Dawn // Heliod, the Warped Eclipse",March of the Machine,1,TRUE,1.78,Rare,17,a7113c93-6c6d-410f-aeec-abc5ee121cdf,17,mom,rare
Infected Defector,March of the Machine,1,TRUE,0.05,Common,18,2777f8b5-2f8e-4cb8-9206-8a4978488657,18,mom,common
Inspired Charge,March of the Machine,1,TRUE,0.02,Common,19,9f17e624-219a-4e76-bfe0-f49c9ddd4a6d,19,mom,common
Invasion of Belenon // Belenon War Anthem,March of the Machine,1,TRUE,0.10,Uncommon,20,4fb0eb2d-9cb7-4e72-a970-5009b046df2a,20,mom,uncommon
Invasion of Dominaria // Serra Faithkeeper,March of the Machine,1,TRUE,0.18,Uncommon,21,7e784d3d-0c6d-4ce5-beb5-edd2adb32385,21,mom,uncommon
Invasion of Gobakhan // Lightshield Array,March of the Machine,1,TRUE,3.60,Rare,22,11798730-6788-4e0b-a828-b46cab1a4fa7,22,mom,rare
"Invasion of Theros // Ephara, Ever-Sheltering",March of the Machine,1,TRUE,0.56,Rare,23,433e9f1c-9d6c-4c7e-89d0-79595b4331f2,23,mom,rare
Kithkin Billyrider,March of the Machine,1,TRUE,0.10,Common,24,0535b69f-247d-49c9-97e1-d988700578ab,24,mom,common
Knight of the New Coalition,March of the Machine,1,TRUE,0.06,Common,25,56a3108b-c33d-47c5-984b-01fa257fbd79,25,mom,common
Knight-Errant of Eos,March of the Machine,1,TRUE,3.37,Rare,26,ab2ad652-2406-491a-9f22-23e974f943d7,26,mom,rare
Kor Halberd,March of the Machine,1,TRUE,0.07,Common,27,a4705327-ada6-4575-82fc-351e183d060e,27,mom,common
Monastery Mentor,March of the Machine,1,FALSE,3.81,Mythic Rare,28,75665c2f-a100-4e3f-be8e-b5cc3c9a090b,28,mom,mythic
Norn's Inquisitor,March of the Machine,1,TRUE,0.20,Uncommon,29,d387b608-ba4e-49c8-bd81-37594290a352,29,mom,uncommon
Phyrexian Awakening,March of the Machine,1,TRUE,0.19,Uncommon,30,6b9ed068-b6bb-4c9e-a8c9-56aa9b62037a,30,mom,uncommon
Phyrexian Censor,March of the Machine,1,TRUE,0.47,Uncommon,31,150e17b1-b9fd-4ec4-b305-19596fed14d1,31,mom,uncommon
Progenitor Exarch,March of the Machine,1,TRUE,0.29,Rare,32,f86f7d03-ce71-498d-9dc5-2bd853ac0eae,32,mom,rare
Realmbreaker's Grasp,March of the Machine,1,TRUE,0.12,Common,33,67a41675-47dd-40ca-a30c-0fd0faa32b76,33,mom,common
Scrollshift,March of the Machine,1,TRUE,0.19,Common,34,6fc278d1-2ea4-4fbc-95cd-a9cd48c3c630,34,mom,common
Seal from Existence,March of the Machine,1,TRUE,0.28,Uncommon,35,2ccc29cc-025d-402e-9fe3-75998eb290c9,35,mom,uncommon
Seraph of New Capenna // Seraph of New Phyrexia,March of the Machine,1,TRUE,0.05,Uncommon,36,fbd9ed1d-1972-4db8-bc43-b05b94956aa0,36,mom,uncommon
Sigiled Sentinel,March of the Machine,1,TRUE,0.03,Common,37,7f65b178-51d6-4dcb-a1cc-4b4dcb2237cd,37,mom,common
Sun-Blessed Guardian // Furnace-Blessed Conqueror,March of the Machine,1,TRUE,0.03,Uncommon,38,630ce82b-0d09-4a12-8cba-0b0ed8415128,38,mom,uncommon
Sunder the Gateway,March of the Machine,1,TRUE,0.17,Common,39,194ad785-21bb-4ce6-8776-31c67259fb99,39,mom,common
Sunfall,March of the Machine,1,TRUE,7.20,Rare,40,32e29c7d-ed4b-4eff-b3c2-d99e5b63ef8d,40,mom,rare
Surge of Salvation,March of the Machine,1,TRUE,1.22,Uncommon,41,41d25ee5-0348-4206-bb6a-ccb0a599ac87,41,mom,uncommon
Swordsworn Cavalier,March of the Machine,1,TRUE,0.02,Common,42,aa0461fc-4298-45b9-90a0-939093cf2544,42,mom,common
Tarkir Duneshaper // Burnished Dunestomper,March of the Machine,1,TRUE,0.05,Common,43,fdc37acc-05ba-4457-8a03-d635497bfb1b,43,mom,common
Tiller of Flesh,March of the Machine,1,TRUE,0.14,Uncommon,44,49e206f2-1647-4456-8f2f-b67d053413e2,44,mom,uncommon
Zhalfirin Lancer,March of the Machine,1,FALSE,0.15,Uncommon,45,277e5b49-c53f-4bf7-aac0-950d8708b957,45,mom,uncommon
Artistic Refusal,March of the Machine,1,FALSE,0.19,Uncommon,46,2bd05f97-ef8b-4cbe-a44b-6501aa5895b0,46,mom,uncommon
Assimilate Essence,March of the Machine,1,TRUE,0.07,Common,47,f6ee12ba-0e6c-485a-a1ff-61726ed72fea,47,mom,common
Astral Wingspan,March of the Machine,1,TRUE,0.14,Uncommon,48,be2ef728-a2c7-45ee-8594-372ed135b482,48,mom,uncommon
Captive Weird // Compleated Conjurer,March of the Machine,1,TRUE,0.05,Uncommon,49,70668650-0fb1-4486-a4e6-ab9a12be5626,49,mom,uncommon
Change the Equation,March of the Machine,1,TRUE,0.25,Uncommon,50,e98db9ed-b43f-4bc1-b7a9-ce03a534d992,50,mom,uncommon
Chrome Host Seedshark,March of the Machine,1,TRUE,1.52,Rare,51,febaaeae-5c0d-45fa-8169-b27b4996f18e,51,mom,rare
Complete the Circuit,March of the Machine,1,TRUE,0.17,Rare,52,cdf5de96-9418-48f1-a18e-01a0108c4f97,52,mom,rare
Corruption of Towashi,March of the Machine,1,TRUE,0.07,Uncommon,53,0e896a87-2a93-488c-a0c9-0bed8404da44,53,mom,uncommon
Disturbing Conversion,March of the Machine,1,TRUE,0.02,Common,54,4a63d530-27c3-4cd7-ac37-c62b5a1afbc1,54,mom,common
Ephara's Dispersal,March of the Machine,1,TRUE,0.17,Common,55,b0bcc71f-72ec-4a76-9393-ed3ea61eeeb6,55,mom,common
Expedition Lookout,March of the Machine,1,TRUE,0.03,Common,56,7e14dfd2-5805-46ef-bd19-dab7ac23fbce,56,mom,common
Eyes of Gitaxias,March of the Machine,1,TRUE,0.05,Common,57,c4303347-3fbd-4bbd-ab3f-e7ddbe0e0a9d,57,mom,common
Faerie Mastermind,March of the Machine,1,TRUE,25.34,Rare,58,52d3005f-a1c7-4ef5-911f-ccc0752f4181,58,mom,rare
Furtive Analyst,March of the Machine,1,TRUE,0.02,Common,59,98c55aff-baed-4fb5-a490-abd59b8df5e7,59,mom,common
Halo-Charged Skaab,March of the Machine,1,TRUE,0.04,Common,60,5c6bdac3-6762-41a4-821f-ab7034a823d9,60,mom,common
Invasion of Arcavios // Invocation of the Founders,March of the Machine,1,FALSE,0.35,Rare,61,1c3f661d-b9f7-48e7-afe3-3eaea1022bc1,61,mom,rare
Invasion of Kamigawa // Rooftop Saboteurs,March of the Machine,1,TRUE,0.09,Uncommon,62,3140320d-b932-441f-bff3-9bdf4419b88a,62,mom,uncommon
"Invasion of Segovia // Caetus, Sea Tyrant of Segovia",March of the Machine,1,TRUE,1.27,Rare,63,9df3e743-7bb8-482a-afd1-4d51119d416c,63,mom,rare
Invasion of Vryn // Overloaded Mage-Ring,March of the Machine,1,TRUE,0.18,Uncommon,64,c0ef6737-8e85-42ca-8ee6-6a34f9462de3,64,mom,uncommon
Jin-Gitaxias // The Great Synthesis,March of the Machine,1,FALSE,4.54,Mythic Rare,65,41c83142-b948-4ee5-a486-41306d2bb411,65,mom,mythic
Meeting of Minds,March of the Machine,1,TRUE,0.16,Common,66,508b8650-c283-4e54-abdc-32ec2fb1ee34,66,mom,common
Moment of Truth,March of the Machine,1,TRUE,0.24,Common,67,0e758594-a48c-4508-b400-9028aec07f63,67,mom,common
Negate,March of the Machine,1,TRUE,1.55,Common,68,81752db1-374e-4723-b695-a2f4a634dfc6,68,mom,common
Oculus Whelp,March of the Machine,1,TRUE,0.02,Common,69,58b35399-79af-49fa-989e-867a85320cc2,69,mom,common
Omen Hawker,March of the Machine,1,TRUE,0.23,Uncommon,70,d0749c3c-e3f7-4c96-8c5b-4fd2401544c4,70,mom,uncommon
Oracle of Tragedy,March of the Machine,1,TRUE,0.14,Uncommon,71,e1d2aa39-b876-4136-8e16-5272a8083235,71,mom,uncommon
Order of the Mirror // Order of the Alabaster Host,March of the Machine,1,TRUE,0.02,Common,72,103295ed-5ddc-4528-8848-4fd2cfec4b88,72,mom,common
Preening Champion,March of the Machine,1,TRUE,0.07,Common,73,44178ece-af31-4a94-88bc-c9ce43bb4573,73,mom,common
Protocol Knight,March of the Machine,1,TRUE,0.04,Common,74,af6cb380-0b4d-4870-abef-928eb63e1702,74,mom,common
"Rona, Herald of Invasion // Rona, Tolarian Obliterator",March of the Machine,1,TRUE,1.27,Rare,75,f487b582-e73f-4325-939f-95fc5a9aba49,75,mom,rare
Saiba Cryptomancer,March of the Machine,1,TRUE,0.33,Common,76,3934d535-740d-471a-bbf1-c3b26b1cd596,76,mom,common
See Double,March of the Machine,1,TRUE,0.91,Rare,77,41634103-7b58-4feb-84b7-90a07a7b474f,77,mom,rare
Skyclave Aerialist // Skyclave Invader,March of the Machine,1,TRUE,0.12,Uncommon,78,cd1c8e1a-bd38-47a2-a55a-682ebaede960,78,mom,uncommon
Stasis Field,March of the Machine,1,TRUE,0.13,Common,79,38211d78-ebac-4150-ac11-7613a0e9e1bc,79,mom,common
Temporal Cleansing,March of the Machine,1,TRUE,0.02,Common,80,6e67031a-8216-4c66-b6fb-6628bd02d279,80,mom,common
Thunderhead Squadron,March of the Machine,1,TRUE,0.06,Common,81,8eaa0946-591f-4136-9d8a-e56934151383,81,mom,common
Tidal Terror,March of the Machine,1,TRUE,0.16,Common,82,2e943948-2326-4446-9a16-64d6040b8856,82,mom,common
Transcendent Message,March of the Machine,1,FALSE,0.30,Rare,83,3261c7e6-45be-44d1-8855-026359ba0ae7,83,mom,rare
Wicked Slumber,March of the Machine,1,TRUE,0.11,Uncommon,84,140cd8bd-b74d-4cb1-b78f-8de3cbd878ff,84,mom,uncommon
Zephyr Singer,March of the Machine,1,TRUE,0.31,Rare,86,9678966b-65f1-405c-b8db-5f2d4f434933,86,mom,rare
Zhalfirin Shapecraft,March of the Machine,1,TRUE,0.10,Common,87,e446a380-0316-46f7-8ac9-22bce773b35f,87,mom,common
Aetherblade Agent // Gitaxian Mindstinger,March of the Machine,1,TRUE,0.09,Common,88,dad34ae5-56b4-4394-be02-e043dc1cc23d,88,mom,common
Archpriest of Shadows,March of the Machine,1,TRUE,1.07,Rare,89,f5931746-a55c-4528-9e4a-ee15edab3489,89,mom,rare
"Ayara, Widow of the Realm // Ayara, Furnace Queen",March of the Machine,1,TRUE,0.32,Rare,90,a21b1734-a773-4107-95c1-b44d5ccdfd82,90,mom,rare
Bladed Battle-Fan,March of the Machine,1,TRUE,0.08,Common,91,a28f5de4-2af6-44ff-9bb8-d874f8ae7dd1,91,mom,common
Blightreaper Thallid // Blightsower Thallid,March of the Machine,1,TRUE,0.09,Uncommon,92,f1150ea9-02b5-4767-a529-6149d758830e,92,mom,uncommon
Bloated Processor,March of the Machine,1,FALSE,0.25,Rare,93,66ddcca8-5720-4341-acce-c6694ddc97f8,93,mom,rare
Breach the Multiverse,March of the Machine,1,TRUE,7.16,Rare,94,daf51a76-7a57-4462-ae18-a19e817e49e5,94,mom,rare
Collective Nightmare,March of the Machine,1,TRUE,0.05,Uncommon,95,05864d3a-d8bb-4ddf-b721-883632050cb1,95,mom,uncommon
Compleated Huntmaster,March of the Machine,1,TRUE,0.06,Uncommon,96,4fc23af5-18dd-45f9-8d82-76b48aaf6d4d,96,mom,uncommon
Consuming Aetherborn,March of the Machine,1,TRUE,0.04,Common,97,7311ade8-eb75-40f8-b018-668762aa3b77,97,mom,common
Corrupted Conviction,March of the Machine,1,TRUE,1.74,Common,98,ce133ad5-8748-4a3d-ae8c-7b2a5938927d,98,mom,common
Deadly Derision,March of the Machine,1,TRUE,0.08,Common,99,1ec1a02f-128c-44aa-b708-6fcda34b40c0,99,mom,common
Dreg Recycler,March of the Machine,1,TRUE,0.11,Common,100,4ef82b33-82ba-4521-846b-e651764ef46d,100,mom,common
Etched Familiar,March of the Machine,1,TRUE,0.10,Common,101,4616a548-269b-4530-97e8-c690ccc138f3,101,mom,common
Etched Host Doombringer,March of the Machine,1,TRUE,0.04,Common,102,b2f1afa2-ca71-49cf-953b-d5dfc60c178f,102,mom,common
Failed Conversion,March of the Machine,1,TRUE,0.05,Common,103,358c18b7-5321-4793-b54a-e48e39548b9c,103,mom,common
Final Flourish,March of the Machine,1,TRUE,0.04,Common,104,09a4dcdb-6939-4d9f-8921-549e0ddc9f63,104,mom,common
Flitting Guerrilla,March of the Machine,1,TRUE,0.06,Common,105,9184bc57-0a16-4abf-a13a-6a03a175c28a,105,mom,common
Gift of Compleation,March of the Machine,1,TRUE,0.10,Uncommon,106,97e08244-bbdb-402a-8dde-93e17d989467,106,mom,uncommon
Glistening Deluge,March of the Machine,1,TRUE,0.41,Uncommon,107,83ca46ac-0698-4651-940d-3fd20c266b74,107,mom,uncommon
Gloomfang Mauler,March of the Machine,1,TRUE,0.09,Common,108,025a5338-133f-486d-9f73-0896226685c0,108,mom,common
Grafted Butcher,March of the Machine,1,TRUE,0.28,Rare,109,e22f11a1-0cbd-4b36-8dbd-37ba29ad4608,109,mom,rare
Hoarding Broodlord,March of the Machine,1,FALSE,2.10,Rare,110,386ce3c9-869d-461c-a3de-c8add3786f73,110,mom,rare
Ichor Drinker,March of the Machine,1,TRUE,0.08,Common,111,91fd7350-cc97-4c35-a072-2c826984293c,111,mom,common
Ichor Shade,March of the Machine,1,TRUE,0.08,Common,112,0fd86fbf-eac2-456b-b4bb-437ff9be9b58,112,mom,common
Invasion of Eldraine // Prickle Faeries,March of the Machine,1,TRUE,0.21,Uncommon,113,92f5b177-b0c6-4573-b860-f75dad1941bd,113,mom,uncommon
"Invasion of Fiora // Marchesa, Resolute Monarch",March of the Machine,1,TRUE,0.93,Rare,114,b3af679b-6ee6-4a1d-8ec3-b659bdd90b4a,114,mom,rare
Invasion of Innistrad // Deluge of the Dead,March of the Machine,1,TRUE,1.36,Mythic Rare,115,77720d2e-2b7b-492b-852c-eea5061eb31b,115,mom,mythic
Invasion of Ulgrotha // Grandmother Ravi Sengir,March of the Machine,1,TRUE,0.09,Uncommon,116,49ec5e00-22f4-486e-8e99-e950725f6fbc,116,mom,uncommon
Merciless Repurposing,March of the Machine,1,FALSE,0.15,Uncommon,117,70edec35-1770-47f0-9ad2-32e597ee0327,117,mom,uncommon
Mirrodin Avenged,March of the Machine,1,TRUE,0.17,Common,118,750b2090-7fd4-4048-a148-9a5fc7b6f265,118,mom,common
Nezumi Freewheeler // Hideous Fleshwheeler,March of the Machine,1,TRUE,0.19,Uncommon,119,76b5e289-6bc4-48ee-8d5b-6989bab9f901,119,mom,uncommon
Nezumi Informant,March of the Machine,1,TRUE,0.24,Common,120,e36fbff8-471e-4cf8-8946-e1e5cdf598af,120,mom,common
Phyrexian Gargantua,March of the Machine,1,FALSE,0.15,Uncommon,121,a2be7576-bea6-4c20-b594-a058115f7acf,121,mom,uncommon
Pile On,March of the Machine,1,FALSE,0.30,Rare,122,492e9369-0ca3-4c31-b747-75d615daf6e4,122,mom,rare
Render Inert,March of the Machine,1,TRUE,0.20,Uncommon,123,b3b66ef5-9b93-4042-a618-c1ade83d0004,123,mom,uncommon
