Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Afterlife,Mercadian Masques,1,FALSE,0.25,Uncommon,1,8fa2ecf9-b53c-4f1d-9028-ca3820d043cb,1,mmq,uncommon
Alabaster Wall,Mercadian Masques,1,FALSE,0.22,Common,2,9cf393a3-831e-4d3a-8404-ee83f60970aa,2,mmq,common
Arrest,Mercadian Masques,1,FALSE,0.33,Uncommon,4,3b083fd8-6422-4cd3-a27d-41b6d88598c2,4,mmq,uncommon
Balloon Peddler,Mercadian Masques,1,FALSE,0.20,Common,59,c34963e6-850e-4ce4-b04f-5e623ce5b73f,59,mmq,common
Barbed Wire,Mercadian Masques,1,FALSE,5.50,Uncommon,287,be9e2e59-1527-4c61-9cc9-dcaf1181bd43,287,mmq,uncommon
Battle Rampart,Mercadian Masques,1,FALSE,0.24,Common,173,f27f6658-0f00-4934-8d12-cd0dda3958c9,173,mmq,common
Blaster Mage,Mercadian Masques,1,FALSE,0.20,Common,175,801b0fd1-bbb2-47c0-a4c3-4129a67473b9,175,mmq,common
Boa Constrictor,Mercadian Masques,1,FALSE,0.25,Uncommon,231,f7369cbf-6986-4a39-b07c-a283b40aee40,231,mmq,uncommon
Briar Patch,Mercadian Masques,1,FALSE,0.30,Uncommon,232,b5913fc6-eeb0-411b-9264-1e75bea8489b,232,mmq,uncommon
Bribery,Mercadian Masques,1,FALSE,9.43,Rare,62,dfc0ea8a-62f6-49e8-8eec-9748870bc596,62,mmq,rare
Buoyancy,Mercadian Masques,1,FALSE,0.20,Common,63,b208dad2-a412-45fd-b19a-d370426ef5b8,63,mmq,common
Cateran Overlord,Mercadian Masques,1,FALSE,0.52,Rare,123,e8a1ffcb-40a7-423f-b28a-b5b4c1c9ffd0,123,mmq,rare
Cateran Summons,Mercadian Masques,1,FALSE,1.55,Uncommon,126,af3de1f9-9038-4352-b4bf-2e9c5c27495a,126,mmq,uncommon
Cave Sense,Mercadian Masques,1,FALSE,0.22,Common,179,2d718421-c742-489c-a243-3adb19f6716a,179,mmq,common
Cavern Crawler,Mercadian Masques,1,FALSE,0.21,Common,181,bd0a8af9-2e86-4639-a6c9-209f115e95f8,181,mmq,common
Charm Peddler,Mercadian Masques,1,FALSE,0.20,Common,6,082e6ee3-cc1f-46c7-9d82-56751478b3cf,6,mmq,common
Cho-Arrim Alchemist,Mercadian Masques,1,FALSE,0.48,Rare,8,42c9d49d-61eb-4f33-b06b-03bdd990efd0,8,mmq,rare
Cinder Elemental,Mercadian Masques,1,FALSE,0.25,Uncommon,183,80b39056-2ee8-4cfd-acbd-ba99f74e788d,183,mmq,uncommon
Cloud Sprite,Mercadian Masques,1,FALSE,0.22,Common,67,3d14352c-ac8c-45b5-b930-63822408ba3d,67,mmq,common
Crash,Mercadian Masques,1,FALSE,0.24,Common,186,7a26bde3-8392-4476-b347-f223d52554a6,186,mmq,common
Credit Voucher,Mercadian Masques,1,FALSE,0.85,Uncommon,289,1ab65242-17ad-4c22-9c70-aac8076d1b4c,289,mmq,uncommon
Crenellated Wall,Mercadian Masques,1,FALSE,0.38,Uncommon,290,d85ad08d-1120-411a-8bbe-ac93a56476bd,290,mmq,uncommon
Crossbow Infantry,Mercadian Masques,1,FALSE,0.20,Common,16,744c2177-3140-48a1-95a4-2f0a27ca5b2f,16,mmq,common
Deepwood Ghoul,Mercadian Masques,1,FALSE,0.20,Common,131,29cd6685-37ca-47c7-8f64-1fb86e9610ca,131,mmq,common
Deepwood Legate,Mercadian Masques,1,FALSE,0.29,Uncommon,132,54f01925-7fd0-472d-91a4-3309e615f22f,132,mmq,uncommon
Dehydration,Mercadian Masques,1,FALSE,0.18,Common,73,2c9e4043-e7a6-4c68-aa03-ef2f88e46451,73,mmq,common
Desert Twister,Mercadian Masques,1,FALSE,0.30,Uncommon,243,7d2437f2-1966-4e83-9f7e-6aaf76e21d11,243,mmq,uncommon
Devout Witness,Mercadian Masques,1,FALSE,0.25,Common,17,48ca7aeb-09db-4409-9ba2-c5c5500ad72f,17,mmq,common
Disenchant,Mercadian Masques,1,FALSE,0.25,Common,18,366407d8-3ed9-4809-b9bb-388ebb9ea815,18,mmq,common
Embargo,Mercadian Masques,1,FALSE,1.39,Rare,77,3fca3c65-f20e-4978-bfbb-ee7f9e1d829f,77,mmq,rare
Erithizon,Mercadian Masques,1,FALSE,0.41,Rare,244,ec4ea4e2-2102-4b99-bea5-6fc4203f2b26,244,mmq,rare
Flailing Ogre,Mercadian Masques,1,FALSE,0.25,Uncommon,188,e400e520-b2b8-4c13-a4ea-f8810c927bf7,188,mmq,uncommon
Flailing Soldier,Mercadian Masques,1,FALSE,0.23,Common,189,fb44b0f6-0608-40d6-9eaa-48e5a834701f,189,mmq,common
Flaming Sword,Mercadian Masques,1,FALSE,0.20,Common,190,17ecd9ff-8c30-4e17-8cff-dd40d653c4af,190,mmq,common
Fresh Volunteers,Mercadian Masques,1,FALSE,0.20,Common,20,e070ea4a-c417-405f-b788-78fb7ca2eaa5,20,mmq,common
Furious Assault,Mercadian Masques,1,FALSE,0.21,Common,191,27a07fae-0f34-45e7-b22d-97eea9031022,191,mmq,common
Heart of Ramos,Mercadian Masques,1,FALSE,2.29,Rare,296,a0046226-7563-4345-aa4b-a2c732c2780a,296,mmq,rare
Henge Guardian,Mercadian Masques,1,FALSE,0.25,Uncommon,297,028e5e18-b639-4461-87e4-5306371440b5,297,mmq,uncommon
Hired Giant,Mercadian Masques,1,FALSE,0.35,Uncommon,194,dc33920a-f05c-46fa-b94b-278af0022b78,194,mmq,uncommon
Howling Wolf,Mercadian Masques,1,FALSE,0.20,Common,252,7416c68a-5a6a-4d51-8dc7-5c62da81ec77,252,mmq,common
Hunted Wumpus,Mercadian Masques,1,FALSE,0.25,Uncommon,253,b21c8b2d-ef0f-4839-acfc-20fd248c62cf,253,mmq,uncommon
Instigator,Mercadian Masques,1,FALSE,0.48,Rare,140,2e3f57af-17d4-4a4c-ae46-fe37f97466fa,140,mmq,rare
Insubordination,Mercadian Masques,1,FALSE,0.25,Common,141,d2544c9d-adc2-4d67-8850-9af38e73ea1e,141,mmq,common
Inviolability,Mercadian Masques,1,FALSE,0.25,Common,23,9ece8504-389a-43e3-b178-7067722c4b75,23,mmq,common
Iron Lance,Mercadian Masques,1,FALSE,0.25,Uncommon,300,41f7d212-faf2-4a6f-a338-d9e5014b56d5,300,mmq,uncommon
Island (336),Mercadian Masques,1,FALSE,0.45,Basic Land,336,,,,
Island (337),Mercadian Masques,1,FALSE,0.44,Basic Land,337,,,,
Island (338),Mercadian Masques,1,FALSE,0.50,Basic Land,338,,,,
Island (335),Mercadian Masques,1,FALSE,0.43,Basic Land,335,,,,
Jeweled Torque,Mercadian Masques,1,FALSE,0.25,Uncommon,301,eab076bc-e4c3-42a1-b701-9bc49bcc3cdd,301,mmq,uncommon
Jhovall Rider,Mercadian Masques,1,FALSE,0.25,Uncommon,26,7e1f7c51-0011-4ea5-b123-3c26293f5dab,26,mmq,uncommon
Kris Mage,Mercadian Masques,1,FALSE,0.24,Common,195,4389fbcd-182a-4cac-b14f-aa971948cf8e,195,mmq,common
Kyren Glider,Mercadian Masques,1,FALSE,0.20,Common,196,0bc55e01-342e-4856-937e-14561b8d165b,196,mmq,common
Kyren Sniper,Mercadian Masques,1,FALSE,0.22,Common,199,4df99e19-0b1e-48ec-a146-38cf147eab61,199,mmq,common
Lightning Hounds,Mercadian Masques,1,FALSE,0.20,Common,201,38c82a1d-5db1-4090-b446-cc5bc6dc811d,201,mmq,common
Lunge,Mercadian Masques,1,FALSE,0.20,Common,203,e9e43349-429c-43f7-b808-c4bf37370a9f,203,mmq,common
Muzzle,Mercadian Masques,1,FALSE,0.20,Common,30,8b3048ec-bcbf-4a69-b56f-83bbe82b68e5,30,mmq,common
Natural Affinity,Mercadian Masques,1,FALSE,1.64,Rare,260,69c6f647-f71b-4f61-9b16-774884ed52e2,260,mmq,rare
Nightwind Glider,Mercadian Masques,1,FALSE,0.22,Common,31,0968401d-522f-4def-92a1-d504471ac54e,31,mmq,common
Ogre Taskmaster,Mercadian Masques,1,FALSE,0.25,Uncommon,206,186d6c28-6468-4bde-9738-eb51594fa7c1,206,mmq,uncommon
Overtaker,Mercadian Masques,1,FALSE,0.69,Rare,89,145903cb-9eaa-4f3c-a376-88dcd474ffda,89,mmq,rare
Panacea,Mercadian Masques,1,FALSE,0.25,Uncommon,308,89414770-2a19-4baf-9b18-76104b7b0b9a,308,mmq,uncommon
Pious Warrior,Mercadian Masques,1,FALSE,0.23,Common,34,bc20c1f0-9883-484c-88d8-1cab08d0b210,34,mmq,common
Port Inspector,Mercadian Masques,1,FALSE,0.24,Common,90,ef25d969-68d9-4580-bb29-f72bd5646a3d,90,mmq,common
Puffer Extract,Mercadian Masques,1,FALSE,0.25,Uncommon,310,83093cdf-0b12-419c-a748-21acf166e195,310,mmq,uncommon
Ramosian Captain,Mercadian Masques,1,FALSE,0.27,Uncommon,35,0e9d2e2a-c608-4787-bbd9-e1871f681b58,35,mmq,uncommon
Ramosian Lieutenant,Mercadian Masques,1,FALSE,0.23,Common,37,debe840a-ebc9-43c4-9bf7-7eb292b65bf9,37,mmq,common
Ramosian Rally,Mercadian Masques,1,FALSE,0.25,Common,38,7fc0ff04-43e7-4a0d-b7e2-8bab72cc6cc0,38,mmq,common
Ramosian Sergeant,Mercadian Masques,1,FALSE,0.25,Common,39,ef2b036d-5721-4a6e-bf43-69148b90da10,39,mmq,common
Reverent Mantra,Mercadian Masques,1,FALSE,9.99,Rare,44,48364e19-a3ea-4980-925f-7918e57315f1,44,mmq,rare
Revive,Mercadian Masques,1,TRUE,4.98,Uncommon,262,7b19b453-8393-424d-9578-3ab568c92882,262,mmq,uncommon
Rishadan Brigand,Mercadian Masques,1,FALSE,0.84,Rare,92,a6efb653-97d8-4bc7-af8f-0b09fda655ff,92,mmq,rare
Sacred Prey,Mercadian Masques,1,FALSE,0.25,Common,268,e965d32c-3151-48e8-b256-0b7fa8a8a211,268,mmq,common
Saprazzan Breaker,Mercadian Masques,1,FALSE,0.25,Uncommon,98,2de7bf0f-5ad5-467b-ad80-28517951bbe1,98,mmq,uncommon
Saprazzan Skerry,Mercadian Masques,1,FALSE,1.69,Common,328,006871fd-2641-42cb-a2ac-a33d05fc5a35,328,mmq,common
Seismic Mage,Mercadian Masques,1,FALSE,0.50,Rare,211,9524432a-3186-4c7b-a780-28bdbe36053f,211,mmq,rare
Shock Troops,Mercadian Masques,1,FALSE,0.20,Common,212,e7a918ca-3e60-46de-9f29-56bdc6430a77,212,mmq,common
Snake Pit,Mercadian Masques,1,FALSE,1.09,Uncommon,271,059a70a5-d4fb-445e-af98-e81821df2c59,271,mmq,uncommon
Soothing Balm,Mercadian Masques,1,FALSE,0.23,Common,48,96b8f4be-9f4d-4373-8141-a03518ecd38a,48,mmq,common
Statecraft,Mercadian Masques,1,FALSE,2.99,Rare,106,76dcd19e-8daf-4d53-946b-c07d5eca3cc9,106,mmq,rare
Steadfast Guard,Mercadian Masques,1,FALSE,0.22,Common,50,6381774b-fb91-46cc-9bf6-6eeb4d67a165,50,mmq,common
Sustenance,Mercadian Masques,1,FALSE,0.25,Uncommon,278,5a61db44-80dc-4058-9c9d-65cd18e63fd4,278,mmq,uncommon
Swamp (340),Mercadian Masques,1,FALSE,0.44,Basic Land,340,,,,
Task Force,Mercadian Masques,1,FALSE,0.24,Common,52,17a58c5b-28c2-4261-992c-2ecadb721880,52,mmq,common
Thermal Glider,Mercadian Masques,1,FALSE,0.20,Common,53,fd909c26-930d-4af0-b19a-c899847338b4,53,mmq,common
Tidal Kraken,Mercadian Masques,1,FALSE,1.49,Rare,110,356a9dcd-1a4b-4371-8f1d-aa7cb65e97e8,110,mmq,rare
Tiger Claws,Mercadian Masques,1,FALSE,0.24,Common,279,0146a689-4817-4849-a90d-4cc64566960d,279,mmq,common
Toymaker,Mercadian Masques,1,FALSE,0.25,Uncommon,314,76f3992a-553c-4032-b144-55aad2f909f1,314,mmq,uncommon
Trap Runner,Mercadian Masques,1,FALSE,0.25,Uncommon,55,eba97681-1d1f-4ab6-a21b-fbbbe63a1c74,55,mmq,uncommon
Uphill Battle,Mercadian Masques,1,FALSE,0.49,Uncommon,222,73fa3455-3ba0-41ad-aefd-40f183aed2a6,222,mmq,uncommon
Volcanic Wind,Mercadian Masques,1,FALSE,0.28,Uncommon,223,3c69dd00-46ce-42b2-a2ed-43b4cf04a975,223,mmq,uncommon
Warpath,Mercadian Masques,1,FALSE,0.25,Uncommon,226,e031c819-1237-4911-8a1d-87d6095a5faa,226,mmq,uncommon
Waterfront Bouncer,Mercadian Masques,1,FALSE,0.25,Common,114,8dbdce9e-94fa-4ed5-9b97-d2026cffe7cb,114,mmq,common
Wave of Reckoning,Mercadian Masques,1,FALSE,4.00,Rare,56,0b101b5e-d478-4686-b3cf-bdc545f089e5,56,mmq,rare
