Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Afterlife,Mirage,1,FALSE,0.29,Uncommon,,4644694d-52e6-4d00-8cad-748899eeea84,1,mir,uncommon
Agility,Mirage,1,FALSE,0.21,Common,,5694cb42-7489-40c5-b21a-aeb36636015f,154,mir,common
Alarum,Mirage,1,FALSE,0.20,Common,,155f2aa6-6c47-4a06-b0ef-2d9205cd133e,2,mir,common
Aleatory,Mirage,1,FALSE,0.35,Uncommon,,7380af0a-8a8f-44fd-9456-14a68a2830d3,155,mir,uncommon
Amber Prison,Mirage,1,FALSE,0.48,Rare,,046475e5-36d1-4b5f-af31-6df715c7a368,292,mir,rare
Armor of Thorns,Mirage,1,FALSE,0.20,Common,,dacdb9e7-d79e-4d24-8678-a37ab6e3a413,206,mir,common
Armorer Guildmage,Mirage,1,FALSE,0.20,Common,,e999fdc3-9269-44d7-9015-e16f5e5b73eb,156,mir,common
"Asmira, Holy Avenger",Mirage,1,FALSE,1.62,Rare,,a7d64600-84fc-42a5-a6a6-b26f98fac0a4,256,mir,rare
Auspicious Ancestor,Mirage,1,FALSE,0.87,Rare,,7f6f9ec3-6033-4cd4-a52e-31a559559a93,3,mir,rare
Azimaet Drake,Mirage,1,FALSE,0.22,Common,,854ba4e0-f6f3-4b6c-b6cb-ab2b93d64601,53,mir,common
Bad River,Mirage,1,FALSE,1.04,Uncommon,,7a78abdb-d1ac-49cb-a74b-9de21c06364a,324,mir,uncommon
Barbed Foliage,Mirage,1,FALSE,0.25,Uncommon,,1220fdd1-e4b0-4175-9b8a-178f6a84b8e6,207,mir,uncommon
Barbed-Back Wurm,Mirage,1,FALSE,0.25,Uncommon,,1b96810d-72d3-4dee-a29f-cdf85ea5ce6f,105,mir,uncommon
Basalt Golem,Mirage,1,FALSE,0.25,Uncommon,,5ff538f9-10b4-4327-aea6-a86759daf488,294,mir,uncommon
Bay Falcon,Mirage,1,FALSE,0.22,Common,,df45268a-b757-4ad2-bab0-869058ee9186,54,mir,common
Benevolent Unicorn,Mirage,1,FALSE,0.25,Common,,2a243bd7-af98-4e44-af6e-3b0b71d4837b,4,mir,common
Benthic Djinn,Mirage,1,FALSE,0.65,Rare,,95b03586-8d04-4114-a7ce-b8c8ab5ff857,257,mir,rare
Binding Agony,Mirage,1,FALSE,0.22,Common,,b620a9f4-358d-4436-85b8-b0c16602ff57,106,mir,common
Blighted Shaman,Mirage,1,FALSE,0.25,Uncommon,,b5f2b33c-8d4d-406e-98de-b92d92a3012a,107,mir,uncommon
Blinding Light,Mirage,1,FALSE,0.30,Uncommon,,99b2192a-78a5-4579-94ce-cccf773a809d,5,mir,uncommon
Blistering Barrier,Mirage,1,FALSE,0.23,Common,,56d000d8-24e1-4cf3-bed9-e68a89c8f569,159,mir,common
Bone Harvest,Mirage,1,FALSE,0.27,Common,,1cfde1ca-52f9-477d-a36e-6e4f7ca2e4d8,108,mir,common
Bone Mask,Mirage,1,FALSE,0.86,Rare,,1f46aea3-ea00-46c4-b207-522ceeeae68b,295,mir,rare
Boomerang,Mirage,1,FALSE,0.29,Common,,f5c98413-740d-47fd-bed6-2d3d05a72b31,56,mir,common
Breathstealer,Mirage,1,FALSE,0.20,Common,,0cd9da69-5e57-4719-a712-630c9464fada,109,mir,common
Builder's Bane,Mirage,1,FALSE,0.23,Common,,fb398027-5a29-4c81-aab5-b1a2b82fd655,160,mir,common
Burning Palm Efreet,Mirage,1,FALSE,0.25,Uncommon,,a194488a-1d6f-4bc3-8f30-82e2c3c91389,161,mir,uncommon
Burning Shield Askari,Mirage,1,FALSE,0.20,Common,,486547cd-d2e7-4c46-9f7b-81c4267d65cc,162,mir,common
Cadaverous Knight,Mirage,1,FALSE,0.20,Common,,06e954b2-c8ce-4b6c-a118-4a14ffa72063,110,mir,common
Carrion,Mirage,1,FALSE,4.75,Rare,,9e6c7750-bc3b-4790-bc9d-88e2cf16881e,111,mir,rare
Chaos Charm,Mirage,1,FALSE,0.23,Common,,ebf8ccb8-57fb-491c-b07d-93348b33a765,163,mir,common
Charcoal Diamond,Mirage,1,FALSE,1.42,Uncommon,,2a81b3f1-babc-4bd7-8b87-754c8389ae85,296,mir,uncommon
Chariot of the Sun,Mirage,1,FALSE,0.25,Uncommon,,2e3bc470-cfcc-4835-b46f-c08d698ee1ab,297,mir,uncommon
Choking Sands,Mirage,1,FALSE,0.35,Common,,e41c15fb-01a1-446e-9e88-71e8e95d9bce,113,mir,common
Cinder Cloud,Mirage,1,FALSE,0.25,Uncommon,,f044c470-50ce-4a6c-b8ab-665357c3c11e,165,mir,uncommon
Circle of Despair,Mirage,1,FALSE,2.22,Rare,,ef9d2c05-0d2f-4d02-aef3-e1078d78e5ff,259,mir,rare
Civic Guildmage,Mirage,1,FALSE,0.20,Common,,a9319039-db2f-47bf-9ef0-8d3a381d54fb,7,mir,common
Cloak of Invisibility,Mirage,1,FALSE,0.24,Common,,3f6e21e6-fb3e-49c1-b5a0-499faf66d279,58,mir,common
Consuming Ferocity,Mirage,1,FALSE,0.24,Uncommon,,05835e35-f4f8-4513-b5a1-9e31b21168f0,166,mir,uncommon
