Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Accorder Paladin,Mirrodin Besieged,1,FALSE,0.24,Uncommon,1,df0a4370-729d-40e7-b68b-21902648492d,1,mbs,uncommon
Ardent Recruit,Mirrodin Besieged,1,FALSE,0.19,Common,2,69c42dac-f0b3-41aa-b3b2-f203e265131d,2,mbs,common
Banishment Decree,Mirrodin Besieged,1,FALSE,0.15,Common,3,2c5f605c-9d16-493e-bc44-0e15bdf8c0bf,3,mbs,common
Bladed Sentinel,Mirrodin Besieged,1,FALSE,0.20,Common,98,69959c54-1350-4c64-8e5a-fc8447bb979c,98,mbs,common
Blightwidow,Mirrodin Besieged,1,FALSE,0.25,Common,77,26da4278-ba44-4555-8837-e24627b46533,77,mbs,common
Blisterstick Shaman,Mirrodin Besieged,1,FALSE,0.20,Common,58,f8187e90-6a60-4ed0-9b3a-3a679743b7d0,58,mbs,common
Brass Squire,Mirrodin Besieged,1,FALSE,0.80,Uncommon,101,37928b90-ab31-4c73-99b2-fe31feb2afea,101,mbs,uncommon
Burn the Impure,Mirrodin Besieged,1,FALSE,0.19,Common,59,b5641730-428d-4484-866e-ec1ac669537f,59,mbs,common
Caustic Hound,Mirrodin Besieged,1,FALSE,0.18,Common,40,2a54115f-150a-4ae2-a5c7-20e2ba884dd1,40,mbs,common
Choking Fumes,Mirrodin Besieged,1,FALSE,0.20,Uncommon,4,1b9af543-5273-4754-ab7d-75d0b632240f,4,mbs,uncommon
Concussive Bolt,Mirrodin Besieged,1,FALSE,0.18,Common,60,41b68e85-a381-441d-aa18-491f9e202a10,60,mbs,common
Copper Carapace,Mirrodin Besieged,1,FALSE,0.20,Common,102,60ccb013-4641-400f-a035-86030ac55582,102,mbs,common
Core Prowler,Mirrodin Besieged,1,FALSE,0.46,Uncommon,103,05414ba7-0f59-4c73-931c-e599d149d3ba,103,mbs,uncommon
Crush,Mirrodin Besieged,1,FALSE,0.20,Common,61,a29d5e01-6f83-4749-8340-774054bd2956,61,mbs,common
Divine Offering,Mirrodin Besieged,1,FALSE,0.19,Common,5,fe7c7a65-5a96-4986-877b-b34583092bb6,5,mbs,common
Dross Ripper,Mirrodin Besieged,1,FALSE,0.17,Common,106,55d54f08-53f0-41b2-8b86-8244515224eb,106,mbs,common
Fangren Marauder,Mirrodin Besieged,1,FALSE,0.66,Common,79,f5cf62a2-d03a-495d-924a-bf79524175fa,79,mbs,common
Flayer Husk,Mirrodin Besieged,1,FALSE,0.20,Common,107,cbd47a02-5a6e-4daa-9877-f65c8639c569,107,mbs,common
Flesh-Eater Imp,Mirrodin Besieged,1,FALSE,0.35,Uncommon,42,6d5ee9f3-80fe-43b0-be5b-0c93103e1077,42,mbs,uncommon
Forest (155),Mirrodin Besieged,1,FALSE,0.20,Basic Land,155,,,,
Forest (154),Mirrodin Besieged,1,FALSE,0.20,Basic Land,154,,,,
Frantic Salvage,Mirrodin Besieged,1,FALSE,0.19,Common,6,aff909bc-0bda-4e8a-b7a3-ebc963552246,6,mbs,common
Galvanoth,Mirrodin Besieged,1,FALSE,0.44,Rare,62,fc1a696b-642a-419f-bd43-09af39a9401b,62,mbs,rare
Gnathosaur,Mirrodin Besieged,1,FALSE,0.16,Common,63,27dcb0c8-e6d5-4f6b-a74f-e495b5e42606,63,mbs,common
Go for the Throat,Mirrodin Besieged,1,FALSE,1.34,Uncommon,43,1c665cfc-7e9a-444b-96b5-e8e4ef57a98a,43,mbs,uncommon
Goblin Wardriver,Mirrodin Besieged,1,FALSE,0.39,Uncommon,64,2e220c87-1223-4998-b0e5-23e2d930fa6b,64,mbs,uncommon
Gore Vassal,Mirrodin Besieged,1,FALSE,0.20,Uncommon,7,c2889bba-58a8-46e1-959c-0fd38c1732f9,7,mbs,uncommon
Gust-Skimmer,Mirrodin Besieged,1,FALSE,0.20,Common,108,5970d053-e2e8-471b-b342-2e9b9177724c,108,mbs,common
Hellkite Igniter,Mirrodin Besieged,1,FALSE,0.34,Rare,65,83715873-9330-4d29-b106-cf1e6a66d1e9,65,mbs,rare
Hero of Bladehold,Mirrodin Besieged,1,FALSE,5.50,Mythic Rare,8,8a3853ec-e307-46e0-96d7-0706b5c45c5e,8,mbs,mythic
Hexplate Golem,Mirrodin Besieged,1,FALSE,0.18,Common,109,49b913f3-6581-45ae-9cdb-274c2ccd8899,109,mbs,common
Ichor Wellspring,Mirrodin Besieged,1,FALSE,0.32,Common,110,2d1ea522-a0f6-45a8-8985-6fcca95d60cc,110,mbs,common
Into the Core,Mirrodin Besieged,1,FALSE,0.20,Uncommon,67,9cb91ecb-1962-4cd1-80c1-c9e2485822ae,67,mbs,uncommon
Island (149),Mirrodin Besieged,1,FALSE,0.19,Basic Land,149,,,,
Island (148),Mirrodin Besieged,1,FALSE,0.21,Basic Land,148,,,,
Kemba's Legion,Mirrodin Besieged,1,FALSE,0.20,Uncommon,9,30731756-81a8-480b-938f-48c1d0cb95d7,9,mbs,uncommon
Koth's Courier,Mirrodin Besieged,1,FALSE,0.18,Common,68,978cc53c-c038-4442-bd46-e0b9e8cdd924,68,mbs,common
Kuldotha Ringleader,Mirrodin Besieged,1,FALSE,0.18,Common,70,3cda5434-c0a5-4551-8e30-b1923f0001b8,70,mbs,common
Leonin Relic-Warder,Mirrodin Besieged,1,FALSE,0.38,Uncommon,10,dd0900e1-df78-466d-b747-33f22c273d67,10,mbs,uncommon
Leonin Skyhunter,Mirrodin Besieged,1,FALSE,0.20,Common,11,f7eb723d-aa4c-4a38-98de-1faefffab56b,11,mbs,common
Loxodon Partisan,Mirrodin Besieged,1,FALSE,0.19,Common,12,a4a76016-96a1-40f5-9002-4b3bed65cd5c,12,mbs,common
Lumengrid Gargoyle,Mirrodin Besieged,1,FALSE,0.20,Uncommon,112,45350c4b-def2-4b93-ab66-9f32bd426cff,112,mbs,uncommon
Master's Call,Mirrodin Besieged,1,FALSE,0.20,Common,13,04f54188-2cfc-4964-add7-b452f32d57ef,13,mbs,common
Melira's Keepers,Mirrodin Besieged,1,FALSE,0.20,Uncommon,83,d9a935b4-347c-46d9-a7c5-8c5079948959,83,mbs,uncommon
Metallic Mastery,Mirrodin Besieged,1,FALSE,0.20,Uncommon,71,b939ded0-7033-4fee-864c-9e235d8720bb,71,mbs,uncommon
Mortarpod,Mirrodin Besieged,1,FALSE,0.25,Uncommon,115,fbd23da5-421f-41d0-bb60-59560da7dece,115,mbs,uncommon
Mountain (153),Mirrodin Besieged,1,FALSE,0.20,Basic Land,153,,,,
Mountain (152),Mirrodin Besieged,1,FALSE,0.21,Basic Land,152,,,,
Myr Sire,Mirrodin Besieged,1,FALSE,0.23,Common,116,507979fd-5459-4933-8707-adc303750ce9,116,mbs,common
Myr Turbine,Mirrodin Besieged,1,FALSE,5.99,Rare,117,71a76840-47f7-4e1e-b68b-00cb7da98cdf,117,mbs,rare
Myr Welder,Mirrodin Besieged,1,FALSE,2.24,Rare,118,eff75f16-413c-4618-b766-67bd8ff4d161,118,mbs,rare
Nested Ghoul,Mirrodin Besieged,1,FALSE,0.23,Uncommon,48,c035ff58-9df3-4db4-b9d0-97d58080ecfe,48,mbs,uncommon
Neurok Commando,Mirrodin Besieged,1,FALSE,0.20,Uncommon,28,aa7084f3-9335-401f-9a62-6f131351338d,28,mbs,uncommon
Ogre Resister,Mirrodin Besieged,1,FALSE,0.17,Common,72,60b7407d-f677-403b-893c-361df456009a,72,mbs,common
Peace Strider,Mirrodin Besieged,1,FALSE,0.20,Uncommon,119,55710eb0-ae16-420a-9f99-6a245e0f4c14,119,mbs,uncommon
Phyresis,Mirrodin Besieged,1,FALSE,0.89,Common,49,0059d21b-0725-4806-8691-2451db36787f,49,mbs,common
Phyrexian Digester,Mirrodin Besieged,1,FALSE,0.23,Common,120,f9112062-1a1b-462b-85d3-821ea91778b8,120,mbs,common
