Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Æther Spellbomb,Mirrodin,1,FALSE,0.30,Common,141,f3792e8b-4ad7-4e2d-994c-c4eaac0fa55f,141,mrd,common
Alpha Myr,Mirrodin,1,FALSE,0.25,Common,142,f3f792d7-75be-429e-8f62-0b563b103642,142,mrd,common
Altar of Shadows,Mirrodin,1,FALSE,0.50,Rare,143,ebc3824c-11ee-4fec-9397-823783b682d9,143,mrd,rare
Altar's Light,Mirrodin,1,FALSE,0.23,Uncommon,1,dd037f62-7cef-4737-b575-942c5959f1ea,1,mrd,uncommon
Ancient Den,Mirrodin,1,FALSE,2.75,Common,278,cc857fbd-8e0f-4bff-8f14-561c9925c484,278,mrd,common
Annul,Mirrodin,1,FALSE,0.25,Common,29,8ba18ec8-e82f-41be-9ed8-b1a4ae9b7426,29,mrd,common
Arrest,Mirrodin,1,FALSE,0.19,Common,2,a5ca260d-4ed8-4a99-b00a-0be15ba0df9f,2,mrd,common
Assert Authority,Mirrodin,1,FALSE,0.25,Uncommon,30,fc339ed7-e1d4-4fe9-a4c4-b030d3e74c00,30,mrd,uncommon
Atog,Mirrodin,1,FALSE,0.25,Uncommon,86,a15397bc-c400-4f8d-b206-08a4d65e76ff,86,mrd,uncommon
Auriok Bladewarden,Mirrodin,1,FALSE,0.23,Uncommon,3,51605471-1198-4296-a9b5-3bee14ac2091,3,mrd,uncommon
Auriok Steelshaper,Mirrodin,1,FALSE,0.96,Rare,4,4dd09c01-5a77-4992-96ae-c395a5966a92,4,mrd,rare
Auriok Transfixer,Mirrodin,1,FALSE,0.20,Common,5,9f5c3f22-f228-4503-9d35-ee1b36a46ef0,5,mrd,common
Awe Strike,Mirrodin,1,FALSE,0.24,Common,6,a5cd231b-7891-42b5-b5de-5112d1230c37,6,mrd,common
Banshee's Blade,Mirrodin,1,FALSE,0.32,Uncommon,144,b77baad4-2bd6-492a-86ca-8e0088b751d2,144,mrd,uncommon
Blinding Beam,Mirrodin,1,FALSE,0.20,Common,7,b73f6e4c-9da7-45ec-b786-1b2f59d6b73b,7,mrd,common
Blinkmoth Urn,Mirrodin,1,FALSE,1.66,Rare,145,0ff34d0b-a278-4990-beaf-5a64885460db,145,mrd,rare
Blinkmoth Well,Mirrodin,1,FALSE,0.30,Uncommon,279,e4c79155-b6d8-46df-891f-487b24c4e0d5,279,mrd,uncommon
Bonesplitter,Mirrodin,1,FALSE,0.25,Common,146,465a7990-c9f9-4716-a833-fd41458b9cee,146,mrd,common
Bottle Gnomes,Mirrodin,1,FALSE,0.25,Uncommon,148,018dcb37-221a-4552-9e72-2b9492883eae,148,mrd,uncommon
Cathodion,Mirrodin,1,TRUE,1.85,Uncommon,149,e223e822-a7a0-48d1-9bb7-88ee3d939c6f,149,mrd,uncommon
Chromatic Sphere,Mirrodin,1,FALSE,0.50,Common,151,f31a6dfd-93d2-49c8-a357-9a707b9c42bd,151,mrd,common
