Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Ambassador Oak,Morningtide,1,FALSE,0.22,Common,113,904d3416-70bf-4043-8078-f5f033ecfb31,113,mor,common
Ballyrush Banneret,Morningtide,1,FALSE,0.37,Common,1,a029814e-d84d-43e5-b483-e918871b3333,1,mor,common
Blightsoil Druid,Morningtide,1,FALSE,0.23,Common,59,c6355f5b-c136-466c-bcfd-f2bf561217cf,59,mor,common
Burrenton Bombardier,Morningtide,1,FALSE,0.20,Common,3,9bb44500-0c07-4fb6-9525-ab41621be1b0,3,mor,common
Burrenton Shield-Bearers,Morningtide,1,FALSE,0.20,Common,4,1afc1033-0004-43c1-9341-c5ed0b0048f2,4,mor,common
Changeling Sentinel,Morningtide,1,FALSE,0.24,Common,6,fe7e0c9f-000d-494d-86f6-95e8d2b59ac7,6,mor,common
Coordinated Barrage,Morningtide,1,FALSE,0.24,Common,7,8d0b26b0-cc31-458b-8a92-aa3392d0ca0f,7,mor,common
Deglamer,Morningtide,1,FALSE,2.99,Common,118,985b43aa-58f0-42fc-9ef0-a7925727d58f,118,mor,common
Earthbrawn,Morningtide,1,FALSE,0.24,Common,119,478208df-9776-4354-b8a9-8da16ae1f50a,119,mor,common
Festercreep,Morningtide,1,FALSE,0.24,Common,62,614a9456-0ebf-4fba-b085-225f8c7e4a98,62,mor,common
Fire Juggler,Morningtide,1,FALSE,0.20,Common,90,f04d5eef-da88-496b-a902-b87b0b386f96,90,mor,common
Floodchaser,Morningtide,1,FALSE,0.22,Common,34,71265bb0-bf51-4d9d-b94c-c90adf65c55b,34,mor,common
Forfend,Morningtide,1,FALSE,0.24,Common,10,a410e333-60f2-4e19-ad0f-5259d4feab37,10,mor,common
Hostile Realm,Morningtide,1,FALSE,0.23,Common,91,e172b353-7a16-4831-b735-206230b22e59,91,mor,common
Ink Dissolver,Morningtide,1,FALSE,0.24,Common,36,6e1bf0ad-f718-4118-9e9b-19041cfbb5cf,36,mor,common
Inspired Sprite,Morningtide,1,FALSE,0.30,Uncommon,37,0960dc0a-907b-4e02-a0b5-dd2613be8e65,37,mor,uncommon
Kindled Fury,Morningtide,1,FALSE,0.22,Common,92,993956c9-30d8-41ee-84c2-c06d0512aea4,92,mor,common
Kithkin Zephyrnaut,Morningtide,1,FALSE,0.20,Common,16,8671abe8-4333-4b23-a87e-58bcc65deef2,16,mor,common
Lunk Errant,Morningtide,1,FALSE,0.20,Common,94,f459acfa-a9db-43c6-b0e9-ed66d772a335,94,mor,common
Lys Alana Bowmaster,Morningtide,1,FALSE,0.23,Common,130,fac845bd-becd-4c58-9561-7cdf2adca058,130,mor,common
Moonglove Changeling,Morningtide,1,FALSE,0.28,Common,67,6955348b-70e9-49c3-9343-9becf977abe8,67,mor,common
Morsel Theft,Morningtide,1,FALSE,0.25,Common,68,cac48152-81c0-4cdc-8e3c-bfbe7b068b28,68,mor,common
Mosquito Guard,Morningtide,1,FALSE,0.22,Common,18,5e5bca35-5098-4100-815b-de141c82eb6a,18,mor,common
Mudbutton Clanger,Morningtide,1,FALSE,0.22,Common,95,bc5e2771-ae35-4aff-a92d-7fc7f3ca915f,95,mor,common
Nevermaker,Morningtide,1,TRUE,2.42,Uncommon,44,e1fa77d1-cd61-4ef8-a71f-7c92b1f3b074,44,mor,uncommon
Nightshade Schemers,Morningtide,1,FALSE,0.30,Uncommon,69,af9a61cd-3a26-4142-83ce-9c41cdb16eb4,69,mor,uncommon
Notorious Throng,Morningtide,1,FALSE,3.88,Rare,45,6f4b5890-21d3-4eb9-a959-645dd389dde6,45,mor,rare
Oona's Blackguard,Morningtide,1,FALSE,1.19,Uncommon,72,180abc09-b098-4a51-bf4f-c1ad7c5e1c30,72,mor,uncommon
Order of the Golden Cricket,Morningtide,1,FALSE,0.21,Common,19,5d1c2f16-5661-4c17-8265-f4b88ff1e833,19,mor,common
Pack's Disdain,Morningtide,1,FALSE,0.25,Common,73,79713cf7-2715-44cc-9f15-4c809b82efb6,73,mor,common
Rivals' Duel,Morningtide,1,FALSE,0.25,Uncommon,99,2d2eee8b-cc55-4a65-983f-0a91d7e4494a,99,mor,uncommon
Roar of the Crowd,Morningtide,1,FALSE,0.20,Common,100,e4b0e072-c51a-4e97-a089-8e5b540355aa,100,mor,common
Scarblade Elite,Morningtide,1,FALSE,7.45,Rare,77,1bd5c2b6-fcb2-4865-a0e5-9af59d94ae5a,77,mor,rare
Seething Pathblazer,Morningtide,1,FALSE,0.22,Common,101,4971a447-29c8-47b6-863c-f13a69b4148b,101,mor,common
Shinewend,Morningtide,1,FALSE,0.24,Common,23,85dbd4a4-2a6f-477a-a267-27859ad73369,23,mor,common
Squeaking Pie Grubfellows,Morningtide,1,FALSE,0.22,Common,78,81290ae9-9217-482a-ae1a-be1a0ef47b5d,78,mor,common
Stingmoggie,Morningtide,1,FALSE,0.24,Common,106,27e0fdb4-187a-4178-a702-884bef9e029d,106,mor,common
Stinkdrinker Bandit,Morningtide,1,FALSE,0.30,Uncommon,80,4d9818ad-db8d-41e2-945f-a8b487c2df76,80,mor,uncommon
Stream of Unconsciousness,Morningtide,1,FALSE,0.25,Common,52,54ba05db-6b09-4b6a-b7fe-13c1e1058e25,52,mor,common
Sunflare Shaman,Morningtide,1,FALSE,0.20,Common,108,6db24aa7-4922-4b39-9964-f76df09cba12,108,mor,common
Swell of Courage,Morningtide,1,FALSE,0.25,Uncommon,26,162bba28-667d-4acd-97ed-3421d12e0453,26,mor,uncommon
War-Spike Changeling,Morningtide,1,FALSE,0.24,Common,112,917081e0-8a5f-4edc-b5e9-9a7302bb5c06,112,mor,common
Weed-Pruner Poplar,Morningtide,1,FALSE,0.24,Common,83,d44d2eb4-e5a3-4401-86cb-311374a2de04,83,mor,common
Weight of Conscience,Morningtide,1,FALSE,0.22,Common,28,396c8c41-70b4-4189-9160-8b7367a817a2,28,mor,common
