Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Anafenza, Kin-Tree Spirit",Multiverse Legends,1,TRUE,0.20,Rare,1,278d7781-ddfe-4bcb-94bd-3c155030dfdc,1,mul,rare
"Daxos, Blessed by the Sun",Multiverse Legends,1,TRUE,0.22,Uncommon,2,42496543-db8c-4053-aaf5-8e96948bafb9,2,mul,uncommon
"Kenrith, the Returned King",Multiverse Legends,1,TRUE,4.12,Mythic Rare,4,5ed8b9c5-8b09-40a0-ae08-bc7a7a391256,4,mul,mythic
"Kwende, Pride of Femeref",Multiverse Legends,1,TRUE,0.08,Uncommon,5,427cf253-71c1-40cf-bdc3-eeb0431ae37f,5,mul,uncommon
"Sram, Senior Edificer",Multiverse Legends,1,TRUE,2.20,Rare,6,cb7eb35d-2684-40f7-b678-0d9a180c955a,6,mul,rare
"Thalia, Guardian of Thraben",Multiverse Legends,1,TRUE,0.66,Rare,7,9716a5ff-f1ed-4285-a0a7-68114eeb1ba7,7,mul,rare
"Baral, Chief of Compliance",Multiverse Legends,1,FALSE,1.99,Rare,8,47eb1fa4-a332-4618-a400-c082719f7d5f,8,mul,rare
"Emry, Lurker of the Loch",Multiverse Legends,1,FALSE,1.31,Rare,9,766a0ac7-2051-46f6-a5e5-32fd65b09553,9,mul,rare
Inga Rune-Eyes,Multiverse Legends,1,TRUE,0.07,Uncommon,10,386b9f57-b75c-4431-9abe-a5cec2a35340,10,mul,uncommon
"Jin-Gitaxias, Core Augur",Multiverse Legends,1,TRUE,6.61,Mythic Rare,11,77fd8de3-bd4a-473d-b1ed-05305ab15d75,11,mul,mythic
"Tetsuko Umezawa, Fugitive",Multiverse Legends,1,TRUE,0.16,Uncommon,12,469beb59-1e57-474e-9dcf-9c13957cbfdd,12,mul,uncommon
"Ayara, First of Locthwain",Multiverse Legends,1,TRUE,2.88,Rare,13,e915b51b-761c-432e-9565-f3aca2ca33f7,13,mul,rare
"Horobi, Death's Wail",Multiverse Legends,1,TRUE,0.19,Rare,14,25f16054-64fc-436f-b926-4abcfedf42b3,14,mul,rare
"Seizan, Perverter of Truth",Multiverse Legends,1,FALSE,0.60,Rare,15,d6716f24-6b25-4a64-bb52-b6eec7f91180,15,mul,rare
"Sheoldred, Whispering One",Multiverse Legends,1,TRUE,16.46,Mythic Rare,16,dc2234cd-0a1c-4dca-b94b-0dd927bb32e2,16,mul,mythic
"Skithiryx, the Blight Dragon",Multiverse Legends,1,FALSE,8.70,Mythic Rare,17,ee0d41b3-42ce-4645-96c9-baab109033ef,17,mul,mythic
"Tymaret, Chosen from Death",Multiverse Legends,1,TRUE,0.05,Uncommon,18,aff4fb74-8fb8-4d58-ac1b-be3de156411a,18,mul,uncommon
"Yargle, Glutton of Urborg",Multiverse Legends,1,TRUE,0.11,Uncommon,19,e07104c8-3af9-44ff-8f24-ce420333e05b,19,mul,uncommon
Captain Lannery Storm,Multiverse Legends,1,TRUE,0.21,Rare,20,2ab5252d-e6b2-43ae-ac35-75f32082486c,20,mul,rare
"Ragavan, Nimble Pilferer",Multiverse Legends,1,TRUE,28.74,Mythic Rare,21,fc898fec-4cc6-4587-b556-c5a8d38ccbd0,21,mul,mythic
"Squee, the Immortal",Multiverse Legends,1,TRUE,0.45,Rare,22,e5483306-885c-44e1-84ce-b6e2124a6ecc,22,mul,rare
"Valduk, Keeper of the Flame",Multiverse Legends,1,TRUE,0.06,Uncommon,24,bc26c152-b1d4-4afe-90fb-fddd6c1e67e9,24,mul,uncommon
"Zada, Hedron Grinder",Multiverse Legends,1,TRUE,0.12,Uncommon,25,8994524c-b9ff-4ca0-9ff0-2d074911bfe6,25,mul,uncommon
"Fynn, the Fangbearer",Multiverse Legends,1,TRUE,0.25,Uncommon,26,837e18d9-a5a6-4a0c-a604-9374d5b0dea4,26,mul,uncommon
"Goreclaw, Terror of Qal Sisma",Multiverse Legends,2,TRUE,1.81,Rare,27,a5f3fddf-a82e-4297-8ee5-458981700d9e,27,mul,rare
"Renata, Called to the Hunt",Multiverse Legends,1,TRUE,0.20,Uncommon,28,1998356b-4eb3-43a7-8534-10eb212c7f2a,28,mul,uncommon
"Vorinclex, Voice of Hunger",Multiverse Legends,1,TRUE,9.04,Mythic Rare,29,bdcd2ec9-a8e7-46b3-8d79-eb15d6e95a3c,29,mul,mythic
"Yedora, Grave Gardener",Multiverse Legends,1,FALSE,0.25,Rare,30,606715cc-c0b8-466a-90a0-719cba1968d6,30,mul,rare
"Aegar, the Freezing Flame",Multiverse Legends,1,TRUE,0.10,Uncommon,31,0a0d2ebd-99ba-4968-a79e-68288626bed1,31,mul,uncommon
"Arixmethes, Slumbering Isle",Multiverse Legends,1,TRUE,2.13,Rare,32,2fa20406-86ce-48a1-876d-c434cfca2237,32,mul,rare
"Atris, Oracle of Half-Truths",Multiverse Legends,1,TRUE,0.17,Rare,34,e023d642-1784-4e7e-b5de-dc9943f0099e,34,mul,rare
"Aurelia, the Warleader",Multiverse Legends,1,FALSE,9.18,Mythic Rare,35,1e7c2afb-e04e-4012-b8a2-7a7273b52136,35,mul,mythic
"Brudiclad, Telchor Engineer",Multiverse Legends,1,TRUE,0.59,Rare,36,9a833fa7-5934-4c04-be42-e215a61f450e,36,mul,rare
"Dina, Soul Steeper",Multiverse Legends,1,TRUE,0.27,Uncommon,37,8d07b9f4-7a92-41ee-bdd8-2c8dbe247ac5,37,mul,uncommon
Firesong and Sunspeaker,Multiverse Legends,1,TRUE,0.20,Rare,39,90e0031e-de69-41e7-aef9-78ed1d4b3361,39,mul,rare
"Firja, Judge of Valor",Multiverse Legends,1,TRUE,0.11,Uncommon,40,46f485c6-a2b2-4da3-8804-b2b816eba344,40,mul,uncommon
"Grimgrin, Corpse-Born",Multiverse Legends,1,TRUE,2.03,Mythic Rare,41,2c0056d5-4d23-4c0c-bbfb-c091cc3fb9ae,41,mul,mythic
"Gyruda, Doom of Depths",Multiverse Legends,1,TRUE,0.46,Rare,42,9cbe6748-8ef1-4697-8b7b-72c5ea5b34c5,42,mul,rare
"Imoti, Celebrant of Bounty",Multiverse Legends,1,TRUE,0.10,Uncommon,43,ab58b800-2caa-4b0b-9548-9c43e97bc213,43,mul,uncommon
"Jegantha, the Wellspring",Multiverse Legends,1,FALSE,1.02,Rare,44,51b8d3a9-2b2b-4b14-8886-459cd83ae4e6,44,mul,rare
"Judith, the Scourge Diva",Multiverse Legends,1,TRUE,0.20,Rare,45,0a1b14a8-c194-49d3-ab6c-1db377b69495,45,mul,rare
"Juri, Master of the Revue",Multiverse Legends,1,TRUE,0.14,Uncommon,46,c94cd726-8d67-4510-ad56-3ead1931214b,46,mul,uncommon
"Kaheera, the Orphanguard",Multiverse Legends,1,TRUE,0.86,Rare,47,e9c296d0-ad8d-4139-97c4-e36c4af3d3c9,47,mul,rare
"Keruga, the Macrosage",Multiverse Legends,1,TRUE,0.27,Rare,48,814cd870-a4da-4987-a69b-5ba6cee136c1,48,mul,rare
"Kroxa, Titan of Death's Hunger",Multiverse Legends,1,TRUE,2.86,Mythic Rare,49,cf9bf8c4-f977-449b-8d16-539060b40777,49,mul,mythic
"Lathiel, the Bounteous Dawn",Multiverse Legends,1,TRUE,0.41,Rare,50,fb721716-1027-4c2c-a156-30fb6a939e82,50,mul,rare
Lurrus of the Dream-Den,Multiverse Legends,1,TRUE,1.81,Rare,51,4b32771b-d89f-46b1-8c70-95a4f058ef05,51,mul,rare
"Lutri, the Spellchaser",Multiverse Legends,1,TRUE,0.29,Rare,52,08d24f3f-bff1-4424-a029-3221c4e395b3,52,mul,rare
Niv-Mizzet Reborn,Multiverse Legends,1,TRUE,1.02,Mythic Rare,53,cf0d7769-d98e-4cf2-900e-11dc74142c0d,53,mul,mythic
"Obosh, the Preypiercer",Multiverse Legends,1,TRUE,0.27,Rare,54,4a0116c9-ee0f-435a-a599-96cc04a994b3,54,mul,rare
"Radha, Coalition Warlord",Multiverse Legends,1,TRUE,0.07,Uncommon,55,ca9bdaae-55f4-4e90-b6b5-28eb1cec198b,55,mul,uncommon
"Raff, Weatherlight Stalwart",Multiverse Legends,1,TRUE,0.07,Uncommon,56,651c3dd6-e1a8-4a65-a200-f86d308570ac,56,mul,uncommon
"Reyav, Master Smith",Multiverse Legends,1,TRUE,0.14,Uncommon,57,d44478d2-20eb-4dba-8008-687a293444f5,57,mul,uncommon
"Rona, Sheoldred's Faithful",Multiverse Legends,1,TRUE,0.06,Uncommon,58,8eaeb2b7-ad2d-4e00-b37a-06963ae41bb2,58,mul,uncommon
"Shanna, Sisay's Legacy",Multiverse Legends,1,TRUE,0.08,Uncommon,59,40c00370-0160-48a9-87ac-07a3b2bbd459,59,mul,uncommon
"Taigam, Ojutai Master",Multiverse Legends,1,TRUE,0.28,Rare,60,eb90aae8-34c7-484c-80da-626393917720,60,mul,rare
Teysa Karlov,Multiverse Legends,1,TRUE,1.65,Rare,61,3c48a7da-0d01-439f-8cfb-22af30cffbba,61,mul,rare
"Umori, the Collector",Multiverse Legends,1,TRUE,0.24,Rare,62,81826ef6-02ea-411b-ac08-8ac5e459daa1,62,mul,rare
"Yarok, the Desecrated",Multiverse Legends,1,TRUE,3.65,Mythic Rare,63,e56ba25b-1803-4e1a-b7cf-c2c873159010,63,mul,mythic
"Yorion, Sky Nomad",Multiverse Legends,1,TRUE,0.60,Rare,64,572f03c2-cd20-4e09-90a4-13bd291c5478,64,mul,rare
"Zirda, the Dawnwaker",Multiverse Legends,1,TRUE,1.21,Rare,65,5fe75365-7f6d-4faf-9f55-0ba83821836a,65,mul,rare
"Baral, Chief of Compliance (Foil Etched)",Multiverse Legends,1,TRUE,2.21,Rare,73,,,,
"Sheoldred, Whispering One (Foil Etched)",Multiverse Legends,1,TRUE,22.49,Mythic Rare,81,,,,
"Yargle, Glutton of Urborg (Foil Etched)",Multiverse Legends,1,TRUE,0.12,Uncommon,84,,,,
"Zada, Hedron Grinder (Foil Etched)",Multiverse Legends,1,TRUE,0.11,Uncommon,90,,,,
"Dina, Soul Steeper (Foil Etched)",Multiverse Legends,1,TRUE,0.17,Uncommon,102,,,,
"Firja, Judge of Valor (Foil Etched)",Multiverse Legends,1,TRUE,0.10,Uncommon,105,,,,
"Gyruda, Doom of Depths (Foil Etched)",Multiverse Legends,1,TRUE,1.49,Rare,107,,,,
"Kroxa, Titan of Death's Hunger (Foil Etched)",Multiverse Legends,1,TRUE,4.64,Mythic Rare,114,,,,
"Lathiel, the Bounteous Dawn (Foil Etched)",Multiverse Legends,1,TRUE,0.48,Rare,115,,,,
"Obosh, the Preypiercer (Foil Etched)",Multiverse Legends,1,TRUE,0.61,Rare,119,,,,
"Raff, Weatherlight Stalwart (Foil Etched)",Multiverse Legends,1,TRUE,0.09,Uncommon,121,,,,
"Yorion, Sky Nomad (Foil Etched)",Multiverse Legends,1,TRUE,1.44,Rare,129,,,,
"Anafenza, Kin-Tree Spirit (Halo Foil)",Multiverse Legends,1,TRUE,3.42,Rare,131,,,,
"Kwende, Pride of Femeref (Halo Foil)",Multiverse Legends,1,TRUE,0.18,Uncommon,135,,,,
"Horobi, Death's Wail (Halo Foil)",Multiverse Legends,1,TRUE,3.29,Rare,144,,,,
"Seizan, Perverter of Truth (Halo Foil)",Multiverse Legends,1,TRUE,6.77,Rare,145,,,,
"Sheoldred, Whispering One (Halo Foil)",Multiverse Legends,1,TRUE,50.76,Mythic Rare,146,,,,
"Tymaret, Chosen from Death (Halo Foil)",Multiverse Legends,1,TRUE,0.24,Uncommon,148,,,,
"Squee, the Immortal (Halo Foil)",Multiverse Legends,1,TRUE,8.48,Rare,152,,,,
Urabrask the Hidden (Halo Foil),Multiverse Legends,1,TRUE,16.21,Mythic Rare,153,,,,
"Valduk, Keeper of the Flame (Halo Foil)",Multiverse Legends,1,TRUE,0.24,Uncommon,154,,,,
"Fynn, the Fangbearer (Halo Foil)",Multiverse Legends,1,TRUE,1.95,Uncommon,156,,,,
"Renata, Called to the Hunt (Halo Foil)",Multiverse Legends,1,TRUE,1.05,Uncommon,158,,,,
"Arixmethes, Slumbering Isle (Halo Foil)",Multiverse Legends,1,TRUE,9.04,Rare,162,,,,
"Brudiclad, Telchor Engineer (Halo Foil)",Multiverse Legends,1,TRUE,8.32,Rare,166,,,,
"Dina, Soul Steeper (Halo Foil)",Multiverse Legends,1,TRUE,2.12,Uncommon,167,,,,
"Ezuri, Claw of Progress (Halo Foil)",Multiverse Legends,1,TRUE,6.56,Mythic Rare,168,,,,
"Firja, Judge of Valor (Halo Foil)",Multiverse Legends,1,TRUE,0.28,Uncommon,170,,,,
"Juri, Master of the Revue (Halo Foil)",Multiverse Legends,1,TRUE,1.56,Uncommon,176,,,,
"Kaheera, the Orphanguard (Halo Foil)",Multiverse Legends,1,TRUE,9.94,Rare,177,,,,
"Obosh, the Preypiercer (Halo Foil)",Multiverse Legends,1,TRUE,5.29,Rare,184,,,,
"Radha, Coalition Warlord (Halo Foil)",Multiverse Legends,1,TRUE,0.17,Uncommon,185,,,,
"Reyav, Master Smith (Halo Foil)",Multiverse Legends,1,TRUE,1.24,Uncommon,187,,,,
"Rona, Sheoldred's Faithful (Halo Foil)",Multiverse Legends,1,TRUE,0.12,Uncommon,188,,,,
"Shanna, Sisay's Legacy (Halo Foil)",Multiverse Legends,1,TRUE,0.22,Uncommon,189,,,,
"Anafenza, Kin-Tree Spirit (Foil Etched)",Multiverse Legends,1,TRUE,0.44,Rare,66,,,,
"Daxos, Blessed by the Sun (Foil Etched)",Multiverse Legends,1,TRUE,0.13,Uncommon,67,,,,
"Kwende, Pride of Femeref (Foil Etched)",Multiverse Legends,1,TRUE,0.11,Uncommon,70,,,,
"Emry, Lurker of the Loch (Foil Etched)",Multiverse Legends,1,TRUE,5.19,Rare,74,,,,
Inga Rune-Eyes (Foil Etched),Multiverse Legends,1,TRUE,0.05,Uncommon,75,,,,
"Tetsuko Umezawa, Fugitive (Foil Etched)",Multiverse Legends,1,TRUE,0.16,Uncommon,77,,,,
"Ayara, First of Locthwain (Foil Etched)",Multiverse Legends,1,TRUE,6.73,Rare,78,,,,
"Tymaret, Chosen from Death (Foil Etched)",Multiverse Legends,1,TRUE,0.13,Uncommon,83,,,,
Captain Lannery Storm (Foil Etched),Multiverse Legends,1,TRUE,1.99,Rare,85,,,,
"Ragavan, Nimble Pilferer (Foil Etched)",Multiverse Legends,1,TRUE,41.57,Mythic Rare,86,,,,
"Valduk, Keeper of the Flame (Foil Etched)",Multiverse Legends,1,TRUE,0.09,Uncommon,89,,,,
"Fynn, the Fangbearer (Foil Etched)",Multiverse Legends,1,TRUE,0.23,Uncommon,91,,,,
"Renata, Called to the Hunt (Foil Etched)",Multiverse Legends,1,TRUE,0.15,Uncommon,93,,,,
"Aegar, the Freezing Flame (Foil Etched)",Multiverse Legends,1,TRUE,0.13,Uncommon,96,,,,
"Atraxa, Praetors' Voice (Foil Etched)",Multiverse Legends,1,TRUE,25.05,Mythic Rare,98,,,,
Firesong and Sunspeaker (Foil Etched),Multiverse Legends,1,TRUE,0.42,Rare,104,,,,
"Imoti, Celebrant of Bounty (Foil Etched)",Multiverse Legends,1,TRUE,0.15,Uncommon,108,,,,
"Juri, Master of the Revue (Foil Etched)",Multiverse Legends,1,TRUE,0.15,Uncommon,111,,,,
"Radha, Coalition Warlord (Foil Etched)",Multiverse Legends,1,TRUE,0.09,Uncommon,120,,,,
"Reyav, Master Smith (Foil Etched)",Multiverse Legends,1,TRUE,0.20,Uncommon,122,,,,
"Rona, Sheoldred's Faithful (Foil Etched)",Multiverse Legends,1,TRUE,0.09,Uncommon,123,,,,
"Shanna, Sisay's Legacy (Foil Etched)",Multiverse Legends,1,TRUE,0.11,Uncommon,124,,,,
"Taigam, Ojutai Master (Foil Etched)",Multiverse Legends,1,TRUE,1.00,Rare,125,,,,
