Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Absolving Lammasu,Murders at Karlov Manor,1,TRUE,0.03,Uncommon,2,bd6e71a1-713e-4eca-bd65-9f0638c16794,2,mkm,uncommon
Assemble the Players,Murders at Karlov Manor,1,TRUE,0.29,Rare,3,f5bcb21a-8559-4791-8cd0-482e7b8dcfd2,3,mkm,rare
Aurelia's Vindicator,Murders at Karlov Manor,1,TRUE,0.55,Mythic Rare,4,5901dff4-e09b-4747-9297-797a1a057cd5,4,mkm,mythic
Auspicious Arrival,Murders at Karlov Manor,1,TRUE,0.02,Common,5,5180c85c-6add-4066-83c4-27fb1fd4de16,5,mkm,common
Call a Surprise Witness,Murders at Karlov Manor,1,TRUE,0.06,Uncommon,6,f5148def-cf1a-460e-8dfd-856103940892,6,mkm,uncommon
Case File Auditor,Murders at Karlov Manor,1,TRUE,0.04,Uncommon,7,70a52038-9d1c-4be1-8dbe-6f0ee916ba94,7,mkm,uncommon
Case of the Gateway Express,Murders at Karlov Manor,1,TRUE,0.30,Uncommon,8,0862bf07-8a76-4e80-bba2-20d22f8eee30,8,mkm,uncommon
Case of the Pilfered Proof,Murders at Karlov Manor,1,TRUE,0.08,Uncommon,9,32927bf2-63c1-4402-99dc-3a0f2f8e0f9c,9,mkm,uncommon
Case of the Uneaten Feast,Murders at Karlov Manor,1,TRUE,1.73,Rare,10,ac63941b-3f78-4bd3-8b05-ca12aaaa006c,10,mkm,rare
Defenestrated Phantom,Murders at Karlov Manor,1,TRUE,0.01,Common,11,8b284304-c3bf-4413-9fd3-b44eb4eb642a,11,mkm,common
Doorkeeper Thrull,Murders at Karlov Manor,1,FALSE,0.90,Rare,13,80a1cd28-d2a5-4d1a-aa03-a6a5958ae432,13,mkm,rare
Due Diligence,Murders at Karlov Manor,1,TRUE,0.06,Common,14,076d9f76-a247-4727-9e0f-a0289c51059e,14,mkm,common
Essence of Antiquity,Murders at Karlov Manor,1,TRUE,0.07,Uncommon,15,aee2945d-bf6d-4328-a482-df24c2973b56,15,mkm,uncommon
Forum Familiar,Murders at Karlov Manor,1,TRUE,0.20,Uncommon,16,b06a243d-acc8-42cd-926c-98a4cc96ab21,16,mkm,uncommon
Griffnaut Tracker,Murders at Karlov Manor,1,TRUE,0.04,Common,17,95f5d048-226f-49a4-a2ce-a6fa99aa9e8a,17,mkm,common
Haazda Vigilante,Murders at Karlov Manor,1,TRUE,0.02,Common,18,5277fe72-dc33-4d19-a439-63b5344c6034,18,mkm,common
Inside Source,Murders at Karlov Manor,1,TRUE,0.02,Common,19,1548d181-3f83-457a-b2d3-eb88cfb2afda,19,mkm,common
Karlov Watchdog,Murders at Karlov Manor,1,TRUE,0.06,Uncommon,20,79cfb366-ae2a-4b3d-9a80-383a32db1509,20,mkm,uncommon
Krovod Haunch,Murders at Karlov Manor,1,TRUE,0.04,Uncommon,21,f663cd86-39e6-467b-85b7-dd27536251a6,21,mkm,uncommon
Make Your Move,Murders at Karlov Manor,1,TRUE,0.06,Common,22,73475d29-2673-4614-86d3-404232426aa8,22,mkm,common
Makeshift Binding,Murders at Karlov Manor,1,TRUE,0.03,Common,23,e45d2e0c-d70d-40e5-8c3d-db6803393516,23,mkm,common
Marketwatch Phantom,Murders at Karlov Manor,1,TRUE,0.01,Common,24,daf6a392-3fc4-45d1-b85d-3b1381b3ab7d,24,mkm,common
Museum Nightwatch,Murders at Karlov Manor,1,TRUE,0.02,Common,25,37860682-4973-4a0f-a43a-3056037bd2dc,25,mkm,common
Neighborhood Guardian,Murders at Karlov Manor,1,TRUE,0.10,Uncommon,26,0438d482-b74c-4d5e-a2bc-7063c1ae73fa,26,mkm,uncommon
No Witnesses,Murders at Karlov Manor,1,TRUE,0.23,Rare,27,f98db67a-c39c-45a8-ae21-85133be46ed5,27,mkm,rare
Not on My Watch,Murders at Karlov Manor,1,TRUE,0.16,Uncommon,28,700294fc-7c16-4f7d-bce0-7452d8e9c401,28,mkm,uncommon
Novice Inspector,Murders at Karlov Manor,1,TRUE,0.18,Common,29,0ad38866-fc5f-4f62-89c1-afc0f50765aa,29,mkm,common
On the Job,Murders at Karlov Manor,1,TRUE,0.02,Common,30,48b92629-4196-4943-91fd-8c8d5f3fcaef,30,mkm,common
Perimeter Enforcer,Murders at Karlov Manor,1,TRUE,0.03,Uncommon,31,1f88d077-5082-4a67-91e4-97aafb9a5e91,31,mkm,uncommon
Sanctuary Wall,Murders at Karlov Manor,1,TRUE,0.02,Uncommon,32,4a009ba2-c7b9-4cf6-bb90-9d6fd589e932,32,mkm,uncommon
Seasoned Consultant,Murders at Karlov Manor,1,TRUE,0.03,Common,33,c0ebfe5d-8819-495d-bf72-b9c28c6fd23e,33,mkm,common
Tenth District Hero,Murders at Karlov Manor,1,TRUE,0.10,Rare,34,7c65a79e-f28a-4f30-95a4-1ea55fd84564,34,mkm,rare
Wrench,Murders at Karlov Manor,1,TRUE,0.04,Uncommon,37,c36cc39b-8f3b-4297-b118-86fa624308b4,37,mkm,uncommon
Agency Outfitter,Murders at Karlov Manor,1,TRUE,0.05,Uncommon,38,8112f133-535e-4264-8357-9cbf97957710,38,mkm,uncommon
Behind the Mask,Murders at Karlov Manor,1,TRUE,0.04,Common,39,e522b043-fbd8-48a4-9f20-39e2a66a35ec,39,mkm,common
Benthic Criminologists,Murders at Karlov Manor,1,TRUE,0.03,Common,40,283b6b5a-acdf-4255-a294-0964d9c62686,40,mkm,common
Bubble Smuggler,Murders at Karlov Manor,1,TRUE,0.08,Common,41,6b863ee0-d9f3-4b1e-993d-5212731d9353,41,mkm,common
Burden of Proof,Murders at Karlov Manor,1,TRUE,0.03,Uncommon,42,4ea29c34-4b55-4170-9120-0a8dda61f2eb,42,mkm,uncommon
Candlestick,Murders at Karlov Manor,1,TRUE,0.10,Uncommon,43,5aeae6fb-3834-4891-924e-3d1fb3e19e09,43,mkm,uncommon
Case of the Filched Falcon,Murders at Karlov Manor,1,TRUE,0.19,Uncommon,44,266be5bd-71ba-4511-8b71-d0b03885a28d,44,mkm,uncommon
Case of the Ransacked Lab,Murders at Karlov Manor,1,TRUE,1.03,Rare,45,16a9a596-61de-4fcf-aae0-41836c3deca5,45,mkm,rare
Cold Case Cracker,Murders at Karlov Manor,1,TRUE,0.05,Common,46,f082111b-9b1c-4a25-8c5d-d6ef77533a9b,46,mkm,common
Coveted Falcon,Murders at Karlov Manor,1,TRUE,0.20,Rare,48,bc936987-d58b-4e7c-870f-379bcae77727,48,mkm,rare
Crimestopper Sprite,Murders at Karlov Manor,1,TRUE,0.03,Common,49,dc4ac597-38f0-48b5-ac2d-dfb0b169f834,49,mkm,common
Curious Inquiry,Murders at Karlov Manor,1,TRUE,0.07,Uncommon,51,5a3603c6-92df-45c7-b402-1f0a552ea398,51,mkm,uncommon
Deduce,Murders at Karlov Manor,1,TRUE,0.13,Common,52,7cbb17af-e17e-438a-ad72-0c942e6706b6,52,mkm,common
Dramatic Accusation,Murders at Karlov Manor,1,TRUE,0.03,Common,53,2ca93438-a132-45ca-9fa8-364aeb519594,53,mkm,common
Eliminate the Impossible,Murders at Karlov Manor,1,TRUE,0.03,Uncommon,54,486f1cc2-c162-448e-91a9-577d7d796584,54,mkm,uncommon
Exit Specialist,Murders at Karlov Manor,1,TRUE,0.13,Uncommon,55,268f142d-9fb1-4673-b804-add1f08dacb9,55,mkm,uncommon
Fae Flight,Murders at Karlov Manor,1,TRUE,0.13,Uncommon,56,d9caa4eb-ed8c-4d05-8029-2a42163938a7,56,mkm,uncommon
Forensic Gadgeteer,Murders at Karlov Manor,1,TRUE,1.67,Rare,57,97d08a15-e61c-4421-a541-c68a4f87cb74,57,mkm,rare
