Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Defiant Strike,Mystical Archive,1,FALSE,0.25,Uncommon,3,,,,
Divine Gambit,Mystical Archive,1,FALSE,0.20,Uncommon,4,,,,
Gift of Estates,Mystical Archive,1,FALSE,0.85,Rare,6,,,,
Gods Willing,Mystical Archive,1,FALSE,0.40,Rare,7,,,,
Revitalize,Mystical Archive,1,FALSE,0.25,Uncommon,9,,,,
Swords to Plowshares,Mystical Archive,1,TRUE,8.46,Rare,10,,,,
Teferi's Protection,Mystical Archive,1,FALSE,38.45,Mythic Rare,11,,,,
Brainstorm,Mystical Archive,1,FALSE,3.85,Rare,13,,,,
Counterspell,Mystical Archive,1,FALSE,3.76,Rare,15,,,,
Negate,Mystical Archive,1,TRUE,2.57,Uncommon,18,,,,
Opt,Mystical Archive,1,TRUE,0.48,Uncommon,19,,,,
Strategic Planning,Mystical Archive,1,FALSE,0.21,Uncommon,20,,,,
Tezzeret's Gambit,Mystical Archive,1,FALSE,0.49,Rare,21,,,,
Time Warp,Mystical Archive,1,FALSE,12.53,Mythic Rare,22,,,,
Whirlwind Denial,Mystical Archive,1,FALSE,0.24,Uncommon,23,,,,
Agonizing Remorse,Mystical Archive,1,FALSE,0.20,Uncommon,24,,,,
Doom Blade,Mystical Archive,1,FALSE,0.43,Rare,28,,,,
Duress,Mystical Archive,17,FALSE,0.25,Uncommon,29,,,,
Eliminate,Mystical Archive,1,TRUE,0.20,Uncommon,30,,,,
Tendrils of Agony,Mystical Archive,1,FALSE,0.54,Rare,34,,,,
Village Rites,Mystical Archive,1,FALSE,0.42,Uncommon,35,,,,
Increasing Vengeance,Mystical Archive,1,FALSE,2.36,Mythic Rare,40,,,,
Infuriate,Mystical Archive,1,FALSE,0.24,Uncommon,41,,,,
Shock,Mystical Archive,1,FALSE,0.25,Uncommon,44,,,,
Stone Rain,Mystical Archive,1,TRUE,0.41,Rare,45,,,,
Thrill of Possibility,Mystical Archive,1,TRUE,0.32,Uncommon,46,,,,
Abundant Harvest,Mystical Archive,1,FALSE,0.42,Rare,48,,,,
Adventurous Impulse,Mystical Archive,1,FALSE,0.20,Uncommon,49,,,,
Snakeskin Veil,Mystical Archive,1,FALSE,0.33,Uncommon,57,,,,
Weather the Storm,Mystical Archive,1,FALSE,0.74,Rare,58,,,,
Electrolyze,Mystical Archive,1,FALSE,0.43,Rare,60,,,,
Putrefy,Mystical Archive,1,FALSE,0.49,Rare,63,,,,
Defiant Strike (Foil Etched),Mystical Archive Variants,1,FALSE,0.00,Uncommon,3,,,,
Divine Gambit (Foil Etched),Mystical Archive Variants,1,FALSE,0.00,Uncommon,4,,,,
Gods Willing (Foil Etched),Mystical Archive Variants,1,FALSE,0.00,Rare,7,,,,
Mana Tithe (Foil Etched),Mystical Archive Variants,1,TRUE,2.63,Rare,8,,,,
Revitalize (Foil Etched),Mystical Archive Variants,1,TRUE,0.28,Uncommon,9,,,,
Blue Sun's Zenith (Foil Etched),Mystical Archive Variants,1,TRUE,5.73,Mythic Rare,12,,,,
Brainstorm (Foil Etched),Mystical Archive Variants,1,FALSE,0.00,Rare,13,,,,
Counterspell (Foil Etched),Mystical Archive Variants,1,FALSE,0.00,Rare,15,,,,
Memory Lapse (Foil Etched),Mystical Archive Variants,1,TRUE,1.75,Rare,16,,,,
Whirlwind Denial (Foil Etched),Mystical Archive Variants,1,TRUE,0.31,Uncommon,23,,,,
Duress (Foil Etched),Mystical Archive Variants,1,TRUE,1.91,Uncommon,29,,,,
Claim the Firstborn (Foil Etched),Mystical Archive Variants,1,TRUE,0.32,Uncommon,37,,,,
Grapeshot (Foil Etched),Mystical Archive Variants,1,TRUE,8.41,Rare,39,,,,
Cultivate (Foil Etched),Mystical Archive Variants,1,TRUE,2.18,Uncommon,51,,,,
Krosan Grip (Foil Etched),Mystical Archive Variants,1,TRUE,2.28,Rare,53,,,,
Growth Spiral (Foil Etched),Mystical Archive Variants,1,TRUE,2.48,Rare,61,,,,
