Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Air Bladder,Nemesis,1,FALSE,0.22,Common,28,a7363c6f-53a3-4f41-b451-8120bc24f1ee,28,nem,common
Ancient Hydra,Nemesis,1,FALSE,0.25,Uncommon,76,5de57c84-38b9-4606-b934-0ab270496582,76,nem,uncommon
Angelic Favor,Nemesis,1,FALSE,0.25,Uncommon,1,871ad2f3-1dd2-45ea-881d-529aad3b76ec,1,nem,uncommon
Arc Mage,Nemesis,1,FALSE,0.25,Uncommon,77,62982dab-4c27-45b3-9740-38fec3df7226,77,nem,uncommon
Belbe's Armor,Nemesis,1,FALSE,0.30,Uncommon,126,0052158b-58d1-4416-a7ce-7c6a7595263c,126,nem,uncommon
Belbe's Portal,Nemesis,1,FALSE,1.84,Rare,127,fb4eeea1-693e-475c-a209-8a0464df8081,127,nem,rare
Bola Warrior,Nemesis,1,FALSE,0.22,Common,78,dc6e1de6-e7e0-4037-896a-f80c54b8ef5c,78,nem,common
Chieftain en-Dal,Nemesis,1,FALSE,0.25,Uncommon,4,0c1f49bc-d144-466f-8795-c0dae7afdc10,4,nem,uncommon
Cloudskate,Nemesis,1,FALSE,0.23,Common,29,e7f97e50-3aeb-4c79-81b1-505a2f32d8ac,29,nem,common
Coiling Woodworm,Nemesis,1,FALSE,0.25,Uncommon,103,341a70be-2dbf-4365-9c7a-e52cb62a74fa,103,nem,uncommon
Defender en-Vec,Nemesis,1,FALSE,0.20,Common,5,e7b224b7-d5f7-4515-beca-523f305ee3b8,5,nem,common
Defiant Falcon,Nemesis,1,FALSE,0.25,Common,6,4c80032b-daeb-4661-9a66-61abe9d12ddd,6,nem,common
Defiant Vanguard,Nemesis,1,FALSE,0.25,Uncommon,7,4c0bd267-59ec-41df-b0b7-37f6e6d6b073,7,nem,uncommon
Downhill Charge,Nemesis,1,FALSE,0.30,Common,79,2ebfc91c-d764-4e63-a428-82704f8bf1fd,79,nem,common
Ensnare,Nemesis,1,FALSE,0.65,Uncommon,32,055b344a-4eb1-4579-ac50-973b18e12fad,32,nem,uncommon
Fanatical Devotion,Nemesis,1,FALSE,1.00,Common,8,be0ed1fb-d380-4e3e-a43f-c39660a996e9,8,nem,common
Flint Golem,Nemesis,1,FALSE,0.25,Uncommon,130,0e62aa7e-d9f9-42d4-9eed-5f51f88047c6,130,nem,uncommon
Flowstone Crusher,Nemesis,1,FALSE,0.23,Common,81,c93f0066-1ff0-4e52-9959-9eb0def60957,81,nem,common
Flowstone Overseer,Nemesis,1,FALSE,0.42,Rare,82,3e644ab8-3cc3-413d-a918-44fc636087ae,82,nem,rare
Flowstone Slide,Nemesis,1,FALSE,0.45,Rare,83,ec7b02e1-0a20-4247-ae2a-056c5356f168,83,nem,rare
Flowstone Surge,Nemesis,1,FALSE,0.25,Uncommon,85,bc450922-0bbf-46c4-9955-79f4d41ee488,85,nem,uncommon
Flowstone Thopter,Nemesis,1,FALSE,0.25,Uncommon,132,5bf016ec-2654-4c3e-8e2e-6c70c4604d28,132,nem,uncommon
Flowstone Wall,Nemesis,1,FALSE,0.23,Common,86,89844c2f-f0a4-41c6-ad8c-d559fcaec85c,86,nem,common
Jolting Merfolk,Nemesis,1,FALSE,0.25,Uncommon,34,8b4d1c74-8b73-445c-b226-349c57a972f6,34,nem,uncommon
Laccolith Grunt,Nemesis,1,FALSE,0.20,Common,87,f27fd65a-5631-491f-b158-45012832ccf1,87,nem,common
