Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Act of Aggression,New Phyrexia,1,FALSE,0.35,Uncommon,78,61a9f30b-d154-49a4-ad6b-f05601992de3,78,nph,uncommon
Alloy Myr,New Phyrexia,1,FALSE,0.48,Uncommon,129,abd3350b-89fb-40b4-a942-28e0c8c274aa,129,nph,uncommon
Apostle's Blessing,New Phyrexia,1,FALSE,0.35,Common,2,9f7c3571-925d-486e-80dd-bac47aa48283,2,nph,common
Argent Mutation,New Phyrexia,1,FALSE,0.25,Uncommon,27,507fa5fd-2aa5-4721-a059-2c8c3056a4ca,27,nph,uncommon
Artillerize,New Phyrexia,1,FALSE,0.19,Common,79,034522ae-f531-44d9-b186-ada046ce0abc,79,nph,common
Auriok Survivors,New Phyrexia,1,FALSE,0.25,Uncommon,3,deffb601-6a53-4d88-a6af-686ce97eb4f0,3,nph,uncommon
Batterskull,New Phyrexia,1,FALSE,4.48,Mythic Rare,130,cd114ec3-d286-4c70-a122-3043bc53cc88,130,nph,mythic
Blind Zealot,New Phyrexia,1,FALSE,0.20,Common,52,9bd04df1-5131-455d-b497-fcce4f9af552,52,nph,common
Blinding Souleater,New Phyrexia,1,FALSE,0.20,Common,131,2220e9dd-f1d8-4a69-9df9-1322e4a5cdc7,131,nph,common
Caress of Phyrexia,New Phyrexia,1,FALSE,0.35,Uncommon,53,5ef987ad-a3dc-4ef5-90ec-9a8cfa95965b,53,nph,uncommon
Cathedral Membrane,New Phyrexia,1,FALSE,0.25,Uncommon,5,07592731-68be-4218-bb2c-c2523c5a27f1,5,nph,uncommon
Chained Throatseeker,New Phyrexia,1,FALSE,0.20,Common,30,3a7bb447-c2b0-429e-bf82-02d6a966fe73,30,nph,common
Conversion Chamber,New Phyrexia,1,FALSE,0.25,Uncommon,133,14d5a8f3-05b6-4bb7-bbe1-e753e22cbb50,133,nph,uncommon
Corrupted Resolve,New Phyrexia,1,FALSE,0.32,Uncommon,32,28432161-023b-4a98-b92a-55dc6d936cd1,32,nph,uncommon
Darksteel Relic,New Phyrexia,1,FALSE,0.49,Uncommon,134,0fd8c918-62d9-41be-a3e1-32ddac71b7e7,134,nph,uncommon
Defensive Stance,New Phyrexia,1,FALSE,0.20,Common,34,d0670653-d4fe-4fac-b769-d19ca4698c97,34,nph,common
Despise,New Phyrexia,1,FALSE,0.25,Uncommon,56,ee7bfcd3-9f2b-41f5-93b4-8c1ee6ba4d88,56,nph,uncommon
Dismember,New Phyrexia,1,FALSE,3.00,Uncommon,57,064dfdeb-485f-473e-9fa0-8fdb7638cdc6,57,nph,uncommon
Due Respect,New Phyrexia,1,FALSE,0.25,Uncommon,8,a7159850-964b-4f12-957f-614eb0570544,8,nph,uncommon
Exclusion Ritual,New Phyrexia,1,FALSE,0.25,Uncommon,10,9e3b826a-7349-45ae-89bf-675fea7ce8e3,10,nph,uncommon
Flameborn Viron,New Phyrexia,1,FALSE,0.20,Common,83,9601ea62-a609-4bc5-a2f0-f7615b4dd5fa,83,nph,common
Forced Worship,New Phyrexia,1,FALSE,0.18,Common,11,e050701d-4609-470d-85ff-4b7638893c6a,11,nph,common
Forest (174),New Phyrexia,1,FALSE,0.33,Basic Land,174,,,,
Forest (175),New Phyrexia,1,FALSE,0.25,Basic Land,175,,,,
Furnace Scamp,New Phyrexia,1,FALSE,0.22,Common,84,97538294-058c-47d4-b7a8-4db3753a6628,84,nph,common
Glistener Elf,New Phyrexia,1,FALSE,0.60,Common,111,8b94f4c6-b518-43b3-be52-e889d1f3ea38,111,nph,common
Gremlin Mine,New Phyrexia,1,FALSE,0.20,Common,136,ccde7ebb-90de-4174-a1c5-75fc9384deaa,136,nph,common
Gut Shot,New Phyrexia,1,FALSE,1.50,Uncommon,86,a54a2a30-b96a-49c7-9151-1f4b0d4a4413,86,nph,uncommon
Hovermyr,New Phyrexia,1,FALSE,0.25,Common,138,95e4e445-8333-4cb4-b4fb-80957fae0b97,138,nph,common
Immolating Souleater,New Phyrexia,1,FALSE,0.21,Common,139,abbaf916-067d-4834-a55c-b400fe0d8c1f,139,nph,common
Impaler Shrike,New Phyrexia,1,FALSE,0.20,Common,36,91e1f8b5-4792-457d-b3de-1d4874ddf72e,36,nph,common
Insatiable Souleater,New Phyrexia,1,FALSE,0.20,Common,140,171d5213-5bb4-4f5b-9ddd-e2a7ac092ec6,140,nph,common
