Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abstruse Interference,Oath of the Gatewatch,1,FALSE,0.15,Common,40,249a7be3-311e-4ce6-97dc-97242463ae23,40,ogw,common
Affa Protector,Oath of the Gatewatch,1,FALSE,0.15,Common,14,0e54ac79-fbaa-4385-869b-aaf31e33a11f,14,ogw,common
Akoum Flameseeker,Oath of the Gatewatch,1,FALSE,0.15,Common,101,6ef4e1e2-7961-47d2-bb55-9168ea201214,101,ogw,common
Allied Reinforcements,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,15,fd7d7c93-5622-45ca-9359-110685d9162c,15,ogw,uncommon
Ancient Crab,Oath of the Gatewatch,1,TRUE,0.49,Common,50,783794e3-fe0c-4014-ae5a-6c249af23ddc,50,ogw,common
"Ayli, Eternal Pilgrim",Oath of the Gatewatch,1,FALSE,1.22,Rare,151,e7b5893d-6df6-4cae-ae70-d02d443d1740,151,ogw,rare
Baloth Null,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,152,8811d210-23e2-4318-9730-7ee3b2021c68,152,ogw,uncommon
Baloth Pup,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,127,3f9c87f4-4fa5-4c97-9654-c4acd250f850,127,ogw,uncommon
Birthing Hulk,Oath of the Gatewatch,1,FALSE,0.25,Uncommon,121,a1a644e0-96e5-4b73-873f-1132948cb21f,121,ogw,uncommon
Blinding Drone,Oath of the Gatewatch,1,FALSE,0.15,Common,41,4eb60957-0811-40c3-a92b-cce3e6a94745,41,ogw,common
Bonds of Mortality,Oath of the Gatewatch,1,FALSE,0.25,Uncommon,128,ff50de00-115f-41ed-892b-aac9bd13b9b9,128,ogw,uncommon
Bone Saw,Oath of the Gatewatch,1,FALSE,0.19,Common,161,dc3d19ff-b618-4b07-99a8-ea6e7ee72459,161,ogw,common
Boulder Salvo,Oath of the Gatewatch,1,FALSE,0.15,Common,102,4e269989-bb22-4da4-a374-434a572e8e8f,102,ogw,common
Brute Strength,Oath of the Gatewatch,1,FALSE,0.15,Common,103,ec60192a-19b3-447c-b732-bbcb2d275df6,103,ogw,common
Call the Gatewatch,Oath of the Gatewatch,1,FALSE,0.48,Rare,16,4719ac60-2cff-4abb-b9cc-b677d3ac945c,16,ogw,rare
Canopy Gorger,Oath of the Gatewatch,1,FALSE,0.15,Common,129,cbc8957d-769c-4630-9544-56cea8c847c2,129,ogw,common
Captain's Claws,Oath of the Gatewatch,1,FALSE,0.45,Rare,162,521ee576-5a51-4353-af38-c461f05d66ce,162,ogw,rare
Chitinous Cloak,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,163,15e54603-af67-497f-afe0-88cfa4d00095,163,ogw,uncommon
Cinder Barrens,Oath of the Gatewatch,1,TRUE,0.36,Uncommon,168,949f41a0-9082-4682-88b8-a29fbcb48d5d,168,ogw,uncommon
Cinder Hellion,Oath of the Gatewatch,1,FALSE,0.15,Common,105,5a069118-42e4-40e3-a2ba-593ac89b9064,105,ogw,common
Cliffhaven Vampire,Oath of the Gatewatch,1,TRUE,6.02,Uncommon,153,5544247d-1f8f-443f-a4c4-d8461db28a79,153,ogw,uncommon
Comparative Analysis,Oath of the Gatewatch,1,TRUE,0.25,Common,51,dd83129b-7e8c-4cc5-a7b3-e0ae221d7ad4,51,ogw,common
Consuming Sinkhole,Oath of the Gatewatch,1,FALSE,0.15,Common,94,82a42b28-3d1b-4432-b8c9-2d42e4d0e1c5,94,ogw,common
Containment Membrane,Oath of the Gatewatch,1,FALSE,0.15,Common,52,49dd3963-a4d7-4992-b6f8-753996390bbf,52,ogw,common
Corpse Churn,Oath of the Gatewatch,1,FALSE,0.16,Common,83,6b7e6054-c6b8-4b29-83c5-a2e4e295bdf3,83,ogw,common
Crumbling Vestige,Oath of the Gatewatch,1,FALSE,0.20,Common,170,d491c13c-43e3-4ca3-b888-4edd34dfe14a,170,ogw,common
Cultivator Drone,Oath of the Gatewatch,1,FALSE,0.18,Common,42,bbe4bb6f-bec6-49d2-99d7-e3750a0ea03f,42,ogw,common
Cyclone Sire,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,54,bff62270-57ed-4706-bedf-11f60ae2da43,54,ogw,uncommon
Dazzling Reflection,Oath of the Gatewatch,1,FALSE,0.16,Common,17,f77977e8-25d8-4531-a6fc-8c46e6904670,17,ogw,common
Deepfathom Skulker,Oath of the Gatewatch,1,FALSE,0.39,Rare,43,496a22cc-36dd-4d4d-b887-8c4733a29870,43,ogw,rare
Devour in Flames,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,106,432dd78b-9520-4c28-8699-d7ff9c477070,106,ogw,uncommon
Drana's Chosen,Oath of the Gatewatch,1,FALSE,0.27,Rare,84,189abe2f-5899-438b-9f54-3c98e50f037a,84,ogw,rare
Eldrazi Aggressor,Oath of the Gatewatch,1,FALSE,0.16,Common,95,62f3ec85-552d-4e28-939e-ab2c39e3e9c5,95,ogw,common
Eldrazi Mimic,Oath of the Gatewatch,1,FALSE,1.79,Rare,2,311a05b1-042d-47e7-9fd7-6e8abe8fc578,2,ogw,rare
Eldrazi Obligator,Oath of the Gatewatch,1,FALSE,0.40,Rare,96,dfaa8b16-7c12-44e2-8ddb-17608d491c41,96,ogw,rare
Elemental Uprising,Oath of the Gatewatch,1,FALSE,0.15,Common,130,e194b283-a7d2-4c0a-9ee2-8689a8e911b9,130,ogw,common
Embodiment of Fury,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,107,92f385d1-a6c5-40b7-bc90-6f71b6f815e7,107,ogw,uncommon
Embodiment of Insight,Oath of the Gatewatch,1,FALSE,0.25,Uncommon,131,b034a95d-4f51-4f04-94c2-dad073ea0f35,131,ogw,uncommon
Endbringer,Oath of the Gatewatch,1,FALSE,0.47,Rare,3,6bba7509-db77-414f-926f-1f28a4117831,3,ogw,rare
Essence Depleter,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,69,996da623-1c34-4545-a800-648238ea91ae,69,ogw,uncommon
Expedite,Oath of the Gatewatch,1,FALSE,0.25,Common,108,59c65eb7-4353-45ce-9c2e-1791c2804ccf,108,ogw,common
Expedition Raptor,Oath of the Gatewatch,1,FALSE,0.15,Common,18,819d11eb-960b-4116-ba09-f03bff88b4e7,18,ogw,common
Fall of the Titans,Oath of the Gatewatch,1,FALSE,0.40,Rare,109,8c21da73-0dad-4b2b-8cc6-61861bed9410,109,ogw,rare
Flayer Drone,Oath of the Gatewatch,1,FALSE,0.25,Uncommon,148,3931db42-3773-4aae-b6eb-2209e7312f8c,148,ogw,uncommon
Flaying Tendrils,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,70,77899cb2-4d87-4c2d-99ae-1ae75bc5dc86,70,ogw,uncommon
General Tazri,Oath of the Gatewatch,1,FALSE,0.50,Mythic Rare,19,34e9aa86-1a31-4c0f-928d-923f066286b6,19,ogw,mythic
Gift of Tusks,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,55,3821122c-c495-42b0-b8f6-3f469967f16d,55,ogw,uncommon
Gladehart Cavalry,Oath of the Gatewatch,1,TRUE,0.26,Rare,132,28ffd3f4-a034-4cb2-9270-bdb5197f1bef,132,ogw,rare
Goblin Dark-Dwellers,Oath of the Gatewatch,1,FALSE,0.38,Rare,110,ddf91a4e-97f7-4189-823d-b619bb3b3d55,110,ogw,rare
Goblin Freerunner,Oath of the Gatewatch,1,FALSE,0.15,Common,111,5082e0a1-5c3e-4b8c-ba88-290151564133,111,ogw,common
Grasp of Darkness,Oath of the Gatewatch,1,TRUE,0.48,Uncommon,85,7d692236-92e5-460f-a8fc-8f6c73eba30c,85,ogw,uncommon
Gravity Negator,Oath of the Gatewatch,1,FALSE,0.15,Common,45,85f9b63e-6ecc-4d85-9724-87b8176ae6a6,45,ogw,common
Grip of the Roil,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,56,6cf33069-013f-43ab-9a31-e67bb6dc996d,56,ogw,uncommon
Havoc Sower,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,71,f8585871-24a2-41d7-ae12-29aabfbc9ccc,71,ogw,uncommon
Hedron Alignment,Oath of the Gatewatch,1,FALSE,0.29,Rare,57,7b3ec511-1b78-46e9-8ec2-fc09abd1b434,57,ogw,rare
Hedron Crawler,Oath of the Gatewatch,1,FALSE,0.25,Common,164,9f827f92-1df6-4fd0-aa61-ec2e53476f9c,164,ogw,common
Hissing Quagmire,Oath of the Gatewatch,1,FALSE,0.97,Rare,171,6ef11b54-205a-48e9-92d0-5d416be869ef,171,ogw,rare
Holdout Settlement,Oath of the Gatewatch,1,FALSE,0.25,Common,172,cf08c317-6f2d-47e3-ab5b-8af73fd3e404,172,ogw,common
Immobilizer Eldrazi,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,97,95d9c92d-8b1b-4adc-8015-d50e673b6321,97,ogw,uncommon
Immolating Glare,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,20,2f468338-bb66-4db0-a883-69095566092b,20,ogw,uncommon
Iona's Blessing,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,21,a30f26f7-5181-4bf1-9084-5563b4996a3c,21,ogw,uncommon
Isolation Zone,Oath of the Gatewatch,1,FALSE,0.15,Common,22,1ca698e3-1249-4a08-be04-bae3bd944e99,22,ogw,common
Joraga Auxiliary,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,154,65d920b4-81ab-45be-b763-b6114b879357,154,ogw,uncommon
Jwar Isle Avenger,Oath of the Gatewatch,1,FALSE,0.15,Common,58,0a5b059f-2fa3-474f-9c74-6d4021703add,58,ogw,common
Kazuul's Toll Collector,Oath of the Gatewatch,1,FALSE,0.20,Uncommon,112,6824f48d-6808-4458-a2fd-1ffd0a10d72a,112,ogw,uncommon
Kor Scythemaster,Oath of the Gatewatch,1,FALSE,0.15,Common,23,5ce587ba-f23a-4548-a5b8-fca54984d4b4,23,ogw,common
Kor Sky Climber,Oath of the Gatewatch,1,FALSE,0.15,Common,24,54938334-ebad-4dde-82e6-8c854aef4a91,24,ogw,common
