Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Aboshan's Desire,Odyssey,1,FALSE,0.25,Common,59,137b701e-6140-463e-84b5-58d8a728df40,59,ody,common
Acceptable Losses,Odyssey,1,FALSE,0.20,Common,172,9082bfb8-0ab0-4378-976d-a2c9d3c35a5e,172,ody,common
Æther Burst,Odyssey,1,FALSE,0.24,Common,60,3d09ea4a-0d3a-40b8-be0f-a31693099c4f,60,ody,common
Afflict,Odyssey,1,TRUE,0.49,Common,115,0012621b-c0e1-48d6-99b9-ecca4763d748,115,ody,common
Anarchist,Odyssey,1,FALSE,0.24,Common,173,5514627a-b24c-48c9-9a5a-5a375adcdf62,173,ody,common
Angelic Wall,Odyssey,1,FALSE,0.24,Common,3,6d7c9675-e663-4ad1-9271-38d5c050a7c7,3,ody,common
Aura Graft,Odyssey,1,FALSE,0.30,Uncommon,62,c7553877-7df2-42f7-98a3-1a07f66a4905,62,ody,uncommon
Auramancer,Odyssey,1,FALSE,0.24,Common,5,090dd4cf-5087-4ed8-a944-f3794e5862d5,5,ody,common
Aven Archer,Odyssey,1,FALSE,0.25,Uncommon,6,4d174892-c192-4667-94fb-9f8dbcc6c5eb,6,ody,uncommon
Aven Cloudchaser,Odyssey,1,FALSE,0.22,Common,7,08afe190-368e-4259-9959-00beaccee7ba,7,ody,common
Aven Fisher,Odyssey,1,FALSE,0.20,Common,63,5b27130d-2296-4076-9829-15ab63081896,63,ody,common
Aven Flock,Odyssey,1,FALSE,0.20,Common,8,29866d0b-f9be-4284-9d21-03598ef6ae4f,8,ody,common
Aven Windreader,Odyssey,1,FALSE,0.20,Common,65,9fd2f2cb-a0f1-4844-a692-bcaf1899d41c,65,ody,common
Balshan Griffin,Odyssey,1,FALSE,0.25,Uncommon,67,529c5440-e31f-40be-9e66-699d17049fb4,67,ody,uncommon
Barbarian Lunatic,Odyssey,1,FALSE,0.20,Common,175,6c899f9b-ebce-4424-9cd9-861a50a5f7d2,175,ody,common
Beloved Chaplain,Odyssey,1,FALSE,0.32,Uncommon,11,decec62b-7ac4-4097-9215-5db18db2dec6,11,ody,uncommon
Blessed Orator,Odyssey,1,FALSE,0.25,Uncommon,12,5654575e-0849-4e7f-98f2-0074ac8e0faa,12,ody,uncommon
Cabal Inquisitor,Odyssey,1,FALSE,0.22,Common,119,c0530e09-5206-460e-abd2-e928eca294a5,119,ody,common
Cease-Fire,Odyssey,1,FALSE,0.21,Common,14,1646c998-aee5-497f-bd75-24ced1dabef9,14,ody,common
Chainflinger,Odyssey,1,FALSE,0.20,Common,181,670a5bba-a10f-41f6-88cd-cef1dfe4bfa9,181,ody,common
Chance Encounter,Odyssey,1,FALSE,1.45,Rare,182,57817159-de10-4a68-83e1-971fa9cfee2c,182,ody,rare
Charmed Pendant,Odyssey,1,FALSE,0.79,Rare,298,701942dd-7777-436f-8076-194584be8285,298,ody,rare
Chatter of the Squirrel,Odyssey,1,FALSE,0.37,Common,233,84273844-7fab-4ff7-afb3-c82153132daf,233,ody,common
Confessor,Odyssey,1,FALSE,0.25,Common,15,984c0bdb-e9e2-435e-aa68-2dbad52c3dbd,15,ody,common
Darkwater Egg,Odyssey,1,FALSE,0.33,Uncommon,299,fb988572-1e1d-4b1d-8dc7-78bda966554e,299,ody,uncommon
Decompose,Odyssey,1,FALSE,0.25,Uncommon,128,916fb8a8-f402-4ef6-8a6b-8fc591e04367,128,ody,uncommon
Dedicated Martyr,Odyssey,1,FALSE,0.20,Common,16,d1f95b64-858b-4344-84a2-3afa5c7b9ee9,16,ody,common
Deluge,Odyssey,1,FALSE,0.40,Uncommon,80,22e64f32-0436-4f07-b2b5-a622e3f59d65,80,ody,uncommon
Dematerialize,Odyssey,1,FALSE,0.20,Common,81,04217c17-7c29-4b02-b9b6-bfa1df50d4bc,81,ody,common
Divine Sacrament,Odyssey,1,TRUE,2.52,Rare,19,f69ecef5-4f1a-4463-8908-7c0ef955b02d,19,ody,rare
Dreamwinder,Odyssey,1,FALSE,0.20,Common,83,2ae3a000-478c-4185-a8c0-82f29942497b,83,ody,common
