Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Accursed Centaur,Onslaught,1,FALSE,0.24,Common,123,894556d8-6d5c-431b-a45d-26cd37c5f456,123,ons,common
Æther Charge,Onslaught,1,FALSE,0.25,Uncommon,184,05df2792-4971-49e8-a8f2-17700e247500,184,ons,uncommon
Airborne Aid,Onslaught,1,TRUE,2.11,Common,62,0aaa43b0-601f-4b99-a328-541b04d5696d,62,ons,common
Airdrop Condor,Onslaught,1,FALSE,0.25,Uncommon,186,ec9796ac-11e2-4295-bf00-f684d0111970,186,ons,uncommon
Akroma's Blessing,Onslaught,1,FALSE,0.35,Uncommon,1,c3710c68-3f71-4d76-8bd2-001f0e8036f5,1,ons,uncommon
Ancestor's Prophet,Onslaught,1,FALSE,0.50,Rare,3,cdee956e-76b1-4ba7-a387-2fbfb853507d,3,ons,rare
Aphetto Vulture,Onslaught,1,FALSE,0.25,Uncommon,126,107492b9-03a8-4d53-a0cf-4814ffbec409,126,ons,uncommon
Ascending Aven,Onslaught,1,FALSE,0.20,Common,68,bd8b17df-615c-4cc1-af1a-2fc35a985af9,68,ons,common
Aura Extraction,Onslaught,1,FALSE,0.25,Uncommon,5,55d16883-5e98-4dd2-92dd-0ba92f1099cb,5,ons,uncommon
Avarax,Onslaught,1,FALSE,0.25,Uncommon,187,ae76705f-ec95-48b0-9e26-84ce40c9514b,187,ons,uncommon
Backslide,Onslaught,1,FALSE,0.24,Common,70,47c40269-80a5-454f-83dd-dae1c11500c0,70,ons,common
Battering Craghorn,Onslaught,1,FALSE,0.22,Common,188,9ef71f42-87e5-4b1d-aac1-3752b81cee7c,188,ons,common
Battlefield Medic,Onslaught,1,FALSE,0.22,Common,9,9c444503-42a8-4952-819b-bbca89b06abc,9,ons,common
Bloodline Shaman,Onslaught,1,FALSE,0.30,Uncommon,249,5fdfc473-8477-4c04-a4e7-ecac1b0a5716,249,ons,uncommon
Boneknitter,Onslaught,1,FALSE,0.26,Uncommon,128,c9d58030-a95a-4221-93bc-30a59344e30b,128,ons,uncommon
Break Open,Onslaught,1,FALSE,0.20,Common,190,a5ae8050-b644-41db-b1e9-d9bad2173485,190,ons,common
Cabal Archon,Onslaught,1,FALSE,0.30,Uncommon,129,4bdf6e2a-1bf5-4d63-a58b-883cfb1ea0fa,129,ons,uncommon
Cabal Slaver,Onslaught,1,FALSE,0.34,Uncommon,131,b9c04fd3-021a-4011-be9b-0d268557aa06,131,ons,uncommon
Catapult Squad,Onslaught,1,FALSE,0.25,Uncommon,11,75a71d29-29eb-43c4-b0f3-457435e8f629,11,ons,uncommon
Chain of Plasma,Onslaught,1,FALSE,0.30,Uncommon,193,f94aa774-9036-4016-8880-4bde2710cb90,193,ons,uncommon
Chain of Silence,Onslaught,1,FALSE,0.25,Uncommon,12,9a60ac8e-11eb-433f-86f9-8e593b38c617,12,ons,uncommon
Charging Slateback,Onslaught,1,FALSE,0.20,Common,194,d2cfff37-655f-4107-abf3-e6f63d0e4de2,194,ons,common
Choking Tethers,Onslaught,1,FALSE,0.20,Common,74,d4de14d1-441f-4d65-bd12-df0506530015,74,ons,common
Commando Raid,Onslaught,1,FALSE,0.25,Uncommon,195,bb237330-ac2e-411d-836c-6628f96f3262,195,ons,uncommon
Crafty Pathmage,Onslaught,1,FALSE,0.22,Common,77,c5d91378-f831-40ef-a79b-b044af1470e0,77,ons,common
Crowd Favorites,Onslaught,1,FALSE,0.25,Uncommon,15,1038436d-aea5-4508-8b37-c2cfa32c2771,15,ons,uncommon
Crown of Ascension,Onslaught,1,FALSE,0.23,Common,78,2fe86733-7851-4c2a-8d94-dba6f071b94d,78,ons,common
Crown of Awe,Onslaught,1,FALSE,0.24,Common,16,aeaea4bc-dcea-4340-a039-ebc97b944673,16,ons,common
Crown of Vigor,Onslaught,1,FALSE,0.20,Common,253,e7e320a6-88e2-4be1-97e2-30e0f3c2e450,253,ons,common
Custody Battle,Onslaught,1,FALSE,0.91,Uncommon,197,b72257f5-0cf9-45ca-8dc7-a1a93bd7dd1e,197,ons,uncommon
