Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Another Round,Outlaws of Thunder Junction,2,FALSE,0.49,Rare,1,4f8dc511-e307-4412-bb79-375a6077312d,1,otj,rare
Another Round,Outlaws of Thunder Junction,1,TRUE,0.45,Rare,1,4f8dc511-e307-4412-bb79-375a6077312d,1,otj,rare
Archangel of Tithes,Outlaws of Thunder Junction,1,TRUE,4.05,Mythic Rare,2,c853d04c-864b-491c-8c6f-72d2d4874d2f,2,otj,mythic
Aven Interrupter,Outlaws of Thunder Junction,1,TRUE,4.04,Rare,4,d3ca43a4-d194-440f-8099-f1fa103a108d,4,otj,rare
Claim Jumper,Outlaws of Thunder Junction,1,TRUE,2.12,Rare,8,654ade6b-0369-4b90-a744-2f57a45b04f4,8,otj,rare
Dust Animus,Outlaws of Thunder Junction,1,TRUE,0.23,Rare,9,70719e7b-6f02-4c1a-9f11-79b2b0d9846a,9,otj,rare
Final Showdown,Outlaws of Thunder Junction,1,FALSE,6.10,Mythic Rare,11,358968f9-45bd-4022-b6bc-f1f7e0adf0e7,11,otj,mythic
"Fortune, Loyal Steed",Outlaws of Thunder Junction,1,TRUE,0.21,Rare,12,069294a8-e65a-47af-942f-7e99d18658f2,12,otj,rare
High Noon,Outlaws of Thunder Junction,1,TRUE,1.51,Rare,15,9995e0e6-7c9c-4fef-8fd2-8fb1622e6ec8,15,otj,rare
One Last Job,Outlaws of Thunder Junction,1,FALSE,0.30,Rare,22,71bfbfae-e7eb-4f80-81c6-9ab6a1bbd39d,22,otj,rare
Archmage's Newt,Outlaws of Thunder Junction,1,TRUE,0.19,Rare,39,a440bbd6-8e51-4db1-90d9-7fa9fc327ad5,39,otj,rare
Double Down,Outlaws of Thunder Junction,1,TRUE,2.51,Mythic Rare,44,8ecccdf3-98c6-4aed-8757-913623efb677,44,otj,mythic
Duelist of the Mind,Outlaws of Thunder Junction,1,TRUE,0.17,Rare,45,2b58e47b-c165-4a58-aa2a-033a35645adc,45,otj,rare
"Fblthp, Lost on the Range",Outlaws of Thunder Junction,1,TRUE,0.32,Rare,48,01d3e6ea-4791-4948-af22-c1bd04c34c1e,48,otj,rare
"Geralf, the Fleshwright",Outlaws of Thunder Junction,1,TRUE,1.54,Mythic Rare,50,afe3b678-b340-4c53-bbf6-19252a809d73,50,otj,mythic
The Key to the Vault,Outlaws of Thunder Junction,1,FALSE,0.58,Rare,54,166814af-a444-4a62-937e-7491673d9387,54,otj,rare
The Key to the Vault,Outlaws of Thunder Junction,1,TRUE,0.48,Rare,54,166814af-a444-4a62-937e-7491673d9387,54,otj,rare
Step Between Worlds,Outlaws of Thunder Junction,1,TRUE,0.21,Rare,70,70ea2054-3d22-42ce-ab50-501ef09c2128,70,otj,rare
Stoic Sphinx,Outlaws of Thunder Junction,1,TRUE,0.16,Rare,71,f93f5055-30d8-4fc4-afa5-29212e8c7536,71,otj,rare
Three Steps Ahead,Outlaws of Thunder Junction,1,TRUE,13.18,Rare,75,8fffd839-2337-4a14-9312-cee085a17f4b,75,otj,rare
Caustic Bronco,Outlaws of Thunder Junction,1,TRUE,4.24,Rare,82,e9a268ba-c442-4fe4-90b4-2810c8474f4e,82,otj,rare
"Gisa, the Hellraiser",Outlaws of Thunder Junction,1,TRUE,4.78,Mythic Rare,89,db7c07b2-02b2-4e62-bf1b-4848e06eec28,89,otj,mythic
Insatiable Avarice,Outlaws of Thunder Junction,1,TRUE,4.69,Rare,91,a108b0e4-1b43-4659-9e91-facb0bd57ebb,91,otj,rare
"Kaervek, the Punisher",Outlaws of Thunder Junction,1,TRUE,0.45,Rare,92,7f3affc1-be42-48c7-89ff-b59550ff278c,92,otj,rare
Pitiless Carnage,Outlaws of Thunder Junction,1,TRUE,0.23,Rare,98,fa76fc45-a106-4dc9-9d44-a005eaa2784d,98,otj,rare
Rush of Dread,Outlaws of Thunder Junction,1,TRUE,0.98,Rare,104,721c7122-91b6-45ea-ba28-de0246a2fc1b,104,otj,rare
Tinybones Joins Up,Outlaws of Thunder Junction,1,TRUE,1.68,Rare,108,5724a15f-0ba0-421a-9cd4-a2b701e6141f,108,otj,rare
"Tinybones, the Pickpocket",Outlaws of Thunder Junction,1,FALSE,8.93,Mythic Rare,109,3d3025a2-4a17-4137-ba0b-bd676c6f5f88,109,otj,mythic
"Vadmir, New Blood",Outlaws of Thunder Junction,1,TRUE,0.31,Rare,113,828b5855-af5a-46a6-8fd4-0a2e28f3bb01,113,otj,rare
"Calamity, Galloping Inferno",Outlaws of Thunder Junction,1,TRUE,0.31,Rare,116,e7a70f5a-2056-4c26-b6ea-9f751b5d0d8c,116,otj,rare
Hell to Pay,Outlaws of Thunder Junction,1,TRUE,0.38,Rare,126,84ad8ed7-1429-432e-8217-a4db3b97675c,126,otj,rare
Hellspur Posse Boss,Outlaws of Thunder Junction,1,TRUE,0.28,Rare,128,5f348c7e-7d72-40f1-a65f-ee7ff4b09412,128,otj,rare
"Magda, the Hoardmaster",Outlaws of Thunder Junction,1,TRUE,0.84,Rare,133,4443d112-209b-49ec-bc40-3a11dcdb092e,133,otj,rare
Slickshot Show-Off,Outlaws of Thunder Junction,1,TRUE,12.16,Rare,146,7054012b-4f9d-44a0-aaf9-7fd3bddc7b2d,146,otj,rare
Stingerback Terror,Outlaws of Thunder Junction,1,FALSE,0.25,Rare,147,d84d6e52-5c35-47bc-b160-876a3b0fcbe1,147,otj,rare
Terror of the Peaks,Outlaws of Thunder Junction,1,TRUE,17.25,Mythic Rare,149,904ff94a-4db4-44a6-8593-89c32905b3fc,149,otj,mythic
"Bristly Bill, Spine Sower",Outlaws of Thunder Junction,1,TRUE,37.40,Mythic Rare,157,52eef0d6-24b7-40b7-8403-e8e863d0cd55,157,otj,mythic
Colossal Rattlewurm,Outlaws of Thunder Junction,1,FALSE,0.34,Rare,159,17a104d3-e4ac-44a0-9c6a-39965b1b9751,159,otj,rare
Colossal Rattlewurm,Outlaws of Thunder Junction,1,TRUE,0.23,Rare,159,17a104d3-e4ac-44a0-9c6a-39965b1b9751,159,otj,rare
Freestrider Lookout,Outlaws of Thunder Junction,1,TRUE,1.03,Rare,163,32370f05-52a2-405f-b2bb-1b8a9b0b69f8,163,otj,rare
Goldvein Hydra,Outlaws of Thunder Junction,1,TRUE,10.69,Mythic Rare,167,de0e01e4-e143-47fd-8565-7b48219bb546,167,otj,mythic
Ornery Tumblewagg,Outlaws of Thunder Junction,1,TRUE,0.37,Rare,171,0020c31b-002a-4121-bc61-2c2c16e9afc8,171,otj,rare
Outcaster Trailblazer,Outlaws of Thunder Junction,1,TRUE,2.29,Rare,173,33b9cd6c-d75c-4905-aa38-ff03a9c4b398,173,otj,rare
Railway Brawler,Outlaws of Thunder Junction,1,TRUE,7.53,Mythic Rare,175,9ec1f76f-f21d-4f06-8c02-be6745183348,175,otj,mythic
Smuggler's Surprise,Outlaws of Thunder Junction,1,TRUE,2.87,Rare,180,e7fbb489-e2b5-4278-8162-86802cf124d8,180,otj,rare
Akul the Unrepentant,Outlaws of Thunder Junction,1,TRUE,0.30,Rare,189,68fd8548-50db-4243-9154-377f32408d58,189,otj,rare
"Annie Flash, the Veteran",Outlaws of Thunder Junction,1,TRUE,0.35,Mythic Rare,190,8d4af7c3-a70d-4f71-b27d-b268c4a0f81e,190,otj,mythic
Annie Joins Up,Outlaws of Thunder Junction,1,TRUE,4.51,Rare,191,1624a5f4-f5bc-47c9-85de-c5520ee234ce,191,otj,rare
