Name,Set,Qty,Foil,Avg Price,Rarity,Number
Annex Sentry,Phyrexia: All Will Be One,1,TRUE,0.17,Uncommon,2
Apostle of Invasion,Phyrexia: All Will Be One,1,TRUE,0.06,Uncommon,3
Basilica Shepherd,Phyrexia: All Will Be One,1,TRUE,0.11,Common,4
Bladed Ambassador,Phyrexia: All Will Be One,1,TRUE,0.03,Uncommon,5
Charge of the Mites,Phyrexia: All Will Be One,1,TRUE,0.18,Common,6
Compleat Devotion,Phyrexia: All Will Be One,1,TRUE,0.07,Common,7
Crawling Chorus,Phyrexia: All Will Be One,1,TRUE,0.17,Common,8
Duelist of Deep Faith,Phyrexia: All Will Be One,1,TRUE,0.07,Common,9
"Elesh Norn, Mother of Machines",Phyrexia: All Will Be One,1,TRUE,22.40,Mythic Rare,10
The Eternal Wanderer,Phyrexia: All Will Be One,1,TRUE,2.35,Rare,11
Flensing Raptor,Phyrexia: All Will Be One,1,TRUE,0.11,Common,12
Goldwarden's Helm,Phyrexia: All Will Be One,1,TRUE,0.07,Common,13
Hexgold Hoverwings,Phyrexia: All Will Be One,1,TRUE,0.11,Uncommon,14
Incisor Glider,Phyrexia: All Will Be One,1,TRUE,0.06,Common,15
Indoctrination Attendant,Phyrexia: All Will Be One,1,TRUE,0.12,Common,16
Infested Fleshcutter,Phyrexia: All Will Be One,1,TRUE,0.18,Uncommon,17
Jawbone Duelist,Phyrexia: All Will Be One,1,TRUE,0.17,Uncommon,18
"Kemba, Kha Enduring",Phyrexia: All Will Be One,1,TRUE,0.32,Rare,19
Leonin Lightbringer,Phyrexia: All Will Be One,1,TRUE,0.03,Common,20
Mandible Justiciar,Phyrexia: All Will Be One,1,TRUE,0.09,Common,21
Mirran Bardiche,Phyrexia: All Will Be One,1,TRUE,0.14,Common,22
"Mondrak, Glory Dominus",Phyrexia: All Will Be One,1,FALSE,40.28,Mythic Rare,23
Norn's Wellspring,Phyrexia: All Will Be One,1,TRUE,0.17,Rare,24
Orthodoxy Enforcer,Phyrexia: All Will Be One,1,TRUE,0.03,Common,25
Ossification,Phyrexia: All Will Be One,1,TRUE,0.81,Uncommon,26
Phyrexian Vindicator,Phyrexia: All Will Be One,1,FALSE,3.00,Mythic Rare,27
Planar Disruption,Phyrexia: All Will Be One,1,TRUE,0.22,Common,28
Plated Onslaught,Phyrexia: All Will Be One,1,TRUE,0.10,Uncommon,29
Porcelain Zealot,Phyrexia: All Will Be One,1,FALSE,0.15,Uncommon,30
Resistance Reunited,Phyrexia: All Will Be One,1,TRUE,0.07,Uncommon,31
Sinew Dancer,Phyrexia: All Will Be One,1,TRUE,0.03,Common,32
"Skrelv, Defector Mite",Phyrexia: All Will Be One,1,TRUE,2.88,Rare,33
Skrelv's Hive,Phyrexia: All Will Be One,1,TRUE,2.60,Rare,34
Swooping Lookout,Phyrexia: All Will Be One,1,TRUE,0.18,Uncommon,35
Vanish into Eternity,Phyrexia: All Will Be One,1,TRUE,0.17,Common,36
Veil of Assimilation,Phyrexia: All Will Be One,1,FALSE,0.15,Uncommon,37
Veil of Assimilation,Phyrexia: All Will Be One,1,TRUE,0.08,Uncommon,37
White Sun's Twilight,Phyrexia: All Will Be One,1,TRUE,4.53,Rare,38
Zealot's Conviction,Phyrexia: All Will Be One,1,TRUE,0.09,Common,39
Atmosphere Surgeon,Phyrexia: All Will Be One,1,TRUE,0.05,Uncommon,41
Blade of Shared Souls,Phyrexia: All Will Be One,1,TRUE,0.21,Rare,42
Blue Sun's Twilight,Phyrexia: All Will Be One,1,TRUE,0.52,Rare,43
Bring the Ending,Phyrexia: All Will Be One,1,TRUE,0.15,Common,44
Chrome Prowler,Phyrexia: All Will Be One,1,TRUE,0.09,Common,45
Distorted Curiosity,Phyrexia: All Will Be One,1,TRUE,0.08,Uncommon,46
Encroaching Mycosynth,Phyrexia: All Will Be One,1,FALSE,0.40,Rare,47
