Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Aeon Chronicler,Planar Chaos,1,FALSE,0.44,Rare,32,2fbc2dd2-976b-4239-bef9-ea0f06be79ba,32,plc,rare
Auramancer's Guise,Planar Chaos,1,FALSE,0.89,Uncommon,34,c787368d-d208-4aac-936d-b0c189d1cd90,34,plc,uncommon
Battering Sliver,Planar Chaos,1,FALSE,0.25,Common,95,d0dc86d6-aa3e-46c6-9405-86f1e1ee7844,95,plc,common
Big Game Hunter,Planar Chaos,1,FALSE,0.50,Uncommon,63,a61f38a9-6f15-4186-a602-78cdb00f2d75,63,plc,uncommon
Blightspeaker,Planar Chaos,1,FALSE,0.22,Common,64,4ae24bc0-1217-4db9-a745-8860f23b6d57,64,plc,common
Bog Serpent,Planar Chaos,1,FALSE,0.24,Common,84,2958de76-a5ec-4e14-a025-4fe0e84c8b4b,84,plc,common
"Braids, Conjurer Adept",Planar Chaos,1,FALSE,0.75,Rare,36,0f16252d-0692-43f6-b980-ed9a6d937637,36,plc,rare
Brute Force,Planar Chaos,1,FALSE,0.25,Common,116,82d43220-1e4e-4b61-9844-51c8bb5dde35,116,plc,common
Boom // Bust,Planar Chaos,1,FALSE,4.00,Rare,112a/112b,7ce986a4-5f82-4e7e-bef5-b49f05bf96a6,112,plc,rare
Calciderm,Planar Chaos,1,FALSE,0.25,Uncommon,23,f0159719-ccf4-4798-a394-b01f5e422a27,23,plc,uncommon
Cradle to Grave,Planar Chaos,1,FALSE,0.22,Common,67,3ec275cf-bb4e-4de0-9184-4d53dd87dad3,67,plc,common
Dash Hopes,Planar Chaos,1,FALSE,0.65,Common,68,814bcfc0-7539-4ed9-8b51-27e6a3ab9d9a,68,plc,common
Dawn Charm,Planar Chaos,1,FALSE,0.85,Common,4,a4c9667b-1d94-42eb-ae8e-1ae4755e200a,4,plc,common
Deadly Grub,Planar Chaos,1,FALSE,0.21,Common,69,cde915a3-9c85-4365-bab9-87d446f85794,69,plc,common
Dreamscape Artist,Planar Chaos,1,FALSE,0.25,Common,40,6479d22f-1a97-4bc8-a1e1-c3de87429c22,40,plc,common
Fa'adiyah Seer,Planar Chaos,1,FALSE,0.20,Common,146,6a9985e8-535d-4815-8a58-a98c3edb68d4,146,plc,common
Firefright Mage,Planar Chaos,1,FALSE,0.20,Common,99,a6e1f374-d5fc-4f39-ad2a-2c9dad74efd3,99,plc,common
Gossamer Phantasm,Planar Chaos,1,FALSE,0.20,Common,55,307d53c7-ef63-464f-b5f0-90220ee2b575,55,plc,common
Lavacore Elemental,Planar Chaos,1,FALSE,0.25,Uncommon,103,d6b2f4de-fc41-4e68-8655-577616b10c7e,103,plc,uncommon
Malach of the Dawn,Planar Chaos,1,FALSE,0.29,Uncommon,24,6f5df373-5dad-4e33-9e2b-351f1f4bdde4,24,plc,uncommon
Mantle of Leadership,Planar Chaos,1,FALSE,0.26,Uncommon,9,9ef5d122-cf18-42c3-be24-cfd92bd18be9,9,plc,uncommon
Melancholy,Planar Chaos,1,FALSE,0.20,Common,88,faa6fe9a-27ba-480f-84ce-b8d3306f0339,88,plc,common
Mirri the Cursed,Planar Chaos,1,FALSE,0.59,Rare,75,6da09233-952f-4784-995e-0d85d8b56637,75,plc,rare
Primal Plasma,Planar Chaos,1,FALSE,0.20,Common,59,2bbdd96b-e740-43d0-a1b6-7b9b92cc7993,59,plc,common
Reckless Wurm,Planar Chaos,1,FALSE,0.25,Uncommon,120,17d4fd92-33d1-4f14-a4f4-7c7feaa18f93,120,plc,uncommon
Ridged Kusite,Planar Chaos,1,FALSE,0.20,Common,78,51b27919-6b36-49f2-a6df-d63e5db6de0b,78,plc,common
Riftmarked Knight,Planar Chaos,1,FALSE,0.25,Uncommon,14,d503b565-a3c8-4b57-9e30-fb97d2a49afa,14,plc,uncommon
Riptide Pilferer,Planar Chaos,1,FALSE,0.25,Uncommon,60,4bcc3c1a-edb5-4534-aafa-5e078d503e64,60,plc,uncommon
Rough // Tumble,Planar Chaos,1,FALSE,0.35,Uncommon,114a/114b,0c93c9a0-53eb-44cc-bd79-8103774bfd4c,114,plc,uncommon
Saltblast,Planar Chaos,1,FALSE,0.25,Uncommon,15,edd1833d-64b0-4c9b-8f6b-1cf15c29d473,15,plc,uncommon
Serra's Boon,Planar Chaos,1,FALSE,0.25,Uncommon,17,8b869a77-dd1c-46bb-9360-5a0c69a193c0,17,plc,uncommon
Shaper Parasite,Planar Chaos,1,FALSE,0.20,Common,46,d88afc02-522b-4c51-9509-aff54bbb41c8,46,plc,common
Skirk Shaman,Planar Chaos,1,FALSE,0.24,Common,123,47307d3f-14e8-42bd-acf4-1383e5790e6f,123,plc,common
Spitting Sliver,Planar Chaos,1,FALSE,0.25,Common,80,cd07649e-c7fc-44f7-ab23-0fb935aff8c7,80,plc,common
Stingscourger,Planar Chaos,1,FALSE,0.23,Common,107,4b10d6b3-2cd9-4628-a079-6ac803b6f3c3,107,plc,common
Stonecloaker,Planar Chaos,1,FALSE,0.25,Uncommon,19,f7b11cec-de85-4289-a7b4-e8bfdf655130,19,plc,uncommon
Stormfront Riders,Planar Chaos,1,FALSE,0.25,Uncommon,20,de5e892e-d321-436f-81a6-73975e65b45c,20,plc,uncommon
Synchronous Sliver,Planar Chaos,1,FALSE,0.28,Common,48,c02fa57b-4b7f-46e1-b2b5-6b1a9e9d1643,48,plc,common
Timebender,Planar Chaos,1,FALSE,0.25,Uncommon,50,62fdf8bd-a069-41ca-9cbb-deb7f53cbcbe,50,plc,uncommon
Timecrafting,Planar Chaos,1,FALSE,0.62,Uncommon,109,fd6da5ef-7e5b-4536-ad28-6fe66f3e0438,109,plc,uncommon
Treacherous Urge,Planar Chaos,1,FALSE,0.33,Uncommon,82,22563bcd-1f29-4544-ba43-173ead61e62a,82,plc,uncommon
Uktabi Drake,Planar Chaos,1,FALSE,0.22,Common,141,8ed3fcd5-0e84-4332-ac84-19b75265ab52,141,plc,common
