Name,Set,Qty,Foil,Avg Price,Rarity,Number
Aura Blast,Planeshift,1,FALSE,0.28,Common,1
Aurora Griffin,Planeshift,1,FALSE,0.24,Common,2
Bog Down,Planeshift,1,FALSE,0.24,Common,39
Caldera Kavu,Planeshift,1,FALSE,0.23,Common,58
Daring Leap,Planeshift,1,FALSE,0.23,Common,101
Disciple of Kangee,Planeshift,1,FALSE,0.20,Common,3
Flametongue Kavu,Planeshift,1,FALSE,0.41,Uncommon,60
Gerrard's Command,Planeshift,1,FALSE,0.25,Common,109
Heroic Defiance,Planeshift,1,FALSE,0.20,Common,6
Hobble,Planeshift,1,FALSE,0.25,Common,7
Honorable Scout,Planeshift,1,FALSE,0.29,Common,8
Horned Kavu,Planeshift,1,FALSE,0.25,Common,110
Insolence,Planeshift,1,FALSE,0.20,Common,63
Kavu Recluse,Planeshift,1,FALSE,0.20,Common,64
Keldon Mantle,Planeshift,1,FALSE,0.23,Common,65
Lava Zombie,Planeshift,1,FALSE,0.22,Common,113
Maggot Carrier,Planeshift,1,FALSE,0.25,Common,45
Magma Burst,Planeshift,1,FALSE,0.20,Common,66
Mana Cylix,Planeshift,1,FALSE,0.27,Uncommon,132
Meteor Crater,Planeshift,1,FALSE,3.31,Rare,140
Mire Kavu,Planeshift,1,FALSE,0.24,Common,67
Nightscape Familiar,Planeshift,1,FALSE,0.59,Common,48
Phyrexian Bloodstock,Planeshift,1,FALSE,0.24,Common,50
Pollen Remedy,Planeshift,1,FALSE,0.24,Common,13
Samite Pilgrim,Planeshift,1,FALSE,0.21,Common,15
Shriek of Dread,Planeshift,1,FALSE,0.22,Common,53
Silver Drake,Planeshift,1,FALSE,0.25,Common,125
Singe,Planeshift,1,FALSE,0.22,Common,71
Sisay's Ingenuity,Planeshift,1,FALSE,0.22,Common,33
Slay,Planeshift,1,FALSE,0.25,Uncommon,55
Slingshot Goblin,Planeshift,1,FALSE,0.22,Common,72
Steel Leaf Paladin,Planeshift,1,FALSE,0.25,Common,127
Stratadon,Planeshift,1,FALSE,0.25,Uncommon,135
Surprise Deployment,Planeshift,1,FALSE,0.25,Uncommon,18
