Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Anaconda,Portal,1,FALSE,0.25,Uncommon,,9f57f8bf-228b-4da2-823c-67bce8b574cd,229,9ed,uncommon
Armored Pegasus,Portal,1,FALSE,0.24,Common,,44bafa45-f26e-4c1a-be23-e0469bfa3bb5,5,tpr,common
Baleful Stare,Portal,1,FALSE,0.36,Uncommon,,118b1df0-1838-40df-af62-08a73c3d8033,64,9ed,uncommon
Blaze,Portal,1,FALSE,0.25,Uncommon,,b16d0422-61ea-4039-b1c1-e590ace9156e,167,bbd,uncommon
Blessed Reversal,Portal,1,FALSE,0.57,Rare,,806d854b-a165-4d40-86d7-d6a0aa17ce18,7,8ed,rare
Bull Hippo,Portal,1,FALSE,0.30,Uncommon,,044785ad-0f05-4944-aab3-49236727078d,233,7ed,uncommon
Cloak of Feathers,Portal,1,FALSE,0.56,Common,,9746790c-a426-4135-8c9d-afb82a0c26b8,44,por,common
Command of Unsummoning,Portal,1,FALSE,0.25,Uncommon,,e61b97fc-fa42-40a6-918e-e06383bfcae3,48,por,uncommon
Coral Eel,Portal,1,FALSE,0.25,Common,,00223901-d462-41b0-9749-b093058f682f,S3,9ed,common
Craven Knight,Portal,1,FALSE,0.25,Common,,d4cbae27-4a1a-4e16-8876-9a2925c45302,85,por,common
Defiant Stand,Portal,1,FALSE,0.24,Uncommon,,9cc37fd2-5c34-4522-8113-e6dd2181550b,12,por,uncommon
Devoted Hero,Portal,1,FALSE,0.24,Common,,c0cdbd28-958a-4955-badd-4848eef3f0fa,13,s99,common
Elite Cat Warrior,Portal,1,FALSE,0.25,Common,,6fc7edbd-a819-4cee-8053-3e36a3ac9197,151,me4,common
Elven Cache,Portal,1,FALSE,0.36,Common,,10d3d239-1e16-4a23-9098-ee67d32e0208,224,6ed,common
Feral Shadow,Portal,1,FALSE,0.24,Common,,3fea3941-ece4-4219-8ad9-cf6a97533aeb,77,s99,common
Fire Imp,Portal,1,FALSE,0.26,Uncommon,,b1dbce3e-d88f-4fee-bf7d-8247f48d5c1a,113,me4,uncommon
Fire Snake,Portal,1,FALSE,0.28,Common,,d4c36e32-59e8-4e3d-903e-a264211f2a82,127,por,common
Foot Soldiers,Portal,1,FALSE,0.25,Common,,baff03f3-a8ca-4c35-ae71-43b5d237b519,14,9ed,common
Forest,Portal,1,FALSE,0.43,Basic Land,,b69adddd-3626-45d6-8100-26cf1f314d00,289,dft,common
Forest,Portal,1,FALSE,1.70,Basic Land,,b69adddd-3626-45d6-8100-26cf1f314d00,289,dft,common
Giant Spider,Portal,1,FALSE,0.25,Common,,213c9202-b6f4-43ab-b57f-b97a1da5e263,163,dmr,common
Gorilla Warrior,Portal,1,FALSE,0.25,Common,,d6997a75-42c9-4706-ac34-69fa34011eca,128,s99,common
Grizzly Bears,Portal,1,FALSE,0.28,Common,,409f9b88-f03e-40b6-9883-68c14c37c0de,268,10e,common
Hand of Death,Portal,1,FALSE,0.25,Common,,d17d9a95-5586-4d16-9700-215b9af63f6f,25,s00,common
Hill Giant,Portal,1,FALSE,0.24,Common,,14c2be6a-9ca6-4d3a-8dd0-db4ea40799f8,212,10e,common
Hulking Goblin,Portal,1,FALSE,0.24,Common,,53eefcb7-9c43-4fca-9bb0-200257c7da8c,174,vma,common
Ingenious Thief,Portal,1,FALSE,0.25,Uncommon,,97c47d9a-c942-4b17-99f1-ff7a24134f7c,40,s99,common
Island,Portal,1,FALSE,0.49,Basic Land,,5a8e9b9e-4947-4b6a-b21b-6fe009760fc5,280,dft,common
Lava Axe,Portal,1,FALSE,0.25,Common,,c3dab325-8f4f-4288-9f3f-960e52b4335b,150,m19,common
Lizard Warrior,Portal,1,FALSE,0.24,Common,,6da5a962-e00c-452f-b9ad-4cf6615c9dcd,146,cns,common
Mind Rot,Portal,1,FALSE,0.24,Common,,833a8604-92d5-443b-9bc0-bd91c973ef07,115,m21,common
Monstrous Growth,Portal,1,FALSE,0.24,Common,,7e5a2687-af7a-42ad-8938-f3534c7da222,266,8ed,common
Mountain,Portal,1,FALSE,0.48,Basic Land,,fb76cb6c-2f4d-4ca2-876f-d49ea529e59b,286,dft,common
Mountain,Portal,1,FALSE,1.11,Basic Land,,fb76cb6c-2f4d-4ca2-876f-d49ea529e59b,286,dft,common
Muck Rats,Portal,1,FALSE,0.31,Common,,cf2018ec-94e4-4e29-8b4b-ce30fb0d4a99,84,s99,common
Owl Familiar,Portal,1,FALSE,0.44,Common,,8b33923b-1b79-43ab-9a9d-49c05887bce7,90,clu,common
Panther Warriors,Portal,1,FALSE,0.25,Common,,ba165e25-5328-40f4-b87c-9d02590f9d38,243,6ed,common
Plains,Portal,1,FALSE,0.35,Basic Land,,464723b3-0723-45f2-a258-32d098c39039,277,dft,common
Raging Cougar,Portal,1,FALSE,0.30,Common,,fd9d126a-9db9-4adc-9cf6-11408c63201d,144,por,common
Raging Goblin,Portal,1,FALSE,0.27,Common,,3480927c-10da-4817-9954-10aea2bc7100,43,oana,common
Raging Goblin,Portal,1,FALSE,0.25,Common,,3480927c-10da-4817-9954-10aea2bc7100,43,oana,common
Raging Minotaur,Portal,1,FALSE,0.26,Common,,c52f5e44-4ab6-43d7-aecb-5b95f84d5475,109,me3,common
Raise Dead,Portal,1,FALSE,0.25,Common,,4950c3c2-80c1-4447-ac38-cf40f76b9545,18,w17,common
Regal Unicorn,Portal,1,FALSE,0.25,Common,,54ca9b1c-fead-4bb6-800f-8b762a82fda7,35,6ed,common
Sacred Nectar,Portal,1,FALSE,0.24,Common,,bcdd5e1c-47db-4960-860c-2af14b734b59,38,9ed,common
Skeletal Crocodile,Portal,1,FALSE,0.25,Common,,ebcbbd6f-2915-4b4c-85d3-1d9b55d36c11,110,por,common
Snapping Drake,Portal,1,FALSE,0.24,Common,,ef46580c-a204-4b0b-8526-2310b1ca32b4,318,m20,common
Spined Wurm,Portal,1,FALSE,0.25,Common,,0de97b4e-42c7-47e5-a523-a47eadd068f7,198,tpr,common
Spotted Griffin,Portal,1,FALSE,0.24,Common,,5fbba1f3-53c6-4c74-850b-dde17bde0021,28,me4,common
