Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Aura Fracture,Prophecy,1,FALSE,0.30,Common,2,de8d3e36-977f-4169-8f2a-a4057b912ccb,2,pcy,common
Branded Brawlers,Prophecy,1,FALSE,0.24,Common,84,90a48065-fbf1-4f2a-993e-7061057a4c45,84,pcy,common
Brutal Suppression,Prophecy,1,FALSE,0.25,Uncommon,85,17b3725b-924d-4137-9078-1a28f06c84fa,85,pcy,uncommon
Calming Verse,Prophecy,1,FALSE,0.35,Common,110,ec38c856-dc21-450d-9aa6-da16c91a489a,110,pcy,common
Chimeric Idol,Prophecy,1,FALSE,0.34,Uncommon,136,063990db-559d-4bfa-83af-b73fdc4cb038,264,vma,uncommon
Coastal Hornclaw,Prophecy,1,FALSE,0.20,Common,31,9b152c0d-ba43-49c6-9bb5-1d20a9f411f6,66,8ed,common
Death Charmer,Prophecy,1,FALSE,0.20,Common,61,e58a303a-9f7a-43e7-bcba-c58b378a53ce,61,pcy,common
Devastate,Prophecy,1,FALSE,0.24,Common,87,bfe7c990-a34b-475e-a612-447c22f998d3,87,pcy,common
Diving Griffin,Prophecy,1,FALSE,0.20,Common,6,bfeb0854-87e7-4236-9791-8fe601704200,17,8ed,common
Excise,Prophecy,1,FALSE,0.20,Common,8,8d4f97dd-434b-4156-8e9d-253a943784e3,8,pcy,common
Fault Riders,Prophecy,1,FALSE,0.25,Common,88,1c9d3579-3fc1-434e-8f26-d5dbd6344429,88,pcy,common
Flameshot,Prophecy,1,FALSE,0.25,Uncommon,90,3f7b61a8-a1ff-4e2a-bc24-8990c61a5e5b,90,pcy,uncommon
Flowering Field,Prophecy,1,FALSE,0.25,Uncommon,9,c241fd76-f52d-48fc-864c-57caffa700f6,9,pcy,uncommon
Glittering Lion,Prophecy,1,FALSE,0.24,Uncommon,10,ab4be296-33a6-46b1-9748-5b0d335f40ee,10,pcy,uncommon
Heightened Awareness,Prophecy,1,FALSE,0.49,Rare,37,2765be4f-23bf-49c1-9546-11a7916156be,37,pcy,rare
Hollow Warrior,Prophecy,1,FALSE,0.26,Uncommon,138,163add05-9ee9-4a8f-8838-3c4143ddc2f5,138,pcy,uncommon
Inflame,Prophecy,1,FALSE,0.22,Common,91,e1efad9a-2fcf-4045-8105-bf9f5e79d12c,64,dst,common
Keldon Berserker,Prophecy,1,FALSE,0.22,Common,93,daa3f9c0-66ff-4b94-b0c3-e1c65d2040b9,93,pcy,common
"Latulla, Keldon Overseer",Prophecy,1,FALSE,0.45,Rare,95,fd3c7b0c-98bd-4c63-bbb0-80484a5ab26f,95,pcy,rare
Mageta's Boon,Prophecy,1,FALSE,0.20,Common,14,22db8a3b-413d-4f4d-b103-f50fc0415e9b,14,pcy,common
Overburden,Prophecy,1,FALSE,7.72,Rare,39,7e6cf6b6-b4c1-4742-9be4-b3b15fbb0202,39,pcy,rare
Panic Attack,Prophecy,1,FALSE,0.22,Common,98,e9c6cbc8-e33a-4692-aff0-4de9bb65421d,150,m10,common
Reveille Squad,Prophecy,1,FALSE,0.39,Uncommon,18,8f6385bb-18f9-461b-b541-3c2a5e59189b,18,pcy,uncommon
Rhystic Circle,Prophecy,1,FALSE,0.22,Common,19,4a76711e-b508-4bb7-a87c-911a11905af3,19,pcy,common
Rhystic Lightning,Prophecy,1,FALSE,0.23,Common,99,21ce365e-3002-42e9-aeb5-1b845408271e,99,pcy,common
Rhystic Shield,Prophecy,1,FALSE,0.20,Common,20,49af7b3f-f56a-4102-b398-5c215dd4fa11,20,pcy,common
Rhystic Study,Prophecy,1,FALSE,43.12,Common,45,d6914dba-0d27-4055-ac34-b3ebf5802221,169,jmp,rare
Soul Charmer,Prophecy,1,FALSE,0.21,Common,24,1656bd2a-e7ce-48b1-8fa1-5f470fe6058e,24,pcy,common
Soul Strings,Prophecy,1,FALSE,0.20,Common,78,e34f9d1b-a89a-439f-8aa9-b96a1bf892eb,78,pcy,common
Spur Grappler,Prophecy,1,FALSE,0.20,Common,104,50bf91a7-4d04-437c-a290-6adb52f25312,104,pcy,common
Squirrel Wrangler,Prophecy,1,FALSE,2.33,Rare,127,7094be2a-454e-4e4d-a540-c5c80e37468a,127,pcy,rare
Trenching Steed,Prophecy,1,FALSE,0.24,Common,26,9a359837-2e41-4ddc-9299-89a783d62014,26,pcy,common
Troubled Healer,Prophecy,1,FALSE,0.21,Common,27,54407ba7-6671-42a9-acbe-8a1104c7166c,27,pcy,common
Well of Life,Prophecy,1,FALSE,0.25,Uncommon,141,bf3f4fc3-3819-470d-92d9-98cb390f89b9,141,pcy,uncommon
Whipstitched Zombie,Prophecy,1,FALSE,0.22,Common,81,9cd00b0b-2ac1-4926-a735-215f402ba1c4,81,pcy,common
Zerapa Minotaur,Prophecy,1,FALSE,0.20,Common,108,55a8e1ce-e394-48d6-938a-aa76c0273abe,108,pcy,common
