Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Act of Treason,Ravnica Allegiance,1,FALSE,0.16,Common,91,a1a9d323-fb40-411b-a0e7-64024bc6ba58,99,rvr,common
Aeromunculus,Ravnica Allegiance,1,FALSE,0.15,Common,152,671c94c1-df52-4985-ad78-3e1c9c78df18,152,rna,common
Angel of Grace,Ravnica Allegiance,1,FALSE,0.97,Mythic Rare,1,80164e61-3e94-4e10-9bd1-518b8dc7fc4c,1,rna,mythic
Applied Biomancy,Ravnica Allegiance,1,FALSE,0.15,Common,153,f91ed618-7b0b-4a70-95ad-d9ed46e28692,153,rna,common
Archway Angel,Ravnica Allegiance,1,TRUE,0.54,Uncommon,3,2c3ff489-bdd7-4aeb-8130-3c234d0dd3dd,566,fdn,uncommon
Arrester's Admonition,Ravnica Allegiance,1,FALSE,0.15,Common,31,637c2d6a-e6b8-4dc5-81aa-da1b7384e006,31,rna,common
Arrester's Zeal,Ravnica Allegiance,1,FALSE,0.15,Common,4,f501024b-79e8-48f8-8102-38d3e439dc64,4,rvr,common
Axebane Beast,Ravnica Allegiance,1,FALSE,0.15,Common,121,2f420b35-1f73-41c8-a15f-1aee4af0999c,121,rna,common
Azorius Guildgate,Ravnica Allegiance,1,FALSE,0.19,Common,243,f98a7264-0a83-42c8-a94d-05ad4c234242,683,fdn,common
Azorius Guildgate,Ravnica Allegiance,1,FALSE,0.19,Common,244,f98a7264-0a83-42c8-a94d-05ad4c234242,683,fdn,common
Azorius Knight-Arbiter,Ravnica Allegiance,1,FALSE,0.15,Common,154,60befc28-2ab8-4b59-a33f-0328c5d2f995,154,rna,common
Azorius Locket,Ravnica Allegiance,1,FALSE,0.20,Common,231,f893f1e9-1d19-4220-9e0d-3f9c85d33837,160,voc,common
Bankrupt in Blood,Ravnica Allegiance,1,FALSE,0.22,Uncommon,62,e635c433-0398-442a-856e-1869f6bf2cfd,62,rna,uncommon
Basilica Bell-Haunt,Ravnica Allegiance,1,FALSE,0.22,Uncommon,156,e72f4329-db6f-4284-b63e-55f22a0a0f6e,156,rna,uncommon
Blade Juggler,Ravnica Allegiance,1,FALSE,0.15,Common,63,42665f2d-0815-44d9-a5a9-c7ec4226bcf0,106,clu,common
Bolrac-Clan Crusher,Ravnica Allegiance,1,FALSE,0.20,Uncommon,159,5080975e-693a-44f5-a718-9ee947dada6d,159,rna,uncommon
Bring to Trial,Ravnica Allegiance,1,FALSE,0.15,Common,5,63d566fc-0936-4035-96fd-f8b0c4eadbf5,5,rna,common
Burning-Tree Vandal,Ravnica Allegiance,1,FALSE,0.15,Common,94,f61d0a8a-8c2b-4870-83d3-8286a63637b8,105,rvr,common
