Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Karn, the Great Creator",Ravnica Remastered,1,TRUE,4.93,Mythic Rare,1,deb3721d-fba1-444f-8b31-1cd10c94c4a0,1,rvr,mythic
Armory Guard,Ravnica Remastered,1,TRUE,0.04,Common,3,322fdd11-7874-46f6-adc5-051119a6c978,3,rvr,common
Arrester's Zeal,Ravnica Remastered,1,TRUE,0.06,Common,4,f501024b-79e8-48f8-8102-38d3e439dc64,4,rvr,common
Azorius Arrester,Ravnica Remastered,1,TRUE,0.03,Common,5,c737cd7a-e1ef-4a74-9e85-b56ea06b05d7,54,clu,common
Basilica Guards,Ravnica Remastered,1,TRUE,0.04,Common,7,5ba068ef-7f08-474f-beea-575568dd6963,7,rvr,common
Boros Elite,Ravnica Remastered,1,TRUE,0.14,Common,10,c39f6916-e89d-4185-84b9-c6c02e348ad8,10,rvr,common
Bulwark Giant,Ravnica Remastered,1,TRUE,0.05,Common,11,ebf3a622-6aad-4d74-8098-ffbf21555956,11,rvr,common
Conclave Equenaut,Ravnica Remastered,1,TRUE,0.05,Common,13,672fc96f-114c-49d8-ad99-f627110f8cc1,13,rvr,common
Divine Visitation,Ravnica Remastered,1,TRUE,6.12,Mythic Rare,16,0b0c12dc-3978-4c3e-a3a2-a81db878f4ad,16,rvr,mythic
Eyes in the Skies,Ravnica Remastered,1,TRUE,0.03,Common,17,077aafc3-d94c-4ac0-8b7e-aadbb114e4c7,17,rvr,common
Faith's Fetters,Ravnica Remastered,1,TRUE,0.04,Common,18,08b62f4c-cc20-40b6-a504-407d53bdf2aa,18,rvr,common
Ghostway,Ravnica Remastered,1,TRUE,3.60,Rare,19,02842e77-7475-4fe5-9d2e-f3c8ba56bc88,19,rvr,rare
Gideon Blackblade,Ravnica Remastered,1,FALSE,0.97,Mythic Rare,20,41326ca6-f815-4af7-b022-67db127bc125,20,rvr,mythic
Keening Apparition,Ravnica Remastered,1,TRUE,0.05,Common,21,af8f86ba-4795-4d0f-aa99-f1ca109f0f5c,21,rvr,common
Ministrant of Obligation,Ravnica Remastered,1,TRUE,0.06,Uncommon,23,a37658ab-2dda-4412-9cc2-3b2df32c7581,23,rvr,uncommon
Mistral Charger,Ravnica Remastered,1,TRUE,0.07,Uncommon,24,97b4c2d1-ba84-4051-a2e2-5b9710a3823e,24,rvr,uncommon
Rootborn Defenses,Ravnica Remastered,1,TRUE,1.90,Common,26,eb3ef4da-27c0-4364-a198-f70bea869d9b,71,clu,common
Summary Judgment,Ravnica Remastered,1,TRUE,0.05,Common,27,84628a1e-17d4-4037-9b53-6ac123746ed7,27,rvr,common
Sunhome Stalwart,Ravnica Remastered,1,TRUE,0.04,Uncommon,28,3eb6a3ab-29eb-4c9a-995b-04de1c0dd4c9,73,clu,uncommon
