Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Autochthon Wurm,Ravnica: City of Guilds,1,FALSE,2.46,Rare,191,7002a87b-a55f-42ec-b247-119a3229129f,191,rav,rare
Barbarian Riftcutter,Ravnica: City of Guilds,1,FALSE,0.19,Common,114,152f4cfa-4f03-404d-a6f7-24c27505906f,114,rav,common
Blockbuster,Ravnica: City of Guilds,1,FALSE,0.23,Uncommon,115,00a28b9d-1bd2-4ca4-a1e1-4138891d6739,115,rav,uncommon
Boros Guildmage,Ravnica: City of Guilds,1,FALSE,0.28,Uncommon,242,4355130c-bfaa-4799-9d70-dbfd32e39f7e,168,rvr,uncommon
Boros Recruit,Ravnica: City of Guilds,1,FALSE,0.24,Common,243,5af01330-05c2-4c5b-9830-2886711b2b5d,243,rav,common
Boros Signet,Ravnica: City of Guilds,1,FALSE,0.95,Common,255,df8388ee-5d1d-4144-a8b1-e555da72ad6b,220,clu,common
Boros Swiftblade,Ravnica: City of Guilds,1,FALSE,0.25,Uncommon,193,6135a9f2-e86d-4a34-857e-adea3c722fea,172,mm2,uncommon
Brainspoil,Ravnica: City of Guilds,1,FALSE,0.25,Common,78,c34fa44f-274e-4914-bbd5-71193f8d2f96,78,rav,common
Carrion Howler,Ravnica: City of Guilds,1,FALSE,0.25,Uncommon,79,0ff031f4-df27-40de-8615-f3ea225f9830,79,rav,uncommon
Centaur Safeguard,Ravnica: City of Guilds,1,FALSE,0.16,Common,244,647d3e06-93e6-4948-a3ec-6a00bdfc0f99,244,rav,common
Chant of Vitu-Ghazi,Ravnica: City of Guilds,1,FALSE,0.25,Uncommon,7,32e166c2-4e4f-4004-a52f-7f0085c2db88,177,moc,uncommon
Clinging Darkness,Ravnica: City of Guilds,1,TRUE,0.24,Common,80,2a939a4e-5a9e-454f-8716-cee7470f05e2,80,rav,common
Clutch of the Undercity,Ravnica: City of Guilds,1,FALSE,0.30,Uncommon,197,24437641-85a1-4fcd-93dc-bd19a7abf969,197,rav,uncommon
Coalhauler Swine,Ravnica: City of Guilds,1,FALSE,0.20,Common,119,bc001cef-3afd-4128-989f-ac99dc76b243,119,rav,common
Conclave Phalanx,Ravnica: City of Guilds,1,FALSE,0.24,Uncommon,10,04435b25-1a44-493f-810e-23d260f363a6,12,mm2,common
Conclave's Blessing,Ravnica: City of Guilds,1,FALSE,0.23,Common,11,86235d9f-ba69-417d-9203-812ab428b374,11,rav,common
Congregation at Dawn,Ravnica: City of Guilds,1,FALSE,3.16,Uncommon,198,2f1b950a-b2fe-4afc-bb79-c9f4c272ea36,198,rav,uncommon
Convolute,Ravnica: City of Guilds,1,FALSE,0.19,Common,41,3fd8e607-8179-4ae8-ba7f-f5f22649dc18,45,iko,common
Cyclopean Snare,Ravnica: City of Guilds,1,FALSE,0.24,Uncommon,259,22ba776a-c959-4d15-aa36-9fba1fcb512d,259,rav,uncommon
