Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Affa Guard Hound,Rise of the Eldrazi,1,FALSE,0.25,Uncommon,14,f762546c-f5eb-420d-a8f7-c3566cd8f506,81,jmp,uncommon
Akoum Boulderfoot,Rise of the Eldrazi,1,FALSE,0.25,Uncommon,134,88e8f7b6-1214-447b-8665-ff3c85845564,134,roe,uncommon
Angelheart Vial,Rise of the Eldrazi,1,FALSE,0.48,Rare,215,4cf1fe7a-eb30-4252-bada-ce3f8096e091,215,roe,rare
Arrogant Bloodlord,Rise of the Eldrazi,1,FALSE,0.25,Uncommon,94,5ed08a7f-6682-46a4-89df-b9b418df3f1a,94,roe,uncommon
Bala Ged Scorpion,Rise of the Eldrazi,1,FALSE,0.20,Common,95,b6234dca-088f-4888-98d3-0d5a50eb5e61,79,ima,common
Battle Rampart,Rise of the Eldrazi,1,FALSE,0.20,Common,135,dca8dfb9-fda0-4eb8-a337-406689ece41a,165,bbd,common
Battle-Rattle Shaman,Rise of the Eldrazi,1,FALSE,0.22,Common,136,fee05f7e-d4da-4a72-8140-d505eecbdd32,533,fdn,uncommon
Bloodrite Invoker,Rise of the Eldrazi,1,FALSE,0.23,Common,97,94ebd19f-c3ec-41de-bde0-3118b34b76a4,45,ddp,common
Caravan Escort,Rise of the Eldrazi,1,FALSE,0.20,Common,15,817602f9-0844-4ba2-bd7c-380fcd0c15ff,3,ddp,common
Corpsehatch,Rise of the Eldrazi,1,FALSE,0.25,Uncommon,103,0f8f9dc0-67c3-4ded-bf95-02452d4ee635,50,ddp,uncommon
Dawnglare Invoker,Rise of the Eldrazi,1,FALSE,0.23,Common,16,c7cc4332-8d8a-47f5-9583-219be4f2030a,25,cm2,common
Demystify,Rise of the Eldrazi,1,FALSE,0.20,Common,18,e3979b88-ac58-420a-8c03-37ea5d93d0f1,8,xln,common
Domestication,Rise of the Eldrazi,1,FALSE,0.24,Uncommon,61,3b5e940b-e247-4ee3-939b-679e4f8ea771,47,2x2,uncommon
Dormant Gomazoa,Rise of the Eldrazi,1,FALSE,0.39,Rare,62,131d2925-d87c-415f-aa84-97f14030624e,62,roe,rare
Drake Umbra,Rise of the Eldrazi,1,FALSE,0.29,Uncommon,63,3e1f7334-658d-44da-a81c-26b258e44c26,63,roe,uncommon
Dread Drone,Rise of the Eldrazi,1,FALSE,0.22,Common,108,29ef119f-e777-42e7-be43-ea1f31d7ce59,152,cmm,common
Emrakul's Hatcher,Rise of the Eldrazi,1,FALSE,0.33,Common,142,35fab29d-1bcc-4ba0-90bf-427d95bf6699,59,ddp,common
Enatu Golem,Rise of the Eldrazi,1,FALSE,0.25,Uncommon,217,74b2e63d-61c6-46e4-9a6f-56653c49b2ea,217,roe,uncommon
Enclave Cryptologist,Rise of the Eldrazi,1,FALSE,0.35,Uncommon,66,20d3b541-40aa-469e-be97-20496a7632d4,66,roe,uncommon
Essence Feed,Rise of the Eldrazi,1,FALSE,0.23,Common,110,b9cf2116-7ae5-4b6a-830a-919a55235690,110,roe,common
Evolving Wilds,Rise of the Eldrazi,1,FALSE,0.23,Common,228,3a0b9356-5b91-4542-8802-f0f7275238e1,262,fdn,common
Explosive Revelation,Rise of the Eldrazi,1,FALSE,0.25,Uncommon,143,d7a38cd0-2cd3-436d-bb44-79778d5808ad,143,roe,uncommon
Fissure Vent,Rise of the Eldrazi,1,FALSE,0.20,Common,144,c16cbb92-8d1e-44ec-a66a-57549042de19,107,c13,common
Flame Slash,Rise of the Eldrazi,1,FALSE,0.39,Common,145,15affc1b-2ebb-4934-87a2-10e89eafe894,157,cn2,common
Fleeting Distraction,Rise of the Eldrazi,1,FALSE,0.20,Common,67,c0b86a7b-4912-43a7-ab89-c3432385baa1,155,fdn,common
Frostwind Invoker,Rise of the Eldrazi,1,FALSE,0.20,Common,68,66ec9a28-3b36-4b6a-b420-7b4266b64f69,68,roe,common
Gloomhunter,Rise of the Eldrazi,1,FALSE,0.20,Common,111,98db4317-9850-44c1-884b-d8d3abe1afeb,111,roe,common
Glory Seeker,Rise of the Eldrazi,1,FALSE,0.20,Common,22,2bd51dd3-ce49-41cf-85ef-a5a1428bc71b,2,w17,common
