Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Admiral's Order,Rivals of Ixalan,1,FALSE,0.48,Rare,31,80dc0310-afd9-49b4-b58f-a0e91120c38c,31,rix,rare
Aggressive Urge,Rivals of Ixalan,1,FALSE,0.17,Common,122,ff69e6a8-f34f-4aea-9a54-c4b64ed3116c,374,jmp,common
"Angrath, Minotaur Pirate",Rivals of Ixalan,1,TRUE,3.39,Mythic Rare,201,f17103dd-f31b-4f6e-b2ea-4ea91815bdd6,201,rix,mythic
Aquatic Incursion,Rivals of Ixalan,1,FALSE,0.25,Uncommon,32,56cb8fa2-337b-4596-9c31-01f0c0b171b7,32,rix,uncommon
Arterial Flow,Rivals of Ixalan,1,FALSE,0.41,Uncommon,62,13c41212-9f16-48e0-8c4b-985ce331164b,62,rix,uncommon
Atzocan Seer,Rivals of Ixalan,1,FALSE,0.33,Uncommon,153,985448b8-5852-4074-a4bd-1dee5192b104,265,lcc,uncommon
Awakened Amalgam,Rivals of Ixalan,1,FALSE,0.29,Rare,175,d24b14ea-04f0-4d4b-970e-efc65d64945e,175,rix,rare
"Azor, the Lawbringer",Rivals of Ixalan,1,FALSE,1.43,Mythic Rare,154,30dc237e-b28a-4b65-9790-6b434828bf2e,154,rix,mythic
Baffling End,Rivals of Ixalan,1,FALSE,0.20,Uncommon,1,208c6f51-3c00-4fc6-8579-8f57444d0e97,1,rix,uncommon
Blazing Hope,Rivals of Ixalan,1,FALSE,0.20,Uncommon,3,b6beac36-e12f-408d-a37b-a70e0e6c52d8,3,rix,uncommon
Bombard,Rivals of Ixalan,1,FALSE,0.18,Common,93,1f391555-4697-4492-9854-32393f473104,37,gnt,common
Brass's Bounty,Rivals of Ixalan,1,FALSE,0.99,Rare,94,65fe7127-b0ec-400f-97f1-6e17ab8e319d,190,fdn,rare
Brazen Freebooter,Rivals of Ixalan,1,FALSE,0.15,Common,95,45657345-b564-4e5f-a57a-01dc54df7e7c,164,cmr,common
Buccaneer's Bravado,Rivals of Ixalan,1,FALSE,0.19,Common,96,d82c583f-3d2b-4c7f-a6f4-97da150423b4,96,rix,common
Cacophodon,Rivals of Ixalan,1,FALSE,0.26,Uncommon,123,351b213e-b23e-4287-947a-6bd81f1cf751,123,rix,uncommon
Canal Monitor,Rivals of Ixalan,1,FALSE,0.15,Common,63,78226edc-87dd-4c38-987c-52aefe0f9531,63,rix,common
Captain's Hook,Rivals of Ixalan,1,FALSE,0.35,Rare,177,7bd3f777-b33a-454a-8d5d-993260ddda03,177,rix,rare
Charging Tuskodon,Rivals of Ixalan,1,FALSE,0.25,Uncommon,97,8e49960d-4b45-4d3b-9c6e-e7b717b4feaa,97,rix,uncommon
Cherished Hatchling,Rivals of Ixalan,1,FALSE,0.25,Uncommon,124,0a14fe6c-b272-415b-974d-c60d016ab786,124,rix,uncommon
Cleansing Ray,Rivals of Ixalan,1,FALSE,0.15,Common,4,7bf94184-e745-469a-9d55-af0ddacbb9cf,4,rix,common
Colossal Dreadmaw,Rivals of Ixalan,1,FALSE,0.19,Common,125,8059c52b-5d25-4052-b48a-e9e219a7a546,176,m21,common
Crafty Cutpurse,Rivals of Ixalan,1,FALSE,0.48,Rare,33,117d84f7-45c5-4cfc-a5cd-c44416b48417,117,c21,rare
Crashing Tide,Rivals of Ixalan,1,FALSE,0.18,Common,34,e312980a-7b3c-43f8-81cf-53ff818cea30,34,rix,common
Crested Herdcaller,Rivals of Ixalan,1,FALSE,0.25,Uncommon,126,44c7792e-39e4-486e-827b-b0d01cd15bc3,46,gn2,uncommon
Curious Obsession,Rivals of Ixalan,1,TRUE,4.03,Uncommon,35,04cf3030-dc92-45ab-9c26-f2e6aef67e56,148,jmp,uncommon
Daring Buccaneer,Rivals of Ixalan,1,FALSE,0.20,Uncommon,98,1d413b88-8f5d-415f-bd07-169f6c175e6b,98,rix,uncommon
Dark Inquiry,Rivals of Ixalan,1,FALSE,0.15,Common,65,42eaa634-0add-4e3d-9eee-5712598dda3f,65,rix,common
Dead Man's Chest,Rivals of Ixalan,1,FALSE,0.50,Rare,66,7a0b60a2-50de-4328-85dc-040bf8a4dac9,97,afc,rare
Deadeye Brawler,Rivals of Ixalan,1,FALSE,0.25,Uncommon,155,acb1ab66-f2ce-4094-b2dd-1fc63d78eea2,155,rix,uncommon
Deadeye Rig-Hauler,Rivals of Ixalan,1,FALSE,0.15,Common,36,db310d8f-0db7-44c9-9f2d-9a0773b565b0,36,rix,common
Dinosaur Hunter,Rivals of Ixalan,1,TRUE,0.18,Common,67,93ff5a4e-9ec5-4b52-90f5-b8b6753c958d,67,rix,common
Dire Fleet Daredevil,Rivals of Ixalan,1,TRUE,2.77,Rare,99,9de2ad47-c6d5-4cd8-ae32-66ae167e25a0,162,otc,rare
Dire Fleet Neckbreaker,Rivals of Ixalan,1,FALSE,0.30,Uncommon,156,5146dd15-f696-42c3-b0e5-6a1b1d7be6b4,156,rix,uncommon
Dire Fleet Poisoner,Rivals of Ixalan,1,FALSE,0.77,Rare,68,88273b1e-b33b-44d3-8777-4e78a04eed65,68,rix,rare
Divine Verdict,Rivals of Ixalan,1,FALSE,0.19,Common,5,ed07b708-7232-4b87-b5d9-edaa20a69293,5,rix,common
Dusk Charger,Rivals of Ixalan,1,FALSE,0.15,Common,69,c2ce54a3-f3eb-48a0-bfa2-5f4b90e413f0,69,rix,common
Dusk Legion Zealot,Rivals of Ixalan,1,FALSE,0.25,Common,70,72048624-e3fd-4e9b-91a9-996ea3a1a74f,194,lcc,common
"Elenda, the Dusk Rose",Rivals of Ixalan,1,FALSE,5.05,Mythic Rare,157,e18feca3-1b1b-4456-8873-25a24849a917,268,lcc,mythic
Enter the Unknown,Rivals of Ixalan,1,FALSE,0.42,Uncommon,128,96acf94b-75bb-4f0e-92be-978ce5920710,128,rix,uncommon
"Etali, Primal Storm",Rivals of Ixalan,1,FALSE,0.50,Rare,100,b6af9894-95b5-4c8e-902f-a9ba70f02e4a,194,fdn,rare
Everdawn Champion,Rivals of Ixalan,1,FALSE,0.20,Uncommon,6,46c38e2a-3a82-402f-a436-f9ebb2ba2ea4,11,gnt,uncommon
Evolving Wilds,Rivals of Ixalan,1,FALSE,0.20,Common,186,3a0b9356-5b91-4542-8802-f0f7275238e1,262,fdn,common
