Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Akki Drillmaster,Saviors of Kamigawa,1,FALSE,0.24,Common,92,7fb63254-5786-43fb-8ccd-132095a55e64,92,sok,common
Akki Drillmaster,Saviors of Kamigawa,1,TRUE,0.42,Common,92,7fb63254-5786-43fb-8ccd-132095a55e64,92,sok,common
Akki Underling,Saviors of Kamigawa,1,FALSE,0.20,Common,93,106382db-56aa-4061-9d1e-17821937f1de,93,sok,common
Araba Mothrider,Saviors of Kamigawa,1,FALSE,0.28,Common,2,f6e4a170-1075-47e4-abe6-996b161573c1,2,sok,common
"Arashi, the Sky Asunder",Saviors of Kamigawa,1,FALSE,0.50,Rare,121,95bfae4a-01fe-4309-9291-b3123395f057,185,c21,rare
"Ayumi, the Last Visitor",Saviors of Kamigawa,1,TRUE,7.57,Rare,122,f037520e-2a44-4650-b7cb-c81d93d1418d,122,sok,rare
Barrel Down Sokenzan,Saviors of Kamigawa,1,FALSE,0.20,Common,94,02c52e00-ad17-42aa-9f5f-38fb52dad5ea,94,sok,common
Barrel Down Sokenzan,Saviors of Kamigawa,1,TRUE,0.25,Common,94,02c52e00-ad17-42aa-9f5f-38fb52dad5ea,94,sok,common
Blood Clock,Saviors of Kamigawa,1,FALSE,2.07,Rare,153,28328b4d-99d1-4460-9bbe-a64c6c0b6cb2,153,sok,rare
Bounteous Kirin,Saviors of Kamigawa,1,FALSE,0.50,Rare,123,1d7fe65e-81b1-4e69-913a-25fc99d96d81,123,sok,rare
Briarknit Kami,Saviors of Kamigawa,1,TRUE,0.25,Uncommon,124,8c042f8b-df20-48c1-a291-4d7e1bc5b384,124,sok,uncommon
Charge Across the Araba,Saviors of Kamigawa,1,FALSE,0.30,Uncommon,4,fe3e0bd8-d80f-4cda-b381-ed185072d83c,4,sok,uncommon
Choice of Damnations,Saviors of Kamigawa,1,FALSE,11.04,Rare,62,05939f15-2d95-47df-b66f-131c3e7ea95f,62,sok,rare
Cowed by Wisdom,Saviors of Kamigawa,1,FALSE,0.24,Common,5,0b81b329-4ef5-4b55-9fe7-9ed69477e96b,5,sok,common
Curtain of Light,Saviors of Kamigawa,1,FALSE,0.24,Common,6,fc382831-e338-49bd-a37f-931bf611b165,6,sok,common
Cut the Earthly Bond,Saviors of Kamigawa,1,TRUE,0.33,Common,32,066f185d-5f81-472a-8aff-2c11ba10d18c,32,sok,common
Death Denied,Saviors of Kamigawa,1,FALSE,0.30,Common,63,73d0a239-4d45-4762-968a-d4b9479346d9,92,uma,common
Death of a Thousand Stings,Saviors of Kamigawa,1,FALSE,0.22,Common,64,a31ca907-a274-436e-8433-7f11b0303f75,64,sok,common
Deathknell Kami,Saviors of Kamigawa,2,FALSE,0.20,Common,65,09535c14-ae50-4528-b9db-7eacee14e3fa,65,sok,common
Deathmask Nezumi,Saviors of Kamigawa,1,FALSE,0.22,Common,66,743e38d1-b1cd-4828-ad3d-529a9f882115,66,sok,common
Descendant of Kiyomaro,Saviors of Kamigawa,1,FALSE,0.25,Uncommon,7,354af7fc-fd15-4209-b3e8-8729a401b6a6,7,sok,uncommon
Descendant of Soramaro,Saviors of Kamigawa,2,FALSE,0.24,Common,33,b5217d17-3667-46c6-8fba-763197fb2970,33,sok,common
Dosan's Oldest Chant,Saviors of Kamigawa,1,FALSE,0.24,Common,127,b525f824-fcce-48cc-887d-98d4058b1d31,127,sok,common
Dreamcatcher,Saviors of Kamigawa,1,FALSE,0.24,Common,34,b90ab82e-84d7-462a-b3c2-abaccfb46dd3,34,sok,common
Ebony Owl Netsuke,Saviors of Kamigawa,1,FALSE,0.94,Uncommon,154,39e0c24f-2312-4b40-9cd1-2b83d501e485,154,sok,uncommon
Eiganjo Free-Riders,Saviors of Kamigawa,1,FALSE,0.25,Uncommon,8,fe47bbc5-6f7f-4135-9e83-9e2a428c97f5,8,sok,uncommon
Elder Pine of Jukai,Saviors of Kamigawa,1,FALSE,0.24,Common,128,51c3e47b-a788-46b7-bf15-1216692e637a,128,sok,common
Endless Swarm,Saviors of Kamigawa,1,FALSE,0.95,Rare,129,f64d9404-9685-495d-a591-63d6164a88a9,129,sok,rare
Eternal Dominion,Saviors of Kamigawa,1,FALSE,3.23,Rare,36,3067a9bd-991a-462d-862a-2518ae31c382,36,sok,rare
Freed from the Real,Saviors of Kamigawa,2,FALSE,4.75,Common,38,c47ee6f6-50c1-4f56-b9ce-4c309bfb92ca,58,a25,uncommon
Ghost-Lit Stalker,Saviors of Kamigawa,1,FALSE,0.25,Uncommon,69,dd6e17a2-17f0-4d6b-b41a-3bd081b3ef63,34,gvl,uncommon
Glitterfang,Saviors of Kamigawa,1,FALSE,0.24,Common,100,a1519521-7f53-4f13-a104-daf52e8c7234,100,sok,common
Gnat Miser,Saviors of Kamigawa,1,FALSE,1.96,Common,70,f1c51ee1-d6f6-42d7-9be6-fe3f982984ba,70,sok,common
Hand of Cruelty,Saviors of Kamigawa,1,FALSE,0.37,Uncommon,71,ee194055-579a-4977-900e-e976259552ab,71,sok,uncommon
Ideas Unbound,Saviors of Kamigawa,1,FALSE,1.00,Common,40,1b0fe46d-08d6-48c3-be0d-650d8d3d66af,40,sok,common
Ideas Unbound,Saviors of Kamigawa,1,TRUE,8.44,Common,40,1b0fe46d-08d6-48c3-be0d-650d8d3d66af,40,sok,common
Iizuka the Ruthless,Saviors of Kamigawa,1,FALSE,2.18,Rare,104,9ce461f7-385d-4379-83de-49571247c30d,104,sok,rare
Iname as One,Saviors of Kamigawa,1,FALSE,1.00,Rare,151,4e13f122-0dfe-42f3-9815-9ae1a29fca99,151,sok,rare
Infernal Kirin,Saviors of Kamigawa,1,FALSE,2.20,Rare,72,c79e7a4c-e0e7-42ac-b125-1db2f3d9325c,72,sok,rare
Inner Fire,Saviors of Kamigawa,1,FALSE,0.43,Common,105,b1d886a2-ae83-4d95-9ec0-582c563181e6,105,sok,common
Inner-Chamber Guard,Saviors of Kamigawa,1,FALSE,0.33,Uncommon,13,4d34bfb9-abc7-4469-9546-aa8988da8259,13,sok,uncommon
Into the Fray,Saviors of Kamigawa,1,FALSE,0.23,Common,106,c99d116c-41c0-41af-9a68-9ac995f3000b,106,sok,common
Ivory Crane Netsuke,Saviors of Kamigawa,1,FALSE,0.28,Uncommon,155,dfd84d1a-1e74-4779-996f-f8518f0b5f8c,155,sok,uncommon
"Jiwari, the Earth Aflame",Saviors of Kamigawa,1,FALSE,0.43,Rare,107,6b46105b-32c2-48fc-b71d-c3e8fcb8a8ea,107,sok,rare
"Kagemaro, First to Suffer",Saviors of Kamigawa,1,FALSE,2.24,Rare,73,752f8672-1c37-4ab2-b290-fe3147784475,73,sok,rare
Kagemaro's Clutch,Saviors of Kamigawa,1,FALSE,0.21,Common,74,4fe4bb8d-bed8-4373-af9d-9332de910e06,74,sok,common
"Kaho, Minamo Historian",Saviors of Kamigawa,1,FALSE,1.00,Rare,41,7a5ad263-6b0d-4eaa-bc5a-16f5077206e1,101,cmm,uncommon
Kami of Empty Graves,Saviors of Kamigawa,1,FALSE,0.22,Common,75,30502f07-760c-46d1-8b4a-d4bd4a23201f,75,sok,common
Kami of Empty Graves,Saviors of Kamigawa,1,TRUE,0.51,Common,75,30502f07-760c-46d1-8b4a-d4bd4a23201f,75,sok,common
Kashi-Tribe Elite,Saviors of Kamigawa,1,FALSE,0.50,Uncommon,135,d12adf2d-ebf9-464e-9957-c8518d364a40,135,sok,uncommon
"Kataki, War's Wage",Saviors of Kamigawa,1,FALSE,3.20,Rare,14,4d84ac44-01d8-415e-af69-7c608ac8ae20,20,mma,rare
Kiku's Shadow,Saviors of Kamigawa,1,FALSE,0.30,Uncommon,77,38700c7d-2f24-47e4-a899-d294daed5549,77,sok,uncommon
Kiri-Onna,Saviors of Kamigawa,1,FALSE,0.25,Uncommon,43,dafb963c-18a5-4770-afb9-0121c614de40,43,sok,uncommon
Kiri-Onna,Saviors of Kamigawa,1,TRUE,2.59,Uncommon,43,dafb963c-18a5-4770-afb9-0121c614de40,43,sok,uncommon
Kitsune Bonesetter,Saviors of Kamigawa,1,FALSE,0.21,Common,15,a94c12e0-8eb1-43f9-a421-43ca9bcffb0e,15,sok,common
Kitsune Dawnblade,Saviors of Kamigawa,1,FALSE,0.24,Common,16,b09ab22e-aa22-4d6b-87c6-970563486f21,16,sok,common
Kitsune Loreweaver,Saviors of Kamigawa,1,FALSE,0.24,Common,17,c11d4490-fe4f-4526-befd-f4c9c22c76a6,17,sok,common
Kuro's Taken,Saviors of Kamigawa,1,FALSE,0.33,Common,79,1e301a46-f321-4fa6-a8c4-08dd4079a458,79,sok,common
"Maga, Traitor to Mortals",Saviors of Kamigawa,1,FALSE,2.44,Rare,81,2563fd68-afdd-466f-8137-0769565674bf,81,sok,rare
"Masumaro, First to Live",Saviors of Kamigawa,1,FALSE,0.88,Rare,136,2c4625b7-c8b1-4fdf-af9f-935313436b35,136,sok,rare
Matsu-Tribe Birdstalker,Saviors of Kamigawa,1,FALSE,0.20,Common,137,f1afb0c0-e138-4d2b-b3aa-fa40778f8d79,137,sok,common
Measure of Wickedness,Saviors of Kamigawa,1,FALSE,0.30,Uncommon,82,34d6776c-f286-4b43-8f5f-d70b5585e635,82,sok,uncommon
Minamo Scrollkeeper,Saviors of Kamigawa,1,FALSE,0.25,Common,45,821c99d3-389a-4138-99a2-0c4a4b243fe7,101,cns,common
Minamo Scrollkeeper,Saviors of Kamigawa,1,TRUE,1.33,Common,45,821c99d3-389a-4138-99a2-0c4a4b243fe7,101,cns,common
Moonbow Illusionist,Saviors of Kamigawa,1,FALSE,0.21,Common,46,f4960789-1a45-4273-b2f2-34713f19d697,46,sok,common
Moonwing Moth,Saviors of Kamigawa,1,FALSE,0.24,Common,20,f646ed53-c323-4f84-b8c9-39e31da1aca8,20,sok,common
Murmurs from Beyond,Saviors of Kamigawa,1,FALSE,0.24,Common,47,d9a38381-5fce-4192-a3f4-7bba3b522ea4,53,cmd,common
Neverending Torment,Saviors of Kamigawa,1,FALSE,0.68,Rare,83,3f91f678-9d3a-4502-81a6-3e1676aa447a,83,sok,rare
Nightsoil Kami,Saviors of Kamigawa,1,TRUE,0.36,Common,139,5902f863-171e-4bb2-9d48-2c679d41f1a9,139,sok,common
Nikko-Onna,Saviors of Kamigawa,1,FALSE,0.84,Uncommon,21,bd7ecd0c-9cfb-4cf3-be62-d949b58b19a4,21,sok,uncommon
Oboro Breezecaller,Saviors of Kamigawa,2,FALSE,0.25,Common,48,a382a9b8-0b19-46c2-a547-a22d6e23d0ac,48,sok,common
Oboro Envoy,Saviors of Kamigawa,1,FALSE,0.26,Uncommon,49,a0309dcb-6c13-4ffe-b44d-3b735c8277d2,49,sok,uncommon
O-Naginata,Saviors of Kamigawa,2,FALSE,0.60,Uncommon,157,08db5b31-6b5a-4b99-b103-d628afaea2ba,278,2xm,uncommon
O-Naginata,Saviors of Kamigawa,1,TRUE,5.24,Uncommon,157,08db5b31-6b5a-4b99-b103-d628afaea2ba,278,2xm,uncommon
Oppressive Will,Saviors of Kamigawa,1,FALSE,0.23,Common,50,abcb5e75-c7a1-41de-a952-05aefb115270,50,sok,common
Overwhelming Intellect,Saviors of Kamigawa,1,FALSE,0.33,Uncommon,51,9624bbf9-15b0-40f9-9f02-f2af3f1220f8,28,ddj,uncommon
Path of Anger's Flame,Saviors of Kamigawa,1,FALSE,0.22,Common,109,046fd4b1-d3a4-4859-a0d4-0e8341e6c6c7,109,sok,common
Plow Through Reito,Saviors of Kamigawa,1,FALSE,0.20,Common,22,11e78f75-bf58-4c61-9654-c5d355b5e526,22,sok,common
Presence of the Wise,Saviors of Kamigawa,1,TRUE,0.42,Uncommon,23,f6aedb5a-48f5-47db-9469-14075e2b9269,23,sok,uncommon
Promise of Bunrei,Saviors of Kamigawa,1,FALSE,0.78,Rare,24,a40e9071-7b27-4070-bc3a-c095c2128953,96,voc,rare
Promised Kannushi,Saviors of Kamigawa,1,FALSE,0.21,Common,141,7aac4236-9573-4cff-88d9-711a56da4346,141,sok,common
Raving Oni-Slave,Saviors of Kamigawa,1,FALSE,0.20,Common,86,a4d16271-9302-463b-938d-01dad0c3ce29,86,sok,common
