Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abuna Acolyte,Scars of Mirrodin,1,FALSE,0.20,Uncommon,1,9e17bbf7-00c0-46f2-9718-2762fd7388d3,1,som,uncommon
Accorder's Shield,Scars of Mirrodin,1,FALSE,0.25,Common,136,c5a4c2ab-c5bc-4e07-8671-a688ebd5471c,204,m14,uncommon
Alpha Tyrranax,Scars of Mirrodin,1,FALSE,0.18,Common,109,4a2e5279-f28c-4a78-9f8a-16c9f72f8d38,109,som,common
Argent Sphinx,Scars of Mirrodin,1,TRUE,0.22,Rare,28,99d03f11-7448-47de-9fb4-3ceaf08dc1d4,41,mm2,rare
Auriok Edgewright,Scars of Mirrodin,1,FALSE,0.23,Uncommon,3,0f76b18a-396b-41f5-b34b-ac232b7f316b,3,som,uncommon
Auriok Replica,Scars of Mirrodin,1,FALSE,0.20,Common,138,02745a0a-9872-4c30-a25d-61695c5fa9cc,138,som,common
Auriok Sunchaser,Scars of Mirrodin,1,FALSE,0.20,Common,4,e274a8b3-2d92-43d9-a436-d3f6f619ca95,4,som,common
Barbed Battlegear,Scars of Mirrodin,1,FALSE,0.25,Uncommon,139,03b80b2f-8d07-4ad3-9b20-4ba0fe9f37a2,139,som,uncommon
Bladed Pinions,Scars of Mirrodin,1,FALSE,0.25,Common,140,bf479c90-c791-4152-a8e6-fd3123f698df,140,som,common
Blade-Tribe Berserkers,Scars of Mirrodin,1,FALSE,0.19,Common,84,acd124bb-1ed1-469c-8527-d7261ea720b9,84,som,common
Bleak Coven Vampires,Scars of Mirrodin,1,FALSE,0.20,Common,55,9d3386e4-bbd6-4756-b29d-f55619e98d0d,55,som,common
Blight Mamba,Scars of Mirrodin,1,FALSE,0.31,Common,112,cf9b3335-565c-406d-bd94-f36974602552,112,som,common
Blistergrub,Scars of Mirrodin,1,FALSE,0.20,Common,56,517ec1ba-00cd-4883-b298-521dc2d03f81,40,ddr,common
Bloodshot Trainee,Scars of Mirrodin,1,FALSE,0.20,Uncommon,85,779a130b-1d23-4a20-9914-dbdc2268ae3b,119,2xm,uncommon
Blunt the Assault,Scars of Mirrodin,1,FALSE,0.25,Common,113,6ecff12a-37d5-4a7b-b615-4c5e3bd950bb,113,som,common
Bonds of Quicksilver,Scars of Mirrodin,1,FALSE,0.20,Common,29,f01c9fe7-35a4-4f64-b527-5311872b13fd,102,cn2,common
Chrome Steed,Scars of Mirrodin,1,FALSE,0.20,Common,142,ce881675-690f-4d4c-a951-ab8302e904ab,142,som,common
Clone Shell,Scars of Mirrodin,1,FALSE,0.25,Uncommon,143,6c627ec9-f75c-4a9d-8a4f-1f632a67e17b,241,2xm,uncommon
Contagion Clasp,Scars of Mirrodin,1,FALSE,0.55,Uncommon,144,4882ba90-2662-4bca-96c0-17bdfb484ae1,67,td2,uncommon
Contagious Nim,Scars of Mirrodin,1,FALSE,0.25,Common,58,e83a9dea-2aa1-48cd-afe2-f98057b95f6e,58,som,common
Copper Myr,Scars of Mirrodin,1,FALSE,0.25,Common,146,323efe27-da58-4207-9c0c-dba5031bfa04,146,som,common
Copperhorn Scout,Scars of Mirrodin,1,FALSE,0.25,Common,116,fd900b70-0957-4d81-ae25-dfa9343bd174,179,cn2,common
Copperline Gorge,Scars of Mirrodin,1,FALSE,3.95,Rare,225,78b0f36b-7d8c-4e77-adc2-a4dad93a81d5,249,one,rare
Corpse Cur,Scars of Mirrodin,1,TRUE,3.82,Common,147,9c6e19a1-b9ea-4724-96d6-63c4b4967257,147,som,common
Corrupted Harvester,Scars of Mirrodin,1,FALSE,0.20,Uncommon,59,b54625ac-484f-4522-8048-38e01c545ac3,59,som,uncommon
Culling Dais,Scars of Mirrodin,1,FALSE,0.30,Uncommon,148,54dc8c2a-928d-465e-8f76-82a90cc66854,246,2xm,uncommon
