Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Accelerated Mutation,Scourge,1,FALSE,0.20,Common,109,282f808c-0b58-4b98-aeda-f606a10d1a4b,109,scg,common
Ageless Sentinels,Scourge,1,FALSE,0.45,Rare,1,ccaa4a19-8eba-4c43-8a9a-636e234df751,1,scg,rare
Aphetto Runecaster,Scourge,1,FALSE,0.55,Uncommon,28,7c5de028-91ce-48d8-8557-ae12542adea2,28,scg,uncommon
Ark of Blight,Scourge,1,FALSE,0.25,Uncommon,140,f3b09956-cc34-4472-8b9f-ae355522bd5a,140,scg,uncommon
Astral Steel,Scourge,1,FALSE,0.24,Common,2,64f836d3-52c8-4628-b18a-8c8fb67969c9,2,scg,common
Aven Farseer,Scourge,1,FALSE,0.20,Common,3,47854e89-4d22-4eb6-a77d-6f04407bd2e5,3,scg,common
Aven Liberator,Scourge,1,FALSE,0.20,Common,4,b2804006-2a60-400c-be0b-8aa042469372,4,scg,common
Bladewing's Thrall,Scourge,1,FALSE,0.25,Uncommon,55,9d63d3d8-5699-4577-a908-4415bc96b404,81,ima,uncommon
Bonethorn Valesk,Scourge,1,FALSE,0.19,Common,82,297d7326-ad03-464d-97e2-443042d48f92,82,scg,common
Break Asunder,Scourge,1,FALSE,0.20,Common,113,80f334d2-d450-4a36-9b2e-ce81297b22e3,152,dmr,common
Cabal Interrogator,Scourge,1,FALSE,0.27,Uncommon,57,256a7a37-6f47-47a3-b149-5692aee8b34a,57,scg,uncommon
Carbonize,Scourge,1,FALSE,0.23,Uncommon,83,d4b4767b-edd1-4e36-b363-52114a9afe5e,122,ema,common
Carrion Feeder,Scourge,1,FALSE,1.65,Common,59,0a19da90-880e-4eca-8cf7-6d7baf090d53,81,mh1,uncommon
Chartooth Cougar,Scourge,1,FALSE,0.20,Common,84,03a32ab2-cc55-43fb-82d8-c51a3849b344,125,a25,common
Chill Haunting,Scourge,1,FALSE,0.24,Uncommon,60,91035d03-2bf8-4e6b-945b-4dfbed0873ec,60,scg,uncommon
Claws of Wirewood,Scourge,1,FALSE,0.25,Uncommon,114,0a6f8a21-5946-455b-83ec-ba211c7d19bf,201,vma,common
Clutch of Undeath,Scourge,1,FALSE,0.20,Common,61,7301fdec-ca17-47ae-9a0a-84ea8665ece1,61,scg,common
Coast Watcher,Scourge,1,FALSE,0.20,Common,30,6bbbc67d-99d0-4277-a8f2-64509e59ec00,30,scg,common
Consumptive Goo,Scourge,1,FALSE,0.52,Rare,62,0f0f549f-6607-483a-9d89-2019ca9ef571,62,scg,rare
Daru Spiritualist,Scourge,1,FALSE,0.25,Common,5,18f26b88-cffc-47ed-a70a-7d704a32c8bb,5,scg,common
Day of the Dragons,Scourge,1,FALSE,0.53,Rare,31,76e4dd1d-b0bd-4fcf-b5c5-fe203af2fe8e,38,khc,rare
Dispersal Shield,Scourge,1,FALSE,0.22,Common,33,0c257df6-f275-40db-bfe3-a9291356cdf7,33,scg,common
Divergent Growth,Scourge,1,FALSE,0.20,Common,116,0e609448-7868-4e28-b399-3750556a693c,116,scg,common
Dragon Breath,Scourge,1,FALSE,0.25,Common,86,0900c3b6-cf56-4089-a1e3-c1f53edcf23a,172,bbd,uncommon
Dragon Fangs,Scourge,1,FALSE,0.24,Common,117,9754f52f-8937-4402-8956-2c18b520898a,117,scg,common
Dragon Scales,Scourge,1,FALSE,0.25,Common,10,8e78b364-015d-4074-ad9e-55c973ce2f4b,10,scg,common
Dragon Shadow,Scourge,1,FALSE,0.25,Common,65,0ec35e03-022b-417c-9987-7379cf3956f9,65,scg,common
Dragonstalker,Scourge,1,FALSE,0.24,Uncommon,11,58017ff1-74d2-4be2-976a-8dff53e16150,11,scg,uncommon
