Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Æthertow,Shadowmoor,1,FALSE,0.24,Common,136,c0b34ecd-6dd4-49b0-ab49-3c11f70e0c4a,205,mm3,common
Apothecary Initiate,Shadowmoor,1,FALSE,0.23,Common,1,9b6ae637-bdb7-4117-8539-e424159bad6f,1,shm,common
Armored Ascension,Shadowmoor,1,FALSE,0.40,Uncommon,2,5647c21e-5926-462c-8b01-862f8cedf777,5,m11,uncommon
Ashenmoor Liege,Shadowmoor,1,FALSE,0.99,Rare,181,3bac7744-ba18-4fc5-8a6f-840dad28f6c0,174,2x2,rare
Augury Adept,Shadowmoor,1,FALSE,0.62,Rare,137,a9cf106f-f547-4323-b8bf-0340c6308007,227,c13,rare
Ballynock Cohort,Shadowmoor,1,FALSE,0.23,Common,3,d191b8f7-40e0-47f3-8395-659f26a12851,3,ema,common
Barkshell Blessing,Shadowmoor,1,FALSE,0.22,Common,224,cd273ef2-4aed-4c7e-8c97-fe8b1af9ce69,224,shm,common
Barrenton Cragtreads,Shadowmoor,1,FALSE,0.21,Common,138,361dab9e-22f0-45e4-a793-aa6c97a96781,138,shm,common
Barrenton Medic,Shadowmoor,1,FALSE,0.28,Common,4,8888e0aa-3682-4800-9c50-fff5d5c9547d,4,shm,common
Blazethorn Scarecrow,Shadowmoor,1,FALSE,0.29,Common,246,44793043-82b4-415b-a9ab-d564fdbcd314,246,shm,common
Blight Sickle,Shadowmoor,1,FALSE,0.25,Common,247,c0f828c7-aedc-462b-8455-46e8a90feb85,247,shm,common
Blistering Dieflyn,Shadowmoor,1,FALSE,0.23,Common,82,5720a5b2-60ca-49f9-83e8-b801471c92ea,82,shm,common
Bloodshed Fever,Shadowmoor,1,FALSE,0.22,Common,84,73b92320-6f83-4731-93c8-7eb9fd90ee83,84,shm,common
Briarberry Cohort,Shadowmoor,1,FALSE,0.24,Common,30,caf9d87a-533c-4641-9738-e7b98d92b015,30,shm,common
Chainbreaker,Shadowmoor,1,FALSE,0.33,Common,249,094b023e-d5a3-4a57-adf0-898f3dcc8de2,249,shm,common
Cultbrand Cinder,Shadowmoor,1,FALSE,0.24,Common,182,f6b80a10-a9a9-445e-8040-6cc0155271d8,182,shm,common
Curse of Chains,Shadowmoor,1,FALSE,0.27,Common,139,26146dec-135b-4b4e-9d85-dcc1df9b5a09,183,clu,common
Cursecatcher,Shadowmoor,1,FALSE,0.75,Uncommon,34,d257a3c9-443f-4899-badc-f075a14667c5,53,a25,uncommon
