Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Agony Warp,Shards of Alara,1,FALSE,0.22,Common,153,5890a23e-1da0-432b-8dc8-85b92dee9ba1,168,2x2,common
Angelic Benediction,Shards of Alara,1,FALSE,0.25,Uncommon,3,a2a782a3-cc30-47c2-aab3-18abcda3df0a,19,dvd,uncommon
Angel's Herald,Shards of Alara,1,FALSE,0.25,Uncommon,2,36197ed0-4382-4de3-8359-73cb74edc78b,2,ala,uncommon
Angelsong,Shards of Alara,1,FALSE,0.28,Common,4,dfdf70c7-49e2-4f6a-99e2-075aa826de60,15,dvd,common
Arcane Sanctum,Shards of Alara,1,FALSE,0.99,Uncommon,220,c75eeb97-3249-4762-84b0-387f27fb255f,259,dsc,uncommon
Bant Battlemage,Shards of Alara,1,FALSE,0.25,Uncommon,5,2c597b1d-d8b5-4922-a3f2-1f173a73ea2a,5,ala,uncommon
Bant Charm,Shards of Alara,1,FALSE,0.35,Uncommon,155,7906b1e8-3049-4f4e-b1fd-b2547e7079f0,181,2x2,uncommon
Bant Panorama,Shards of Alara,1,FALSE,0.45,Common,221,dc506497-4ecd-41d3-9042-f92f498251b0,387,ncc,common
Blightning,Shards of Alara,1,FALSE,0.27,Common,156,ccf0f075-4401-41da-a17f-a209d6a03782,198,a25,uncommon
Blister Beetle,Shards of Alara,1,FALSE,0.22,Common,66,7f42bdeb-5a51-4303-96d8-9722f95d2905,66,ala,common
Blood Cultist,Shards of Alara,1,FALSE,0.28,Uncommon,157,fb468da0-b72b-4b46-994a-20677206ffb7,157,ala,uncommon
Bloodpyre Elemental,Shards of Alara,1,FALSE,0.20,Common,93,89e39677-5e04-45af-8f4c-1d4b6e737213,93,ala,common
Bloodthorn Taunter,Shards of Alara,1,FALSE,0.20,Common,94,8769e8f6-15ad-4f1b-bb4d-848ae6b7549e,94,ala,common
Branching Bolt,Shards of Alara,1,FALSE,0.24,Common,158,9ee5d78d-fdfb-436a-82e1-1d021db69b6f,82,arc,common
Bull Cerodon,Shards of Alara,1,FALSE,0.25,Uncommon,161,1d375f2c-8d43-4e25-a0fb-9e936a03d5f7,84,hop,uncommon
Carrion Thrash,Shards of Alara,1,FALSE,0.20,Common,162,f14c7b9e-eb80-4842-8aa3-1d0c46d9677e,162,ala,common
Corpse Connoisseur,Shards of Alara,1,FALSE,0.45,Uncommon,68,3f4ef04b-5434-480e-82a1-118ed1ff551f,61,mm3,uncommon
Cylian Elf,Shards of Alara,1,FALSE,0.22,Common,127,b3afaab6-4768-4852-a0b6-4e6a0295bde7,127,ala,common
Deathgreeter,Shards of Alara,1,FALSE,1.23,Common,71,561b8539-cb84-42f0-97f2-2c94839777e3,33,gvl,common
Deft Duelist,Shards of Alara,1,FALSE,0.20,Common,165,c4885a83-9410-4c88-b45e-1e1626fe90ea,165,ala,common
Demon's Herald,Shards of Alara,1,FALSE,0.25,Uncommon,72,f5aa309e-5df3-4419-9e9c-3fd928c1e360,72,ala,uncommon
