Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Lord of Atlantis,Special Guests,1,TRUE,14.30,Rare,1,a9407b60-8921-4531-bdbe-9a82aaa38d28,24,tsb,special
"Malcolm, Keen-Eyed Navigator",Special Guests,1,TRUE,8.20,Uncommon,2,51187cdb-85ee-4f68-9e29-d84d296f0825,161,lcc,uncommon
Bridge from Below,Special Guests,1,FALSE,1.34,Rare,3,3faaa657-8b02-41a9-8a99-31a223d2caa5,87,uma,rare
Pitiless Plunderer,Special Guests,1,TRUE,23.63,Uncommon,5,5b5cd187-857a-44dd-8595-a52857a0b753,208,lcc,uncommon
"Breeches, Brazen Plunderer",Special Guests,1,TRUE,3.33,Uncommon,6,fb6dc94e-9b57-4161-a835-15e46c3bb13a,217,lcc,uncommon
"Dargo, the Shipwrecker",Special Guests,1,TRUE,3.51,Uncommon,7,5cd87cf8-4d5d-4aba-8dfa-800b1fb3799b,172,cmr,uncommon
Rampaging Ferocidon,Special Guests,1,TRUE,7.27,Rare,8,53c38f4e-81ec-45b3-a6cf-06a65b674978,167,dsc,rare
Underworld Breach,Special Guests,1,TRUE,42.52,Rare,9,0e51d796-7279-4c06-87f0-37adbdaa41df,161,thb,rare
Carnage Tyrant,Special Guests,1,TRUE,5.42,Mythic Rare,10,3bd78731-949c-464a-826a-92f86d784911,179,xln,mythic
"Ghalta, Primal Hunger",Special Guests,1,TRUE,13.07,Rare,11,6a9c39e4-a8cf-42dd-8d0e-45634b335546,222,fdn,rare
Polyraptor,Special Guests,1,FALSE,12.14,Mythic Rare,12,f8965a3a-93fe-4021-a665-b6013bdc86f7,144,rix,mythic
"Kalamax, the Stormsire",Special Guests,1,TRUE,4.01,Mythic Rare,13,f990cd78-2165-446f-a116-ae55d7a0f00d,9,c20,mythic
Lord Windgrace,Special Guests,1,TRUE,5.40,Mythic Rare,14,213d6fb8-5624-4804-b263-51f339482754,43,c18,mythic
"Mirri, Weatherlight Duelist",Special Guests,1,FALSE,5.59,Mythic Rare,15,db44fe95-6a32-4d6f-a32f-72491381f495,347,cmm,rare
"Thrasios, Triton Hero",Special Guests,1,TRUE,23.60,Rare,16,21e27b91-c7f1-4709-aa0d-8b5d81b22a0a,46,c16,rare
Mana Crypt (17),Special Guests,1,TRUE,84.48,Mythic Rare,17,,,,
Mana Crypt (17c),Special Guests,1,TRUE,561.55,Mythic Rare,17c,,,,
