Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Angelic Observer,Streets of New Capenna,1,FALSE,0.15,Uncommon,1,e6cce4d3-e6d8-4c6f-9d9c-c0a8a607a42f,1,snc,uncommon
Backup Agent,Streets of New Capenna,1,FALSE,0.14,Common,2,2a46af75-3880-4141-b26e-19834d67e7a8,2,snc,common
Backup Agent,Streets of New Capenna,1,TRUE,0.03,Common,2,2a46af75-3880-4141-b26e-19834d67e7a8,2,snc,common
Ballroom Brawlers,Streets of New Capenna,1,FALSE,0.15,Uncommon,3,bf5615a2-03a2-41f4-ab3b-de5e60d1504e,3,snc,uncommon
Ballroom Brawlers,Streets of New Capenna,1,TRUE,0.05,Uncommon,3,bf5615a2-03a2-41f4-ab3b-de5e60d1504e,3,snc,uncommon
Boon of Safety,Streets of New Capenna,1,FALSE,0.20,Common,4,2069310a-9fb6-41b7-bbd5-849e3df05632,4,snc,common
Boon of Safety,Streets of New Capenna,1,TRUE,0.13,Common,4,2069310a-9fb6-41b7-bbd5-849e3df05632,4,snc,common
Brokers Initiate,Streets of New Capenna,1,FALSE,0.15,Common,5,a7867f2d-e89d-429f-9ab8-5337b40b4d8d,5,snc,common
Brokers Initiate,Streets of New Capenna,1,TRUE,0.04,Common,5,a7867f2d-e89d-429f-9ab8-5337b40b4d8d,5,snc,common
Buy Your Silence,Streets of New Capenna,1,TRUE,0.04,Common,6,8c9ac05f-f47c-4569-a06e-793d28cbb936,6,snc,common
Celebrity Fencer,Streets of New Capenna,1,FALSE,0.15,Common,7,5afb5c5c-06e0-4b11-ad07-aef7be6e2cd4,7,snc,common
Celebrity Fencer,Streets of New Capenna,1,TRUE,0.07,Common,7,5afb5c5c-06e0-4b11-ad07-aef7be6e2cd4,7,snc,common
Citizen's Crowbar,Streets of New Capenna,1,FALSE,0.20,Uncommon,8,b68896f5-1e13-400a-a327-b6c6f00858b7,8,snc,uncommon
Citizen's Crowbar,Streets of New Capenna,1,TRUE,0.18,Uncommon,8,b68896f5-1e13-400a-a327-b6c6f00858b7,8,snc,uncommon
Dapper Shieldmate,Streets of New Capenna,1,FALSE,0.15,Common,9,d6ce9c33-4ab3-43c9-b6bc-ee2d40d8f9b6,9,snc,common
Dapper Shieldmate,Streets of New Capenna,1,TRUE,0.04,Common,9,d6ce9c33-4ab3-43c9-b6bc-ee2d40d8f9b6,9,snc,common
Depopulate,Streets of New Capenna,1,FALSE,0.44,Rare,10,c53c1898-9107-4bf8-b249-d0502fb9596d,10,snc,rare
Elspeth Resplendent,Streets of New Capenna,1,FALSE,2.79,Mythic Rare,11,7c606af0-f3d1-44a4-b24e-ee1263569b1f,11,snc,mythic
Extraction Specialist,Streets of New Capenna,1,FALSE,0.40,Rare,12,b404d6c7-0b65-4c6a-b141-9dffbeb120db,12,snc,rare
Gathering Throng,Streets of New Capenna,1,TRUE,0.03,Common,13,290347b9-d3cc-4882-8da6-9d8b8677f276,13,snc,common
"Giada, Font of Hope",Streets of New Capenna,1,TRUE,5.15,Rare,14,8ae6fc26-cfad-4da8-98d9-49c27c24d293,141,fdn,rare
Halo Fountain,Streets of New Capenna,1,FALSE,9.03,Mythic Rare,15,0ee79399-715c-4c46-9fa1-e76b1087f009,15,snc,mythic
Hold for Ransom,Streets of New Capenna,1,FALSE,0.15,Common,16,53e74a99-11d9-40b8-b1d6-8f68a3f490fa,16,snc,common
Illuminator Virtuoso,Streets of New Capenna,1,FALSE,0.25,Uncommon,17,52ba20d9-9423-4114-8734-1dac307483c8,17,snc,uncommon
Inspiring Overseer,Streets of New Capenna,1,FALSE,0.30,Common,18,c3e9aa54-e5d5-4cbb-9d2a-263b9eba398f,496,fdn,common
Kill Shot,Streets of New Capenna,1,FALSE,0.15,Common,19,61b0b9a3-8f50-4fba-9978-409f3369afa6,19,snc,common
Knockout Blow,Streets of New Capenna,1,FALSE,0.25,Uncommon,20,9b00bbec-61d0-464c-bf82-4ecf5ddb3451,20,snc,uncommon
Mage's Attendant,Streets of New Capenna,1,FALSE,0.19,Uncommon,21,e7039d47-276b-4c7c-acc3-94a9baae97e5,698,clb,uncommon
Mysterious Limousine,Streets of New Capenna,1,FALSE,0.25,Rare,22,a58cb742-0ba7-4795-9772-25d4db0bc4ce,22,snc,rare
Patch Up,Streets of New Capenna,1,FALSE,0.20,Uncommon,23,2ce30c92-c5f2-45d2-819e-177390bc26f5,23,snc,uncommon
Rabble Rousing,Streets of New Capenna,1,FALSE,1.40,Rare,24,206c8529-56df-4ed9-97bc-6c9b5e2a04c4,24,snc,rare
Raffine's Guidance,Streets of New Capenna,1,FALSE,0.15,Common,25,f36e25fa-9ab4-4832-afb9-827c4b6ba732,25,snc,common
Raffine's Informant,Streets of New Capenna,1,FALSE,0.20,Common,26,4e64ff87-2099-4360-94f6-164277b7b514,26,snc,common
Refuse to Yield,Streets of New Capenna,1,FALSE,0.16,Uncommon,27,a7b597b3-5792-49e4-9bcb-74012e4e9cb6,27,snc,uncommon
