Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Environmental Sciences,Strixhaven: School of Mages,1,FALSE,0.20,Common,1,46b394fc-a99c-44e7-9226-da0699167541,1,stx,common
Expanded Anatomy,Strixhaven: School of Mages,1,FALSE,0.15,Common,2,c5642b9d-0daa-4e6b-ad48-f88dd37d6574,2,stx,common
Introduction to Annihilation,Strixhaven: School of Mages,1,FALSE,0.20,Common,3,b0bc4682-bcaf-4f51-be0b-9f2851a16e3b,3,stx,common
Introduction to Prophecy,Strixhaven: School of Mages,1,FALSE,0.20,Common,4,7820923e-bad2-4d6a-92b3-97b9737d2ca9,4,stx,common
Mascot Exhibition,Strixhaven: School of Mages,1,FALSE,0.45,Mythic Rare,5,2047592c-739c-41dd-b3e8-31ae1c7688ab,5,stx,mythic
Academic Probation,Strixhaven: School of Mages,1,FALSE,0.25,Rare,7,05521edf-f47f-4e7a-aec5-cdc4ae7368c2,7,stx,rare
Ageless Guardian,Strixhaven: School of Mages,1,FALSE,0.15,Common,8,4a5ff6af-402f-4bf6-a75b-dc1e0e40aff6,8,stx,common
Beaming Defiance,Strixhaven: School of Mages,1,FALSE,0.15,Common,9,7e22411c-11c1-4770-8491-7952dd406e01,9,stx,common
Clever Lumimancer,Strixhaven: School of Mages,1,FALSE,0.23,Uncommon,10,69957656-cfdf-4001-8e84-0ef29e4a468d,10,stx,uncommon
Combat Professor,Strixhaven: School of Mages,1,FALSE,0.15,Common,11,3f669ac4-98ed-4e23-91a9-281f8277ab04,11,stx,common
Defend the Campus,Strixhaven: School of Mages,1,FALSE,0.15,Common,12,85e4e1b5-77d6-4af4-b22e-6f6b4d129f5d,12,stx,common
Detention Vortex,Strixhaven: School of Mages,1,FALSE,0.19,Uncommon,13,54ebe581-be17-415a-a160-28d8f4e95636,13,stx,uncommon
Dueling Coach,Strixhaven: School of Mages,1,FALSE,0.15,Uncommon,15,45b3dbb0-0d68-4351-bfc9-a09c50454bf7,15,stx,uncommon
Eager First-Year,Strixhaven: School of Mages,1,FALSE,0.15,Common,16,7a83543b-3b6f-4e28-96f9-007b814bcfd6,16,stx,common
Elite Spellbinder,Strixhaven: School of Mages,1,FALSE,0.35,Rare,17,9d3a7998-ccac-45ad-a4e9-3a2cb057f63b,17,stx,rare
Expel,Strixhaven: School of Mages,1,FALSE,0.15,Common,18,be517a58-b7ee-4213-98a5-8c19e1b2def6,18,stx,common
Guiding Voice,Strixhaven: School of Mages,1,FALSE,0.15,Common,19,d6fb3163-12ca-4a7f-a0c7-b8ddfc9408a0,19,stx,common
Leonin Lightscribe,Strixhaven: School of Mages,1,FALSE,0.50,Rare,20,2a465d7b-398c-444b-9eae-331ea2513f6d,20,stx,rare
Pilgrim of the Ages,Strixhaven: School of Mages,1,FALSE,0.15,Common,22,c86714f5-e909-413f-8eb6-99dbea4d1897,22,stx,common
Pillardrop Rescuer,Strixhaven: School of Mages,1,FALSE,0.15,Common,23,0884666e-8f9b-44b1-a1e3-c1c8941e2152,23,stx,common
