Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Kasmina, Enigma Sage (Borderless)",Strixhaven Variants,1,FALSE,1.22,Mythic Rare,279,,,,
Beledros Witherbloom (Borderless),Strixhaven Variants,1,FALSE,8.99,Mythic Rare,282,,,,
Wandering Archaic // Explore the Vastlands (Extended Art),Strixhaven Variants,1,FALSE,7.45,Rare,286,,,,
Academic Probation (Extended Art),Strixhaven Variants,1,FALSE,0.40,Rare,287,,,,
Leonin Lightscribe (Extended Art),Strixhaven Variants,1,FALSE,1.44,Rare,290,,,,
Archmage Emeritus (Extended Art),Strixhaven Variants,1,FALSE,6.36,Rare,295,,,,
Multiple Choice (Extended Art),Strixhaven Variants,1,FALSE,0.49,Rare,298,,,,
Tempted by the Oriq (Extended Art),Strixhaven Variants,1,TRUE,0.42,Rare,300,,,,
Callous Bloodmage (Extended Art),Strixhaven Variants,1,FALSE,0.66,Rare,302,,,,
Confront the Past (Extended Art),Strixhaven Variants,1,FALSE,0.41,Rare,303,,,,
Retriever Phoenix (Extended Art),Strixhaven Variants,1,TRUE,0.24,Rare,313,,,,
Selfless Glyphweaver // Deadly Vanity (Extended Art),Strixhaven Variants,1,FALSE,0.51,Rare,329,,,,
"Uvilda, Dean of Perfection // Nassari, Dean of Expression (Extended Art)",Strixhaven Variants,1,TRUE,0.74,Rare,332,,,,
Culling Ritual (Extended Art),Strixhaven Variants,1,FALSE,6.14,Rare,337,,,,
Vanishing Verse (Extended Art),Strixhaven Variants,1,FALSE,1.76,Rare,354,,,,
Venerable Warsinger (Extended Art),Strixhaven Variants,1,TRUE,0.53,Rare,355,,,,
Shineshadow Snarl (Extended Art),Strixhaven Variants,1,TRUE,3.67,Rare,364,,,,
