Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Amok,Stronghold,1,FALSE,0.40,Rare,,5c5bdb8c-2a2e-47cf-a502-2d62f9ada3fa,76,sth,rare
Bandage,Stronghold,1,FALSE,0.25,Common,,89dbe086-4c03-448f-a346-49bc08d02705,7,tpr,common
Brush with Death,Stronghold,1,FALSE,0.25,Common,,04013bc6-7774-400b-a6af-de755b4c324d,52,sth,common
Bullwhip,Stronghold,1,FALSE,0.30,Uncommon,,ff312dd7-456c-4ce5-9614-e2cbe3c2219c,132,sth,uncommon
Calming Licid,Stronghold,1,FALSE,0.25,Uncommon,,155fc239-c2eb-41cc-9a0a-2414da3c3d7b,2,sth,uncommon
Cannibalize,Stronghold,1,FALSE,0.25,Common,,9cdf1311-1660-4ad0-a383-f3ff508ff574,83,tpr,uncommon
Carnassid,Stronghold,1,FALSE,0.42,Rare,,46e614ca-3ef8-44bf-b3f8-bda66c82ed6f,167,tpr,uncommon
Change of Heart,Stronghold,1,FALSE,0.22,Common,,afaf277e-b430-4c96-880c-ae654973478c,3,sth,common
Cloud Spirit,Stronghold,1,FALSE,0.20,Common,,1f043c62-a15e-472d-beb7-8fea47f8e1f4,42,me4,common
Contemplation,Stronghold,1,FALSE,0.29,Uncommon,,848672be-b1cd-40ef-a7ed-ce1620aebd2e,4,sth,uncommon
Contempt,Stronghold,1,FALSE,0.20,Common,,c1fa8e60-c32f-4586-b133-224f0aec3355,27,sth,common
Conviction,Stronghold,1,FALSE,0.24,Common,,94507660-cf60-4fd8-a796-7a6e6f28396d,12,uma,common
Convulsing Licid,Stronghold,1,FALSE,0.25,Uncommon,,d5e50a1d-b9f5-4a03-a1c2-ca45ace53a52,77,sth,uncommon
Corrupting Licid,Stronghold,1,FALSE,0.25,Uncommon,,c12c6548-20e6-4697-ba26-e711590f9e28,54,sth,uncommon
Craven Giant,Stronghold,1,FALSE,0.23,Common,,64e9caf7-b835-42a6-8f84-e35162fe25d7,128,tpr,common
Crossbow Ambush,Stronghold,1,FALSE,0.22,Common,,283146fd-2307-4019-b23d-7fb1893dc46c,105,sth,common
Dauthi Trapper,Stronghold,1,FALSE,0.58,Uncommon,,6d83770e-16ff-49c6-b4e7-eb7fc566eef8,56,sth,uncommon
Death Stroke,Stronghold,1,FALSE,0.22,Common,,edff316e-e3a3-4d88-a124-51eab1c7953f,100,tpr,common
Dream Halls,Stronghold,1,FALSE,20.50,Rare,,2c6606d1-619f-4cc9-8d5b-771c4b4d9615,46,tpr,mythic
Dream Prowler,Stronghold,1,FALSE,0.24,Common,,08d90394-22fe-42ae-83ba-9cf88cfe1d1d,47,tpr,uncommon
Duct Crawler,Stronghold,1,FALSE,0.22,Common,,d913e4d2-3502-41f3-871e-59b3b13df58a,198,10e,common
Dungeon Shade,Stronghold,1,FALSE,0.25,Common,,3e2f317a-578c-4f7d-a185-b22bf7c32624,103,tpr,common
Endangered Armodon,Stronghold,1,FALSE,0.20,Common,,3a31f4c6-c0c2-4cbd-ade9-941625b51c78,171,tpr,common
Evacuation,Stronghold,1,FALSE,1.87,Rare,,b11037bc-e719-461e-a89e-9c026dfd9fd4,156,lcc,rare
Fanning the Flames,Stronghold,1,FALSE,0.41,Uncommon,,198b8ff9-f49a-45e2-bd33-c8b805f7ac42,130,tpr,rare
Flame Wave,Stronghold,1,FALSE,0.28,Uncommon,,f592d08e-db49-4cd5-bc45-aea56da3f828,131,tpr,rare
Fling,Stronghold,1,FALSE,0.28,Common,,8f42d773-c742-4465-b6d5-31feaba49146,320,jmp,common
Flowstone Blade,Stronghold,1,FALSE,0.22,Common,,e8630702-f973-4c08-8f45-84a3893499ad,132,tpr,common
Flowstone Hellion,Stronghold,1,FALSE,0.25,Uncommon,,93ab1734-f238-4894-8b54-096ce1118e69,161,vma,uncommon
Flowstone Mauler,Stronghold,1,FALSE,0.44,Rare,,bb44cde5-a31b-4901-b2ca-9f317a9dd395,133,tpr,uncommon
Flowstone Shambler,Stronghold,1,FALSE,0.22,Common,,65669460-54e6-4358-83de-d7a576f9eea3,185,9ed,common
Foul Imp,Stronghold,1,FALSE,0.22,Common,,2fe63448-1198-4a7c-948b-514fe4934add,49,ddr,common
Furnace Spirit,Stronghold,1,FALSE,0.24,Common,,b6a79dc7-ce46-41f7-9375-8d12afe6355a,87,sth,common
Gliding Licid,Stronghold,1,FALSE,0.25,Uncommon,,0148f3ca-4dba-4408-86d0-1190c387ee69,31,sth,uncommon
Hammerhead Shark,Stronghold,1,FALSE,0.25,Common,,48c1a040-9045-4977-84e4-695de0f886a9,52,tpr,common
Heartstone,Stronghold,1,FALSE,2.72,Uncommon,,0ed17325-6d2f-404e-b13f-d2d419d522b7,134,sth,uncommon
Heat of Battle,Stronghold,1,FALSE,0.30,Uncommon,,8dbb98db-f2ee-446f-9170-dd05b1a7dbd8,88,sth,uncommon
Hesitation,Stronghold,1,FALSE,0.33,Uncommon,,e3ce5dbc-3597-42e8-859a-cac105c8102e,33,sth,uncommon
Honor Guard,Stronghold,1,FALSE,0.20,Common,,9c8a5add-87af-447d-9fd7-c4aeec3685fb,23,10e,common
Hornet Cannon,Stronghold,1,FALSE,0.25,Uncommon,,a3ea39a8-48d1-4a58-8662-88841eabec92,28,dde,uncommon
Invasion Plans,Stronghold,1,FALSE,1.69,Rare,,f52c2f83-9535-4ee5-9964-5cc01e617981,89,sth,rare
Lab Rats,Stronghold,1,FALSE,0.29,Common,,6fd5d79e-cfd8-484b-bbc8-785177922e30,108,tpr,common
Lancers en-Kor,Stronghold,1,FALSE,0.25,Uncommon,,e7cd99c2-6d4a-48e8-8848-6fdc0788525d,8,sth,uncommon
Leap,Stronghold,1,FALSE,0.68,Common,,0841423d-7a27-4bc5-9ac2-0ba47648c6f1,35,sth,common
Lowland Basilisk,Stronghold,1,FALSE,0.20,Common,,2c3cce7a-637f-4c68-af30-6f89f6c9f096,178,tpr,uncommon
Mind Games,Stronghold,1,FALSE,0.25,Common,,4da50979-1f5d-48d1-9406-dfc785273c04,38,sth,common
Mind Peel,Stronghold,1,FALSE,0.25,Uncommon,,92bd531c-fdd1-4a22-816e-258b2975c1a3,63,sth,uncommon
Mindwarper,Stronghold,1,FALSE,0.39,Rare,,ebe796e1-97f9-469a-a6b6-a09161058e12,64,sth,rare
Mob Justice,Stronghold,1,FALSE,0.55,Common,,b790d789-bb21-4119-a0e3-43af9bef8acc,90,sth,common
Mogg Bombers,Stronghold,1,FALSE,0.25,Common,,16064ad4-eec2-4c32-b66d-a2bdb1a6191f,91,sth,common
