Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abandon Hope,Tempest,1,FALSE,0.30,Uncommon,,942cf220-472c-48f6-8f60-993939ea5ab8,107,tmp,uncommon
Advance Scout,Tempest,1,FALSE,0.21,Common,,81ce7e1e-ffe5-4ced-8967-9a6917245240,1,tmp,common
Aftershock,Tempest,1,FALSE,0.25,Common,,41cd7b16-a920-4a92-9f3d-5047df9a5c3e,124,tpr,common
Ancient Runes,Tempest,1,FALSE,1.86,Uncommon,,e315c1c2-436e-48ff-9214-938697178393,161,tmp,uncommon
Anoint,Tempest,1,FALSE,0.23,Common,,193af7bd-547b-489b-bf21-6a2873311afc,3,tpr,common
Armored Pegasus,Tempest,1,FALSE,0.23,Common,,44bafa45-f26e-4c1a-be23-e0469bfa3bb5,5,tpr,common
Bayou Dragonfly,Tempest,1,FALSE,0.24,Common,,93cfcca5-070b-4946-b17b-0c94b1e47fcd,215,tmp,common
Blood Frenzy,Tempest,1,FALSE,0.25,Common,,06f39d83-e1ea-45c9-8181-2a2b6e5148da,164,tmp,common
Blood Pet,Tempest,1,FALSE,0.42,Common,,9ff08225-82a5-4636-be6a-d38d32f5663f,121,7ed,common
Booby Trap,Tempest,1,FALSE,0.61,Rare,,1af0c9a0-0dfa-4245-8b29-7bd37982b7d2,289,9ed,rare
Bottle Gnomes,Tempest,1,FALSE,0.40,Uncommon,,fa29a4ce-a8fa-499d-9994-f294c38b2ce5,177,cm2,uncommon
Broken Fall,Tempest,1,FALSE,0.26,Common,,d43f5349-a3f8-492d-a835-24a9f948741c,216,tmp,common
Caldera Lake,Tempest,1,FALSE,2.15,Rare,,f79313f8-0b79-4fe3-8eb1-db523587b714,235,tpr,uncommon
Canopy Spider,Tempest,1,FALSE,0.22,Common,,0ae7fabb-dcb6-4c21-87ee-2893b63814be,339,m20,common
Canyon Wildcat,Tempest,1,FALSE,0.22,Common,,4bd2baa7-1264-4139-881d-e8169391c48b,127,tpr,common
Capsize,Tempest,1,FALSE,2.06,Common,,f36f6545-e4e0-4dc8-acea-e527e43f3e14,42,tpr,uncommon
Cinder Marsh,Tempest,1,FALSE,0.32,Uncommon,,8c6dc9af-ea7e-41f8-8c1e-22c588312053,236,tpr,uncommon
Circle of Protection: Black,Tempest,1,FALSE,0.24,Common,,edab2933-5970-4a17-ac00-abcd2c048fdc,10,9ed,uncommon
Circle of Protection: Blue,Tempest,1,FALSE,0.25,Common,,5ced2118-dfb3-4f29-ad6b-454c0a8a094b,11,8ed,uncommon
Circle of Protection: Green,Tempest,1,FALSE,0.24,Common,,eecc0e7d-a15b-4930-93d1-832c4fed733b,12,8ed,uncommon
Circle of Protection: Red,Tempest,1,FALSE,0.25,Common,,d7920b6d-ff71-4802-9589-e1df0c58b9ff,11,9ed,uncommon
Circle of Protection: Shadow,Tempest,1,FALSE,0.24,Common,,49f29a3b-7136-496c-bc29-8808bfff0f82,12,tmp,common
Circle of Protection: White,Tempest,1,FALSE,0.24,Common,,2e64f2cc-67bd-482a-938b-8dca1a1c6ac1,14,8ed,uncommon
Clergy en-Vec,Tempest,1,FALSE,0.25,Common,,fcb0e068-16d0-4e1c-acad-0a6d34148c5a,14,tmp,common
Cloudchaser Eagle,Tempest,1,FALSE,0.24,Common,,81cd5854-56ef-48ec-ad12-1690fa45b4a5,11,7ed,common
Coercion,Tempest,1,FALSE,0.23,Common,,8c0459ca-1646-46a0-9fc2-709b321bb41f,86,tpr,common
Coiled Tinviper,Tempest,1,FALSE,0.22,Common,,c62c2f66-6419-49ca-82d7-a5e8789a665f,219,tpr,common
Cold Storage,Tempest,1,FALSE,0.90,Rare,,b26e28d4-50e1-41db-984d-c55781295012,280,tmp,rare
Crown of Flames,Tempest,1,FALSE,0.25,Common,,5a46239c-3de7-48ca-8f5c-b51f307fd0e5,142,inv,common
Dark Banishing,Tempest,1,FALSE,0.24,Common,,141dbd31-b813-46da-849e-e13d97dd2e17,92,tpr,common
