Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Coppercoat Vanguard (Showcase),The Aftermath Variants,1,TRUE,0.16,Uncommon,51,,,,
Deification (Showcase),The Aftermath Variants,1,TRUE,0.30,Rare,52,,,,
Harnessed Snubhorn (Showcase),The Aftermath Variants,1,TRUE,0.04,Uncommon,53,,,,
Metropolis Reformer (Showcase),The Aftermath Variants,1,TRUE,0.63,Rare,54,,,,
Spark Rupture (Showcase),The Aftermath Variants,1,TRUE,0.31,Rare,55,,,,
"Tazri, Stalwart Survivor (Showcase)",The Aftermath Variants,1,TRUE,0.11,Rare,56,,,,
Filter Out (Showcase),The Aftermath Variants,1,TRUE,0.12,Uncommon,57,,,,
Tolarian Contempt (Showcase),The Aftermath Variants,1,TRUE,0.04,Uncommon,58,,,,
Training Grounds (Showcase),The Aftermath Variants,1,TRUE,3.67,Rare,59,,,,
Vesuvan Drifter (Showcase),The Aftermath Variants,1,TRUE,0.24,Rare,60,,,,
Ayara's Oathsworn (Showcase),The Aftermath Variants,1,TRUE,0.33,Rare,61,,,,
Blot Out (Showcase),The Aftermath Variants,1,TRUE,0.11,Uncommon,62,,,,
Death-Rattle Oni (Showcase),The Aftermath Variants,1,TRUE,0.06,Uncommon,63,,,,
Markov Baron (Showcase),The Aftermath Variants,1,TRUE,0.13,Uncommon,64,,,,
Urborg Scavengers (Showcase),The Aftermath Variants,1,TRUE,0.43,Rare,65,,,,
Arni Metalbrow (Showcase),The Aftermath Variants,1,TRUE,0.19,Rare,66,,,,
Kolaghan Warmonger (Showcase),The Aftermath Variants,1,TRUE,0.07,Uncommon,67,,,,
Plargg and Nassari (Showcase),The Aftermath Variants,1,TRUE,2.08,Rare,68,,,,
Reckless Handling (Showcase),The Aftermath Variants,1,TRUE,0.18,Uncommon,69,,,,
Animist's Might (Showcase),The Aftermath Variants,1,TRUE,0.08,Uncommon,70,,,,
Leyline Immersion (Showcase),The Aftermath Variants,1,TRUE,0.36,Rare,71,,,,
Open the Way (Showcase),The Aftermath Variants,1,TRUE,5.66,Rare,73,,,,
Tranquil Frillback (Showcase),The Aftermath Variants,1,TRUE,6.67,Rare,74,,,,
Undercity Upheaval (Showcase),The Aftermath Variants,1,TRUE,0.03,Uncommon,75,,,,
Campus Renovation (Showcase),The Aftermath Variants,1,TRUE,0.13,Uncommon,77,,,,
Cosmic Rebirth (Showcase),The Aftermath Variants,1,TRUE,0.14,Uncommon,78,,,,
"Danitha, New Benalia's Light (Showcase)",The Aftermath Variants,1,TRUE,0.45,Rare,79,,,,
Feast of the Victorious Dead (Showcase),The Aftermath Variants,1,TRUE,0.10,Uncommon,80,,,,
Gold-Forged Thopteryx (Showcase),The Aftermath Variants,1,TRUE,0.13,Uncommon,81,,,,
"Jirina, Dauntless General (Showcase)",The Aftermath Variants,1,TRUE,0.29,Rare,82,,,,
"Jolrael, Voice of Zhalfir (Showcase)",The Aftermath Variants,1,TRUE,0.14,Rare,83,,,,
The Kenriths' Royal Funeral (Showcase),The Aftermath Variants,1,TRUE,0.14,Rare,84,,,,
"Kiora, Sovereign of the Deep (Showcase)",The Aftermath Variants,1,TRUE,1.91,Mythic Rare,85,,,,
Nahiri's Resolve (Showcase),The Aftermath Variants,1,TRUE,0.35,Rare,87,,,,
"Narset, Enlightened Exile (Showcase)",The Aftermath Variants,1,TRUE,2.26,Mythic Rare,88,,,,
"Nashi, Moon's Legacy (Showcase)",The Aftermath Variants,1,TRUE,0.44,Rare,89,,,,
