Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Collector's Cage,The Big Score,1,TRUE,2.30,Mythic Rare,1,a33703bb-51c0-4d57-9d06-1148507ddc4f,1,big,mythic
Grand Abolisher,The Big Score,1,TRUE,7.28,Mythic Rare,2,86e30ca4-1769-4686-aa18-31610246cd80,27,cmm,rare
Oltec Matterweaver,The Big Score,1,TRUE,3.73,Mythic Rare,3,f4f2a818-9fd1-41db-967e-7d2c9b4e4c2f,3,big,mythic
Rest in Peace,The Big Score,1,TRUE,0.56,Mythic Rare,4,9f2b39be-0fec-4647-ade1-8e1626dc5470,32,a25,rare
Simulacrum Synthesizer,The Big Score,1,TRUE,26.61,Mythic Rare,6,aaa05ad1-5cda-4edd-b6bf-562ae3e5011a,6,big,mythic
Greed's Gambit,The Big Score,1,TRUE,0.94,Mythic Rare,8,5b60a1a6-b2ca-4dc2-a6d9-eff97092079a,8,big,mythic
Hostile Investigator,The Big Score,1,TRUE,2.65,Mythic Rare,10,158c000e-7960-4518-b034-a529622b7bf1,10,big,mythic
Legion Extruder,The Big Score,1,FALSE,1.48,Mythic Rare,12,5a077de0-1893-40d0-a499-ee2e6e2258f1,12,big,mythic
Memory Vessel,The Big Score,1,TRUE,0.53,Mythic Rare,13,2e37a5cd-887d-4b41-97f7-ae0bba85436b,13,big,mythic
Molten Duplication,The Big Score,1,TRUE,9.44,Mythic Rare,14,fdbe1ac1-461f-4746-a8d8-6c8dea2c97c6,14,big,mythic
Territory Forge,The Big Score,1,TRUE,0.48,Mythic Rare,15,71059bc8-f63a-4d9c-9d08-2e995e74cc59,15,big,mythic
Ancient Cornucopia,The Big Score,1,TRUE,4.33,Mythic Rare,16,f977975d-0439-4731-b129-270cc4cdbb23,16,big,mythic
Bristlebud Farmer,The Big Score,1,FALSE,3.74,Mythic Rare,17,d498c4de-5e80-4baa-9fcb-70f164880c84,17,big,mythic
Sandstorm Salvager,The Big Score,1,FALSE,2.94,Mythic Rare,19,13b0f27c-a359-4702-833a-82fec161eeec,19,big,mythic
"Loot, the Key to Everything",The Big Score,1,FALSE,1.25,Mythic Rare,21,fb169fa2-c92e-45f7-89a2-0ca0e3910a1c,21,big,mythic
Pest Control,The Big Score,1,TRUE,4.14,Mythic Rare,22,a4a01b92-dafb-4ea6-8eff-29f881f6be24,22,big,mythic
Lost Jitte,The Big Score,1,TRUE,4.83,Mythic Rare,23,c936504c-4e90-408f-ba98-0fb8c0378471,23,big,mythic
Lotus Ring,The Big Score,1,TRUE,2.74,Mythic Rare,24,02267717-66e0-41f7-8009-75586a4aa4be,24,big,mythic
Nexus of Becoming,The Big Score,1,FALSE,3.41,Mythic Rare,25,b0f61742-522c-4b36-97db-41d0c412a072,25,big,mythic
Sword of Wealth and Power,The Big Score,1,FALSE,21.06,Mythic Rare,26,ed9e5041-3c05-4a8a-9f00-081b01685d0c,26,big,mythic
Torpor Orb,The Big Score,1,TRUE,2.53,Mythic Rare,27,953610f6-ea96-4e71-969f-50ecac09c091,162,nph,rare
Fomori Vault,The Big Score,1,FALSE,11.35,Mythic Rare,29,a5433b98-4657-4bbe-9e72-d3c94c6aa8ef,29,big,mythic
Worldwalker Helm (Showcase),The Big Score,1,FALSE,16.46,Mythic Rare,37,,,,
Greed's Gambit (Showcase),The Big Score,1,TRUE,2.02,Mythic Rare,38,,,,
Hostile Investigator (Showcase),The Big Score,1,TRUE,10.69,Mythic Rare,40,,,,
Territory Forge (Showcase),The Big Score,1,TRUE,1.99,Mythic Rare,45,,,,
Ancient Cornucopia (Showcase),The Big Score,1,FALSE,11.20,Mythic Rare,46,,,,
Bristlebud Farmer (Showcase),The Big Score,1,FALSE,6.99,Mythic Rare,47,,,,
"Loot, the Key to Everything (Showcase)",The Big Score,1,FALSE,9.26,Mythic Rare,51,,,,
Pest Control (Showcase),The Big Score,1,FALSE,8.36,Mythic Rare,52,,,,
Lotus Ring (Showcase),The Big Score,1,TRUE,5.37,Mythic Rare,54,,,,
Nexus of Becoming (Showcase),The Big Score,1,FALSE,9.12,Mythic Rare,55,,,,
Torpor Orb (Showcase),The Big Score,1,TRUE,16.31,Mythic Rare,57,,,,
Transmutation Font (Showcase),The Big Score,1,TRUE,8.58,Mythic Rare,58,,,,
Fomori Vault (Showcase),The Big Score,1,TRUE,43.79,Mythic Rare,59,,,,
"Loot, the Key to Everything (Raised Foil)",The Big Score,1,TRUE,43.51,Mythic Rare,62,,,,
Collector's Cage (Extended Art),The Big Score,1,FALSE,4.23,Mythic Rare,66,,,,
Esoteric Duplicator (Extended Art),The Big Score,1,TRUE,5.16,Mythic Rare,70,,,,
Simulacrum Synthesizer (Extended Art),The Big Score,1,TRUE,31.63,Mythic Rare,71,,,,
