Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Amnesia,The Dark,1,FALSE,2.55,Uncommon,,23d6dbd3-652f-4dc3-9453-24299332938d,29,me1,rare
Angry Mob,The Dark,1,FALSE,1.09,Uncommon,,2dcaea36-52fb-4c71-a4f1-5c060b918ff1,1,me1,uncommon
Ashes to Ashes,The Dark,1,FALSE,0.67,Common,,9e61209b-0f56-4bab-9ada-700f91b18dec,58,me3,uncommon
Banshee,The Dark,1,FALSE,1.19,Uncommon,,12130a32-8c27-4e48-b1ae-b7991f751e7e,59,me3,uncommon
Blood of the Martyr,The Dark,1,FALSE,1.00,Uncommon,,823b637b-e089-479a-88c0-be014516429a,4,chr,uncommon
Bog Imp,The Dark,1,FALSE,0.30,Common,,846f5cda-3d93-4dfd-b1c3-1dff7b814d98,116,9ed,common
Bog Rats,The Dark,1,FALSE,0.31,Common,,0da038c4-73ff-4d82-8440-9bca2f051fd5,117,6ed,common
Bone Flute,The Dark,1,FALSE,0.74,Uncommon,,12aa4c51-4b3d-48c2-bebb-13ea98ebc3b2,192,me3,common
Book of Rass,The Dark,1,FALSE,0.99,Uncommon,,7522bae1-f57e-4863-8c62-e335b1a7c747,183,me4,uncommon
Brainwash,The Dark,1,FALSE,0.25,Common,,0afcbd6d-2b83-4393-9fc8-fe91f86117fe,13,5ed,common
Carnivorous Plant,The Dark,1,FALSE,0.28,Common,,afa8023b-1afc-4c05-864e-96f65b0aa140,115,me1,uncommon
Cave People,The Dark,1,FALSE,0.60,Uncommon,,fb29b6b9-1674-483f-9912-0892e39ab106,215,5ed,uncommon
City of Shadows,The Dark,1,FALSE,56.70,Rare,,0629322b-e9e8-4cac-abe5-fff083bcc240,206,me3,rare
Cleansing,The Dark,1,FALSE,10.30,Rare,,fc1973a3-1410-4c6d-9b09-bd9d18646a1e,4,drk,rare
Dark Heart of the Wood,The Dark,1,FALSE,0.35,Common,,baa3ae99-a770-4487-8de6-68a347ee64bb,200,rav,uncommon
Deep Water,The Dark,1,FALSE,0.26,Common,,9dd6a230-6bc0-499c-b7fd-4aaa2569f98f,23,drk,common
Diabolic Machine,The Dark,1,FALSE,0.68,Uncommon,,82e90d11-dde3-4aaa-b21c-79ea480447ee,196,me4,uncommon
Drowned,The Dark,1,FALSE,0.33,Common,,92debe15-70c2-4d91-9fdc-f85c05ceef1d,47,me4,common
Erosion,The Dark,1,FALSE,0.28,Common,,8dc539ff-03f5-4bec-877a-061fb5d40de9,70,4ed,common
Fasting,The Dark,1,FALSE,0.80,Uncommon,,8da35f9f-e72c-4154-a212-7de98f84ad7d,7,drk,uncommon
Festival,The Dark,1,FALSE,0.42,Common,,e9357990-701a-4336-b545-ac5a24d89cad,8,drk,common
Fire and Brimstone,The Dark,1,FALSE,0.75,Uncommon,,d5208dbb-63d2-4789-8ef9-f82499a43b3a,9,drk,uncommon
Fire Drake,The Dark,1,FALSE,1.03,Uncommon,,2afdb5e8-31ba-4013-93c9-36e9f755f238,98,me3,common
Fissure,The Dark,1,FALSE,0.30,Common,,0478aeca-98e9-41eb-a120-7575fc4e12ab,93,me1,common
Flood,The Dark,1,FALSE,1.75,Uncommon,,2aefbeae-ac72-4a13-8898-8d1e42a633a6,87,5ed,common
Fountain of Youth,The Dark,1,FALSE,2.00,Uncommon,,8515a993-0f9d-4ac8-8452-889f23d9d9a9,323,10e,uncommon
Gaea's Touch,The Dark,1,FALSE,2.50,Common,,2f23950c-f583-4559-8c3b-bd28bedecf80,120,me3,uncommon
Ghost Ship,The Dark,1,FALSE,0.35,Common,,e76d9d80-b7fb-43ed-bc9c-767dd1613d37,60,a25,common
Giant Shark,The Dark,1,FALSE,0.35,Common,,53ec4a19-0f2f-4713-a869-58832484648d,29,drk,common
Goblin Caves,The Dark,1,FALSE,0.95,Common,,bcba2255-b0ae-43b9-b9fd-62da04d5e397,119,me4,common
Goblin Digging Team,The Dark,1,FALSE,0.28,Common,,8000425a-4761-4370-95eb-6fe3df628482,186,7ed,common
Goblin Hero,The Dark,1,FALSE,0.29,Common,,c3ed9cd3-5e6a-4e86-b120-ff27b744311d,103,s99,common
Goblin Rock Sled,The Dark,1,FALSE,0.25,Common,,25f4f0c1-a43e-4282-b20e-91c711c57521,199,4ed,common
Goblin Shrine,The Dark,1,FALSE,0.32,Common,,07cc3153-ca6a-4a64-9e0b-955417e2c328,122,me4,common
Goblin Wizard,The Dark,1,FALSE,55.33,Rare,,09167603-93ab-488b-88eb-37f7cf9e3e19,97,me1,rare
Goblins of the Flarg,The Dark,1,FALSE,0.30,Common,,cb91b7c0-c453-481b-9d3d-0223057291ed,98,me1,common
Holy Light,The Dark,1,FALSE,0.49,Common,,34fbb723-2507-489a-acf1-22ac0dcbcd9c,16,me1,common
Inquisition,The Dark,1,FALSE,0.25,Common,,5f133f06-6398-4db1-8577-66c16fd3e00d,47,drk,common
Land Leeches,The Dark,1,FALSE,0.26,Common,,71f1d97c-5bfa-4791-9004-5f2464908c30,255,4ed,common
Living Armor,The Dark,1,FALSE,0.89,Uncommon,,b9da41f7-c1d2-4d5c-b6a5-09f6cc05cd4a,103,chr,common
Marsh Gas,The Dark,1,FALSE,0.28,Common,,c8c65bf9-cbab-45ee-9c6e-f8ee832dbe61,146,4ed,common
Marsh Viper,The Dark,1,FALSE,0.31,Common,,ba4c0606-f9af-4dee-bc36-5051395b5f44,315,5ed,common
Merfolk Assassin,The Dark,1,FALSE,1.50,Uncommon,,6a906b9b-5e7c-4300-98e4-5eec242c1306,25,tsb,special
Miracle Worker,The Dark,1,FALSE,0.30,Common,,35d29bda-096c-44d4-b45e-c2c507f8efbe,13,drk,common
Morale,The Dark,1,FALSE,0.25,Common,,b52cdfe3-fca1-420c-b5c0-2366ea58345b,36,4ed,common
Murk Dwellers,The Dark,1,FALSE,0.27,Common,,740564ec-c473-45bc-ba94-288786bf28b9,180,5ed,common
Nameless Race,The Dark,1,FALSE,4.30,Rare,,348a467a-4661-4fdb-af1d-9171a1a930d9,50,drk,rare
Necropolis,The Dark,1,FALSE,1.09,Uncommon,,893e8e9c-983e-4db1-8d93-10637025a559,105,drk,uncommon
Orc General,The Dark,1,FALSE,1.54,Uncommon,,f09114b4-f98a-4a1f-a0f3-fe2a78b58989,137,me2,uncommon
People of the Woods,The Dark,1,FALSE,1.43,Uncommon,,2fb5926f-9988-4bc0-b2b7-e286db208310,83,drk,uncommon
Pikemen,The Dark,1,FALSE,0.26,Common,,18243ac8-6097-4f2c-8064-3dab48038e4a,52,5ed,common
Reflecting Mirror,The Dark,1,FALSE,1.17,Uncommon,,d551ff93-d8da-4c21-bc3c-6451c0dde07e,106,drk,uncommon
Riptide,The Dark,1,FALSE,0.27,Common,,b0f11ae4-e30e-441d-bb64-439930d9997c,35,drk,common
Runesword,The Dark,1,FALSE,1.17,Uncommon,,a11ec2f6-a0c7-4164-a562-fab7aab7d211,106,chr,common
Safe Haven,The Dark,1,FALSE,4.79,Rare,,d130205f-53e3-4c04-967c-4808d7945880,121,tsb,special
Savaen Elves,The Dark,1,FALSE,0.27,Common,,38fb3014-f631-4a75-92cd-7e626b13a4c3,84,drk,common
Scarecrow,The Dark,1,FALSE,1.39,Uncommon,,4b0dcd50-7403-48e5-b928-5d35d7304f51,225,me4,uncommon
Scarwood Goblins,The Dark,1,FALSE,0.29,Common,,5542d236-af43-43b8-b30f-8980d74bbdd0,94,drk,common
Scarwood Hag,The Dark,1,FALSE,0.80,Uncommon,,ac2655e4-3a4d-4f73-820a-02fab675d42e,86,drk,uncommon
Scavenger Folk,The Dark,1,FALSE,0.38,Common,,437d244a-fde1-459c-927f-52087fd9080f,166,me4,common
Sisters of the Flame,The Dark,1,FALSE,1.04,Uncommon,,a39ab53c-133a-4211-8499-aea00ed3ee1d,221,4ed,common
Skull of Orm,The Dark,1,FALSE,2.26,Uncommon,,ccc3a7b4-ff44-4909-ab8d-35ba5d187815,313,8ed,rare
Squire,The Dark,1,FALSE,0.25,Common,,96c9c4d1-dd43-4156-b25f-0e707b6c4b23,15,tsb,special
Sunken City,The Dark,1,FALSE,0.31,Common,,2262d907-2801-4314-813b-d9e14aba4826,51,me1,uncommon
Tangle Kelp,The Dark,1,FALSE,0.73,Uncommon,,497bc42d-ab81-4d84-bdf7-e3a05a7c984d,37,drk,uncommon
The Fallen,The Dark,1,FALSE,1.20,Uncommon,,49058733-6fd7-456f-a47b-10ebf7fb5232,69,me1,uncommon
Tivadar's Crusade,The Dark,1,FALSE,1.48,Uncommon,,af57687b-da90-41df-85a3-cb92933f2ca8,28,me1,uncommon
Tracker,The Dark,1,FALSE,5.42,Rare,,74f0400c-35dd-4ba5-97d1-2e57689c9d53,136,me3,uncommon
Uncle Istvan,The Dark,1,FALSE,1.86,Uncommon,,9bf85d06-9efe-488d-9af0-fb945b346524,51,tsb,special
Venom,The Dark,1,FALSE,0.28,Common,,cbb503ef-31a4-492d-9c7d-26b72c36904b,336,5ed,common
Wand of Ith,The Dark,1,FALSE,1.20,Uncommon,,80c9070a-8c70-480e-a476-e00f8e2c71b9,114,drk,uncommon
War Barge,The Dark,1,FALSE,1.00,Uncommon,,3c26771c-a1ec-4055-8df4-d5b49bfe5b1e,116,tsb,special
Water Wurm,The Dark,1,FALSE,0.25,Common,,e3da4a88-5225-467f-9240-f30bc1eee520,38,drk,common
Whippoorwill,The Dark,1,FALSE,1.23,Uncommon,,e56146bf-5db0-4bef-83bb-efa5ebec6684,91,drk,uncommon
Word of Binding,The Dark,1,FALSE,0.29,Common,,715472e1-585b-4379-b335-8f3b5e572d83,172,4ed,common
