Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abuelo's Awakening,The Lost Caverns of Ixalan,1,TRUE,0.13,Rare,1,f93b725e-2b9c-4830-ac54-b2562afe09bb,1,lci,rare
Adaptive Gemguard,The Lost Caverns of Ixalan,1,TRUE,0.03,Common,3,83c91e24-b7e8-4040-80cb-d1b375002c10,3,lci,common
Bat Colony,The Lost Caverns of Ixalan,1,TRUE,0.14,Uncommon,5,1c02134c-ec9f-4090-820e-8ba7ae4a8c2b,5,lci,uncommon
Clay-Fired Bricks // Cosmium Kiln,The Lost Caverns of Ixalan,1,TRUE,0.09,Uncommon,6,8aece300-656b-4e0d-a45f-aa7feaff0a4e,6,lci,uncommon
Dauntless Dismantler,The Lost Caverns of Ixalan,1,TRUE,0.57,Uncommon,8,3d771631-0aab-4f09-b9a6-49b6b2d8d2aa,8,lci,uncommon
Deconstruction Hammer,The Lost Caverns of Ixalan,1,TRUE,0.06,Common,9,0c7ba382-18c4-4833-b3d2-bd469ae2ad77,9,lci,common
Dusk Rose Reliquary,The Lost Caverns of Ixalan,1,TRUE,0.14,Uncommon,10,a5f231ef-4167-4b0a-b54c-a098b2eb2f6f,10,lci,uncommon
Envoy of Okinec Ahau,The Lost Caverns of Ixalan,1,TRUE,0.02,Common,11,96de0741-9270-4118-bb8e-f3480c75a582,11,lci,common
Fabrication Foundry,The Lost Caverns of Ixalan,1,TRUE,0.20,Rare,12,323a05ee-8296-41c0-94ab-00913d9d84f1,12,lci,rare
Get Lost,The Lost Caverns of Ixalan,1,TRUE,8.89,Rare,14,522aa72b-2b8c-484c-872b-f082101cee35,14,lci,rare
Guardian of the Great Door,The Lost Caverns of Ixalan,1,TRUE,0.04,Uncommon,16,a86f3cb2-7822-4c19-bd84-cea177e5b6e9,16,lci,uncommon
Ironpaw Aspirant,The Lost Caverns of Ixalan,1,TRUE,0.05,Common,18,f70689a0-ac69-4052-84fc-9055e9e1c54b,18,lci,common
Kutzil's Flanker,The Lost Caverns of Ixalan,1,FALSE,0.54,Rare,20,d1201811-54ab-4c4e-b6e1-19b0d07e5ede,20,lci,rare
Malamet War Scribe,The Lost Caverns of Ixalan,1,TRUE,0.07,Uncommon,21,b92a6ba0-cea0-4084-92f1-2bd60ea25fb0,21,lci,uncommon
