Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Alseid of Life's Bounty,Theros Beyond Death,1,FALSE,0.35,Uncommon,1,36c8c075-9597-412e-9fc4-9d73b4405d12,1,thb,uncommon
Archon of Falling Stars,Theros Beyond Death,1,FALSE,0.19,Uncommon,2,d0dd1e40-a514-42df-8cc1-364998c7700c,2,thb,uncommon
Banishing Light,Theros Beyond Death,1,FALSE,0.20,Uncommon,4,e38dc3b3-1629-491b-8afd-0e7a9a857713,138,fdn,common
The Birth of Meletis,Theros Beyond Death,1,FALSE,0.25,Uncommon,5,d824f8bd-58f8-4796-80b5-5cd3033d35e8,5,thb,uncommon
Captivating Unicorn,Theros Beyond Death,1,FALSE,0.15,Common,6,13893599-0b87-4fc0-863d-f3e0ae51cc31,6,thb,common
Commanding Presence,Theros Beyond Death,1,FALSE,0.20,Uncommon,7,24e2f681-918e-4f1f-afb1-0f9587c0d7bf,7,thb,uncommon
Dawn Evangel,Theros Beyond Death,1,FALSE,0.20,Uncommon,8,f7e152ae-43ec-4b9d-a43f-786c2f6c7366,8,thb,uncommon
Daybreak Chimera,Theros Beyond Death,1,TRUE,0.14,Common,10,f9c1de31-73d4-4c32-9f99-e15df48638e9,10,thb,common
Dreadful Apathy,Theros Beyond Death,1,FALSE,0.15,Common,11,e20c2369-db77-465e-9f0e-bb009225345a,11,thb,common
Eidolon of Obstruction,Theros Beyond Death,1,FALSE,0.25,Rare,12,2f48f802-df9d-45b2-afea-98699bcdf0d6,12,thb,rare
Elspeth Conquers Death,Theros Beyond Death,1,FALSE,0.74,Rare,13,ea20208b-1939-4c69-8cfd-c0a42f9dc427,13,thb,rare
Favored of Iroas,Theros Beyond Death,1,FALSE,0.19,Uncommon,15,f09e7aff-d873-4420-b0d5-1c63d686dd73,15,thb,uncommon
Flicker of Fate,Theros Beyond Death,1,FALSE,0.25,Common,16,59e19bac-176c-4e37-bfc8-27c00de7c37f,16,thb,common
Glory Bearers,Theros Beyond Death,1,FALSE,0.15,Common,17,8a70e1be-f04a-43c1-8fca-205a24e3db38,17,thb,common
Heliod's Intervention,Theros Beyond Death,1,TRUE,2.83,Rare,19,9519bb3a-bed3-48e8-93ae-9e9b2e7d646a,81,otc,rare
Heliod's Pilgrim,Theros Beyond Death,1,FALSE,0.20,Common,20,cafce2f5-f4f4-465b-96dc-bcdd29d4e4bb,20,thb,common
Heliod's Punishment,Theros Beyond Death,1,FALSE,0.21,Uncommon,21,3b8e6878-06aa-4505-b3a5-172083b7d258,21,thb,uncommon
Hero of the Pride,Theros Beyond Death,1,FALSE,0.15,Common,22,81b56863-a52a-4559-a662-f6d9145d5804,22,thb,common
Hero of the Winds,Theros Beyond Death,1,FALSE,0.19,Uncommon,23,7da95097-dbe7-416a-8571-6ab6d88a531a,23,thb,uncommon
Idyllic Tutor,Theros Beyond Death,1,FALSE,6.91,Rare,24,f06edd53-f3ac-44b0-a087-5670ba8f0fa5,24,thb,rare
Indomitable Will,Theros Beyond Death,1,FALSE,0.15,Common,25,f5ba5d4b-5dbb-43d6-8f44-a2f80944df98,109,jmp,common
Karametra's Blessing,Theros Beyond Death,1,FALSE,0.20,Common,26,88c8e4dc-5378-48d6-85b2-f5ea9ec7cf36,26,thb,common
Lagonna-Band Storyteller,Theros Beyond Death,1,TRUE,0.04,Uncommon,27,c3a87498-2c2c-411a-aa71-d594b2c6cb26,27,thb,uncommon
Leonin of the Lost Pride,Theros Beyond Death,1,TRUE,0.07,Common,28,e1be3729-7970-45df-8c26-4fe09e56629d,28,thb,common
Nyxborn Courser,Theros Beyond Death,1,FALSE,0.15,Common,29,0fd32240-c003-4e18-adf1-e2e992c702b1,29,thb,common
Omen of the Sun,Theros Beyond Death,1,FALSE,0.15,Common,30,157e4f28-d1b1-41e4-a2f1-6613a952bca2,831,cmm,common
Phalanx Tactics,Theros Beyond Death,1,FALSE,0.19,Uncommon,31,5f114a10-0b00-4f3a-bd73-d4c791fbf4d5,31,thb,uncommon
Pious Wayfarer,Theros Beyond Death,1,FALSE,0.15,Common,32,10b1a2b5-5be2-43a2-bc35-95df6eb0984f,32,thb,common
Reverent Hoplite,Theros Beyond Death,1,FALSE,0.28,Uncommon,33,54153b9c-483e-4e5c-a1ab-b1c8a7a657d4,33,thb,uncommon
Revoke Existence,Theros Beyond Death,1,FALSE,0.19,Common,34,7bd4fc26-8351-4371-948b-f43346c3e771,28,2xm,common
Rumbling Sentry,Theros Beyond Death,1,FALSE,0.15,Common,35,4f93f3c9-b317-40c1-87f5-0038c09b646d,35,thb,common
